,Concept_ID,xal,pt
0,Auge::N,нүдн,olho
1,Ohr::N,чикн,orelha
2,Nase::N,хамр,nariz
3,Mund::N,амн,boca
4,Zahn::N,шүдн,dente
5,Zunge::N,келн,língua
6,Lippe::N,урл,lábio
7,Wange::N,халх,face
8,Gesicht::N,нүр,cara
9,Gesicht::N,нүр,rosto
10,Stirn::N,маңна,testa
11,Haar::N,үсн,cabelo
12,Schnurrbart::N,сахл,bigode
13,Bart::N,сахл,barba
14,Bart::N,өргнә сахл,barba
15,Kinn::N,өргн,queixo
16,Kiefer[Anatomie]::N,өргн,maxila
17,Kiefer[Anatomie]::N,өргн,mandíbula
18,Kehle::N,хол,garganta
19,Hals::N,күзүн,colo
20,Hals::N,күзүн,pescoço
21,Genick::N,гиҗг,nuca
22,Kopf::N,толһа,cabeça
23,Rücken::N,нурһн,dorso
24,Rücken::N,нурһн,costas
25,Bauch::N,гесн,ventre
26,Bauch::N,гесн,barriga
27,Nabel::N,киисн,umbigo
28,Busen::N,көкн,seio
29,Brust::N,чееҗ,peito
30,Schulter::N,ээм,ombro
31,Arm::N,һар,braço
32,Ellenbogen::N,тоха,cotovelo
33,Hand::N,баһлцг,mão
34,Handfläche::N,альхн,palma
35,Handfläche::N,альхн,palma da mão
36,Finger::N,хурһн,dedo
37,Finger::N,һарин хурһн,dedo
38,Fingernagel::N,хумсн,unha
39,Nagel[Anatomie]::N,хумсн,unha
40,Zeh::N,хурһн,dedo do pé
41,Zeh::N,көлин хурһн,dedo do pé
42,Fuß::N,тавг,pé
43,Ferse::N,өскә,calcanhar
44,Knie::N,өвдг,joelho
45,Oberschenkel::N,һуй,coxa
46,Bein::N,көл,perna
47,Körper::N,махмуд,corpo
48,Haut::N,арсн,pele
49,Blut::N,цусн,sangue
50,Ader::N,судцн,veia
51,Sehne::N,шүрүсн,tendão
52,Knochen::N,ясн,osso
53,Gehirn::N,экн,cérebro
54,Herz::N,зүркн,coração
55,Magen::N,гесн,estômago
56,Leber::N,элкн,fígado
57,Atem::N,әмсхл,fôlego
58,Hunger::N,харһнлһн,fome
59,Träne::N,нульмсн,lágrima
60,Geschmack::N,амтн,gosto
61,Geruch::N,үнр,odor
62,Geruch::N,үнр,cheiro
63,Schlaf::N,нөр,sono
64,Traum::N,зүүдн,sonho
65,Himmel::N,теңгр,céu
66,Sonne::N,нарн,sol
67,Mond::N,сар,lua
68,Stern::N,одн,estrela
69,Luft::N,аһар,ar
70,Wind::N,салькн,vento
71,Welle::N,дольган,onda
72,Wasser::N,усн,água
73,Stein::N,чолун,pedra
74,Boden::N,Һазр,solo
75,Erde::N,Һазр,terra
76,Staub::N,тоосн,pó
77,Rauch::N,утан,fumo
78,Funke::N,очн,faísca
79,Funke::N,очн,centelha
80,Feuer::N,һал,fogo
81,Licht::N,герл,luz
82,Schatten::N,сүүдр,sombra
83,Wetter::N,теңгр,tempo
84,Nebel::N,будн,nevoeiro
85,Wolke::N,үүлн,nuvem
86,Regen::N,хур,chuva
87,Schnee::N,цасн,neve
88,Eis::N,мөсн,gelo
89,Frost::N,киитн,gelo
90,Frost::N,киитн,geada
91,Kälte::N,киитн,frio
92,Hitze::N,халун,ardor
93,Raureif::N,цаң,geada
94,Raureif::N,кирү,geada
95,Regenbogen::N,солңһ,arco-iris
96,Donner::N,оһтрһун дун,trovão
97,Strömung::N,урсхл,corrente
98,Tropfen::N,дусал,gota
99,Schaum::N,көөсн,espuma
100,Schmutz::N,кир,sujidade
101,Schmutz::N,кир,imundície
102,See::N,нур,lago
103,Sumpf::N,унул,charco
104,Sumpf::N,унул,pântano
105,Moor::N,улм,pântano
106,Wiese::N,хадлһн,prado
107,Wald::N,ө-модн,bosque
108,Wald::N,ө-модн,floresta
109,Hügel::N,толһа,colina
110,Anhöhe::N,хамр,alto
111,Anhöhe::N,хамр,outeiro
112,Berg::N,уул,monte
113,Berg::N,уул,montanha
114,Gipfel::N,ора,pico
115,Höhle::N,хадин көндә,caverna
