,Concept_ID,uz,mrj
0,Auge::N,ko'z,сӹнзӓ
1,Ohr::N,quloq,пӹлӹш
2,Nase::N,burun,нер
3,Mund::N,og'iz,ышма
4,Zahn::N,tish,пӱ
5,Zunge::N,til,йӹлмӹ
6,Lippe::N,dudoq,тӹрвӹ
7,Wange::N,bet,шӹргӹ
8,Gesicht::N,yuz,лицӓ
9,Stirn::N,manglay,лепкӓ
10,Haar::N,soch,ӱп
11,Schnurrbart::N,mo'ylov,öрш
12,Bart::N,soqol,пандаш
13,Kinn::N,ängak,онгылаш
14,Kiefer[Anatomie]::N,iyak,пӱ арата
15,Kehle::N,bo'g'iz,логер
16,Hals::N,bo'yin,шӱ
17,Genick::N,gardan,ланга
18,Kopf::N,bosh,вуй
19,Rücken::N,orqa,туп
20,Bauch::N,qorin,мӹшкӹр
21,Nabel::N,kindik,кӹлӹмдӹ
22,Busen::N,ämchak,цӹзӹ
23,Brust::N,ko'krak,мел
24,Schulter::N,elka,ӹнгӹжӓ
25,Arm::N,bilak,кид
26,Ellenbogen::N,tirsak,кӹнервуй
27,Hand::N,qo'l,лапа
28,Handfläche::N,kaft,кид лапа
29,Finger::N,barmoq,парня
30,Fingernagel::N,tirnoq,кӹч
31,Nagel[Anatomie]::N,tirnoq,кӹч
32,Zeh::N,oyoq barmog'i,парня
33,Fuß::N,oyoq,ял лапа
34,Ferse::N,tovon,ялгавал
35,Ferse::N,tovon,ял кавал
36,Knie::N,tiz,пылвуй
37,Oberschenkel::N,son,ӓрдӹ
38,Bein::N,oyoq,ял
39,Körper::N,badna,монгыр
40,Haut::N,teri,кавашты
41,Blut::N,qon,вӹр
42,Ader::N,qon tomir,вӹршӓр
43,Sehne::N,tomir,кукшышӱн
44,Knochen::N,suyak,лу
45,Gehirn::N,miya,вим
46,Herz::N,qalb,шӱм
47,Magen::N,oshqozon,шӱм
48,Leber::N,bag'ir,мокш
49,Atem::N,dam,шӱлӹш
50,Hunger::N,ochlik,шужымаш
51,Träne::N,yosh,сӹнзӓвӹд
52,Geschmack::N,tam,тот
53,Geruch::N,jid,пыш
54,Schlaf::N,uyqu,ом
55,Traum::N,tush,ом
56,Himmel::N,osmon,пӹлгом
57,Sonne::N,quyosh,кечӹ
58,Mond::N,oy,тӹлзӹ
59,Stern::N,yulduz,шӹдӹр
60,Luft::N,havo,юж
61,Luft::N,havo,воздух
62,Wind::N,el,мардеж
63,Welle::N,to'lqin,ко
64,Welle::N,to'lqin,коэ
65,Wasser::N,suv,вӹд
66,Stein::N,tosh,кӱ
67,Boden::N,tuproq,рок
68,Erde::N,er,свет
69,Staub::N,chang,пырак
70,Rauch::N,tutun,шӹкш
71,Funke::N,yalt,ип
72,Funke::N,yalt,тылип
73,Feuer::N,o't,тыл
74,Licht::N,yorug',соты
75,Licht::N,yorug',валгыды
76,Schatten::N,soya,ӹмӹл
77,Wetter::N,havo,игечӹ
78,Nebel::N,tuman,тӹтӹрӓ
79,Wolke::N,bulut,пӹл
80,Regen::N,yomg'ir,юр
81,Schnee::N,qor,лым
82,Eis::N,muz,и
83,Frost::N,ajoz,ӱштӹ
84,Kälte::N,ajoz,ӱштӹ
85,Hitze::N,issiq,шокшы
86,Raureif::N,qirov,пöрш
87,Regenbogen::N,kamalak,шанавӹл
88,Donner::N,guldur,хӹдӹртӹш
89,Strömung::N,oqim,йогы
90,Tropfen::N,tomchi,капльы
91,Tropfen::N,tomchi,капльык
92,Schaum::N,ko'pik,шонг
93,Schmutz::N,gard,лявӹрӓ
94,See::N,ko'l,йӓр
95,Sumpf::N,botqoq,лӱкӹ
96,Moor::N,qir-adir,куп
97,Wiese::N,o'tzor,алык
98,Wald::N,o'rmon,шӹргӹ
99,Hügel::N,tepa,пӱгӹрикӓ
100,Anhöhe::N,adir,кӱкшикӓ
101,Berg::N,tog',кырык
102,Gipfel::N,cho'qqi,неркӓ
103,Höhle::N,kavak,ы́раж
104,Abhang::N,to'sh,полом
105,Quelle::N,buloq,вӹдсӹнзӓ
106,Bach::N,o'zan,ӓнгӹр
107,Fluss::N,daryo,вӹд
108,Ufer::N,sohil,сир
109,Küste::N,qirg'oq,сир
110,Festland::N,materik,мӱлӓндӹ
111,Meer::N,dengiz,тангыж
112,Bucht::N,qo'ltiq,вӹдъял
113,Insel::N,orol,острок
114,Blume::N,gul,пеледӹш
115,Gras::N,sabza,шуды
116,Wurzel::N,tub,важ
117,Wurzel::N,tomir,важ
118,Baum::N,daraxt,пушӓнгӹ
119,Stamm::N,o'simta,пушӓнгӹ тӹнг
120,Rinde::N,qobiq,каргыж
121,Ast::N,shox,укш
122,Zweig::N,butoq,укш
123,Blatt::N,barg,листӹ
124,Birke::N,qayin,куги
125,Kiefer[Baum]::N,qarag'ay,йӓктӹ
126,Weide[Baum]::N,shum,уа
127,Tanne::N,archa,кож
128,Horn::N,mugiz,шур
129,Feder::N,par,пын
130,Fell::N,mo'yna,кавашты
131,Flügel::N,qanot,шылдыр
132,Klaue::N,tirnoq,кӹч
133,Kralle::N,tirnoq,лапа
134,Schwanz::N,quyruq,пач
135,Ei::N,tuxum,мыны
136,Nest::N,oshyon,пӹжӓш
137,Bau::N,o'pqon,ыраж
138,Tier::N,hayvon,во́льык
139,Herde::N,gala,кӹтö
140,Kuh::N,inak,ышкал
141,Bulle::N,ho'kiz,ӱшкӱж
142,Pferd::N,ot,имни
143,Schaf::N,qo'y,шарык
144,Schwein::N,cho'chqa,сасна
145,Hund::N,it,пи
146,Katze::N,mushuk,коти
147,Bär::N,ayiq,мöскӓ
148,Eichhörnchen::N,tiyin,ур
149,Elch::N,los,шарды
150,Fuchs::N,tulki,рӹвӹж
151,Hase::N,kuyon,морен
152,Maus::N,sichqon,каля
153,Wolf::N,bo'ri,пирӹ
154,Vogel::N,qush,кек
155,Schwarm::N,to'da,цуца
156,Huhn::N,tovuq,цӹвӹ
157,Hahn::N,xo'roz,ӓптӓн
158,Gans::N,g'oz,комбы
159,Adler::N,burgut,кучкыж
160,Ente::N,o'rdak,лыды
161,Eule::N,boyo'g'li,тымана
162,Kranich::N,turna,тырня
163,Kranich::N,turna,тыртня
164,Krähe::N,qarg'a,лудыгарак
165,Kuckuck::N,kakku,куку
166,Schwan::N,oqkush,йӱксӹ
167,Fisch::N,baliq,кол
168,Barsch::N,olabug'a,алангы
169,Hecht::N,cho'rtan,нуж
170,Hecht::N,cho'rtan,нужгол
171,Schlange[Tier]::N,ilon,кӹшкы
172,Wurm::N,qurt,шукш
173,Spinne::N,o'rgimchak,ӓнгӹремшӹ
174,Ameise::N,chumoli,кыткы
175,Laus::N,bit,ти
176,Mücke::N,chivin,кужнер
177,Mücke::N,chivin,кужынер
178,Fliege::N,pashsha,шӹнгӓ
179,Schmetterling::N,kapalak,лӹпӹ
180,Beere::N,meva,мöр
181,Apfel::N,olma,олма
182,Pilz::N,qo'ziqorin,понгы
183,Zwiebel::N,piyoz,охыра
184,Saat::N,äkin,нӱшмӹ
185,Saat::N,äkin,нӱшмӱ
186,Korn::N,zarra,пӹрцӹ
187,Heu::N,xashak,шуды
188,Schale::N,po'choq,аваха
189,Schale::N,po'choq,карлангы
190,Grube::N,co'ra,йӓм
191,Falle::N,qopqon,лӱдӹ
192,Falle::N,qopqon,лӱдӹш
193,Schlinge::N,sirtmoq,онгы
194,Spur::N,iz,кишӓ
195,Asche::N,kul,ломых
196,Asche::N,kul,ломпыж
197,Dreck::N,kir,лявӹрӓ
198,Eisen::N,temir,кӹртни
199,Gold::N,tilla,шöртни
200,Gold::N,tilla,шöртньӹ
201,Silber::N,kumush,ши
202,Kohle::N,ko'mir,шӱ
203,Glas::N,oyna,охоница
204,Lehm::N,loy,шун
205,Sand::N,qum,ошма
206,Mensch::N,odam,эдем
207,Mann::N,ärkak,пӱэргӹ
208,Frau::N,ayol,ӹдӹрӓмӓш
209,Kind::N,bola,ӓзӓ
210,Kind::N,bola,шачшы
211,Kind::N,kichkintoy,ӓзӓ
212,Kind::N,kichkintoy,шачшы
213,Junge::N,bola,рвезӹ
214,Junge::N,bola,ӹрвезӹ
215,Mädchen::N,qiz,ӹдӹрӓш
216,Familie::N,oila,йиш
217,Familie::N,oila,семня
218,Großvater::N,buva,тьоти
219,Großvater::N,katta ota,тьоти
220,Großmutter::N,buvi,папа
221,Großmutter::N,katta oyi,папа
222,Eltern::N,ota-ona,ӓтя-ӓвӓ
223,Vater::N,ota,ӓтя
224,Mutter::N,ona,ӓвӓ
225,Sohn::N,o'g'il,эргӹ
226,Tochter::N,qiz,ӹдӹр
227,Bruder::N,og'a,ӹза
228,Bruder::N,uka,ӹза
