,Concept_ID,hr,sv
0,Auge::N,oko,öga
1,Ohr::N,uho,öra
2,Nase::N,nos,näsa
3,Mund::N,usta,mun
4,Zahn::N,zub,tand
5,Zunge::N,jezik,tunga
6,Lippe::N,usna,läpp
7,Wange::N,obraz,kind
8,Gesicht::N,lice,syn
9,Gesicht::N,lice,ansikte
10,Stirn::N,čelo,panna
11,Haar::N,kosa,hår
12,Schnurrbart::N,brkovi,mustasch
13,Bart::N,brada,skägg
14,Kinn::N,brada,haka
15,Kinn::N,podbradak,haka
16,Kiefer[Anatomie]::N,čeljust,käke
17,Kehle::N,grlo,strupe
18,Hals::N,vrat,hals
19,Genick::N,zatiljak,nacke
20,Kopf::N,glava,huvud
21,Rücken::N,leđa,rygg
22,Rücken::N,hrbat,rygg
23,Bauch::N,trbuh,buk
24,Bauch::N,trbuh,mage
25,Nabel::N,pupak,navel
26,Busen::N,sisa,barm
27,Busen::N,njedra,barm
28,Brust::N,prsa,bröst
29,Schulter::N,rame,skuldra
30,Schulter::N,pleći,skuldra
31,Arm::N,ruka,arm
32,Ellenbogen::N,lakat,armbåge
33,Hand::N,ruka,hand
34,Handfläche::N,dlan,handflata
35,Finger::N,prst,finger
36,Fingernagel::N,nokat,fingernagel
37,Nagel[Anatomie]::N,nokat,nagel
38,Zeh::N,nozni prst,tå
39,Fuß::N,noga,fot
40,Fuß::N,stopalo,fot
41,Ferse::N,peta,häl
42,Knie::N,koljeno,knä
43,Oberschenkel::N,bedro,lår
44,Bein::N,noga,ben
45,Körper::N,tijelo,kropp
46,Haut::N,put,hud
47,Haut::N,put,skinn
48,Haut::N,koža,hud
49,Haut::N,koža,skinn
50,Blut::N,krv,blod
51,Ader::N,žila,åder
52,Sehne::N,tetiva,sena
53,Knochen::N,kost,ben
54,Herz::N,srce,hjärta
55,Magen::N,stomak,mage
56,Magen::N,želudac,mage
57,Leber::N,jetra,lever
58,Atem::N,dah,anda
59,Atem::N,dah,andedräkt
60,Hunger::N,glad,svält
61,Hunger::N,glad,hunger
62,Träne::N,suza,tår
63,Geschmack::N,ukus,smak
64,Geruch::N,njuh,lukt
65,Geruch::N,miris,lukt
66,Schlaf::N,san,sömn
67,Traum::N,san,dröm
