,Concept_ID,el,kl
0,Auge::N,μάτι,isi
1,Auge::N,οφθαλμός,isi
2,Ohr::N,αυτί,siut
3,Nase::N,μύτη,
4,Mund::N,στόμα,paaq
5,Mund::N,στόμα,qaneq
6,Zahn::N,δόντι,kigut
7,Zunge::N,γλώσσα,oqaq
8,Lippe::N,χείλος,qarloq
9,Wange::N,παρειά,ersaq
10,Wange::N,μάγουλο,ersaq
11,Gesicht::N,πρόσωπο,kiinaq
12,Stirn::N,μέτωπο,qaaq
13,Haar::N,μαλλιά,meqqoq
14,Schnurrbart::N,μουστάκι,
15,Bart::N,γένια,umik
16,Kinn::N,πιγούνι,talloq
17,Kiefer[Anatomie]::N,σαγόνι,alleroq
18,Kehle::N,λαρύγγι,malaq
19,Hals::N,λαιμός,qungaseq
20,Genick::N,σβέρκος,pukusuk
21,Kopf::N,κεφάλι,niaqoq
22,Rücken::N,ράχη,qimerlut
23,Bauch::N,κοιλιά,naaq
24,Nabel::N,αφαλός,qalaseq
25,Busen::N,στήθος,iviangeq
26,Brust::N,στήθος,iviangeq
27,Schulter::N,ώμος,ersik
28,Schulter::N,ώμος,assaqqoq
29,Arm::N,χέρι,taleq
30,Arm::N,μπράτςο,taleq
31,Ellenbogen::N,αγκώνας,ikusik
32,Hand::N,χέρι,assak
33,Handfläche::N,παλάμη,itumak
34,Finger::N,δάχτυλο,inuak
35,Fingernagel::N,νύχι,kikiak
36,Nagel[Anatomie]::N,νύχι,kukik
37,Zeh::N,δάχτυλο του ποδιού,isigak
38,Fuß::N,πόδι,
39,Ferse::N,φτέρνα,kimmik
40,Knie::N,γόνατο,seeqqoq
41,Oberschenkel::N,μηρός,uppat
42,Oberschenkel::N,μηρός,quttoraq
43,Bein::N,πόδι,isigak
44,Körper::N,σώμα,timi
45,Körper::N,κορμί,timi
46,Haut::N,πετσί,mattak
47,Blut::N,αίμα,aak
48,Ader::N,φλέβα,taqaq
49,Sehne::N,νεύρο,ujalu
50,Sehne::N,νεύρο,ujaloq
51,Sehne::N,τένοντας,ujalu
52,Sehne::N,τένοντας,ujaloq
53,Knochen::N,οστό,saanikut
54,Knochen::N,κόκκαλο,saanikut
55,Gehirn::N,μυαλό,qarasaq
56,Gehirn::N,εγκέφαλος,qarasaq
57,Herz::N,καρδιά,uummat
58,Magen::N,στομάχι,aqajaroq
59,Leber::N,ήπαρ,tinguk
60,Leber::N,συκωτί,tinguk
61,Atem::N,αναπνοή,anerneq
62,Hunger::N,πείνα,kaanneq
63,Träne::N,δάκρυ,qia
64,Träne::N,δάκρυ,qiak
65,Geschmack::N,γεύση,qilanaartuut
66,Geruch::N,οσμή,tipi
67,Geruch::N,οσμή,tipik
68,Geruch::N,μυρωδία,tipi
69,Geruch::N,μυρωδία,tipik
70,Schlaf::N,ύπνος,
71,Traum::N,όνειρο,sinnattoq
72,Traum::N,όνειρο,sinnattugaq
73,Himmel::N,ουρανός,qilak
74,Sonne::N,ήλιος,seqineq
75,Mond::N,σελήνη,qaammat
76,Mond::N,φεγγάρι,qaammat
77,Stern::N,άστρο,ulloriaq
78,Stern::N,αστέρι,ulloriaq
79,Luft::N,αέρας,silaannaq
80,Wind::N,αέρας,anori
81,Wind::N,αέρας,anorsarik
82,Wind::N,άνεμος,anori
83,Wind::N,άνεμος,anorsarik
84,Welle::N,κύμα,aalappaa
85,Wasser::N,νερό,imeq
86,Stein::N,πέτρα,ujarak
87,Boden::N,χώμα,nateq
88,Erde::N,γη,issoq
89,Staub::N,σκόνη,pujualanerit
90,Staub::N,σκόνη,pujoralanerit
91,Rauch::N,καπνός,iseq
92,Rauch::N,καπνός,pujoq
93,Funke::N,σπίθα,illoorneq
94,Funke::N,σπινθήρας,illoorneq
95,Feuer::N,φωτιά,inneq
96,Licht::N,φως,qaamaneq
97,Schatten::N,σκιά,tarraq
98,Schatten::N,ίσκιος,tarraq
99,Wetter::N,καιρός,sila
100,Nebel::N,ομίχλη,pujoq
101,Wolke::N,σύννεφο,nuia
102,Regen::N,βροχή,sialuk
103,Schnee::N,χιόνι,aput
104,Eis::N,πάγος,siku
105,Frost::N,παγωνία,issi
106,Frost::N,παγωνία,issik
107,Kälte::N,κρύο,issi
108,Kälte::N,ψύχος,issi
109,Hitze::N,ζέστη,kianneq
110,Hitze::N,ζέστη,kiassuseq
111,Raureif::N,πάχνη,kaneq
112,Regenbogen::N,ουράνιο τόξο,neriusaaq
113,Donner::N,βροντή,kalleq
114,Strömung::N,ρεύμα,
115,Tropfen::N,στάλα,kuseriarneq
116,Schaum::N,αφρός,qapuk
117,Schmutz::N,βρωμιά,minguk
118,See::N,λίμνη,taseq
119,Sumpf::N,βάλτος,maqulluk
120,Moor::N,έλος,
121,Wiese::N,λιβάδι,masarsuk
122,Wald::N,δάσος,
123,Hügel::N,λόφος,qattuneq
124,Hügel::N,λόφος,majuariaq
125,Hügel::N,λόφος,majorajaaq
126,Hügel::N,λόφος,qaqqannguaq
127,Anhöhe::N,ύψωμα,
128,Berg::N,όρος,qaqqaq
129,Berg::N,βουνό,qaqqaq
130,Gipfel::N,κορυφή,
131,Höhle::N,σπηλιά,qaarusuk
132,Abhang::N,πλαγιά,ippik
133,Abhang::N,πλαγιά,sivinganeq
134,Abhang::N,πλαγιά,sivingajaaq
135,Abhang::N,πλαγιά,kussangajaaq
136,Quelle::N,πηγή,
137,Quelle::N,βρύση,
138,Bach::N,ρυάκι,kuunnguaq
139,Fluss::N,ποτάμι,kuuk
140,Fluss::N,ποταμός,kuuk
141,Ufer::N,όχθη,sissap sinaa
142,Küste::N,ακτή,sineriak
143,Küste::N,ακρογιαλιά,sineriak
144,Festland::N,στεριά,
145,Meer::N,θάλασσα,imaq
146,Bucht::N,κόλπος,ikeq
147,Bucht::N,κόλπος,kangerluk
148,Bucht::N,κόλπος,kangerliumaneq
149,Insel::N,νησί,qeqertaq
150,Insel::N,νήσος,qeqertaq
151,Blume::N,άνθος,naasoq
152,Blume::N,λουλούδι,naasoq
153,Gras::N,χόρτο,ivigaq
154,Gras::N,χορτάρι,ivigaq
155,Wurzel::N,ρίζα,niulutaq
156,Baum::N,δέντρο,orpik
157,Stamm::N,κορμός,kanaartaq
158,Rinde::N,φλούδα,ameraq
159,Ast::N,κλαδί,avalequt
160,Zweig::N,κλαδί,avalequt
161,Zweig::N,κλάδος,avalequt
162,Blatt::N,φύλλο,pilutaq
163,Birke::N,σημύδα,patitsit
164,Kiefer[Baum]::N,πεύκο,
165,Weide[Baum]::N,ιτιά,palleq
166,Tanne::N,έλατο,orsuerneq
167,Horn::N,κέρας,nassuk
168,Horn::N,κέρατο,nassuk
169,Feder::N,φτερό,suluk
170,Fell::N,δέρμα,ameq
171,Fell::N,τομάρι,ameq
172,Flügel::N,πτερύγιο,suluk
173,Flügel::N,πτερύγιο,isaroq
174,Klaue::N,κουλό,kukik
175,Kralle::N,νύχι,kukik
176,Schwanz::N,ουρά,pamioq
