,Concept_ID,hr,it
0,Auge::N,oko,occhio
1,Ohr::N,uho,orecchio
2,Nase::N,nos,naso
3,Mund::N,usta,bocca
4,Zahn::N,zub,dente
5,Zunge::N,jezik,lingua
6,Lippe::N,usna,labbro
7,Wange::N,obraz,guancia
8,Gesicht::N,lice,viso
9,Gesicht::N,lice,faccia
10,Stirn::N,čelo,fronte
11,Haar::N,kosa,capello
12,Schnurrbart::N,brkovi,baffi
13,Schnurrbart::N,brkovi,mustacchi
14,Bart::N,brada,barba
15,Kinn::N,brada,mento
16,Kinn::N,podbradak,mento
17,Kiefer[Anatomie]::N,čeljust,mascella
18,Kehle::N,grlo,gola
19,Hals::N,vrat,collo
20,Genick::N,zatiljak,nuca
21,Kopf::N,glava,capo
22,Kopf::N,glava,testa
23,Rücken::N,leđa,dorso
24,Rücken::N,leđa,schiena
25,Rücken::N,hrbat,dorso
26,Rücken::N,hrbat,schiena
27,Bauch::N,trbuh,ventre
28,Nabel::N,pupak,ombelico
29,Busen::N,sisa,seno
30,Busen::N,njedra,seno
31,Brust::N,prsa,petto
32,Schulter::N,rame,spalla
33,Schulter::N,pleći,spalla
34,Arm::N,ruka,braccio
35,Ellenbogen::N,lakat,gomito
36,Hand::N,ruka,mano
37,Handfläche::N,dlan,palma
38,Finger::N,prst,dito
39,Fingernagel::N,nokat,unghia
40,Nagel[Anatomie]::N,nokat,unghia
41,Zeh::N,nozni prst,dito del piede
42,Fuß::N,noga,piede
43,Fuß::N,stopalo,piede
44,Ferse::N,peta,tallone
45,Ferse::N,peta,calcagno
46,Knie::N,koljeno,ginocchio
47,Oberschenkel::N,bedro,fèmore
48,Bein::N,noga,gamba
49,Körper::N,tijelo,corpo
50,Haut::N,put,pelle
51,Haut::N,koža,pelle
52,Blut::N,krv,sangue
53,Ader::N,žila,vena
54,Sehne::N,tetiva,tèndine
55,Knochen::N,kost,osso
56,Herz::N,srce,cuore
57,Magen::N,stomak,stòmaco
58,Magen::N,želudac,stòmaco
59,Leber::N,jetra,fegato
60,Atem::N,dah,fiato
61,Atem::N,dah,respiro
62,Hunger::N,glad,fame
63,Träne::N,suza,làcrima
64,Geschmack::N,ukus,gusto
65,Geschmack::N,ukus,sapore
66,Geruch::N,njuh,odore
67,Geruch::N,miris,odore
68,Schlaf::N,san,sonno
69,Traum::N,san,sogno
70,Himmel::N,nebo,cielo
71,Sonne::N,sunce,sole
72,Mond::N,mjesec,luna
73,Stern::N,zvijezda,stella
74,Luft::N,zrak,aria
75,Wind::N,vjetar,vento
76,Welle::N,val,onda
77,Welle::N,talas,onda
78,Wasser::N,voda,acqua
79,Stein::N,kamen,sasso
80,Stein::N,kamen,pietra
81,Boden::N,tlo,suolo
82,Boden::N,tlo,terreno
83,Boden::N,zemlja,suolo
84,Boden::N,zemlja,terreno
85,Erde::N,zemlja,terra
86,Staub::N,prah,polvere
87,Staub::N,prašina,polvere
88,Rauch::N,dim,fumo
89,Funke::N,iskra,scintilla
90,Funke::N,varnica,scintilla
91,Feuer::N,vatra,fuoco
92,Licht::N,svjetlo,luce
93,Schatten::N,hlad,ombra
94,Schatten::N,sjena,ombra
95,Wetter::N,vrijeme,tempo
96,Nebel::N,magla,nebbia
97,Wolke::N,oblak,nube
98,Wolke::N,oblak,nùvola
99,Regen::N,kiša,pioggia
100,Schnee::N,snijeg,neve
101,Eis::N,led,ghiaccio
102,Frost::N,mraz,gelo
103,Kälte::N,studen,freddo
104,Kälte::N,hladnoća,freddo
105,Hitze::N,vrućina,caldo
106,Hitze::N,vrućina,calura
107,Raureif::N,inje,brina
108,Regenbogen::N,duga,arcobaleno
109,Donner::N,grom,tuono
110,Donner::N,grmljavina,tuono
111,Strömung::N,struja,corrente
112,Strömung::N,strujanje,corrente
113,Tropfen::N,kap,goccia
114,Tropfen::N,kaplja,goccia
115,Schaum::N,pjena,spuma
116,Schaum::N,pjena,schiuma
117,Schmutz::N,nečistoća,sudiciume
118,Schmutz::N,prljavština,sudiciume
119,See::N,jezero,lago
120,Sumpf::N,bara,palude
121,Moor::N,močvara,torbiera
122,Wiese::N,livada,prato
123,Wald::N,šuma,bosco
124,Wald::N,šuma,foresta
125,Hügel::N,brijeg,colle
126,Hügel::N,brijeg,collina
127,Hügel::N,brežuljak,colle
128,Hügel::N,brežuljak,collina
129,Anhöhe::N,uzvišica,altura
130,Berg::N,brdo,monte
131,Berg::N,brdo,montagna
132,Gipfel::N,vrh,cima
133,Höhle::N,pećina,grotta
134,Höhle::N,pećina,caverna
135,Höhle::N,spilja,grotta
136,Höhle::N,spilja,caverna
137,Abhang::N,obronak,pendìo
138,Abhang::N,nizbrdica,pendìo
139,Quelle::N,izvor,sorgente
140,Quelle::N,vrelo,sorgente
141,Bach::N,potok,ruscello
142,Fluss::N,rijeka,fiume
143,Ufer::N,obala,riva
144,Küste::N,obala,costa
145,Küste::N,morska obala,costa
146,Festland::N,kopno,terraferma
147,Meer::N,more,mare
148,Bucht::N,zaliv,cala
149,Insel::N,ada,ìsola
150,Insel::N,otok,ìsola
151,Blume::N,cvijet,fiore
152,Gras::N,trava,erba
153,Wurzel::N,korijen,radice
154,Baum::N,drvo,àlbero
155,Baum::N,stablo,àlbero
156,Stamm::N,deblo,tronco
157,Stamm::N,stablo,tronco
158,Rinde::N,kora,corteccia
