,Concept_ID,kl,ab
0,Auge::N,isi,ала
1,Ohr::N,siut,алымҳа
2,Mund::N,paaq,аҧышə
3,Mund::N,qaneq,аҧышə
4,Zahn::N,kigut,ахаҧыц
5,Zunge::N,oqaq,абз
6,Lippe::N,qarloq,ақьышə
7,Wange::N,ersaq,аӡамҩа
8,Gesicht::N,kiinaq,аҿы
9,Stirn::N,qaaq,алахь
10,Haar::N,meqqoq,ахəыц
11,Bart::N,umik,ажакьа
12,Kinn::N,talloq,ацламкəыгə
13,Kiefer[Anatomie]::N,alleroq,ацламҳəа
14,Kehle::N,malaq,ахəда
15,Hals::N,qungaseq,ахəда
16,Genick::N,pukusuk,ахəдаџьал
17,Kopf::N,niaqoq,ахы
18,Rücken::N,qimerlut,азқəа
19,Bauch::N,naaq,амгəа
20,Nabel::N,qalaseq,аҷапан
21,Busen::N,iviangeq,агəыҧҳəы
22,Brust::N,iviangeq,агəышҧы
23,Schulter::N,ersik,ажəҩахыр
24,Schulter::N,assaqqoq,ажəҩахыр
25,Arm::N,taleq,амахəар
26,Ellenbogen::N,ikusik,амашьхəылҵ
27,Hand::N,assak,анапы
28,Handfläche::N,itumak,анапсаргəыҵа
29,Finger::N,inuak,анацəа
30,Fingernagel::N,kikiak,анапхыц
31,Nagel[Anatomie]::N,kukik,ашьапхыц
32,Zeh::N,isigak,ашьацəа
33,Ferse::N,kimmik,ашьхəа
34,Knie::N,seeqqoq,ашьамхы
35,Oberschenkel::N,uppat,ауаҭəа
36,Oberschenkel::N,quttoraq,ауаҭəа
37,Bein::N,isigak,ашьапы
38,Körper::N,timi,ацəеижь
39,Haut::N,mattak,ацəа
40,Blut::N,aak,ашьа
41,Ader::N,taqaq,ада
42,Sehne::N,ujalu,адаш
43,Sehne::N,ujaloq,адаш
44,Knochen::N,saanikut,абаҩ
45,Gehirn::N,qarasaq,ахшлыбаҩ
46,Gehirn::N,qarasaq,ахшыбаҩ
47,Herz::N,uummat,агəы
48,Magen::N,aqajaroq,аца
49,Magen::N,aqajaroq,ацар
50,Leber::N,tinguk,агəаҵəа
51,Atem::N,anerneq,аҧсыҧлагаҩгара
52,Hunger::N,kaanneq,амла
53,Träne::N,qia,алабжыш
54,Träne::N,qiak,алабжыш
55,Geschmack::N,qilanaartuut,агьама
56,Geruch::N,tipi,афҩы
57,Geruch::N,tipik,афҩы
58,Traum::N,sinnattoq,аҧхыӡ
59,Traum::N,sinnattugaq,аҧхыӡ
60,Himmel::N,qilak,ажəҩан
61,Sonne::N,seqineq,амра
62,Mond::N,qaammat,амза
63,Stern::N,ulloriaq,аеҵəа
64,Luft::N,silaannaq,аҳаир
65,Wind::N,anori,аҧша
66,Wind::N,anorsarik,аҧша
67,Welle::N,aalappaa,ацəқəырҧа
68,Wasser::N,imeq,аӡы
69,Stein::N,ujarak,ахаҳə
70,Boden::N,nateq,адгьыл
71,Erde::N,issoq,адгьыл
72,Staub::N,pujualanerit,асаба
73,Staub::N,pujoralanerit,асаба
74,Rauch::N,iseq,алҩа
75,Rauch::N,pujoq,алҩа
76,Funke::N,illoorneq,акəиц
77,Funke::N,illoorneq,ацҧхь
78,Feuer::N,inneq,амца
79,Licht::N,qaamaneq,алашара
80,Schatten::N,tarraq,ашəшьыра
81,Wetter::N,sila,амш
82,Nebel::N,pujoq,анаҟəа
83,Wolke::N,nuia,аҧсҭҳəа
84,Regen::N,sialuk,ақəа
85,Schnee::N,aput,асы
86,Eis::N,siku,аҵаа
87,Frost::N,issi,аҵаа
88,Frost::N,issik,аҵаа
89,Kälte::N,issi,ахьҭа
90,Hitze::N,kianneq,ашоура
91,Hitze::N,kiassuseq,ашоура
92,Raureif::N,kaneq,аҵааҧшқа
93,Regenbogen::N,neriusaaq,ацəаҟəа
94,Donner::N,kalleq,адыд
95,Tropfen::N,kuseriarneq,ацəыкəбар
96,Schaum::N,qapuk,ашəах
97,Schmutz::N,minguk,алымт
98,See::N,taseq,аӡиа
99,Sumpf::N,maqulluk,аӡмах
100,Wiese::N,masarsuk,адəы
101,Hügel::N,qattuneq,ахəы
102,Hügel::N,majuariaq,ахəы
103,Hügel::N,majorajaaq,ахəы
104,Hügel::N,qaqqannguaq,ахəы
105,Berg::N,qaqqaq,ашьха
106,Höhle::N,qaarusuk,аҳаҧы
107,Abhang::N,ippik,анаара
108,Abhang::N,sivinganeq,анаара
109,Abhang::N,sivingajaaq,анаара
110,Abhang::N,kussangajaaq,анаара
111,Bach::N,kuunnguaq,акəараҷҷа
112,Fluss::N,kuuk,аӡиас
113,Ufer::N,sissap sinaa,ахықə
114,Küste::N,sineriak,ахықə
115,Meer::N,imaq,амшын
116,Bucht::N,ikeq,аӡбжьахала
117,Bucht::N,kangerluk,аӡбжьахала
118,Bucht::N,kangerliumaneq,аӡбжьахала
119,Insel::N,qeqertaq,адгьылбжьаха
120,Blume::N,naasoq,ашəҭ
121,Gras::N,ivigaq,аҳасакьын
122,Wurzel::N,niulutaq,адац
123,Baum::N,orpik,аҵла
124,Stamm::N,kanaartaq,ашьапы
125,Rinde::N,ameraq,ацəа
126,Ast::N,avalequt,амахə
127,Ast::N,avalequt,амахəҭа
128,Zweig::N,avalequt,амахə
129,Zweig::N,avalequt,амахəҭа
130,Blatt::N,pilutaq,абҕьы
131,Birke::N,patitsit,аҵааҵла
132,Weide[Baum]::N,palleq,аҧслыш
133,Tanne::N,orsuerneq,аҧсаӡ
134,Horn::N,nassuk,атəыҩа
135,Feder::N,suluk,ахӡы
136,Fell::N,ameq,ацəа
137,Flügel::N,suluk,амҵəыжəа
138,Flügel::N,isaroq,амҵəыжəа
139,Klaue::N,kukik,ашьапхыц
140,Kralle::N,kukik,
141,Schwanz::N,pamioq,аҵыхəа
142,Schwanz::N,paperuusaq,аҵыхəа
143,Ei::N,mannik,акəтаӷь
144,Nest::N,ullut,аҭра
145,Nest::N,ullut,аҵысҭра
146,Bau::N,ini,аҭыҩра
147,Tier::N,uumasoq,аҧстəы
148,Tier::N,uumasoq,агыгшəыг
149,Herde::N,unguukkat,агəарҭа
150,Kuh::N,ussik,ажə
151,Bulle::N,angukulak,ацə
152,Bulle::N,anguteralak,ацə
153,Bulle::N,angutikulooq,ацə
154,Schaf::N,sava,ауаса
155,Schwein::N,puuluki,аҳəа
156,Hund::N,qimmeq,ала
157,Katze::N,puisaaq,ацгəы
158,Bär::N,allaq,амшə
159,Eichhörnchen::N,sissinnguaq,аеш
160,Fuchs::N,terianniaq,абгахəыҷы
161,Hase::N,ukaleq,ажьа
162,Maus::N,teriannguaq,аҳəынаҧ
163,Wolf::N,amaroq,абгаду
164,Vogel::N,timmiaq,аҧсаатə
165,Huhn::N,kukkukooq,акəты
166,Huhn::N,marloraaqaaq,акəты
167,Hahn::N,kiasiusaq,арбаҕь
168,Gans::N,nerleq,аҟыз
169,Adler::N,nattoralik,ауарба
170,Eule::N,uppik,аты
171,Kranich::N,qorlorfik,апҟа
172,Krähe::N,tuluatsiaq,аҟəараан
173,Kuckuck::N,kukkooq,акəыкəу
174,Schwan::N,qussuk,агьад
175,Fisch::N,aalisagaq,аҧсыӡ
176,Schlange[Tier]::N,pulateriarsuk,амаҭ
177,Schlange[Tier]::N,pulateriaarsuk,амаҭ
178,Spinne::N,aasiaq,абызкаҭаҳа
179,Spinne::N,nissavaarsuk,абызкаҭаҳа
180,Ameise::N,uniaaluk,ашышкамс
181,Laus::N,kumak,аҵа
182,Mücke::N,ippernaq,акəыбры
183,Fliege::N,ippernaq,амҵ
