,Concept_ID,kn,be
0,Auge::N,ಕಣ್ಣು,вока
1,Ohr::N,ಕಿವಿ,вуха
2,Nase::N,ಮೂಗು,нос
3,Mund::N,ಬಾಯಿ,рот
4,Zahn::N,ಹಲ್ಲು,зуб
5,Zunge::N,ನಾಲಿಗೆ,язык
6,Lippe::N,ತುಟಿ,губа
7,Wange::N,ಗಲ್ಲ,шчака
8,Gesicht::N,ಮುಖ,твар
9,Stirn::N,ಹಣೆ,лоб
10,Haar::N,ಕೂದಲು,волас
11,Haar::N,ಕೂದಲು,валасы
12,Schnurrbart::N,ಮೀಸೆ,вус
13,Schnurrbart::N,ಮೀಸೆ,вусы
14,Bart::N,ಗಡ್ಡ,барада
15,Kinn::N,ಗದ್ದ,падбародак
16,Kiefer[Anatomie]::N,ದವಡೆ,сківіца
17,Kehle::N,ಗಂಟಲು,горла
18,Hals::N,ಕೊರಳು,шыя
19,Genick::N,ಹಿಂಗತ್ತು,патыліца
20,Kopf::N,ತಲೆ,галава
21,Rücken::N,ಬೆನ್ನು,спіна
22,Bauch::N,ಹೊಟ್ಟೆ,жывот
23,Nabel::N,ಹೊಕ್ಕುಳು,пупок
24,Busen::N,ಸ್ತನ,грудзі
25,Brust::N,ಎದೆ,грудзі
26,Schulter::N,ಭುಜ,плячо
27,Arm::N,ತೋಳು,рука
28,Ellenbogen::N,ಮೊಣಕೈ,локаць
29,Hand::N,ಕೈ,кісць
30,Handfläche::N,ಅಂಗೈ,далонь
31,Finger::N,ಕೈಬೆರಳು,палец
32,Fingernagel::N,ಉಗುರು,ногаць
33,Nagel[Anatomie]::N,ಉಗುರು,ногаць
34,Zeh::N,ಕಾಲ್ಬೆರಳು,палец
35,Fuß::N,ಪಾದ,нага
36,Ferse::N,ಹಿಮ್ಮಡಿ,пята
37,Ferse::N,ಹಿಮ್ಮಡಿ,пятка
38,Knie::N,ಮಂಡಿ,калена
39,Oberschenkel::N,ತೊಡೆ,бядро
40,Oberschenkel::N,ತೊಡೆ,сцягно
41,Bein::N,ಕಾಲು,нага
42,Körper::N,ದೇಹ,цела
43,Haut::N,ಚರ್ಮ,скура
44,Blut::N,ರಕ್ತ,кроў
45,Ader::N,ನರ,вена
46,Ader::N,ನರ,сасуд
47,Sehne::N,ನರ,жыла
48,Sehne::N,ನರ,цеціва
49,Sehne::N,ನರ,сухажылле
50,Knochen::N,ಮೂಳೆ,косць
51,Gehirn::N,ಮಿದುಳು,мозг
52,Herz::N,ಹೃದಯ,сэрца
