,Concept_ID,kn,mn
0,Auge::N,ಕಣ್ಣು,нүд
1,Ohr::N,ಕಿವಿ,чих
2,Nase::N,ಮೂಗು,хамар
3,Mund::N,ಬಾಯಿ,ам
4,Zahn::N,ಹಲ್ಲು,шүд
5,Zunge::N,ನಾಲಿಗೆ,хэл
6,Lippe::N,ತುಟಿ,уруул
7,Wange::N,ಗಲ್ಲ,хацар
8,Gesicht::N,ಮುಖ,царай
9,Gesicht::N,ಮುಖ,нүүр
10,Stirn::N,ಹಣೆ,дух
11,Haar::N,ಕೂದಲು,үс
12,Schnurrbart::N,ಮೀಸೆ,дээд сахал
13,Schnurrbart::N,ಮೀಸೆ,живэр сахал
14,Bart::N,ಗಡ್ಡ,сахал
15,Kinn::N,ಗದ್ದ,эрүү
16,Kiefer[Anatomie]::N,ದವಡೆ,эрүү
17,Kehle::N,ಗಂಟಲು,хоолой
18,Hals::N,ಕೊರಳು,хүзүү
19,Genick::N,ಹಿಂಗತ್ತು,шил
20,Genick::N,ಹಿಂಗತ್ತು,хүзүү
21,Kopf::N,ತಲೆ,толгой
22,Rücken::N,ಬೆನ್ನು,ар
23,Rücken::N,ಬೆನ್ನು,нуруу
24,Bauch::N,ಹೊಟ್ಟೆ,хэвлий
25,Bauch::N,ಹೊಟ್ಟೆ,гэдэс
26,Nabel::N,ಹೊಕ್ಕುಳು,хүйс
27,Busen::N,ಸ್ತನ,хөх
28,Brust::N,ಎದೆ,цээж
29,Schulter::N,ಭುಜ,мөр
30,Schulter::N,ಭುಜ,бугалга
31,Arm::N,ತೋಳು,гар
32,Ellenbogen::N,ಮೊಣಕೈ,тохой
33,Hand::N,ಕೈ,гар
34,Hand::N,ಕೈ,алга
35,Handfläche::N,ಅಂಗೈ,алга
36,Finger::N,ಕೈಬೆರಳು,хуруу
37,Fingernagel::N,ಉಗುರು,хурууны хумс
38,Nagel[Anatomie]::N,ಉಗುರು,хумс
39,Zeh::N,ಕಾಲ್ಬೆರಳು,хуруу
40,Fuß::N,ಪಾದ,хөл
41,Ferse::N,ಹಿಮ್ಮಡಿ,өсгий
42,Knie::N,ಮಂಡಿ,өвдөг
43,Oberschenkel::N,ತೊಡೆ,гуя
44,Bein::N,ಕಾಲು,хөл
45,Körper::N,ದೇಹ,бие
46,Haut::N,ಚರ್ಮ,арьс
47,Blut::N,ರಕ್ತ,цус
48,Ader::N,ನರ,судас
49,Sehne::N,ನರ,бүлх
50,Sehne::N,ನರ,шандас
51,Knochen::N,ಮೂಳೆ,яс
52,Gehirn::N,ಮಿದುಳು,тархи
53,Herz::N,ಹೃದಯ,зүрх
54,Magen::N,ಉದರ,ходоод
55,Leber::N,ಯಕೃತ್ತು,элэг
56,Atem::N,ಉಸಿರು,амьсгаа
57,Hunger::N,ಹಸಿವು,өлсгөлөн
58,Träne::N,ಕಣ್ಣೀರು,нулимс
59,Geschmack::N,ರುಚಿ,амт
60,Geruch::N,ವಾಸನೆ,үнэр
61,Schlaf::N,ನಿದ್ರೆ,нойр
62,Traum::N,ಕನಸು,зүүд
63,Himmel::N,ಬಾನು,тэнгэр
64,Himmel::N,ಬಾನು,огторгуй
65,Sonne::N,ಸೂರ್ಯ,нар
66,Mond::N,ಚಂದ್ರ,сар
67,Stern::N,ಚುಕ್ಕಿ,од
68,Luft::N,ವಾಯು,агаар
69,Wind::N,ಗಾಳಿ,салхи
70,Welle::N,ಅಲೆ,долгио
71,Welle::N,ಅಲೆ,давалгаа
72,Wasser::N,ನೀರು,ус
73,Stein::N,ಕಲ್ಲು,чулуу
74,Boden::N,ನೆಲ,хөрс
75,Erde::N,ಭೂಮಿ,газар
76,Erde::N,ಭೂಮಿ,шороо
77,Staub::N,ದೂಳು,тоос
78,Rauch::N,ಹೊಗೆ,утаа
79,Funke::N,ಕಿಡಿ,оч
80,Feuer::N,ಬೆಂಕಿ,гал
81,Licht::N,ಬೆಳಕು,гэрэл
82,Licht::N,ಬೆಳಕು,гэгээ
83,Schatten::N,ನೆರಳು,сүүдэр
84,Wetter::N,ಹವ,тэнгэр
85,Wetter::N,ಹವ,цаг уур
86,Nebel::N,ಮಂಜು,будан
87,Wolke::N,ಮೋಡ,үүл
88,Regen::N,ಮಳೆ,бороо
89,Schnee::N,ಹಿಮ,цас
90,Eis::N,ಮಂಜುಗಡ್ಡೆ,мөс
91,Frost::N,ಮಂಜು,хүйт
92,Kälte::N,ಹಿಮ,хүйт
93,Hitze::N,ಉಷ್ಣ,халуун
94,Raureif::N,ಇಬ್ಬನಿ,цан
95,Raureif::N,ಇಬ್ಬನಿ,хяруу
96,Regenbogen::N,ಇಂದ್ರಚಾಪ,солонго
97,Donner::N,ಗುಡುಗು,тэнгэрийн дуу
98,Strömung::N,ಪ್ರವಾಹ,урсгал
99,Tropfen::N,ತೊಟ್ಟು,дусал
100,Schaum::N,ನೊರೆ,хөөс
101,Schmutz::N,ಕಸ,хир
102,Schmutz::N,ಕಸ,шавхай
103,See::N,ಸರೋವರ,нуур
104,Sumpf::N,ಜೌಗುಸ್ಥಳ,намаг
105,Sumpf::N,ಜೌಗುಸ್ಥಳ,балчиг
106,Moor::N,ಬಂಜರು ಭೂಮಿ,хүлрийн намаг
107,Wiese::N,ಹುಲ್ಲುಗಾವಲು,нуга
108,Wald::N,ಕಾಡು,ой
109,Hügel::N,ಗುಡ್ಡೆ,болдог
110,Anhöhe::N,ದಿಬ್ಬ,гүвээ
111,Berg::N,ಮಲೆ,уул
112,Berg::N,ಪರ್ವತ,уул
113,Gipfel::N,ಶೃಂಗ,орой
114,Gipfel::N,ಶೃಂಗ,оргил
115,Höhle::N,ಗುಹೆ,агуй
116,Abhang::N,ಇಳಿಜಾರು,хүр
117,Quelle::N,ಮೂಲ,булаг
118,Bach::N,ತೊರೆ,горхи
119,Fluss::N,ನದಿ,гол
120,Fluss::N,ನದಿ,мөрөн
121,Ufer::N,ತೀರ,эрэг
122,Küste::N,ದಂಡೆ,эрэг
123,Festland::N,ಭೂಮಿ,хуурай газар
124,Meer::N,ಕಡಲು,далай
125,Meer::N,ಕಡಲು,тэнгис
126,Bucht::N,ಖಾರಿ,булан
127,Bucht::N,ಖಾರಿ,далайн тохой
128,Insel::N,ದ್ವೀಪ,арал
129,Blume::N,ಸುಮ,цэцэг
130,Gras::N,ಹುಲ್ಲು,өвс
131,Gras::N,ಹುಲ್ಲು,ногоо
132,Wurzel::N,ಬೇರು,үндэс
133,Baum::N,ಮರ,мод
134,Stamm::N,ಕಾಂಡ,иш
135,Stamm::N,ಕಾಂಡ,гуалин
136,Rinde::N,ತೂಗಟಿ,холтос
137,Ast::N,ಶಾಖೆ,гишүү
138,Zweig::N,ರೆಂಬೆ,салаа
139,Blatt::N,ಎಲೆ,навч
140,Birke::N,ಬರ್ಚ್ ಮರ,хус
141,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,нарс
142,Weide[Baum]::N,ವಿಲೋಮರ,уд
143,Weide[Baum]::N,ವಿಲೋಮರ,бургас
144,Tanne::N,ಭದ್ರದಾರು,гачуур
145,Horn::N,ಕೊಂಬು,эвэр
146,Feder::N,ಪುಕ್ಕ,өд
147,Fell::N,ರೋಮ,арьс
148,Flügel::N,ರೆಕ್ಕೆ,жигүүр
149,Flügel::N,ರೆಕ್ಕೆ,далавч
150,Klaue::N,ಪಂಜ,савар
151,Klaue::N,ಪಂಜ,хумс
152,Kralle::N,ಉಗುರು,савар
153,Schwanz::N,ಬಾಲ,сүүл
154,Ei::N,ಮೊಟ್ಟೆ,өндөг
155,Nest::N,ಗೂಡು,үүр
156,Bau::N,ಅಡಗುದಾಣ,нүх
157,Bau::N,ಅಡಗುದಾಣ,элүү
158,Tier::N,ಪ್ರಾಣಿ,амьтан
159,Tier::N,ಪ್ರಾಣಿ,адгуус
160,Herde::N,ಗುಂಪು,сүрэг
161,Kuh::N,ಹಸು,үнээ
162,Bulle::N,ಗೂಳಿ,бух
163,Pferd::N,ಕುದುರೆ,морь
164,Pferd::N,ಕುದುರೆ,адуу
165,Schaf::N,ಕುರಿ,хонь
166,Schwein::N,ಹಂದಿ,гахай
167,Hund::N,ನಾಯಿ,нохой
168,Katze::N,ಬೆಕ್ಕು,муур
169,Katze::N,ಬೆಕ್ಕು,мигуй
170,Bär::N,ಕರಡಿ,баавгай
171,Eichhörnchen::N,ಉಡುತೆ,хэрэм
172,Elch::N,ಕಡವೆ,хандгай
173,Fuchs::N,ನರಿ,үнэг
174,Hase::N,ಮೊಲ,туулай
175,Maus::N,ಇಲಿ,хулгана
176,Wolf::N,ತೋಳ,чоно
177,Vogel::N,ಪಕ್ಷಿ,шувуу
178,Schwarm::N,ಗುಂಪು,сүрэг
179,Huhn::N,ಚಿಕ್,тахиа
180,Hahn::N,ಹುಂಜ,эр тахиа
181,Gans::N,ವರಟೆ,галуу
182,Adler::N,ಗರುಡ,бүргэд
183,Ente::N,ಬಾತು,нугас
184,Eule::N,ಗೂಬೆ,ууль
185,Kranich::N,ಕೊಕ್ಕರ,тогоруу
186,Krähe::N,ಕಾಗೆ,хэрээ
187,Kuckuck::N,ಕೋಗಿಲೆ,хөхөө
188,Schwan::N,ಹಂಸಪಕ್ಷಿ,хун
189,Fisch::N,ಮೀನು,загас
190,Barsch::N,ಪರ್ಚ್ ಮೀನು,алгана
191,Hecht::N,ಪೈಕ್ ಮೀನು,цурхай
192,Schlange[Tier]::N,ಹಾವು,могой
193,Wurm::N,ಹುಳು,өт
194,Wurm::N,ಹುಳು,хорхой
195,Spinne::N,ಊರ್ಣನಾಭ,аалз
196,Ameise::N,ಇರುವೆ,шоргоолж
197,Laus::N,ಹೇನು,бөөс
198,Mücke::N,ಸೊಳ್ಳೆ,шумуул
199,Fliege::N,ನೊಣ,ялаа
200,Schmetterling::N,ಪತಂಗ,эрвээхэй
201,Beere::N,ನಯವಣ್ಣು,жимсгэнэ
202,Apfel::N,ಸೇಬು,алим
203,Pilz::N,ಅಣಬೆ,мөөг
204,Zwiebel::N,ನೀರುಳ್ಳಿ,сонгино
205,Saat::N,ಬಿತ್ತ,тариа
206,Korn::N,ಬೀಜ,үр
207,Korn::N,ಬೀಜ,мөхлөг
208,Heu::N,ಕರಡ,өвс
209,Schale::N,ಹೊಟ್ಟು,хальс
210,Grube::N,ಗುಂಡಿ,алам
211,Grube::N,ಗುಂಡಿ,нүх
212,Falle::N,ಬೋನು,хавх
213,Falle::N,ಬೋನು,занга
214,Schlinge::N,ಉರುಲು,урхи
215,Spur::N,ಜಾಡು,мөр
216,Asche::N,ಬೂದಿ,үнс
217,Dreck::N,ಹೊಲಸು,хир
218,Eisen::N,ಕಬ್ಬಿಣ,төмөр
219,Gold::N,ಚಿನ್ನ,алт
220,Silber::N,ಬೆಳ್ಳಿ,мөнгө
221,Kohle::N,ಕಲ್ಲಿದ್ದಲು,нүүрс
222,Glas::N,ಗಾಜು,шил
223,Lehm::N,ಜೇಡಿಮಣ್ಣು,шавар
224,Sand::N,ಮರಳು,элс
225,Mensch::N,ಪುರುಷ,хүн
226,Mann::N,ಆಳು,эр
227,Mann::N,ಆಳು,эрэгтэй
228,Frau::N,ಹೆಣ್ಣು,эмэгтэй
229,Frau::N,ಹೆಣ್ಣು,хатагтай
230,Kind::N,ಮಗು,хүүхэд
231,Junge::N,ಹುಡುಗ,хүү
232,Mädchen::N,ಹುಡುಗಿ,охин
233,Mädchen::N,ಹುಡುಗಿ,бүсгүй
234,Familie::N,ಕುಟುಂಬ,айл
235,Großvater::N,ಅಜ್ಜ,өвгөн аав
236,Großmutter::N,ಅಮ್ಮ,эмэг эх
237,Großmutter::N,ಅಮ್ಮ,эмгээ
238,Eltern::N,ಹೆತ್ತವರು,эцэг эх
239,Vater::N,ತಂದೆ,аав
240,Vater::N,ತಂದೆ,эцэг
241,Mutter::N,ಅಮ್ಮ,эх
242,Mutter::N,ಅಮ್ಮ,ээж
243,Sohn::N,ಮಗ ,хүү
244,Tochter::N,ಮಗಳು,охин
245,Bruder::N,ತಮ್ಮ,ах
246,Bruder::N,ತಮ್ಮ,дүү
247,Schwester::N,ತಂಗಿ,эгч
248,Schwester::N,ತಂಗಿ,охин дүү
249,Onkel::N,ಸೋದರಮಾವ,авга ах
250,Onkel::N,ಸೋದರಮಾವ,нагац ах
251,Onkel::N,ದೊಡ್ಡಪ್ಪ,авга ах
252,Onkel::N,ದೊಡ್ಡಪ್ಪ,нагац ах
253,Tante::N,ಚಿಕ್ಕಮ್ಮ,авга эгч
254,Tante::N,ಚಿಕ್ಕಮ್ಮ,нагац эгч
255,Ehemann::N,ಗಂಡ,нөхөр
256,Ehefrau::N,ಹೆಂಡತಿ,эхнэр
257,Ehefrau::N,ಹೆಂಡತಿ,гэргий
258,Freude::N,ನಲಿವು,баяр
259,Freude::N,ನಲಿವು,баясгалан
260,Gelächter::N,ನಗೆ,инээдэм
261,Glück::N,ಆನಂದ,жаргалан
262,Kummer::N,ದುಃಖ,гаслан
263,Wunsch::N,ಬಯಕೆ,ерөөл
264,Lust::N,ಇಷ್ಟ,дур
265,Lust::N,ಇಷ್ಟ,хүсэл
266,Geist::N,ಆತ್ಮ,оюун
267,Gedanke::N,ಯೋಚನೆ,сэтгэл
268,Gedächtnis::N,ಸ್ಮರಣೆ,ой
269,Gedächtnis::N,ಸ್ಮರಣೆ,цээж
270,Verstand::N,ಮನಸ್ಸು,ухаан
271,Sinn::N,ಅರ್ಥ,утга
272,Grund::N,ಕಾರಣ,учир
273,Wahrheit::N,ಸತ್ಯ,үнэн
274,Gespräch::N,ಸಂಭಾಷಣೆ,яриа
275,Märchen::N,ಸುಳ್ಳು ಕಥೆ,явган үлгэр
276,Erzählung::N,ಕಥೆ,тууж
277,Nachricht::N,ಸಂದೇಶ,мэдээ
278,Neuigkeit::N,ಸುದ್ದಿ,сонин
279,Name::N,ಹೆಸರು,нэр
280,Rätsel::N,ಒಗಟು,оньсого
281,Rede::N,ಮಾತು,хэлсэн үг
282,Sprache::N,ಭಾಷೆ,хэл
283,Stimme::N,ಧ್ವನಿ,дуу
284,Wort::N,ಮಾತು,үг
285,Zeichen::N,ಗುರುತು,тамга
286,Zeichen::N,ಗುರುತು,тэмдэг
287,Ruf::N,ಕೂಗು,дуудлага
288,Lärm::N,ಸದ್ದು,шуугиан
289,Lärm::N,ಸದ್ದು,чимээ
290,Laut::N,ಶಬ್ದ,анир
291,Laut::N,ಶಬ್ದ,дуу
292,Ton::N,ನಾದ,авиа
293,Ton::N,ನಾದ,аялгуу
294,Lied::N,ಗಾನ,дуу
295,Ruhe::N,ಶಾಂತಿ,энх
296,Ruhe::N,ಶಾಂತಿ,тайван
297,Leute::N,ಮಂದಿ,хүмүүс
298,Volk::N,ಜನಾಂಗ,улс
299,Arbeit::N,ಕೆಲಸ,ажил
300,Arbeit::N,ಕೆಲಸ,хөдөлмөр
301,Gast::N,ಅತಿಥಿ,зочин
302,Gast::N,ಅತಿಥಿ,айлчин
303,Geschenk::N,ಕಾಣಿಕೆ,бэлэг
304,Spiel::N,ಆಟ,наадам
305,Spiel::N,ಆಟ,тоглоом
306,Gesellschaft::N,ಸಂಗ,хамт байх
307,Hilfe::N,ಸಹಾಯ,тусламж
308,Freund::N,ಸ್ನೇಹಿತ,найз
309,Freund::N,ಸ್ನೇಹಿತ,нөхөр
310,Kamerad::N,ಜೊತೆಗಾರ,хань
311,Kamerad::N,ಜೊತೆಗಾರ,нөхөр
312,Angelegenheit::N,ವಿಚಾರ,хэрэг
313,Anzahl::N,ಎಣಿಕೆ,тоо
314,Art::N,ತರ,төрөл
315,Art::N,ತರ,янз
316,Stück::N,ತುಂಡು,хэсэг
317,Teil::N,ಭಾಗ,хувь
318,Teil::N,ಭಾಗ,хэсэг
319,Hälfte::N,ಅರ್ಧ,хагас
320,Kreis::N,ವೃತ್ತ,тойрог
321,Kreis::N,ವೃತ್ತ,хүрээ
322,Kreuz::N,ಶಿಲುಬೆ,загалмай
323,Linie::N,ರೀಖೆ,шугам
324,Strich::N,ಗೀಟು,зураас
325,Abstand::N,ಅಂತರ,зай
326,Entfernung::N,ದೂರ,зай
327,Entfernung::N,ದೂರ,хол ойр
328,Gegend::N,ವಿಸ್ತೀರ್ಣ,хавь
329,Gegend::N,ವಿಸ್ತೀರ್ಣ,газар
330,Platz::N,ಅಂತರ,зай
331,Platz::N,ಅಂತರ,завсар
332,Ort::N,ಸ್ಥಳ,газар
333,Ort::N,ಸ್ಥಳ,байр
334,Seite::N,ಪಕ್ಷ,тал
335,Seite::N,ಪಕ್ಷ,этгээд
336,Mitte::N,ನಡು,төв
337,Mitte::N,ನಡು,дунд
338,Gegenstand::N,ವಸ್ತು,юм
339,Sache::N,ವಸ್ತು,үйл
340,Sache::N,ವಸ್ತು,хэрэг
341,Rand::N,ಅಂಚು,зах
342,Rand::N,ಅಂಚು,хөвөө
343,Kante::N,ಅಂಚು,ирмэг
344,Ecke::N,ಮೂಲೆ,өнцөг
345,Spitze::N,ತುದಿ,үзүүр
346,Ende::N,ಕೊನೆ,зах
347,Ende::N,ಕೊನೆ,үзүүр
348,Loch::N,ತೂತು,цоорхой
349,Loch::N,ತೂತು,онгорхой
350,Winkel::N,ಕೋನ,өнцөг
351,Muster::N,ನಮೂನೆ,хээ
352,Muster::N,ನಮೂನೆ,угалз
353,Größe::N,ಪ್ರಮಾಣ,хэмжээ
354,Länge::N,ಉದ್ದ,урт
355,Höhe::N,ಎತ್ತರ,өндөр
356,Gewicht::N,ತೂಕ,жин
357,Menge::N,ಮೊತ್ತ,тоо
358,Haufen::N,ರಾಶಿ,бөөн
359,Reihe::N,ಸಾಲು,эгнээ
360,Boot::N,ದೋಣಿ,завь
361,Ruder::N,ಹುಟ್ಟು,сэлүүр
362,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,чарга
363,Ski::N,ಜಾರುಪಟ್ಟಿ,цана
364,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,түүдэг
365,Last::N,ಹೊರೆ,ачаа
366,Gang::N,ತಿರುಗಾಟ,явдал
367,Schritt::N,ಹೆಜ್ಜೆ,алхам
368,Norden::N,ಉತ್ತರ,умар
369,Süden::N,ದಕ್ಷಿಣ,урд
370,Süden::N,ದಕ್ಷಿಣ,өмнө
371,Westen::N,ಪಶ್ಚಿಮ,өрнө
372,Westen::N,ಪಶ್ಚಿಮ,баруун
373,Osten::N,ಮೂಡಲು,зүүн
374,Osten::N,ಮೂಡಲು,дорно
375,Holz::N,ಚೌಬೀನೆ,мод
376,Brett::N,ಹಲಗೆ,банз
377,Platte::N,ಹಲಗೆ,хавтан
378,Stütze::N,ಆಸರೆ,тулгуур
379,Stütze::N,ಆಸರೆ,тулга
