,Concept_ID,no,ro
0,Auge::N,øye,ochi
1,Ohr::N,øre,ureche
2,Nase::N,nese,nas
3,Mund::N,munn,gură
4,Zahn::N,tann,dinte
5,Zunge::N,tunge,limbă
6,Lippe::N,leppe,buză
7,Wange::N,kinn,bucă
8,Wange::N,kinn,obraz
9,Gesicht::N,fjes,față
10,Gesicht::N,fjes,figură
11,Gesicht::N,ansikt,față
12,Gesicht::N,ansikt,figură
13,Stirn::N,panne,frunte
14,Haar::N,hår,păr
15,Schnurrbart::N,bart,mustață
16,Bart::N,skjegg,barbă
17,Kinn::N,hake,bărbie
18,Kiefer[Anatomie]::N,kjeve,falcă
19,Kehle::N,strupe,beregată
20,Hals::N,hals,gât
21,Genick::N,nakke,ceafă
22,Kopf::N,hode,cap
23,Rücken::N,rygg,dos
24,Rücken::N,rygg,spate
25,Rücken::N,rygg,spinare
26,Bauch::N,buk,burtă
27,Bauch::N,buk,pântece
28,Bauch::N,mage,burtă
29,Bauch::N,mage,pântece
30,Nabel::N,navle,buric
31,Busen::N,barm,sân
32,Brust::N,bryst,piept
33,Schulter::N,skulder,umăr
34,Schulter::N,skulder,spate
35,Arm::N,arm,braț
36,Ellenbogen::N,albue,cot
37,Hand::N,hånd,mână
38,Handfläche::N,håndflate,palmă
39,Finger::N,finger,deget
40,Fingernagel::N,fingernegl,unghie
41,Nagel[Anatomie]::N,negl,unghie
42,Zeh::N,tå,deget de la picior
43,Fuß::N,fot,picior
44,Ferse::N,hæl,călcâi
45,Knie::N,kne,genunchi
46,Oberschenkel::N,lår,coapsă
47,Bein::N,bein,picior
48,Körper::N,kropp,corp
49,Körper::N,legeme,corp
50,Haut::N,hud,piele
51,Haut::N,skinn,piele
52,Blut::N,blod,sânge
53,Ader::N,åre,vână
54,Ader::N,åre,arteră
55,Sehne::N,sene,tendon
56,Knochen::N,bein,os
57,Knochen::N,knokkel,os
58,Gehirn::N,hjerne,creier
59,Herz::N,hjerte,inimă
60,Magen::N,mage,stomac
61,Leber::N,lever,ficat
62,Atem::N,pust,răsuflare
63,Atem::N,pust,respirație
64,Hunger::N,sult,foame
65,Träne::N,tåre,lacrimă
66,Geschmack::N,smak,gust
67,Geruch::N,lukt,miros
68,Schlaf::N,søvn,somn
69,Traum::N,drøm,vis
70,Himmel::N,himmel,cer
71,Sonne::N,sol,soare
72,Mond::N,måne,lună
73,Stern::N,stjerne,stea
74,Luft::N,luft,aer
75,Wind::N,vind,vânt
76,Welle::N,bølge,val
77,Welle::N,bølge,undă
78,Wasser::N,vann,apă
79,Stein::N,stein,piatră
80,Boden::N,bakke,sol
81,Boden::N,bakke,pământ
82,Erde::N,jord,pământ
83,Staub::N,støv,praf
84,Rauch::N,røyk,fum
85,Funke::N,gnist,scânteie
86,Feuer::N,ild,foc
87,Licht::N,lys,lumină
88,Schatten::N,skygge,umbră
89,Wetter::N,vær,timp
90,Wetter::N,vær,vreme
91,Nebel::N,tåke,ceață
92,Nebel::N,tåke,negură
93,Wolke::N,sky,nor
94,Regen::N,regn,ploaie
95,Schnee::N,snø,zăpadă
96,Eis::N,is,gheață
97,Frost::N,frost,ger
98,Kälte::N,kulde,frig
99,Hitze::N,hete,arșiță
100,Hitze::N,hete,căldură
101,Raureif::N,rimfrost,chiciură
102,Regenbogen::N,regnbue,curcubeu
103,Donner::N,torden,tunet
104,Strömung::N,strømning,curent
105,Tropfen::N,dråpe,picătură
106,Schaum::N,skum,spumă
107,Schmutz::N,søl,murdărie
108,Schmutz::N,skitt,murdărie
109,See::N,sjø,lac
110,Sumpf::N,sump,mlaștină
111,Sumpf::N,myrlende,mlaștină
112,Moor::N,myr,bărăgan
113,Moor::N,myrhei,bărăgan
114,Wiese::N,eng,fânaț
115,Wiese::N,eng,livadă
116,Wald::N,skog,codru
117,Wald::N,skog,pădure
118,Hügel::N,haug,deal
119,Hügel::N,haug,movilă
120,Hügel::N,bakke,deal
121,Hügel::N,bakke,movilă
122,Anhöhe::N,haug,deal
123,Anhöhe::N,haug,ridicătură
124,Anhöhe::N,bakke,deal
125,Anhöhe::N,bakke,ridicătură
126,Berg::N,berg,munte
127,Berg::N,fjell,munte
128,Gipfel::N,topp,pisc
129,Höhle::N,hule,peșteră
130,Abhang::N,li,pantă
131,Abhang::N,li,versant
132,Abhang::N,skråning,pantă
133,Abhang::N,skråning,versant
134,Quelle::N,kilde,izvor
135,Bach::N,bekk,gârlă
136,Fluss::N,elv,râu
137,Fluss::N,elv,fluviu
138,Ufer::N,bredd,mal
139,Ufer::N,bredd,țărm
140,Küste::N,kyst,coastă
141,Festland::N,fastland,uscat
142,Meer::N,hav,mare
143,Bucht::N,bukt,golf
144,Insel::N,øy,insulă
145,Blume::N,blomst,floare
146,Gras::N,gress,iarbă
147,Wurzel::N,rot,rădăcină
148,Baum::N,tre,copac
149,Baum::N,tre,arbore
150,Stamm::N,stamme,tulpină
151,Rinde::N,bark,scoarță
152,Ast::N,gren,cracă
153,Ast::N,gren,creangă
154,Zweig::N,kvist,ramură
155,Zweig::N,kvist,creangă
156,Blatt::N,blad,frunză
157,Birke::N,bjørk,mesteacăn
158,Kiefer[Baum]::N,furu,pin
159,Weide[Baum]::N,selje,salcie
160,Weide[Baum]::N,selje,răchită
161,Weide[Baum]::N,piletre,salcie
162,Weide[Baum]::N,piletre,răchită
163,Tanne::N,gran,brad
164,Horn::N,horn,corn
165,Feder::N,fjær,pană
166,Fell::N,skinn,piele
167,Flügel::N,vinge,aripă
168,Klaue::N,klauv,gheară
169,Kralle::N,klo,labă
170,Kralle::N,klo,gheară
171,Schwanz::N,hale,coadă
172,Ei::N,egg,ou
173,Nest::N,rede,cuib
174,Bau::N,hi,bârlog
175,Bau::N,hi,vizuină
176,Tier::N,dyr,animal
177,Herde::N,flokk,turmă
178,Herde::N,flokk,cireadă
179,Kuh::N,ku,vacă
180,Bulle::N,tyr,taur
181,Pferd::N,hest,cal
182,Schaf::N,får,oaie
183,Schwein::N,gris,porc
184,Hund::N,hund,câine
185,Katze::N,katt,pisică
186,Bär::N,bjørn,urs
187,Eichhörnchen::N,ekorn,veveriță
188,Elch::N,elg,elan
189,Fuchs::N,rev,vulpe
190,Hase::N,hare,iepure
191,Maus::N,mus,șoarece
192,Wolf::N,ulv,lup
193,Wolf::N,varg,lup
194,Vogel::N,fugl,pasăre
195,Schwarm::N,sverm,cârd
196,Huhn::N,høne,găină
197,Hahn::N,hane,cocoș
198,Gans::N,gås,gâscă
199,Adler::N,ørn,vultur
200,Ente::N,and,rață
201,Eule::N,ugle,bufniță
202,Kranich::N,trane,cocor
203,Krähe::N,kråke,cioară
204,Kuckuck::N,gjøk,cuc
205,Schwan::N,svane,lebădă
206,Fisch::N,fisk,pește
207,Barsch::N,abbor,biban
208,Hecht::N,gjedde,știucă
209,Schlange[Tier]::N,orm,șarpe
210,Schlange[Tier]::N,slange,șarpe
211,Wurm::N,orm,vierme
212,Wurm::N,mark,vierme
213,Spinne::N,edderkopp,păianjen
214,Ameise::N,maur,furnică
215,Laus::N,lus,păduche
216,Mücke::N,mygg,țânțar
217,Fliege::N,flue,muscă
218,Schmetterling::N,sommerfugl,fluture
219,Beere::N,bær,boabă
220,Apfel::N,eple,măr
221,Pilz::N,sopp,burete
222,Pilz::N,sopp,ciupercă
223,Zwiebel::N,løk,ceapă
224,Saat::N,sæd,semănătură
225,Korn::N,korn,grâu
226,Heu::N,høy,fân
227,Schale::N,skall,coajă
228,Grube::N,grop,groapă
229,Falle::N,felle,cursă
230,Falle::N,felle,capcană
231,Schlinge::N,snare,laț
232,Spur::N,spor,dâră
233,Asche::N,aske,cenușă
234,Dreck::N,møkk,noroi
235,Dreck::N,møkk,murdărie
236,Dreck::N,skitt,noroi
237,Dreck::N,skitt,murdărie
238,Eisen::N,jern,fier
239,Gold::N,gull,aur
240,Silber::N,sølv,argint
241,Kohle::N,kol,cărbune
242,Kohle::N,kull,cărbune
243,Glas::N,glass,sticlă
244,Lehm::N,leire,lut
245,Lehm::N,leire,humă
246,Sand::N,sand,nisip
247,Mensch::N,menneske,om
248,Mensch::N,menneske,persoană
249,Mann::N,mann,om
250,Mann::N,mann,bărbat
251,Frau::N,kvinne,femeie
252,Kind::N,barn,copil
253,Junge::N,gutt,băiat
254,Junge::N,gutt,flăcău
255,Mädchen::N,pike,fată
256,Mädchen::N,jente,fată
257,Familie::N,familie,familie
258,Großvater::N,bestefar,bunic
259,Großvater::N,bestefar,tată mare
260,Großmutter::N,bestemor,bunică
261,Großmutter::N,bestemor,mamă mare
262,Eltern::N,foreldre,părinți
263,Vater::N,far,tată
264,Vater::N,far,părinte
265,Mutter::N,mor,mamă
266,Sohn::N,sønn,fiu
267,Sohn::N,sønn,fecior
268,Tochter::N,datter,fiică
269,Bruder::N,bror,frate
270,Schwester::N,søster,soră
271,Onkel::N,onkel,unchi
272,Tante::N,tante,mătușă
273,Ehemann::N,ektemann,soț
274,Ehemann::N,ektemann,bărbat
275,Ehefrau::N,hustru,soție
276,Freude::N,glede,bucurie
277,Gelächter::N,latter,râset
278,Glück::N,lykke,fericire
279,Kummer::N,sorg,mâhnire
280,Wunsch::N,ønske,dorință
281,Wunsch::N,ønske,deziderat
282,Lust::N,lyst,poftă
283,Lust::N,lyst,înclinare
284,Geist::N,ånd,duh
285,Geist::N,ånd,minte
286,Geist::N,ånd,suflet
287,Gedanke::N,tanke,gând
288,Gedanke::N,tanke,cuget
289,Gedächtnis::N,minne,memorie
290,Gedächtnis::N,hukommelse,memorie
291,Verstand::N,forstand,minte
292,Verstand::N,forstand,intelect
293,Sinn::N,mening,sens
294,Sinn::N,mening,înțeles
295,Sinn::N,betydning,sens
296,Sinn::N,betydning,înțeles
297,Grund::N,grunn,cauză
298,Grund::N,grunn,pricină
299,Wahrheit::N,sannhet,adevăr
300,Gespräch::N,samtale,convorbire
301,Gespräch::N,samtale,conversație
302,Märchen::N,eventyr,basm
303,Märchen::N,eventyr,poveste
304,Erzählung::N,fortelling,poveste
305,Nachricht::N,melding,veste
306,Neuigkeit::N,nyhet,noutate
307,Neuigkeit::N,nyhet,actualitate
308,Name::N,navn,nume
309,Rätsel::N,gåte,ghicitoare
310,Rede::N,tale,discurs
311,Sprache::N,språk,limbă
