,Concept_ID,uk,he
0,Auge::N,око,עין
1,Ohr::N,вухо,אזן
2,Nase::N,ніс,אף
3,Nase::N,ніс,חטם
4,Mund::N,рот,פה
5,Zahn::N,зуб,שן
6,Zunge::N,язик,לשון
7,Lippe::N,губа,שפה
8,Wange::N,щока,לחי
9,Gesicht::N,обличчя,פנים
10,Stirn::N,лоб,מצח
11,Haar::N,волосся,שערה
12,Schnurrbart::N,вуса,שפם
13,Bart::N,борода,זקן
14,Kinn::N,підборіддя,סנטר
15,Kiefer[Anatomie]::N,щелепа,לסת
16,Kehle::N,горло,גרון
17,Hals::N,шия,צואר
18,Genick::N,потилиця,ערף
19,Kopf::N,голова,ראש
20,Rücken::N,спина,גב
21,Bauch::N,живіт,בטן
22,Nabel::N,пупок,טבור
23,Busen::N,груди,שד
24,Brust::N,груди,חזה
25,Schulter::N,плече,כתף
26,Arm::N,рука,זרוע
27,Ellenbogen::N,лікоть,מרפק
28,Hand::N,рука,יד
29,Handfläche::N,долоня,כף יד
30,Finger::N,палець,אצבע
31,Fingernagel::N,ніготь,צפרן
32,Nagel[Anatomie]::N,ніготь,צפרן
33,Zeh::N,палець на нозі,אצבע
34,Fuß::N,нога,רגל
35,Ferse::N,п’ятка,עקב
36,Knie::N,коліно,ברך
37,Oberschenkel::N,стегно,ירך
38,Bein::N,нога,רגל
39,Körper::N,тіло,גוף
40,Haut::N,шкіра,עור
41,Blut::N,кров,דם
42,Ader::N,вена,וריד
43,Sehne::N,сухожилля,גיד
44,Knochen::N,кістка,עצם
45,Gehirn::N,мозок,מוח
46,Herz::N,серце,לב
47,Magen::N,шлунок,קבה
48,Leber::N,печінка,כבד
49,Atem::N,дихання,נשימה
50,Hunger::N,голод,רעב
51,Träne::N,сльоза,דמעה
52,Geschmack::N,смак,טעם
53,Geruch::N,запах,ריח
54,Schlaf::N,сон,שנה
55,Schlaf::N,сплячка,שנה
56,Traum::N,сон,חלום
57,Himmel::N,небо,שמים
58,Sonne::N,сонце,שמש
59,Mond::N,місяць,ירח
60,Stern::N,зірка,כוכב
61,Luft::N,повітря,אויר
62,Wind::N,вітер,רוח
63,Welle::N,хвиля,גל
64,Wasser::N,вода,מים
65,Stein::N,камінь,אבן
66,Boden::N,ґрунт,קרקע
67,Erde::N,земля,אדמה
68,Staub::N,пил,אבק
69,Rauch::N,дим,עשן
70,Funke::N,іскра,ניצוץ
71,Feuer::N,вогонь,אש
72,Licht::N,світло,אור
73,Schatten::N,тінь,צל
74,Wetter::N,погода,מזג אויר
75,Nebel::N,туман,ערפל
76,Wolke::N,хмара,ענן
77,Regen::N,дощ,גשם
78,Schnee::N,сніг,שלג
79,Eis::N,лід,קרח
80,Frost::N,мороз,צנה
81,Kälte::N,холод,קר
82,Hitze::N,жар,חם
83,Raureif::N,іній,כפור
84,Regenbogen::N,райдуга,קשת
85,Donner::N,грім,רעם
86,Strömung::N,струмина,זרימה
87,Tropfen::N,крапля,טפה
88,Schaum::N,піна,קצף
89,Schmutz::N,бруд,לכלוך
90,See::N,озеро,אגם
91,Sumpf::N,драговина,בצה
92,Moor::N,болото,בצה
93,Wiese::N,луг,מרעה
94,Wiese::N,лука,מרעה
95,Wald::N,ліс,יער
96,Hügel::N,горб,תל
97,Anhöhe::N,височина,מעלה
98,Berg::N,гора,הר
99,Gipfel::N,вершина,פסגה
100,Höhle::N,печера,מערה
101,Abhang::N,схил,מדרון
102,Abhang::N,схил,שפוע
103,Quelle::N,джерело,מעין
104,Bach::N,струмок,נחל
105,Fluss::N,річка,נהר
106,Ufer::N,берег,גדה
107,Küste::N,узбережжя,חוף
108,Festland::N,суша,יבשה
109,Meer::N,море,ים
110,Bucht::N,бухта,מפרץ
111,Bucht::N,затока,מפרץ
112,Insel::N,острів,אי
113,Blume::N,квітка,פרח
114,Gras::N,трава,דשא
115,Wurzel::N,корінь,שרש
116,Baum::N,дерево,עץ
117,Stamm::N,стовбур,גזע
118,Rinde::N,кора,קלפת עץ
119,Ast::N,гілка,ענף
120,Zweig::N,галузь,ענף
121,Blatt::N,лист,עלה
122,Birke::N,береза,שדר
123,Kiefer[Baum]::N,сосна,ארן
124,Weide[Baum]::N,верба,ערבה
125,Tanne::N,ялиця,אשוח
126,Horn::N,ріг,קרן
127,Feder::N,перо,נוצה
128,Fell::N,хутро,פרוה
129,Flügel::N,крило,כנף
130,Klaue::N,кіготь,טלף
131,Kralle::N,лапа,טפר
132,Schwanz::N,хвіст,זנב
133,Ei::N,яйце,ביצה
134,Nest::N,гніздо,קן
135,Bau::N,лігво,מחלה
136,Tier::N,тварина,חיה
137,Herde::N,стадо,עדר
138,Kuh::N,корова,פרה
139,Bulle::N,бик,פר
140,Bulle::N,бугай,פר
141,Pferd::N,кінь,סוס
142,Schaf::N,вівця,כבשה
143,Schwein::N,свиня,חזיר
144,Hund::N,собака,כלב
145,Katze::N,кішка,חתול
146,Bär::N,ведмідь,דב
147,Eichhörnchen::N,білка,סנאי
148,Elch::N,лось,דישון
149,Fuchs::N,лисиця,שועל
150,Hase::N,заєць,ארנב
151,Maus::N,миша,עכבר
152,Wolf::N,вовк,זאב
153,Vogel::N,птах,צפור
154,Schwarm::N,зграя,נחיל
155,Schwarm::N,зграя,להקה
156,Huhn::N,курка,תרנגלת
157,Hahn::N,півень,תרנגול
158,Gans::N,гуска,אוז
159,Adler::N,орел,עיט
160,Ente::N,качка,ברוז
161,Eule::N,сова,ינשוף
162,Kranich::N,журавель,עגור
163,Kranich::N,журавель,כרוכיה
164,Krähe::N,ворона,עורב
165,Kuckuck::N,зозуля,קוקיה
166,Schwan::N,лебідь,ברבור
167,Fisch::N,риба,דג
168,Barsch::N,окунь,אוקונוס
169,Hecht::N,щука,זאב הים
170,Schlange[Tier]::N,змія,נחש
171,Wurm::N,черв’як,תולעת
172,Spinne::N,павук,עכביש
173,Ameise::N,мурашка,נמלה
174,Laus::N,воша,כנה
175,Mücke::N,комар,יתוש
176,Fliege::N,муха,זבוב
177,Schmetterling::N,метелик,פרפר
178,Beere::N,ягода,ענבה
179,Apfel::N,яблуко,תפוח
180,Pilz::N,гриб,פטריה
181,Zwiebel::N,цибуля,בצל
182,Saat::N,сім’я,זרעים
183,Korn::N,зерно,גרעין
184,Heu::N,сіно,חציר
185,Schale::N,шкірка,קלפה
186,Grube::N,яма,בור
187,Grube::N,яма,שוחה
188,Falle::N,пастка,מלכדת
189,Schlinge::N,петля,לולאה
190,Spur::N,слід,עקבה
191,Asche::N,зола,אפר
192,Asche::N,попіл,אפר
193,Dreck::N,бруд,זהמה
194,Eisen::N,залізо,ברזל
195,Gold::N,золото,זהב
196,Silber::N,срібло,כסף
197,Kohle::N,вугілля,פחם
198,Glas::N,скло,זכוכית
199,Lehm::N,глина,חרסית
200,Sand::N,пісок,חול
201,Mensch::N,людина,אדם
202,Mann::N,чоловік,איש
203,Mann::N,чоловік,גבר
204,Frau::N,жінка,אשה
205,Frau::N,жінка,גברת
206,Kind::N,дитина,ילד
207,Junge::N,хлопець,ילד
208,Mädchen::N,дівчина,נערה
209,Familie::N,сім’я,משפחה
210,Familie::N,родина,משפחה
211,Großvater::N,дідусь,סבא
212,Großmutter::N,бабуся,סבתא
213,Eltern::N,батьки,הורים
214,Vater::N,батько,אב
215,Mutter::N,мати,אם
216,Sohn::N,син,בן
217,Tochter::N,дочка,בת
218,Bruder::N,брат,אח
219,Schwester::N,сестра,אחות
220,Onkel::N,дядько,דוד
221,Tante::N,тітка,דודה
222,Ehemann::N,чоловік,איש
223,Ehemann::N,чоловік,בעל
224,Ehefrau::N,жінка,אשה
225,Ehefrau::N,дружина,אשה
226,Freude::N,радощі,שמחה
227,Gelächter::N,сміх,צחוק
228,Glück::N,щастя,אשר
229,Kummer::N,горе,יגון
230,Kummer::N,горе,עגמה
231,Wunsch::N,бажання,אחול
232,Wunsch::N,бажання,משאלה
233,Lust::N,бажання,חשק
234,Lust::N,бажання,תשוקה
235,Geist::N,дух,רוח
236,Gedanke::N,думка,מחשבה
237,Gedächtnis::N,пам’ять,זכרון
238,Verstand::N,розум,שכל
239,Sinn::N,зміст,מובן
240,Sinn::N,зміст,משמעות
241,Sinn::N,значення,מובן
242,Sinn::N,значення,משמעות
243,Grund::N,причина,סבה
244,Wahrheit::N,правда,אמת
245,Gespräch::N,розмова,דיון
246,Märchen::N,байка,אגדה
247,Erzählung::N,повість,ספור
248,Erzählung::N,оповідання,ספור
249,Nachricht::N,повідомлення,ידיעה
250,Neuigkeit::N,новина,חדשה
251,Name::N,ім’я,שם
252,Rätsel::N,загадка,תעלומה
253,Rede::N,промова,נאום
254,Sprache::N,мова,לשון
255,Stimme::N,голос,קול
256,Wort::N,слово,מלה
257,Zeichen::N,знак,סימן
258,Ruf::N,оклик,קריאה
259,Lärm::N,шум,רעש
260,Laut::N,звук,הגה
261,Ton::N,тон,צליל
262,Lied::N,пісня,שיר
263,Ruhe::N,спокій,שלוה
264,Leute::N,люди,אנשים
265,Volk::N,народ,עם
266,Arbeit::N,робота,עבודה
267,Gast::N,гість,אורח
268,Geschenk::N,подарунок,מתנה
269,Spiel::N,гра,משחק
270,Gesellschaft::N,товариство,חברה
271,Hilfe::N,допомога,עזרה
272,Freund::N,друг,חבר
273,Freund::N,друг,ידיד
274,Freund::N,приятель,חבר
275,Freund::N,приятель,ידיד
276,Kamerad::N,товариш,רע
277,Angelegenheit::N,справа,ענין
278,Anzahl::N,число,מספר
279,Art::N,рід,סוג
280,Stück::N,кусок,חתיכה
281,Teil::N,частина,פרק
282,Hälfte::N,половина,חצי
283,Kreis::N,круг,מעגל
284,Kreis::N,коло,מעגל
285,Kreuz::N,хрест,צלב
286,Linie::N,лінія,קו
287,Strich::N,штрих,קו קצר
288,Abstand::N,проміжок,מרחק
289,Entfernung::N,відстань,מרחק
