,Concept_ID,ps,kv
0,Auge::N,سترګه,син
1,Ohr::N,غوږ,пель
2,Nase::N,پوزه,ныр
3,Mund::N,خوله,ӧм
4,Zahn::N,غاښ,пинь
5,Zunge::N,جبه,кыв
6,Lippe::N,شونډه,тырп
7,Wange::N,باړخو,рожабан
8,Gesicht::N,مخ,бан
9,Stirn::N,تندی,кымӧс
10,Stirn::N,وچولی,кымӧс
11,Haar::N,وېښته,юрси
12,Schnurrbart::N,برېت,уссэз
13,Bart::N,ږیره,тош
14,Kinn::N,زنه,тшӧка
15,Kiefer[Anatomie]::N,جامه,ан
16,Kehle::N,غاړه,юан
17,Hals::N,غاړه,юан
18,Genick::N,ورمېږ,юр бӧр
19,Kopf::N,سر,юр
20,Rücken::N,شا,мышк
21,Bauch::N,نس,кынӧм
22,Bauch::N,ګېډه,кынӧм
23,Nabel::N,نوم,гӧг
24,Busen::N,تی,морос
25,Brust::N,سینه,морос
26,Schulter::N,اوږه,пельпон
27,Arm::N,لاس,ки
28,Ellenbogen::N,څنګل,гырдзза
29,Hand::N,لاس,кикар
30,Handfläche::N,ورغوی,ки пыдӧс
31,Finger::N,ګوته,чунь
32,Fingernagel::N,نوک,гыж
33,Nagel[Anatomie]::N,نوک,гыж
34,Zeh::N,ګوته,чунь
35,Fuß::N,پښه,кокпыдӧс
36,Ferse::N,پونده,кокдзир
37,Knie::N,زنګون,пидзӧс
38,Oberschenkel::N,پتون,лядьбей
39,Bein::N,پښه,кок
40,Körper::N,ځان,вывтыр
41,Haut::N,پوټکی,кучик
42,Blut::N,وینه,вир
43,Ader::N,رګ,сӧн
44,Sehne::N,پله,жила
45,Knochen::N,هډوکی,коска
46,Gehirn::N,ماغزه,вем
47,Herz::N,زړه,сьӧлӧм
48,Magen::N,معده,жӧвдӧк
49,Leber::N,ينه,мус
50,Leber::N,ځیګر,мус
51,Atem::N,نفس,лолалӧм
52,Hunger::N,ولږه,тшыг
53,Träne::N,اوښکه,синва
54,Geschmack::N,مزه,кӧр
55,Geschmack::N,خوند,кӧр
56,Geruch::N,بوی,дук
57,Schlaf::N,خوب,он
58,Traum::N,خوب,вӧт
59,Himmel::N,اسمان,небо
60,Sonne::N,لمر,шондi
61,Mond::N,سپوږمۍ,тӧлiсь
62,Stern::N,ستوری,кӧдзыв
63,Luft::N,هوا,ру
64,Wind::N,ورښ,тӧв
65,Welle::N,موج,гы
66,Wasser::N,اوبه,ва
67,Stein::N,ډبره,из
68,Boden::N,مځکه,му
69,Erde::N,خاوره,му
70,Staub::N,ګرد,бус
71,Staub::N,خاوره,бус
72,Rauch::N,دود,тшын
73,Rauch::N,لوګی,тшын
74,Funke::N,سپرغۍ,бичир
75,Feuer::N,اور,би
76,Licht::N,رڼا,би
77,Schatten::N,سیوری,вуджӧр
78,Wetter::N,هوا,погоддя
79,Nebel::N,لړه,туман
80,Wolke::N,ورېځ,кымӧр
81,Regen::N,وریا,зэр
82,Regen::N,باران,зэр
83,Schnee::N,واوره,лым
84,Eis::N,یخ,йы
85,Eis::N,کنګل,йы
86,Frost::N,یخ,мороз
87,Kälte::N,ساړه,кӧдзыт
88,Hitze::N,تودوخي,ӧд
89,Raureif::N,سپینه پرخه,кижа
90,Regenbogen::N,بوډۍ ټال,енӧшка
91,Regenbogen::N,سره زرغونه,енӧшка
92,Donner::N,تالنده,гым
93,Strömung::N,بهېدنه,визывтӧм
94,Tropfen::N,قطره,тёп
95,Tropfen::N,څاڅکی,тёп
96,Schaum::N,ځګ,быг
97,Schmutz::N,ناپاکي,нять
98,See::N,جهیل,ты
99,Sumpf::N,جبه,арай
100,Moor::N,جبه,нюр
101,Wiese::N,چمن,видз
102,Wiese::N,شنېلی,видз
103,Wald::N,ځنګل,вӧр
104,Hügel::N,تپه,мыльк
105,Anhöhe::N,غونډۍ,вывтас
106,Anhöhe::N,غونډۍ,вылынін
107,Berg::N,غ‍‍‍‍‍ر,керӧс
108,Gipfel::N,څوکه,йыв
109,Höhle::N,کاز,нора
