,Concept_ID,lbe,ka
0,Auge::N,я,თვალი
1,Ohr::N,вичӏи,ყური
2,Nase::N,май,ცხვირი
3,Mund::N,кьацӏ,პირი
4,Zahn::N,ккарччи,კბილი
5,Zunge::N,маз,ენა
6,Lippe::N,мурччи,ბაგე
7,Wange::N,чӏав,ლოყა
8,Gesicht::N,лажин,სახე
9,Stirn::N,ненттабакӏ,შუბლი
10,Haar::N,чӏара,თმა
11,Schnurrbart::N,ссирссилтту,ულვაში
12,Bart::N,чӏири,წვერი
13,Kinn::N,лунттубакӏ,ნიკაპი
14,Kiefer[Anatomie]::N,ххинчулул,ყბა
15,Kehle::N,кьакьари,ყელი
16,Hals::N,ссурссу,ყელი
17,Hals::N,ссурссу,კისერი
18,Genick::N,махъабакӏ,კეფა
19,Kopf::N,бакӏ,თავი
20,Rücken::N,ттиликӏ,ზურგი
21,Bauch::N,лякьа,მუცელი
22,Nabel::N,цӏумуккутӏ,ჭიპი
23,Busen::N,ккукку,ძუძუ
24,Brust::N,хъазам,მკერდი
25,Schulter::N,хъачӏ,მხარი
26,Schulter::N,хъачӏ,მკლავი
27,Arm::N,ка,ხელი
28,Ellenbogen::N,ссюрхъ,იდაყვი
29,Hand::N,бартка,ხელი
30,Handfläche::N,хъат,ნები
31,Handfläche::N,хъат,ხელისგული
32,Handfläche::N,битӏянхъ,ნები
33,Handfläche::N,битӏянхъ,ხელისგული
34,Finger::N,кӏисса,თითი
35,Fingernagel::N,михь,ფრჩხილი
36,Nagel[Anatomie]::N,михь,ფრჩხილი
37,Zeh::N,кӏисса,ფეხის თითი
38,Fuß::N,чӏанччан,ტერფი
39,Fuß::N,чӏанччан,ფეხისგული
40,Ferse::N,никъа,ქუსლი
41,Knie::N,ник,მუხლი
42,Oberschenkel::N,жира,ბარძაყი
43,Bein::N,ччан,ფეხი
44,Körper::N,чурх,ტანი
45,Körper::N,чурх,სხეული
46,Haut::N,бурчу,კანი
47,Blut::N,оь,სისხლი
48,Ader::N,тунну,ძარღვი
49,Sehne::N,хьхьа,მყესი
50,Knochen::N,ттаркӏ,ძვალი
51,Gehirn::N,ня,ტვინი
52,Herz::N,дакӏ,გული
53,Herz::N,къюкӏ,გული
54,Magen::N,лякьа,კუჭი
55,Atem::N,ссихӏ ласаву,სუნთქვა
56,Atem::N,ссихӏ бигьаву,სუნთქვა
57,Hunger::N,ккаши,შიმშილი
58,Träne::N,макь,ცრემლი
59,Geschmack::N,тӏин,გემო
60,Geschmack::N,тӏааьн,გემო
61,Geruch::N,кьанкь,სუნი
62,Schlaf::N,шану,ძილი
63,Traum::N,макӏру,სიზმარი
64,Himmel::N,ссав,ცა
65,Sonne::N,баргъ,მზე
66,Mond::N,барз,მთვარე
67,Stern::N,цӏуку,ვარსკვლავი
68,Luft::N,гьава,ჰაერი
69,Wind::N,марч,ქარი
70,Welle::N,щатӏи,ტალღა
71,Wasser::N,щин,წყალი
72,Stein::N,чару,ქვა
73,Boden::N,аьрщи,მიწა
74,Erde::N,аьрщи,ნიადაგი
75,Staub::N,ххит,მტვერი
76,Rauch::N,пуркӏу,ბოლი
77,Rauch::N,пуркӏу,კვამლი
78,Funke::N,пиягь,ნაკვესი
79,Feuer::N,цӏу,ცეცხლი
80,Licht::N,чани,შუქი
81,Licht::N,чани,სინათლე
82,Schatten::N,ххют,ლანდი
83,Schatten::N,ххют,ჩრდილი
84,Wetter::N,гьава,ამინდი
85,Nebel::N,шархь ттурлу,ნისლი
86,Wolke::N,ттурлу,ღრუბელი
87,Regen::N,гъарал,წვიმა
88,Schnee::N,марххала,თოვლი
89,Eis::N,микӏ,თოში
90,Eis::N,микӏ,ყინული
91,Frost::N,дяркъу,ყინვა
92,Frost::N,замгьар,ყინვა
93,Kälte::N,дяркъу,სიცივე
94,Hitze::N,кӏиришиву,სიცხე
95,Raureif::N,сил,ჭირხლი
96,Raureif::N,сил,თრთვილი
97,Raureif::N,бурса,ჭირხლი
98,Raureif::N,бурса,თრთვილი
99,Regenbogen::N,ссурул ккуртта,ცისარტყელა
100,Donner::N,къув,ქუხილი
101,Strömung::N,экьинанаву,დინება
102,Tropfen::N,кӏунтӏ,წვეთი
103,Schaum::N,хьама,ქაფი
104,Schaum::N,хьама,დორბლი
105,Schmutz::N,кьяркьи,ჭუჭყი
106,Schmutz::N,кьяркьи,ტალახი
107,See::N,бяр,ტბა
108,Sumpf::N,кунцӏа,ჭაობი
109,Wiese::N,кьан,ველი
110,Wiese::N,кьан,მდელო
111,Wald::N,вацӏа,ტყე
112,Hügel::N,бакӏу,ბორცვი
113,Berg::N,зунтту,მთა
114,Gipfel::N,мицӏ,მწვერვალი
115,Höhle::N,нух,მღვიმე
116,Höhle::N,нух,გამოქვებული
117,Abhang::N,сун,ფერდობი
118,Quelle::N,дайдихьу,წყარო
119,Quelle::N,дайдихьу,სათავე
120,Quelle::N,бакӏ,წყარო
121,Quelle::N,бакӏ,სათავე
122,Bach::N,чӏрир нех,რუ
123,Bach::N,чӏрир нех,ნაკადული
124,Fluss::N,нех,მდინარე
125,Ufer::N,зума,კიდე
126,Ufer::N,зума,ნაპირი
127,Küste::N,зумаинхалу,ნაპირი
128,Küste::N,зуманицӏалу,ნაპირი
129,Festland::N,кьири,ხმელეთი
130,Meer::N,хьхьири,ზღვა
131,Insel::N,жазира,კუნძული
132,Blume::N,тӏутӏи,ყვავილი
133,Gras::N,уртту,ბალახი
134,Wurzel::N,мархха,ძირი
135,Wurzel::N,мархха,ფესვი
136,Baum::N,мурхь,ხე
137,Stamm::N,ттарцӏ,ტანი
138,Rinde::N,ккамара,ქერქი
139,Ast::N,матӏи,ტოტი
140,Zweig::N,къяртта,შტო
141,Blatt::N,чӏапӏи,ფოთოლი
142,Birke::N,кӏялахӏи,არყი
143,Birke::N,кӏялахӏилул мурхь,არყი
144,Kiefer[Baum]::N,ттар,ფიჭვი
145,Kiefer[Baum]::N,ттарлил мурхь,ფიჭვი
146,Weide[Baum]::N,щавщи,ტირიფი
147,Tanne::N,ттарлил мурхь,ნაძვი
148,Horn::N,хъи,რქა
149,Feder::N,лелуххул тӏиму,ფრთა
150,Fell::N,бурчу,ტყავი
151,Flügel::N,хъа,ფრთა
152,Flügel::N,ххурупӏайрал тӏиму,ფრთა
153,Klaue::N,михь,კლანჭი
154,Kralle::N,ххяппа,ტორი
155,Schwanz::N,магъ,კუდი
156,Ei::N,ккунук,კვერცხი
157,Nest::N,кюру,ბუდე
158,Bau::N,цукъуккутӏ,სორო
159,Tier::N,хӏайван,ნადირი
160,Tier::N,хӏайван,ცხოველი
161,Herde::N,газу,ფარა
162,Kuh::N,оьл,ფური
163,Kuh::N,оьл,ძროხა
164,Bulle::N,ниц,ხარი
165,Pferd::N,чу,რაში
166,Pferd::N,чу,ცხენი
167,Schaf::N,тта,ცხვარი
168,Schwein::N,дунгъуз,ღორი
169,Hund::N,ккаччи,ძაღლი
170,Katze::N,ччиту,კატა
171,Bär::N,цуша,დათვი
172,Eichhörnchen::N,бюрхттукку,ციყვი
173,Elch::N,ниц-бюрин,ცხენ-ირემი
174,Fuchs::N,цулчӏа,მელა
175,Fuchs::N,куча цулчӏа,მელა
176,Hase::N,бюрх,კურდღელი
177,Maus::N,кӏулу,თაგვი
178,Wolf::N,барцӏ,მგელი
179,Vogel::N,лелуххи,ჩიტი
180,Vogel::N,лелуххи,ფრინველი
181,Schwarm::N,гьухъала,გუნდი
182,Huhn::N,аьнакӏи,დედალი
183,Hahn::N,ажари,მამალი
184,Gans::N,къаз,ბატი
185,Adler::N,барзу,არწივი
186,Ente::N,урдак,იხვი
187,Eule::N,ису,ბუ
188,Eule::N,ччиккумяв,ბუ
189,Kranich::N,кьурукь,წერო
190,Krähe::N,хъатӏу,ყვავი
191,Kuckuck::N,ччикку,გუგული
192,Schwan::N,урттил къаз,გედი
193,Fisch::N,чавахъ,თევზი
194,Schlange[Tier]::N,шатта,გველი
195,Wurm::N,кьюнукьай шатта,ჭია
196,Spinne::N,ххялцу,ობობა
197,Ameise::N,митӏикьукьу,ჭიანჭველა
198,Mücke::N,мичӏак,კოღო
199,Fliege::N,зимиз,ბუზი
200,Schmetterling::N,чӏимучӏали,პეპელა
201,Beere::N,хӏаллил ахъулсса,კენკრა
202,Apfel::N,гьивч,ვაშლი
203,Pilz::N,ттуккул иис,სოკო
204,Zwiebel::N,лаччул чсмусул бакӏ,ხახვი
205,Saat::N,гьанна,თესლი
206,Korn::N,къама,მარცვალი
207,Heu::N,ххулув,თივა
208,Schale::N,ккиртту,ჩენჩო
209,Grube::N,кӏаланг,ორმო
210,Falle::N,къатӏа,ხაფანგი
211,Schlinge::N,хӏатӏ,მახე
212,Spur::N,ша,კვალი
213,Asche::N,лах,ფერფლი
214,Dreck::N,кьяркьи,ტალახი
215,Dreck::N,кьяркьи,სიბინძურე
216,Dreck::N,венп,ტალახი
217,Dreck::N,венп,სიბინძურე
218,Eisen::N,мах,რკინა
219,Gold::N,муси,ოქრო
