,Concept_ID,en,ady
0,Auge::N,eye,нэ
1,Ohr::N,ear,тхьакӏу́м
2,Nase::N,nose,пэ
3,Mund::N,mouth,жэ
4,Zahn::N,tooth,цэ
5,Zunge::N,tongue,бзэгу
6,Lippe::N,lip,ӏупшӏэ́
7,Wange::N,cheek,нэкӏу́шъу
8,Gesicht::N,face,нэ́гу
9,Stirn::N,forehead,натӏэ́
10,Haar::N,hair,шъхьацы́
11,Schnurrbart::N,moustache,
12,Bart::N,beard,жакӏэ́
13,Kinn::N,chin,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,jaw,жэпкъы́
15,Kehle::N,throat,чый
16,Hals::N,neck,пшъэ
17,Genick::N,nape,шъхьэпхэтыку
18,Kopf::N,head,шъхьэ́
19,Rücken::N,back,кӏыбы́
20,Rücken::N,spine,кӏыбы́
21,Bauch::N,belly,ныбэ́
22,Nabel::N,navel,
23,Busen::N,bosom,бгъэ́
24,Brust::N,chest,бгъэ́
25,Brust::N,breast,бгъэ́
26,Schulter::N,shoulder,блыпкъ
27,Arm::N,arm,ӏэ
28,Ellenbogen::N,elbow,ӏэнтэ́гъу
29,Hand::N,hand,ӏэтхьэцу
30,Handfläche::N,palm,ӏэ́гу
31,Finger::N,finger,ӏэхъуа́мб
32,Fingernagel::N,fingernail,ӏэбжъа́н
33,Nagel[Anatomie]::N,nail,ӏэбжъа́н
34,Zeh::N,toe,ӏэхъуа́мб
35,Fuß::N,foot,лъэгу
36,Ferse::N,heel,лъэдакъэ
37,Knie::N,knee,лъагуа́ндж
38,Oberschenkel::N,thigh,ко
39,Bein::N,leg,лъакъо́
40,Körper::N,body,пкъышъол
41,Haut::N,skin,кӏы́шъу
42,Blut::N,blood,лъы
43,Ader::N,vein,льытф
44,Sehne::N,sinew,фэ
45,Knochen::N,bone,къупшъхьэ́
46,Gehirn::N,brain,куцӏы
47,Herz::N,heart,гу
48,Magen::N,stomach,мышкӏу
49,Leber::N,liver,шӏу
50,Atem::N,breath,къэщэныр
51,Hunger::N,hunger,гъаблэ́
52,Träne::N,tear,нэпсы
53,Geschmack::N,flavour,ӏэшӏугъа́кӏ
54,Geschmack::N,flavor,ӏэшӏугъа́кӏ
55,Geruch::N,odour,мэ
56,Geruch::N,odor,мэ
57,Schlaf::N,sleep,пчыхьы́пӏ
58,Traum::N,dream,пчыхьы́пӏ
59,Himmel::N,sky,уашъо́
60,Sonne::N,sun,тыгъэ
61,Mond::N,moon,мазэ
62,Stern::N,star,жъуагъо́
63,Luft::N,air,жьы
64,Wind::N,wind,жьыбгъэ́
65,Welle::N,wave,ор
66,Welle::N,wave,оры
67,Wasser::N,water,псы
68,Stein::N,stone,мыжъо́
69,Boden::N,soil,чӏ́ыгу
70,Boden::N,ground,чӏ́ыгу
71,Erde::N,earth,чӏ́ыгу
72,Staub::N,dust,сап
73,Rauch::N,smoke,ӏугъо́
74,Funke::N,spark,мэшӏуа́ч
75,Feuer::N,fire,машӏо́
76,Licht::N,light,нэфы
77,Licht::N,light,нэфын
78,Schatten::N,shadow,жьау́
79,Schatten::N,shadow,ныбжьыкъу
80,Wetter::N,weather,
81,Nebel::N,fog,пща́гъу
82,Wolke::N,cloud,ошъуапщэ
83,Regen::N,rain,ощхы
84,Schnee::N,snow,осы́
85,Eis::N,ice,мылы
86,Frost::N,frost,
87,Kälte::N,chill,чъыӏэ́
88,Hitze::N,heat,фэба́е
89,Raureif::N,hoarfrost,
90,Regenbogen::N,rainbow, лэгъупэкъо́пс
91,Donner::N,thunder,шыблэ́
92,Strömung::N,current,ток
93,Tropfen::N,drop,ткӏопс
94,Tropfen::N,drop,гъуаткӏу
95,Schaum::N,foam,тхъурбэ
96,Schmutz::N,dirt,псынжъы
97,See::N,lake,хыку́м
98,See::N,lake,псыхъура́й
99,Sumpf::N,swamp,орыжъ
100,Moor::N,moor,орыжъ
