,Concept_ID,nl,xal
0,Auge::N,oog,нүдн
1,Ohr::N,oor,чикн
2,Nase::N,neus,хамр
3,Mund::N,mond,амн
4,Zahn::N,tand,шүдн
5,Zunge::N,tong,келн
6,Lippe::N,lip,урл
7,Wange::N,wang,халх
8,Gesicht::N,gelaat,нүр
9,Gesicht::N,gezicht,нүр
10,Stirn::N,voorhoofd,маңна
11,Haar::N,haar,үсн
12,Schnurrbart::N,snor,сахл
13,Bart::N,baard,сахл
14,Bart::N,baard,өргнә сахл
15,Kinn::N,kin,өргн
16,Kiefer[Anatomie]::N,kaak,өргн
17,Kehle::N,keel,хол
18,Kehle::N,strot,хол
19,Hals::N,hals,күзүн
20,Genick::N,nek,гиҗг
21,Kopf::N,hoofd,толһа
22,Rücken::N,rug,нурһн
23,Bauch::N,buik,гесн
24,Nabel::N,navel,киисн
25,Busen::N,boezem,көкн
26,Brust::N,borst,чееҗ
27,Schulter::N,schouder,ээм
28,Arm::N,arm,һар
29,Ellenbogen::N,elleboog,тоха
30,Hand::N,hand,баһлцг
31,Handfläche::N,handpalm,альхн
32,Finger::N,vinger,хурһн
33,Finger::N,vinger,һарин хурһн
34,Fingernagel::N,nagel,хумсн
35,Nagel[Anatomie]::N,nagel,хумсн
36,Zeh::N,teen,хурһн
37,Zeh::N,teen,көлин хурһн
38,Fuß::N,voet,тавг
39,Ferse::N,hak,өскә
40,Ferse::N,hiel,өскә
41,Knie::N,knie,өвдг
42,Oberschenkel::N,dij,һуй
43,Bein::N,been,көл
44,Körper::N,lichaam,махмуд
45,Haut::N,huid,арсн
46,Blut::N,bloed,цусн
47,Ader::N,ader,судцн
48,Sehne::N,pees,шүрүсн
49,Knochen::N,bot,ясн
50,Knochen::N,been,ясн
51,Knochen::N,knook,ясн
52,Gehirn::N,hersenen,экн
53,Herz::N,hart,зүркн
54,Magen::N,maag,гесн
55,Leber::N,lever,элкн
56,Atem::N,adem,әмсхл
57,Hunger::N,honger,харһнлһн
58,Träne::N,traan,нульмсн
59,Geschmack::N,smaak,амтн
60,Geruch::N,geur,үнр
61,Schlaf::N,slaap,нөр
62,Traum::N,droom,зүүдн
63,Himmel::N,hemel,теңгр
64,Sonne::N,zon,нарн
65,Mond::N,maan,сар
