,Concept_ID,kv,ka
0,Auge::N,син,თვალი
1,Ohr::N,пель,ყური
2,Nase::N,ныр,ცხვირი
3,Mund::N,ӧм,პირი
4,Zahn::N,пинь,კბილი
5,Zunge::N,кыв,ენა
6,Lippe::N,тырп,ბაგე
7,Wange::N,рожабан,ლოყა
8,Gesicht::N,бан,სახე
9,Stirn::N,кымӧс,შუბლი
10,Haar::N,юрси,თმა
11,Schnurrbart::N,уссэз,ულვაში
12,Bart::N,тош,წვერი
13,Kinn::N,тшӧка,ნიკაპი
14,Kiefer[Anatomie]::N,ан,ყბა
15,Kehle::N,юан,ყელი
16,Hals::N,юан,ყელი
17,Hals::N,юан,კისერი
18,Genick::N,юр бӧр,კეფა
19,Kopf::N,юр,თავი
20,Rücken::N,мышк,ზურგი
21,Bauch::N,кынӧм,მუცელი
22,Nabel::N,гӧг,ჭიპი
23,Busen::N,морос,ძუძუ
24,Brust::N,морос,მკერდი
25,Schulter::N,пельпон,მხარი
26,Schulter::N,пельпон,მკლავი
27,Arm::N,ки,ხელი
28,Ellenbogen::N,гырдзза,იდაყვი
29,Hand::N,кикар,ხელი
30,Handfläche::N,ки пыдӧс,ნები
31,Handfläche::N,ки пыдӧс,ხელისგული
32,Finger::N,чунь,თითი
33,Fingernagel::N,гыж,ფრჩხილი
34,Nagel[Anatomie]::N,гыж,ფრჩხილი
35,Zeh::N,чунь,ფეხის თითი
36,Fuß::N,кокпыдӧс,ტერფი
37,Fuß::N,кокпыдӧс,ფეხისგული
38,Ferse::N,кокдзир,ქუსლი
39,Knie::N,пидзӧс,მუხლი
40,Oberschenkel::N,лядьбей,ბარძაყი
41,Bein::N,кок,ფეხი
42,Körper::N,вывтыр,ტანი
43,Körper::N,вывтыр,სხეული
44,Haut::N,кучик,კანი
45,Blut::N,вир,სისხლი
46,Ader::N,сӧн,ძარღვი
47,Sehne::N,жила,მყესი
48,Knochen::N,коска,ძვალი
49,Gehirn::N,вем,ტვინი
50,Herz::N,сьӧлӧм,გული
51,Magen::N,жӧвдӧк,კუჭი
52,Leber::N,мус,ღვიძლი
53,Atem::N,лолалӧм,სუნთქვა
54,Hunger::N,тшыг,შიმშილი
55,Träne::N,синва,ცრემლი
56,Geschmack::N,кӧр,გემო
57,Geruch::N,дук,სუნი
58,Schlaf::N,он,ძილი
59,Traum::N,вӧт,სიზმარი
60,Himmel::N,небо,ცა
61,Sonne::N,шондi,მზე
62,Mond::N,тӧлiсь,მთვარე
63,Stern::N,кӧдзыв,ვარსკვლავი
64,Luft::N,ру,ჰაერი
65,Wind::N,тӧв,ქარი
66,Welle::N,гы,ტალღა
67,Wasser::N,ва,წყალი
68,Stein::N,из,ქვა
69,Boden::N,му,მიწა
70,Erde::N,му,ნიადაგი
71,Staub::N,бус,მტვერი
72,Rauch::N,тшын,ბოლი
73,Rauch::N,тшын,კვამლი
74,Funke::N,бичир,ნაკვესი
75,Feuer::N,би,ცეცხლი
76,Licht::N,би,შუქი
77,Licht::N,би,სინათლე
78,Schatten::N,вуджӧр,ლანდი
79,Schatten::N,вуджӧр,ჩრდილი
80,Wetter::N,погоддя,ამინდი
81,Nebel::N,туман,ნისლი
82,Wolke::N,кымӧр,ღრუბელი
83,Regen::N,зэр,წვიმა
84,Schnee::N,лым,თოვლი
85,Eis::N,йы,თოში
86,Eis::N,йы,ყინული
87,Frost::N,мороз,ყინვა
88,Kälte::N,кӧдзыт,სიცივე
89,Hitze::N,ӧд,სიცხე
90,Raureif::N,кижа,ჭირხლი
91,Raureif::N,кижа,თრთვილი
