,Concept_ID,xal,ab
0,Auge::N,нүдн,ала
1,Ohr::N,чикн,алымҳа
2,Nase::N,хамр,аҧынҵа
3,Mund::N,амн,аҧышə
4,Zahn::N,шүдн,ахаҧыц
5,Zunge::N,келн,абз
6,Lippe::N,урл,ақьышə
7,Wange::N,халх,аӡамҩа
8,Gesicht::N,нүр,аҿы
9,Stirn::N,маңна,алахь
10,Haar::N,үсн,ахəыц
11,Schnurrbart::N,сахл,аҧаҵа
12,Bart::N,сахл,ажакьа
13,Bart::N,өргнә сахл,ажакьа
14,Kinn::N,өргн,ацламкəыгə
15,Kiefer[Anatomie]::N,өргн,ацламҳəа
16,Kehle::N,хол,ахəда
17,Hals::N,күзүн,ахəда
18,Genick::N,гиҗг,ахəдаџьал
19,Kopf::N,толһа,ахы
20,Rücken::N,нурһн,азқəа
21,Bauch::N,гесн,амгəа
22,Nabel::N,киисн,аҷапан
23,Busen::N,көкн,агəыҧҳəы
24,Brust::N,чееҗ,агəышҧы
25,Schulter::N,ээм,ажəҩахыр
26,Arm::N,һар,амахəар
27,Ellenbogen::N,тоха,амашьхəылҵ
28,Hand::N,баһлцг,анапы
29,Handfläche::N,альхн,анапсаргəыҵа
30,Finger::N,хурһн,анацəа
31,Finger::N,һарин хурһн,анацəа
32,Fingernagel::N,хумсн,анапхыц
33,Nagel[Anatomie]::N,хумсн,ашьапхыц
34,Zeh::N,хурһн,ашьацəа
35,Zeh::N,көлин хурһн,ашьацəа
36,Fuß::N,тавг,ашьапсыргəыҵа
37,Ferse::N,өскә,ашьхəа
38,Knie::N,өвдг,ашьамхы
39,Oberschenkel::N,һуй,ауаҭəа
40,Bein::N,көл,ашьапы
41,Körper::N,махмуд,ацəеижь
42,Haut::N,арсн,ацəа
43,Blut::N,цусн,ашьа
44,Ader::N,судцн,ада
45,Sehne::N,шүрүсн,адаш
46,Knochen::N,ясн,абаҩ
47,Gehirn::N,экн,ахшлыбаҩ
48,Gehirn::N,экн,ахшыбаҩ
49,Herz::N,зүркн,агəы
50,Magen::N,гесн,аца
51,Magen::N,гесн,ацар
52,Leber::N,элкн,агəаҵəа
53,Atem::N,әмсхл,аҧсыҧлагаҩгара
54,Hunger::N,харһнлһн,амла
55,Träne::N,нульмсн,алабжыш
56,Geschmack::N,амтн,агьама
57,Geruch::N,үнр,афҩы
58,Schlaf::N,нөр,ацəа
59,Traum::N,зүүдн,аҧхыӡ
60,Himmel::N,теңгр,ажəҩан
61,Sonne::N,нарн,амра
62,Mond::N,сар,амза
63,Stern::N,одн,аеҵəа
64,Luft::N,аһар,аҳаир
65,Wind::N,салькн,аҧша
66,Welle::N,дольган,ацəқəырҧа
67,Wasser::N,усн,аӡы
68,Stein::N,чолун,ахаҳə
69,Boden::N,Һазр,адгьыл
70,Erde::N,Һазр,адгьыл
71,Staub::N,тоосн,асаба
72,Rauch::N,утан,алҩа
73,Funke::N,очн,акəиц
74,Funke::N,очн,ацҧхь
75,Feuer::N,һал,амца
76,Licht::N,герл,алашара
77,Schatten::N,сүүдр,ашəшьыра
78,Wetter::N,теңгр,амш
79,Nebel::N,будн,анаҟəа
80,Wolke::N,үүлн,аҧсҭҳəа
81,Regen::N,хур,ақəа
82,Schnee::N,цасн,асы
83,Eis::N,мөсн,аҵаа
84,Frost::N,киитн,аҵаа
85,Kälte::N,киитн,ахьҭа
86,Hitze::N,халун,ашоура
87,Raureif::N,цаң,аҵааҧшқа
88,Raureif::N,кирү,аҵааҧшқа
89,Regenbogen::N,солңһ,ацəаҟəа
90,Donner::N,оһтрһун дун,адыд
91,Strömung::N,урсхл,аиасра
92,Strömung::N,урсхл,амҩасра
93,Tropfen::N,дусал,ацəыкəбар
94,Schaum::N,көөсн,ашəах
95,Schmutz::N,кир,алымт
96,See::N,нур,аӡиа
97,Sumpf::N,унул,аӡмах
98,Moor::N,улм,
99,Wiese::N,хадлһн,адəы
100,Wald::N,ө-модн,абна
101,Hügel::N,толһа,ахəы
102,Anhöhe::N,хамр,аҳаракыра
103,Berg::N,уул,ашьха
104,Gipfel::N,ора,ацəқəа
105,Höhle::N,хадин көндә,аҳаҧы
106,Abhang::N,ташу,анаара
107,Quelle::N,булг,аҵҵырҭа
108,Bach::N,һооҗур,акəараҷҷа
109,Fluss::N,һол,аӡиас
110,Ufer::N,көвә,ахықə
111,Küste::N,көвә,ахықə
112,Küste::N,теңгсин көвә,ахықə
113,Festland::N,хүүрә һазр,абарра
114,Meer::N,теңгс,амшын
115,Bucht::N,цекә,аӡбжьахала
116,Bucht::N,теңгсин цекә,аӡбжьахала
117,Insel::N,арл,адгьылбжьаха
118,Blume::N,цецг,ашəҭ
119,Gras::N,ноһан,аҳасакьын
120,Wurzel::N,уңг,адац
121,Baum::N,модн,аҵла
122,Stamm::N,шилв,ашьапы
123,Stamm::N,һол модн,ашьапы
124,Rinde::N,көрсн,ацəа
125,Ast::N,ац,амахə
126,Ast::N,ац,амахəҭа
127,Zweig::N,ац,амахə
128,Zweig::N,ац,амахəҭа
129,Blatt::N,хамтхасн,абҕьы
130,Birke::N,хусм модн,аҵааҵла
131,Kiefer[Baum]::N,шар харһа,амза
132,Weide[Baum]::N,удн,аҧслыш
133,Tanne::N,җөөлн цаһан модн,аҧсаӡ
134,Horn::N,өвр,атəыҩа
135,Feder::N,өрвлг,ахӡы
136,Fell::N,арсн,ацəа
137,Flügel::N,җивр,амҵəыжəа
138,Klaue::N,хумсн,ашьапхыц
139,Kralle::N,тавг,
140,Schwanz::N,сүл,аҵыхəа
141,Ei::N,өндгн,акəтаӷь
142,Nest::N,үр,аҭра
143,Nest::N,үр,аҵысҭра
144,Bau::N,нүкн,аҭыҩра
145,Tier::N,мал,аҧстəы
146,Tier::N,мал,агыгшəыг
147,Herde::N,сүрг мал,агəарҭа
148,Kuh::N,үкр,ажə
149,Bulle::N,бух,ацə
150,Pferd::N,мөрн,аҽы
151,Schaf::N,хөн,ауаса
152,Schwein::N,һаха,аҳəа
153,Hund::N,ноха,ала
154,Katze::N,мис,ацгəы
155,Bär::N,аю,амшə
156,Eichhörnchen::N,кермн,аеш
157,Elch::N,хандһа,аҽаҩа
158,Fuchs::N,арат,абгахəыҷы
159,Hase::N,туула,ажьа
160,Maus::N,хулһн,аҳəынаҧ
161,Wolf::N,чон,абгаду
162,Vogel::N,шовун,аҧсаатə
163,Schwarm::N,зел,
164,Huhn::N,така,акəты
165,Hahn::N,эр така,арбаҕь
166,Gans::N,һалун,аҟыз
167,Adler::N,һәрд,ауарба
168,Ente::N,нуһсн,акəата
169,Eule::N,һурвлһ,аты
170,Kranich::N,тоһрун,апҟа
171,Krähe::N,шаазһа,аҟəараан
172,Kuckuck::N,эргин хуцдг,акəыкəу
173,Schwan::N,хун,агьад
174,Fisch::N,заһсн,аҧсыӡ
175,Barsch::N,шүрг,ацəыбла
176,Hecht::N,цурх,ахиаала
177,Schlange[Tier]::N,моһа,амаҭ
178,Wurm::N,өтн,ахəа
179,Wurm::N,өтн,ахəац
180,Spinne::N,аралҗн,абызкаҭаҳа
181,Ameise::N,шорһлҗн,ашышкамс
182,Laus::N,бөөсн,аҵа
183,Mücke::N,бөкүн,акəыбры
184,Fliege::N,батхн,амҵ
185,Schmetterling::N,эрвәкә,аҧарҧалыкь
186,Beere::N,бөөлҗрһн,аргуц
187,Apfel::N,альмн,аҵəа
188,Pilz::N,теңгрин ки,акəкəбаа
189,Zwiebel::N,мәңгрснә толһа,аџьымшьы
190,Zwiebel::N,мәңгрснә толһа,аџьымшьхы
191,Saat::N,буудян экн,ажəла
192,Korn::N,экн,арыц
193,Heu::N,өвсн,аҭəа
194,Schale::N,хальсн,ацəа
195,Grube::N,нүкн,ажра
