,Concept_ID,ga,es
0,Auge::N,súil,ojo
1,Ohr::N,cluas,oreja
2,Nase::N,soc,nariz
3,Mund::N,béal,boca
4,Zahn::N,fiacail,diente
5,Zunge::N,teanga,lengua
6,Lippe::N,liopa,labio
7,Wange::N,grua,mejilla
8,Wange::N,leiceann,mejilla
9,Gesicht::N,éadan,cara
10,Gesicht::N,aghaidh,cara
11,Stirn::N,baithis,frente
12,Stirn::N,clár éadain,frente
13,Haar::N,gruaig,cabello
14,Schnurrbart::N,croiméal,bigote
15,Bart::N,féasóg,barba
16,Kinn::N,smig,barbilla
17,Kiefer[Anatomie]::N,giall,mandíbula
18,Kehle::N,scornach,garganta
19,Hals::N,muinéal,cuello
20,Genick::N,baic,nuca
21,Genick::N,baic,cerviz
22,Kopf::N,ceann,cabeza
23,Rücken::N,droim,espalda
24,Bauch::N,bolg,vientre
25,Nabel::N,imleacán,ombligo
26,Busen::N,cíoch,pecho
27,Brust::N,brollach,pecho
28,Schulter::N,gualainn,hombro
29,Arm::N,lámh,brazo
30,Ellenbogen::N,uillinn,codo
31,Hand::N,lámh,mano
32,Handfläche::N,bos,palma
33,Finger::N,méar,dedo
34,Fingernagel::N,ionga,uña
35,Nagel[Anatomie]::N,ionga,uña
36,Zeh::N,ladhar,dedo del pie
37,Fuß::N,cos,pie
38,Fuß::N,troigh,pie
39,Ferse::N,sáil,talón
40,Knie::N,glúin,rodilla
41,Oberschenkel::N,ceathrú,muslo
42,Bein::N,cos,pierna
43,Körper::N,corp,cuerpo
44,Körper::N,colainn,cuerpo
45,Haut::N,cneas,piel
46,Haut::N,craiceann,piel
47,Blut::N,fuil,sangre
48,Sehne::N,teannán,tendón
49,Sehne::N,féitheog,tendón
50,Knochen::N,cnámh,hueso
51,Gehirn::N,inchinn,cerebro
52,Gehirn::N,inchinn,encéfalo
53,Herz::N,croí,corazón
54,Magen::N,bolg,estómago
55,Magen::N,goile,estómago
56,Leber::N,ae,hígado
57,Atem::N,anáil,aliento
58,Hunger::N,ocras,hambre
59,Träne::N,deoir,lágrima
60,Geschmack::N,blas,gusto
61,Geruch::N,boladh,olor
62,Schlaf::N,suan,sueño
63,Schlaf::N,codladh,sueño
64,Traum::N,taibhreamh,sueño
65,Traum::N,taibhreamh,ensueño
66,Himmel::N,spéir,cielo
67,Sonne::N,grian,sol
68,Mond::N,ré,luna
69,Mond::N,gealach,luna
70,Stern::N,rinn,estrella
71,Stern::N,réalta,estrella
72,Luft::N,aer,aire
73,Wind::N,gaoth,viento
74,Welle::N,tonn,ola
75,Welle::N,tonn,onda
76,Wasser::N,uisce,agua
77,Stein::N,cloch,piedra
78,Boden::N,talamh,suelo
79,Erde::N,cré,tierra
80,Erde::N,ithir,tierra
81,Staub::N,dusta,polvo
82,Staub::N,deannach,polvo
83,Rauch::N,toit,humo
84,Rauch::N,deatach,humo
85,Funke::N,drithle,chispa
86,Feuer::N,tine,fuego
87,Licht::N,solas,luz
88,Schatten::N,scáth,sombra
89,Wetter::N,aimsir,tiempo
90,Nebel::N,ceo,niebla
91,Wolke::N,néal,nube
92,Wolke::N,scamall,nube
93,Regen::N,báisteach,lluvia
94,Regen::N,fearthainn,lluvia
95,Schnee::N,sneachta,nieve
96,Eis::N,oighear,hielo
97,Frost::N,sioc,helada
98,Kälte::N,fuacht,frío
99,Hitze::N,teas,calor
100,Hitze::N,teocht,calor
101,Raureif::N,sioc bán,escarcha
102,Regenbogen::N,stua ceatha,arco iris
103,Regenbogen::N,bogha báistí,arco iris
104,Donner::N,toirneach,trueno
105,Strömung::N,sruth,corriente
106,Tropfen::N,deoir,gota
107,Schaum::N,cúr,espuma
108,Schmutz::N,salachar,suciedad
109,See::N,loch,lago
110,Sumpf::N,portach,pantano
111,Moor::N,caorán,turbera
112,Moor::N,móinteán,turbera
113,Wiese::N,cluain,prado
114,Wiese::N,cluain,pradera
115,Wiese::N,móinéar,prado
116,Wiese::N,móinéar,pradera
117,Wald::N,coill,bosque
118,Wald::N,foraois,bosque
119,Hügel::N,ard,colina
120,Anhöhe::N,ard,cerro
121,Anhöhe::N,ardán,cerro
122,Berg::N,sliabh,monte
123,Berg::N,sliabh,montaña
124,Gipfel::N,barr,cima
125,Gipfel::N,barr,cumbre
126,Gipfel::N,mullach,cima
127,Gipfel::N,mullach,cumbre
128,Höhle::N,uaimh,cueva
129,Höhle::N,uaimh,caverna
130,Höhle::N,pluais,cueva
131,Höhle::N,pluais,caverna
132,Abhang::N,fána,cuesta
133,Abhang::N,fána,declive
134,Quelle::N,foinse,fuente
135,Quelle::N,foinse,manantial
136,Bach::N,sruthán,arroyo
137,Fluss::N,abhainn,río
138,Ufer::N,bruach,orilla
139,Küste::N,cósta,costa
140,Küste::N,cladach,costa
141,Festland::N,míntír,tierra firme
142,Meer::N,muir,mar
143,Meer::N,farraige,mar
144,Bucht::N,bá,cala
145,Bucht::N,bá,bahía
146,Bucht::N,cuan,cala
147,Bucht::N,cuan,bahía
148,Insel::N,inis,isla
149,Insel::N,oileán,isla
150,Blume::N,bláth,flor
151,Gras::N,féar,hierba
152,Wurzel::N,rúta,raíz
153,Wurzel::N,fréamh,raíz
154,Baum::N,crann,árbol
155,Stamm::N,stoc,tronco
156,Stamm::N,tamhan,tronco
157,Rinde::N,coirt,corteza
158,Rinde::N,craiceann,corteza
159,Ast::N,géag,rama
160,Zweig::N,géag,ramo
161,Zweig::N,craobh,ramo
162,Blatt::N,duille,hoja
163,Blatt::N,duilleog,hoja
164,Birke::N,beith,abedul
165,Birke::N,crann beithe,abedul
166,Kiefer[Baum]::N,péine,pino
167,Weide[Baum]::N,saileach,sauce
168,Tanne::N,giúis,abeto
169,Horn::N,adharc,asta
170,Horn::N,adharc,cuerno
171,Feder::N,cleite,pluma
172,Fell::N,clúmh,piel
173,Flügel::N,eite,ala
174,Flügel::N,sciathán,ala
175,Klaue::N,crúb,garra
176,Klaue::N,crobh,garra
177,Kralle::N,crobh,uña
178,Kralle::N,crobh,garra
179,Schwanz::N,eireaball,cola
180,Ei::N,ubh,huevo
181,Nest::N,nead,nido
182,Bau::N,brocais,madriguera
183,Tier::N,ainmhí,animal
184,Tier::N,beithíoch,animal
185,Herde::N,tréad,rebaño
186,Kuh::N,bó,vaca
187,Bulle::N,tarbh,toro
188,Pferd::N,each,caballo
189,Pferd::N,capall,caballo
190,Schaf::N,caora,oveja
191,Schwein::N,muc,cerdo
192,Hund::N,madra,perro
193,Katze::N,cat,gato
194,Bär::N,béar,oso
195,Eichhörnchen::N,iora,ardilla
196,Elch::N,eilc,alce
197,Fuchs::N,sionnach,zorro
198,Fuchs::N,madra rua,zorro
199,Hase::N,giorria,liebre
200,Maus::N,luch,ratón
201,Wolf::N,mac tíre,lobo
202,Vogel::N,éan,ave
203,Vogel::N,éan,pájaro
204,Schwarm::N,saithe,bandada
205,Huhn::N,cearc,gallina
206,Hahn::N,coileach,gallo
207,Gans::N,gé,oca
208,Gans::N,gé,ganso
209,Adler::N,iolar,águila
210,Ente::N,lacha,pato
211,Eule::N,ulchabhán,lechuza
212,Kranich::N,grús,grulla
213,Krähe::N,caróg,corneja
214,Krähe::N,préachán,corneja
215,Kuckuck::N,cuach,cuco
216,Schwan::N,eala,cisne
217,Fisch::N,iasc,pez
218,Barsch::N,péirse,perca
219,Hecht::N,liús,lucio
220,Schlange[Tier]::N,nathair,serpiente
221,Wurm::N,péist,gusano
222,Spinne::N,damhán alla,araña
223,Ameise::N,seangán,hormiga
224,Laus::N,míol,piojo
225,Mücke::N,muiscít,mosquito
226,Mücke::N,corrmhíol,mosquito
227,Fliege::N,cuil,mosca
228,Fliege::N,cuileog,mosca
229,Schmetterling::N,féileacán,mariposa
230,Beere::N,caor,baya
231,Apfel::N,úll,manzana
232,Pilz::N,beacán,seta
233,Pilz::N,beacán,hongo
234,Pilz::N,muisiriún,seta
235,Pilz::N,muisiriún,hongo
236,Zwiebel::N,oinniún,cebolla
237,Saat::N,síol,siembra
238,Korn::N,gráinne,grano
239,Heu::N,féar,heno
240,Schale::N,scaimh,cáscara
241,Grube::N,poll,foso
242,Falle::N,gaiste,trampa
243,Schlinge::N,sealán,lazo
244,Spur::N,rian,huella
245,Asche::N,luaith,ceniza
246,Dreck::N,salachar,suciedad
247,Eisen::N,iarann,hierro
248,Gold::N,ór,oro
249,Silber::N,airgead,plata
250,Kohle::N,gual,carbón
251,Glas::N,gloine,vidrio
252,Glas::N,gloine,cristal
253,Lehm::N,cré,barro
254,Sand::N,gaineamh,arena
255,Mensch::N,duine,hombre
256,Mensch::N,duine,ser humano
257,Mann::N,fear,hombre
258,Frau::N,bean,mujer
259,Kind::N,gasúr,niño
260,Kind::N,páiste,niño
261,Junge::N,buachaill,chico
262,Junge::N,buachaill,muchacho
263,Mädchen::N,cailín,chica
264,Mädchen::N,cailín,muchacha
265,Familie::N,teaghlach,familia
266,Familie::N,comhluadar,familia
267,Großvater::N,seanathair,abuelo
268,Großmutter::N,seanmháthair,abuela
269,Eltern::N,tuismitheoirí,padres
270,Vater::N,athair,padre
271,Mutter::N,máthair,madre
272,Sohn::N,mac,hijo
273,Tochter::N,iníon,hija
274,Bruder::N,deartháir,hermano
275,Schwester::N,deirfiúr,hermana
276,Onkel::N,uncail,tío
277,Tante::N,aintín,tía
278,Ehemann::N,fear céile,esposo
279,Ehefrau::N,bean chéile,esposa
280,Freude::N,áthas,placer
281,Freude::N,áthas,alegría
282,Gelächter::N,gáire,risa
283,Gelächter::N,gáire,carcajada
284,Glück::N,séan,felicidad
285,Glück::N,sonas,felicidad
286,Kummer::N,brón,pena
287,Kummer::N,buairt,pena
288,Wunsch::N,guí,deseo
289,Wunsch::N,achainí,deseo
290,Lust::N,fonn,ganas
291,Geist::N,meon,mente
292,Geist::N,meon,espíritu
293,Geist::N,spiorad,mente
294,Geist::N,spiorad,espíritu
295,Gedanke::N,smaoineamh,idea
296,Gedanke::N,smaoineamh,pensamiento
297,Gedächtnis::N,cuimhne,memoria
298,Verstand::N,ciall,razón
299,Verstand::N,ciall,entendimiento
300,Verstand::N,intinn,razón
301,Verstand::N,intinn,entendimiento
302,Sinn::N,brí,sentido
303,Sinn::N,brí,significado
304,Sinn::N,ciall,sentido
305,Sinn::N,ciall,significado
306,Grund::N,fáth,causa
307,Wahrheit::N,fírinne,verdad
308,Gespräch::N,comhrá,conversación
309,Märchen::N,scéal,cuento
310,Erzählung::N,scéal,cuento
311,Erzählung::N,scéal,narración
312,Nachricht::N,teachtaireacht,mensaje
313,Neuigkeit::N,scéala,noticia
314,Name::N,ainm,nombre
315,Rätsel::N,tomhas,acertijo
316,Rätsel::N,tomhas,adivinanza
317,Rede::N,óráid,discurso
318,Rede::N,aitheasc,discurso
319,Sprache::N,teanga,lengua
320,Stimme::N,guth,voz
321,Wort::N,focal,palabra
322,Zeichen::N,comhartha,señal
323,Ruf::N,glaoch,llamada
324,Lärm::N,torann,ruido
325,Lärm::N,torann,barullo
326,Laut::N,fuaim,sonido
327,Ton::N,ton,tono
328,Lied::N,amhrán,canción
329,Ruhe::N,suaimhneas,calma
330,Ruhe::N,suaimhneas,silencio
331,Leute::N,muintir,gente
332,Volk::N,pobal,pueblo
333,Arbeit::N,obair,trabajo
334,Gast::N,aoi,huésped
335,Gast::N,aoi,invitado
336,Geschenk::N,féirín,regalo
337,Geschenk::N,bronntanas,regalo
338,Spiel::N,cluiche,juego
339,Gesellschaft::N,comhluadar,compañía
340,Hilfe::N,cúnamh,ayuda
341,Hilfe::N,cúnamh,socorro
342,Hilfe::N,cabhair,ayuda
343,Hilfe::N,cabhair,socorro
344,Freund::N,cara,amigo
345,Kamerad::N,comrádaí,camarada
346,Kamerad::N,comrádaí,compañero
347,Angelegenheit::N,ábhar,asunto
348,Anzahl::N,líon,cantidad
349,Art::N,sórt,tipo
350,Art::N,sórt,clase
351,Art::N,saghas,tipo
352,Art::N,saghas,clase
353,Stück::N,píosa,pieza
354,Teil::N,cuid,parte
355,Teil::N,páirt,parte
356,Hälfte::N,leath,mitad
357,Kreis::N,ciorcal,círculo
358,Kreuz::N,cros,cruz
359,Linie::N,líne,línea
360,Strich::N,stríoc,raya
361,Strich::N,stríoc,trazo
362,Abstand::N,achar,distancia
363,Entfernung::N,fad,distancia
364,Gegend::N,ceantar,región
365,Gegend::N,ceantar,comarca
366,Platz::N,áit,espacio
367,Platz::N,spás,espacio
368,Ort::N,áit,sitio
369,Seite::N,taobh,lado
370,Seite::N,taobh,costado
371,Mitte::N,lár,medio
372,Mitte::N,lár,centro
373,Gegenstand::N,ball,objeto
374,Gegenstand::N,ábhar,objeto
375,Sache::N,ní,cosa
376,Sache::N,rud,cosa
377,Rand::N,imeall,borde
378,Rand::N,ciumhais,borde
379,Kante::N,corr,borde
380,Kante::N,colbha,borde
381,Ecke::N,coirnéal,esquina
382,Spitze::N,gob,punta
383,Spitze::N,barr,punta
384,Ende::N,ceann,cabo
385,Ende::N,ceann,extremo
386,Ende::N,foirceann,cabo
387,Ende::N,foirceann,extremo
388,Loch::N,poll,agujero
389,Loch::N,poll,abertura
390,Winkel::N,cúinne,ángulo
391,Winkel::N,uillinn,ángulo
392,Muster::N,patrún,dibujo
393,Größe::N,méid,tamaño
394,Größe::N,toise,tamaño
395,Länge::N,fad,longitud
396,Höhe::N,airde,altura
397,Höhe::N,airde,altitud
398,Gewicht::N,meáchan,peso
399,Menge::N,méid,cantidad
400,Haufen::N,cnap,montón
401,Reihe::N,líne,fila
402,Reihe::N,sraith,fila
403,Boot::N,bád,bote
404,Boot::N,bád,barca
405,Ruder::N,rámh,remo
406,Ruder::N,maide rámha,remo
407,Schlitten::N,carr sleamhnáin,trineo
408,Ski::N,scí,esquí
409,Lagerfeuer::N,tine champa,hoguera
410,Last::N,ualach,carga
411,Gang::N,siúlóid,marcha
412,Schritt::N,céim,paso
413,Schritt::N,coiscéim,paso
414,Norden::N,tuaisceart,norte
415,Süden::N,deisceart,sur
416,Westen::N,iarthar,oeste
417,Osten::N,oirthear,este
418,Holz::N,adhmad,madera
419,Brett::N,clár,tabla
420,Platte::N,leac,placa
421,Platte::N,leac,plancha
422,Stütze::N,taca,sostén
423,Stütze::N,taca,soporte
424,Stange::N,polla,vara
425,Stange::N,polla,percha
426,Stange::N,cuaille,vara
427,Stange::N,cuaille,percha
428,Stock::N,bata,palo
429,Stock::N,bata,bastón
430,Stock::N,maide,palo
431,Stock::N,maide,bastón
432,Stab::N,maide,vara
433,Stab::N,maide,bastón
434,Stab::N,bachall,vara
435,Stab::N,bachall,bastón
436,Rohr::N,píopa,tubo
437,Haus::N,teach,casa
438,Heim::N,baile,hogar
439,Ofen::N,sornóg,estufa
440,Fußboden::N,urlár,suelo
441,Tisch::N,bord,mesa
442,Tisch::N,tábla,mesa
443,Stuhl::N,cathaoir,silla
444,Wiege::N,cliabhán,cuna
445,Bett::N,leaba,cama
446,Regal::N,seilf,estantería
447,Kiste::N,bosca,caja
