,Concept_ID,kl,xal
0,Auge::N,isi,нүдн
1,Ohr::N,siut,чикн
2,Mund::N,paaq,амн
3,Mund::N,qaneq,амн
4,Zahn::N,kigut,шүдн
5,Zunge::N,oqaq,келн
6,Lippe::N,qarloq,урл
7,Wange::N,ersaq,халх
8,Gesicht::N,kiinaq,нүр
9,Stirn::N,qaaq,маңна
10,Haar::N,meqqoq,үсн
11,Bart::N,umik,сахл
12,Bart::N,umik,өргнә сахл
13,Kinn::N,talloq,өргн
14,Kiefer[Anatomie]::N,alleroq,өргн
15,Kehle::N,malaq,хол
16,Hals::N,qungaseq,күзүн
17,Genick::N,pukusuk,гиҗг
18,Kopf::N,niaqoq,толһа
19,Rücken::N,qimerlut,нурһн
20,Bauch::N,naaq,гесн
21,Nabel::N,qalaseq,киисн
22,Busen::N,iviangeq,көкн
23,Brust::N,iviangeq,чееҗ
24,Schulter::N,ersik,ээм
25,Schulter::N,assaqqoq,ээм
26,Arm::N,taleq,һар
27,Ellenbogen::N,ikusik,тоха
28,Hand::N,assak,баһлцг
29,Handfläche::N,itumak,альхн
30,Finger::N,inuak,хурһн
31,Finger::N,inuak,һарин хурһн
32,Fingernagel::N,kikiak,хумсн
33,Nagel[Anatomie]::N,kukik,хумсн
34,Zeh::N,isigak,хурһн
35,Zeh::N,isigak,көлин хурһн
36,Ferse::N,kimmik,өскә
37,Knie::N,seeqqoq,өвдг
38,Oberschenkel::N,uppat,һуй
39,Oberschenkel::N,quttoraq,һуй
40,Bein::N,isigak,көл
41,Körper::N,timi,махмуд
42,Haut::N,mattak,арсн
43,Blut::N,aak,цусн
44,Ader::N,taqaq,судцн
45,Sehne::N,ujalu,шүрүсн
46,Sehne::N,ujaloq,шүрүсн
47,Knochen::N,saanikut,ясн
48,Gehirn::N,qarasaq,экн
49,Herz::N,uummat,зүркн
50,Magen::N,aqajaroq,гесн
51,Leber::N,tinguk,элкн
52,Atem::N,anerneq,әмсхл
53,Hunger::N,kaanneq,харһнлһн
54,Träne::N,qia,нульмсн
55,Träne::N,qiak,нульмсн
56,Geschmack::N,qilanaartuut,амтн
57,Geruch::N,tipi,үнр
58,Geruch::N,tipik,үнр
59,Traum::N,sinnattoq,зүүдн
60,Traum::N,sinnattugaq,зүүдн
61,Himmel::N,qilak,теңгр
62,Sonne::N,seqineq,нарн
63,Mond::N,qaammat,сар
64,Stern::N,ulloriaq,одн
65,Luft::N,silaannaq,аһар
66,Wind::N,anori,салькн
67,Wind::N,anorsarik,салькн
68,Welle::N,aalappaa,дольган
69,Wasser::N,imeq,усн
70,Stein::N,ujarak,чолун
71,Boden::N,nateq,Һазр
72,Erde::N,issoq,Һазр
73,Staub::N,pujualanerit,тоосн
74,Staub::N,pujoralanerit,тоосн
75,Rauch::N,iseq,утан
76,Rauch::N,pujoq,утан
77,Funke::N,illoorneq,очн
78,Feuer::N,inneq,һал
79,Licht::N,qaamaneq,герл
80,Schatten::N,tarraq,сүүдр
81,Wetter::N,sila,теңгр
82,Nebel::N,pujoq,будн
83,Wolke::N,nuia,үүлн
84,Regen::N,sialuk,хур
