,Concept_ID,fa,mdf
0,Auge::N,چشم,сельме
1,Ohr::N,گوش,пиле
2,Nase::N,بینی,шалхка
3,Mund::N,دهان,курга
4,Zahn::N,دندان,пей
5,Zunge::N,زبان,кяль
6,Lippe::N,لب,търва́
7,Wange::N,لپ,щёка
8,Gesicht::N,رو,шама
9,Gesicht::N,چهره,шама
10,Stirn::N,پیشانی,коня
11,Haar::N,مو,шя́ярь
12,Schnurrbart::N,سبیل,уса́
13,Bart::N,ریش,сакал
14,Kinn::N,چانه,ула
15,Kiefer[Anatomie]::N,فک,саласка
16,Kiefer[Anatomie]::N,آرواره,саласка
17,Kehle::N,حلق,кълдома
18,Kehle::N,حلق,кърга́парь
19,Hals::N,گردن,сялдаз
20,Genick::N,پشت گردن,шовонь
21,Kopf::N,سر,пря
22,Kopf::N,کله,пря
23,Rücken::N,پشت,копорь
24,Bauch::N,شکم,пеке
25,Nabel::N,ناف,по́кон
26,Busen::N,پستان,потя
27,Brust::N,سینه,мяште
28,Schulter::N,دوش,лафту
29,Schulter::N,شانه,лафту
30,Arm::N,بازو,кядь
31,Ellenbogen::N,آرنج,кенерьба́карь
32,Hand::N,دست,кядь
33,Handfläche::N,کف دست,кядьлапш
34,Finger::N,انگشت,сур
35,Fingernagel::N,ناخن دست,кенже
36,Nagel[Anatomie]::N,ناخن,кенже
37,Zeh::N,انگشت پا,пильгосу́р
38,Fuß::N,پا,пильге
39,Fuß::N,پا,пильгелапа
40,Ferse::N,پاشنه,кочкяря
41,Knie::N,زانو,эль
42,Knie::N,زانو,пълма́нжа
43,Oberschenkel::N,ران,пильгепукша
44,Bein::N,پا,пильге
45,Bein::N,لنگ,пильге
46,Körper::N,تن,ро́нга
47,Körper::N,تن,по́нда
48,Körper::N,بدن,ро́нга
49,Körper::N,بدن,по́нда
50,Haut::N,پوست,киське
51,Blut::N,خون,вер
52,Ader::N,رگ,сан
53,Ader::N,رگ,верза́н
54,Sehne::N,زردپی,коське сан
55,Knochen::N,استخوان,пакарь
56,Gehirn::N,مخ,уй
57,Gehirn::N,مغز,уй
58,Herz::N,دل,седи
59,Herz::N,قلب,седи
60,Magen::N,معده,коткърдазь
61,Leber::N,کبد,макса
62,Atem::N,نفس,лекома
63,Atem::N,نفس,ваймонь тарксема
64,Hunger::N,گرسنگی,вачеши
65,Träne::N,اشک,сельмове́дь
66,Geschmack::N,مزه,таньф
67,Geruch::N,بو,шине
68,Schlaf::N,خواب,удома́
69,Traum::N,رؤیا,он
70,Himmel::N,فلک,менель
71,Himmel::N,آسمان,менель
72,Sonne::N,آفتاب,ши
73,Sonne::N,خورشید,ши
74,Mond::N,ماه,ков
75,Stern::N,ستاره,тяште
76,Luft::N,هوا,кожф
77,Wind::N,باد,варма
78,Welle::N,موج,тавла
79,Wasser::N,آب,ведь
80,Stein::N,سنگ,кев
81,Boden::N,زمین,мода
82,Boden::N,زمین,потмакс
83,Erde::N,خاک,мода
84,Erde::N,خاک,мастор
85,Erde::N,زمین,мода
86,Erde::N,زمین,мастор
87,Staub::N,گرد,пуль
88,Staub::N,غبار,пуль
89,Rauch::N,دود,качам
90,Funke::N,جرقه,ця́тка
91,Feuer::N,آتش,тол
92,Licht::N,نور,ва́лда
93,Licht::N,روشنی,ва́лда
94,Schatten::N,سایه,цильф
95,Wetter::N,هوا,уша
96,Nebel::N,مه,тума́н
97,Wolke::N,ابر,ковол
98,Regen::N,باران,пизем
99,Schnee::N,برف,лов
100,Eis::N,یخ,эй
101,Frost::N,یخبندان,ке́льме
102,Kälte::N,سرما,якшама
103,Hitze::N,گرما,пси
104,Hitze::N,حرارت,пси
105,Raureif::N,برف ریزه,леш
106,Regenbogen::N,رنگین‌کمان,а́тямъёнга
107,Donner::N,رعد,атям
108,Strömung::N,جریان,шудема́
109,Tropfen::N,قطره,путькс
110,Tropfen::N,قطره,пътняфкс
111,Schaum::N,کف,шов
112,Schmutz::N,گل,ърда́з
113,Schmutz::N,کثافت,ърда́з
114,See::N,دریاچه,эрьхке
115,Sumpf::N,مرداب,шяй
116,Sumpf::N,باتلاق,шяй
117,Moor::N,باتلاق,шяй
118,Wiese::N,چمن,луга
119,Wald::N,جنگل,вирь
120,Hügel::N,تل,губо́р
121,Hügel::N,تل,пандоня
122,Hügel::N,تپه,губо́р
123,Hügel::N,تپه,пандоня
124,Anhöhe::N,بلندی,губо́р
125,Berg::N,کوه,панда
126,Gipfel::N,قله,пря
127,Höhle::N,غار,у́нда
128,Abhang::N,سرازیری,па́нда ша́ма
129,Quelle::N,چشمه,эшиня
130,Bach::N,نهر,шудерькс
131,Fluss::N,رود,ляй
132,Ufer::N,ساحل,търва́
133,Ufer::N,کرانه,търва́
134,Küste::N,ساحل,ляйтърва́
135,Festland::N,خشکی,мода
136,Meer::N,دریا,моря
137,Bucht::N,خلیج,ведьуське
138,Insel::N,جزیره,цёнга
139,Blume::N,گل,панчф
140,Gras::N,علف,тише
141,Wurzel::N,ریشه,юр
142,Wurzel::N,ریشه,ункс
143,Baum::N,درخت,шуфта
144,Stamm::N,تنه,ро́нга
145,Rinde::N,توژ,кер
146,Rinde::N,پوست,кер
147,Ast::N,شاخه,морга
148,Zweig::N,شاخه,тарад
149,Blatt::N,برگ,лопа
150,Birke::N,غان,ке́лу
151,Kiefer[Baum]::N,کاج,пиче
152,Weide[Baum]::N,بید,каль
153,Tanne::N,صنوبر,куз
154,Horn::N,شاخ,сюра
155,Feder::N,پر,толга
156,Fell::N,خز,кедь
157,Flügel::N,پر,паця
158,Flügel::N,بال,паця
159,Klaue::N,چنگ,кенже
160,Klaue::N,پنجه,кенже
161,Kralle::N,پنجه,кенже
162,Schwanz::N,دم,пула
163,Ei::N,تخم,ал
164,Nest::N,لانه,пиза
165,Bau::N,بنا,пиза
166,Bau::N,ساختمان,пиза
167,Tier::N,هیوان,жува́та
168,Herde::N,رمه,нал
169,Herde::N,رمه,стада
170,Kuh::N,گاو,скал
171,Kuh::N,گاو,тракс
172,Bulle::N,گاو نر,бука
173,Pferd::N,اسب,лишме
174,Schaf::N,گوسفند,уча́
175,Schwein::N,خوک,тува
176,Hund::N,سگ,пине
177,Katze::N,گربه,катоня
178,Katze::N,گربه,аваката
179,Bär::N,خرس,офта
180,Eichhörnchen::N,سنجاب,ур
181,Elch::N,گوزن شمالی,ся́рда
182,Fuchs::N,روباه,келазь
183,Hase::N,خرگوش,ну́мол
184,Maus::N,موش,шеер
185,Wolf::N,گرگ,върьгаз
186,Vogel::N,پرنده,нармонь
187,Schwarm::N,دسته,ко́вол
188,Schwarm::N,دسته,ме́швеле
189,Huhn::N,مرغ,сараз
190,Hahn::N,خروس,а́тякш
191,Gans::N,غاز,маци
192,Adler::N,عقاب,куцькан
193,Ente::N,اردک,яксярга
