,Concept_ID,ab,lbe
0,Auge::N,ала,я
1,Ohr::N,алымҳа,вичӏи
2,Nase::N,аҧынҵа,май
3,Mund::N,аҧышə,кьацӏ
4,Zahn::N,ахаҧыц,ккарччи
5,Zunge::N,абз,маз
6,Lippe::N,ақьышə,мурччи
7,Wange::N,аӡамҩа,чӏав
8,Gesicht::N,аҿы,лажин
9,Stirn::N,алахь,ненттабакӏ
10,Haar::N,ахəыц,чӏара
11,Schnurrbart::N,аҧаҵа,ссирссилтту
12,Bart::N,ажакьа,чӏири
13,Kinn::N,ацламкəыгə,лунттубакӏ
14,Kiefer[Anatomie]::N,ацламҳəа,ххинчулул
15,Kehle::N,ахəда,кьакьари
16,Hals::N,ахəда,ссурссу
17,Genick::N,ахəдаџьал,махъабакӏ
18,Kopf::N,ахы,бакӏ
19,Rücken::N,азқəа,ттиликӏ
20,Bauch::N,амгəа,лякьа
21,Nabel::N,аҷапан,цӏумуккутӏ
22,Busen::N,агəыҧҳəы,ккукку
23,Brust::N,агəышҧы,хъазам
24,Schulter::N,ажəҩахыр,хъачӏ
25,Arm::N,амахəар,ка
26,Ellenbogen::N,амашьхəылҵ,ссюрхъ
27,Hand::N,анапы,бартка
28,Handfläche::N,анапсаргəыҵа,хъат
29,Handfläche::N,анапсаргəыҵа,битӏянхъ
30,Finger::N,анацəа,кӏисса
31,Fingernagel::N,анапхыц,михь
32,Nagel[Anatomie]::N,ашьапхыц,михь
33,Zeh::N,ашьацəа,кӏисса
34,Fuß::N,ашьапсыргəыҵа,чӏанччан
35,Ferse::N,ашьхəа,никъа
36,Knie::N,ашьамхы,ник
37,Oberschenkel::N,ауаҭəа,жира
38,Bein::N,ашьапы,ччан
39,Körper::N,ацəеижь,чурх
40,Haut::N,ацəа,бурчу
41,Blut::N,ашьа,оь
42,Ader::N,ада,тунну
43,Sehne::N,адаш,хьхьа
44,Knochen::N,абаҩ,ттаркӏ
45,Gehirn::N,ахшлыбаҩ,ня
46,Gehirn::N,ахшыбаҩ,ня
47,Herz::N,агəы,дакӏ
48,Herz::N,агəы,къюкӏ
49,Magen::N,аца,лякьа
50,Magen::N,ацар,лякьа
51,Leber::N,агəаҵəа,
52,Atem::N,аҧсыҧлагаҩгара,ссихӏ ласаву
53,Atem::N,аҧсыҧлагаҩгара,ссихӏ бигьаву
54,Hunger::N,амла,ккаши
55,Träne::N,алабжыш,макь
56,Geschmack::N,агьама,тӏин
57,Geschmack::N,агьама,тӏааьн
58,Geruch::N,афҩы,кьанкь
59,Schlaf::N,ацəа,шану
60,Traum::N,аҧхыӡ,макӏру
61,Himmel::N,ажəҩан,ссав
62,Sonne::N,амра,баргъ
63,Mond::N,амза,барз
64,Stern::N,аеҵəа,цӏуку
65,Luft::N,аҳаир,гьава
66,Wind::N,аҧша,марч
67,Welle::N,ацəқəырҧа,щатӏи
68,Wasser::N,аӡы,щин
69,Stein::N,ахаҳə,чару
70,Boden::N,адгьыл,аьрщи
71,Erde::N,адгьыл,аьрщи
72,Staub::N,асаба,ххит
73,Rauch::N,алҩа,пуркӏу
74,Funke::N,акəиц,пиягь
75,Funke::N,ацҧхь,пиягь
76,Feuer::N,амца,цӏу
77,Licht::N,алашара,чани
78,Schatten::N,ашəшьыра,ххют
79,Wetter::N,амш,гьава
80,Nebel::N,анаҟəа,шархь ттурлу
81,Wolke::N,аҧсҭҳəа,ттурлу
82,Regen::N,ақəа,гъарал
83,Schnee::N,асы,марххала
84,Eis::N,аҵаа,микӏ
85,Frost::N,аҵаа,дяркъу
86,Frost::N,аҵаа,замгьар
87,Kälte::N,ахьҭа,дяркъу
88,Hitze::N,ашоура,кӏиришиву
89,Raureif::N,аҵааҧшқа,сил
90,Raureif::N,аҵааҧшқа,бурса
91,Regenbogen::N,ацəаҟəа,ссурул ккуртта
92,Donner::N,адыд,къув
93,Strömung::N,аиасра,экьинанаву
94,Strömung::N,амҩасра,экьинанаву
95,Tropfen::N,ацəыкəбар,кӏунтӏ
96,Schaum::N,ашəах,хьама
97,Schmutz::N,алымт,кьяркьи
98,See::N,аӡиа,бяр
99,Sumpf::N,аӡмах,кунцӏа
100,Wiese::N,адəы,кьан
101,Wald::N,абна,вацӏа
102,Hügel::N,ахəы,бакӏу
103,Anhöhe::N,аҳаракыра,
104,Berg::N,ашьха,зунтту
105,Gipfel::N,ацəқəа,мицӏ
106,Höhle::N,аҳаҧы,нух
107,Abhang::N,анаара,сун
108,Quelle::N,аҵҵырҭа,дайдихьу
109,Quelle::N,аҵҵырҭа,бакӏ
110,Bach::N,акəараҷҷа,чӏрир нех
111,Fluss::N,аӡиас,нех
112,Ufer::N,ахықə,зума
113,Küste::N,ахықə,зумаинхалу
114,Küste::N,ахықə,зуманицӏалу
115,Festland::N,абарра,кьири
116,Meer::N,амшын,хьхьири
117,Bucht::N,аӡбжьахала,
118,Insel::N,адгьылбжьаха,жазира
119,Blume::N,ашəҭ,тӏутӏи
120,Gras::N,аҳасакьын,уртту
121,Wurzel::N,адац,мархха
122,Baum::N,аҵла,мурхь
123,Stamm::N,ашьапы,ттарцӏ
124,Rinde::N,ацəа,ккамара
125,Ast::N,амахə,матӏи
126,Ast::N,амахəҭа,матӏи
127,Zweig::N,амахə,къяртта
128,Zweig::N,амахəҭа,къяртта
129,Blatt::N,абҕьы,чӏапӏи
130,Birke::N,аҵааҵла,кӏялахӏи
131,Birke::N,аҵааҵла,кӏялахӏилул мурхь
132,Kiefer[Baum]::N,амза,ттар
133,Kiefer[Baum]::N,амза,ттарлил мурхь
134,Weide[Baum]::N,аҧслыш,щавщи
135,Tanne::N,аҧсаӡ,ттарлил мурхь
136,Horn::N,атəыҩа,хъи
137,Feder::N,ахӡы,лелуххул тӏиму
138,Fell::N,ацəа,бурчу
139,Flügel::N,амҵəыжəа,хъа
140,Flügel::N,амҵəыжəа,ххурупӏайрал тӏиму
141,Klaue::N,ашьапхыц,михь
142,Schwanz::N,аҵыхəа,магъ
143,Ei::N,акəтаӷь,ккунук
144,Nest::N,аҭра,кюру
145,Nest::N,аҵысҭра,кюру
146,Bau::N,аҭыҩра,цукъуккутӏ
147,Tier::N,аҧстəы,хӏайван
148,Tier::N,агыгшəыг,хӏайван
149,Herde::N,агəарҭа,газу
150,Kuh::N,ажə,оьл
151,Bulle::N,ацə,ниц
152,Pferd::N,аҽы,чу
153,Schaf::N,ауаса,тта
154,Schwein::N,аҳəа,дунгъуз
155,Hund::N,ала,ккаччи
156,Katze::N,ацгəы,ччиту
157,Bär::N,амшə,цуша
158,Eichhörnchen::N,аеш,бюрхттукку
159,Elch::N,аҽаҩа,ниц-бюрин
160,Fuchs::N,абгахəыҷы,цулчӏа
161,Fuchs::N,абгахəыҷы,куча цулчӏа
162,Hase::N,ажьа,бюрх
163,Maus::N,аҳəынаҧ,кӏулу
164,Wolf::N,абгаду,барцӏ
165,Vogel::N,аҧсаатə,лелуххи
166,Huhn::N,акəты,аьнакӏи
167,Hahn::N,арбаҕь,ажари
168,Gans::N,аҟыз,къаз
169,Adler::N,ауарба,барзу
170,Ente::N,акəата,урдак
171,Eule::N,аты,ису
172,Eule::N,аты,ччиккумяв
173,Kranich::N,апҟа,кьурукь
174,Krähe::N,аҟəараан,хъатӏу
175,Kuckuck::N,акəыкəу,ччикку
176,Schwan::N,агьад,урттил къаз
177,Fisch::N,аҧсыӡ,чавахъ
178,Barsch::N,ацəыбла,
179,Hecht::N,ахиаала,
180,Schlange[Tier]::N,амаҭ,шатта
181,Wurm::N,ахəа,кьюнукьай шатта
182,Wurm::N,ахəац,кьюнукьай шатта
183,Spinne::N,абызкаҭаҳа,ххялцу
184,Ameise::N,ашышкамс,митӏикьукьу
185,Laus::N,аҵа,
186,Mücke::N,акəыбры,мичӏак
187,Fliege::N,амҵ,зимиз
188,Schmetterling::N,аҧарҧалыкь,чӏимучӏали
189,Beere::N,аргуц,хӏаллил ахъулсса
190,Apfel::N,аҵəа,гьивч
191,Pilz::N,акəкəбаа,ттуккул иис
