,Concept_ID,av,sq
0,Ohr::N,гӏин,vesh
1,Nase::N,мегӏер,hundë
2,Mund::N,кӏал,gojë
3,Zahn::N,гӏус,dhëmb
4,Zunge::N,мацӏ,gjuhë
5,Lippe::N,кӏветӏ,buzë
6,Wange::N,гӏоно,faqe
7,Wange::N,гӏоно,mollëz
8,Gesicht::N,гьумер,fytyrë
9,Stirn::N,нодо,ballë
10,Haar::N,рас,flokë
11,Schnurrbart::N,михъ,mustaqe
12,Bart::N,мегеж,mjekër
13,Kinn::N,нилъу,mjekër
14,Kiefer[Anatomie]::N,чанагъ,nofull
15,Kehle::N,щекъер,fyt
16,Kehle::N,щекъер,grykë
17,Hals::N,габур,qafë
18,Genick::N,гъванща,arrëz
19,Kopf::N,бетӏер,kokë
20,Rücken::N,мугъ,kurriz
21,Bauch::N,чехь,bark
22,Nabel::N,цӏину,kërthizë
23,Busen::N,керен,gji
24,Brust::N,керен,gjoks
25,Brust::N,керен,kraharor
26,Schulter::N,гъажазубетӏер,sup
27,Schulter::N,гъажазубетӏер,krah
28,Arm::N,гъеж,krah
29,Ellenbogen::N,гӏункӏрукь,bërryl
30,Hand::N,квер,dorë
31,Handfläche::N,огъохъат,pëllëmbë
32,Handfläche::N,жанисахъат,pëllëmbë
33,Finger::N,килищ,gisht
34,Fingernagel::N,малъ,thua
35,Nagel[Anatomie]::N,малъ,thua
36,Zeh::N,килищ,gisht i këmbës
37,Fuß::N,хӏетӏ,këmbë
38,Fuß::N,хӏетӏе,këmbë
39,Ferse::N,эгъе,thembër
40,Knie::N,наку,gju
41,Oberschenkel::N,мачӏ,kofshë
42,Bein::N,бох,këmbë
43,Körper::N,къаркъала,trup
44,Haut::N,тӏом,lëkurë
45,Blut::N,би,gjak
46,Ader::N,бидурихь,venë
47,Knochen::N,ракьа,asht
48,Knochen::N,ракьа,kockë
49,Gehirn::N,гӏадалнах,tru
50,Herz::N,ракӏ,zemër
51,Magen::N,кванирукъ,stomak
52,Leber::N,тӏул,mëlçi
53,Atem::N,хӏухь,frymë
54,Hunger::N,ракъи,uri
55,Träne::N,магӏу,lot
56,Geschmack::N,тату,shije
57,Geruch::N,махӏ,erë
58,Schlaf::N,макьу,gjumë
59,Traum::N,макьу,ëndërr
60,Himmel::N,зоб,qiell
61,Sonne::N,бакъ,diell
62,Mond::N,моцӏ,hënë
63,Stern::N,цӏва,yll
64,Luft::N,гьава,ajër
65,Wind::N,гьури,erë
66,Welle::N,карачел,valë
67,Welle::N,карачел,dallgë
