,Concept_ID,ja,ce
0,Auge::N,目,бӏаьрг
1,Ohr::N,耳,лерг
2,Nase::N,鼻,мара
3,Mund::N,口,бага
4,Zahn::N,歯,церг
5,Zunge::N,舌,мотт
6,Lippe::N,唇,балда
7,Wange::N,頬,бесни
8,Gesicht::N,顔,юьхь
9,Stirn::N,額,хьаж
10,Haar::N,髪,мас
11,Schnurrbart::N,口髭,мекх
12,Bart::N,髭,маж
13,Kinn::N,顎,чӏениг
14,Kiefer[Anatomie]::N,顎,мочхал
15,Kehle::N,喉,къамкъарг
16,Hals::N,首,ворта
17,Genick::N,首,кӏесаркӏаг
18,Kopf::N,頭,корта
19,Rücken::N,背中,букъ
20,Bauch::N,腹,кийра
21,Bauch::N,お腹,кийра
22,Nabel::N,へそ,цӏонга
23,Busen::N,乳房,зударийн накха
24,Brust::N,胸,накха
25,Schulter::N,肩,белш
26,Arm::N,腕,пхьарс
27,Ellenbogen::N,肘,пхьаьрсан гола
28,Hand::N,手,куьг
29,Handfläche::N,手のひら,кераюкъ
30,Finger::N,指,пӏелг
31,Fingernagel::N,爪,мӏара
32,Nagel[Anatomie]::N,爪,мӏара
33,Zeh::N,足の指,кога пӏелг
34,Fuß::N,足,ког
35,Ferse::N,かかと,кӏажа
36,Knie::N,膝,гола
37,Oberschenkel::N,上腿,варе
38,Bein::N,足,ког
39,Körper::N,体,хӏума
40,Haut::N,皮膚,чкъор
41,Blut::N,血,цӏий
42,Ader::N,血管,пха
43,Sehne::N,腱,хьорзам
44,Knochen::N,骨,даьӏахк
45,Gehirn::N,脳,хье
46,Herz::N,心,дог
47,Herz::N,心臓,дог
48,Magen::N,胃,зорх
49,Leber::N,肝臓,доӏах
50,Atem::N,息,садеӏар
51,Atem::N,呼吸,садеӏар
52,Hunger::N,空腹,мацалла
53,Träne::N,涙,бӏаьрхи
54,Geschmack::N,味,чам
55,Geruch::N,匂い,хьожа
56,Schlaf::N,睡眠,наб
57,Traum::N,夢,гӏан
58,Himmel::N,空,стигал
59,Sonne::N,太陽,малх
60,Mond::N,月,бутт
61,Stern::N,星,седа
62,Luft::N,空気,xӏаваъ
63,Wind::N,風,мох
64,Welle::N,波,тулгӏе
65,Wasser::N,水,хи
66,Stein::N,石,тӏулг
67,Boden::N,土地,цӏенкъа
68,Erde::N,土,латта
69,Staub::N,埃,чан
70,Rauch::N,煙,кӏур
71,Funke::N,火花,суй
72,Feuer::N,火,цӏе
73,Licht::N,光,серло
74,Schatten::N,陰,ӏиндагӏ
75,Wetter::N,天気,хенан хӏоттам
76,Nebel::N,霧,дохк
77,Wolke::N,雲,марха
78,Regen::N,雨,догӏа
79,Schnee::N,雪,ло
80,Eis::N,氷,ша
81,Frost::N,霜,шело
82,Kälte::N,寒さ,шело
83,Hitze::N,暑さ,йовхо
