,Concept_ID,ar,fi
0,Auge::N,عين,silmä
1,Ohr::N,أذن,korva
2,Nase::N,أنف,nenä
3,Mund::N,فم,suu
4,Zahn::N,سن,hammas
5,Zunge::N,لسان,kieli
6,Lippe::N,شفة,huuli
7,Wange::N,خد,poski
8,Wange::N,وجنة,poski
9,Gesicht::N,وجه,naama
10,Gesicht::N,وجه,kasvot
11,Stirn::N,جبين,otsa
12,Haar::N,شعر,hius
13,Haar::N,شعر,tukka
14,Schnurrbart::N,شارب,viikset
15,Bart::N,لحية,parta
16,Kinn::N,ذقن,leuka
17,Kiefer[Anatomie]::N,فك,leukaluu
18,Kehle::N,حلق,kurkku
19,Hals::N,عنق,kaula
20,Hals::N,رقبة,kaula
21,Genick::N,قفا,niska
22,Kopf::N,رأس,pää
23,Rücken::N,ظهر,selkä
24,Bauch::N,بطن,maha
25,Bauch::N,بطن,vatsa
26,Nabel::N,سرة,napa
27,Busen::N,ثدي,rinta
28,Brust::N,صدر,rinta
29,Schulter::N,كتف,olka
30,Schulter::N,كتف,hartia
31,Schulter::N,كتف,olkapää
32,Arm::N,ذراع,käsivarsi
33,Ellenbogen::N,كوع,kyynärpää
34,Hand::N,يد,käsi
35,Handfläche::N,كف,kämmen
36,Finger::N,إصبع,sormi
37,Fingernagel::N,ظفر,kynsi
38,Nagel[Anatomie]::N,ظفر,kynsi
39,Zeh::N,إصبع القدم,varvas
40,Fuß::N,قدم,jalka
41,Ferse::N,كعب,kantapää
42,Knie::N,ركبة,polvi
43,Oberschenkel::N,فخذ,reisi
44,Bein::N,ساق,jalka
45,Körper::N,جسم,keho
46,Körper::N,جسم,ruumis
47,Haut::N,بشرة,iho
48,Blut::N,دم,veri
49,Ader::N,عرق,suoni
50,Sehne::N,طنب,jänne
51,Knochen::N,عظم,luu
52,Gehirn::N,دماغ,aivot
53,Herz::N,قلب,sydän
54,Magen::N,معدة,maha
55,Magen::N,معدة,vatsa
56,Leber::N,كبد,maksa
57,Atem::N,نفس,henki
58,Atem::N,نفس,hengitys
59,Hunger::N,جوع,nälkä
60,Träne::N,دمعة,kyynel
61,Geschmack::N,طعم,maku
62,Geschmack::N,مذاق,maku
63,Geruch::N,رائحة,haju
64,Schlaf::N,نوم,uni
65,Schlaf::N,منام,uni
66,Traum::N,حلم,uni
67,Himmel::N,سماء,taivas
68,Sonne::N,شمس,aurinko
69,Mond::N,قمر,kuu
70,Stern::N,نجم,tähti
71,Stern::N,كوكب,tähti
72,Luft::N,هواء,ilma
73,Wind::N,ريح,tuuli
74,Welle::N,موجة,aalto
75,Wasser::N,ماء,vesi
76,Stein::N,حجر,kivi
77,Boden::N,تراب,maa
78,Boden::N,تراب,maaperä
79,Erde::N,أرض,maa
80,Staub::N,غبار,pöly
81,Rauch::N,دخان,savu
82,Funke::N,شرارة,kipinä
83,Feuer::N,نار,tuli
84,Licht::N,نور,valo
85,Licht::N,ضوء,valo
86,Schatten::N,ظل,varjo
87,Schatten::N,فيء,varjo
88,Wetter::N,جو,sää
89,Wetter::N,طقس,sää
90,Nebel::N,ضباب,sumu
91,Wolke::N,غيمة,pilvi
92,Wolke::N,سحابة,pilvi
93,Regen::N,مطر,sade
94,Schnee::N,ثلج,lumi
95,Eis::N,جليد,jää
96,Frost::N,صقيع,halla
97,Frost::N,صقيع,pakkanen
98,Kälte::N,برد,vilu
99,Kälte::N,برد,kylmyys
100,Hitze::N,حر,helle
101,Hitze::N,حر,kuumuus
102,Hitze::N,حرارة,helle
103,Hitze::N,حرارة,kuumuus
104,Raureif::N,صقيع,huurre
105,Regenbogen::N,قوس قزح,sateenkaari
106,Donner::N,رعد,jyrinä
107,Strömung::N,تيار,virtaus
108,Tropfen::N,قطرة,tippa
109,Tropfen::N,قطرة,pisara
110,Schaum::N,زبد,vaahto
111,Schaum::N,رغوة,vaahto
112,Schmutz::N,وسخ,loka
113,See::N,بحيرة,järvi
114,Sumpf::N,مستنقع,suo
115,Moor::N,مستنقع,räme
116,Wiese::N,مرج,niitty
117,Wald::N,غابة,metsä
118,Hügel::N,تل,mäki
119,Hügel::N,تل,kumpu
120,Hügel::N,تل,kukkula
121,Anhöhe::N,تل,mäki
122,Anhöhe::N,تل,kumpare
123,Berg::N,جبل,mäki
124,Berg::N,جبل,vuori
125,Gipfel::N,قمة,laki
126,Gipfel::N,قمة,huippu
127,Höhle::N,كهف,luola
128,Abhang::N,منحدر,rinne
129,Quelle::N,منبع,lähde
130,Bach::N,مجرى,puro
131,Fluss::N,نهر,joki
132,Ufer::N,ضفة,ranta
133,Küste::N,ساحل,rannikko
134,Festland::N,بر,manner
135,Meer::N,بحر,meri
136,Bucht::N,خليج,lahti
137,Insel::N,جزيرة,saari
138,Blume::N,زهرة,kukka
139,Gras::N,حشيش,ruoho
140,Wurzel::N,أصل,juuri
141,Baum::N,شجرة,puu
142,Stamm::N,جذع,runko
143,Rinde::N,قشرة,kuori
144,Rinde::N,قشرة,parkki
145,Ast::N,فرع,oksa
146,Zweig::N,غصن,haara
147,Blatt::N,ورقة,lehti
148,Birke::N,قضبان,koivu
149,Kiefer[Baum]::N,صنوبرة,mänty
150,Kiefer[Baum]::N,صنوبرة,petäjä
151,Weide[Baum]::N,صفصاف,paju
152,Tanne::N,شوح,kuusi
153,Tanne::N,تبوب,kuusi
154,Horn::N,قرن,sarvi
155,Feder::N,ريشة,sulka
156,Feder::N,ريشة,höyhen
157,Fell::N,فرو,talja
158,Flügel::N,جناح,siipi
159,Klaue::N,مخلب,kynsi
160,Kralle::N,مخلب,kynsi
161,Schwanz::N,ذيل,häntä
162,Schwanz::N,ذيل,pyrstö
163,Ei::N,بيض,muna
164,Nest::N,عش,pesä
165,Bau::N,جحر,pesä
166,Tier::N,حيوان,eläin
167,Herde::N,قطيع,lauma
168,Kuh::N,بقرة,lehmä
169,Bulle::N,ثور,sonni
170,Pferd::N,خيل,hevonen
171,Schaf::N,شاة,lammas
172,Schwein::N,خنزير,sika
173,Hund::N,كلب,koira
174,Katze::N,قطة,kissa
175,Bär::N,دب,karhu
176,Eichhörnchen::N,سنجاب,orava
177,Elch::N,موظ,hirvi
178,Fuchs::N,ثعلب,kettu
179,Hase::N,أرنب,jänis
180,Maus::N,فأرة,hiiri
181,Wolf::N,ذئب,susi
182,Vogel::N,طير,lintu
183,Schwarm::N,سرب,parvi
184,Huhn::N,دجاجة,kana
185,Hahn::N,ديك,kukko
186,Gans::N,وزة,hanhi
187,Adler::N,نسر,kotka
188,Ente::N,بطة,ankka
189,Eule::N,بوم,pöllö
190,Kranich::N,كركي,kurki
191,Krähe::N,غراب,varis
192,Kuckuck::N,وقواق,käki
193,Schwan::N,إوز عراقي,joutsen
194,Fisch::N,سمك,kala
195,Barsch::N,فرخ أوربي,ahven
196,Hecht::N,سمك الكراكي,hauki
197,Schlange[Tier]::N,حية,käärme
198,Schlange[Tier]::N,ثعبان,käärme
199,Wurm::N,دودة,mato
200,Spinne::N,عنكبوت,hämähäkki
201,Ameise::N,نملة,muurahainen
202,Laus::N,قملة,täi
203,Mücke::N,ناموسة,sääski
204,Mücke::N,ناموسة,hyttynen
205,Fliege::N,ذبابة,kärpänen
206,Schmetterling::N,فراشة,perhonen
207,Beere::N,حبة,marja
208,Apfel::N,تفاح,omena
209,Pilz::N,فطر,sieni
210,Zwiebel::N,بصل,sipuli
211,Saat::N,زرع,siemenet
212,Korn::N,حبة,jyvä
213,Korn::N,حبة,vilja
214,Heu::N,دريس,heinä
215,Schale::N,قشرة,kuori
216,Grube::N,نقرة,kuoppa
217,Falle::N,فخ,loukku
218,Falle::N,مصيدة,loukku
219,Schlinge::N,عروة,ansa
220,Spur::N,أثر,jälki
221,Asche::N,رماد,tuhka
222,Dreck::N,قذر,lika
223,Eisen::N,حديد,rauta
224,Gold::N,ذهب,kulta
225,Silber::N,فضة,hopea
226,Kohle::N,فحم,hiili
227,Glas::N,زجاج,lasi
228,Lehm::N,طين,savi
229,Sand::N,رمل,hiekka
230,Mensch::N,إنسان,ihminen
231,Mann::N,رجل,mies
232,Frau::N,امرأة,nainen
233,Kind::N,طفل,lapsi
234,Junge::N,ولد,poika
235,Mädchen::N,بنت,tyttö
236,Familie::N,عائلة,perhe
237,Großvater::N,جد,isoisä
238,Großmutter::N,جدة,isoäiti
239,Eltern::N,أبوان,vanhemmat
240,Eltern::N,والدان,vanhemmat
241,Vater::N,أب,isä
242,Mutter::N,أم,äiti
243,Sohn::N,إبن,poika
244,Tochter::N,بنت,tytär
245,Tochter::N,إبنة,tytär
246,Bruder::N,أخ,veli
247,Bruder::N,شقيق,veli
248,Schwester::N,أخت,sisko
249,Onkel::N,عم,eno
250,Onkel::N,عم,setä
251,Tante::N,عمة,täti
252,Ehemann::N,زوج,mies
253,Ehemann::N,زوج,aviomies
254,Ehefrau::N,زوجة,vaimo
255,Ehefrau::N,زوجة,aviovaimo
256,Freude::N,فرح,ilo
257,Freude::N,فرح,riemu
258,Freude::N,سرور,ilo
259,Freude::N,سرور,riemu
260,Gelächter::N,قهقهة,nauru
261,Glück::N,سعادة,onni
262,Kummer::N,غم,suru
263,Kummer::N,غم,murhe
264,Wunsch::N,منية,toive
265,Wunsch::N,منية,toivomus
266,Lust::N,شهوة,himo
267,Geist::N,روح,henki
268,Gedanke::N,فكرة,aate
269,Gedanke::N,فكرة,ajatus
270,Gedächtnis::N,ذاكرة,muisti
271,Verstand::N,عقل,äly
272,Verstand::N,عقل,järki
273,Verstand::N,عقل,ymmärrys
274,Sinn::N,معنى,merkitys
275,Grund::N,سبب,syy
276,Grund::N,سبب,peruste
277,Wahrheit::N,حقيقة,tosi
278,Wahrheit::N,حقيقة,totuus
279,Gespräch::N,محادثة,puhelu
280,Gespräch::N,محادثة,keskustelu
281,Märchen::N,خرافة,satu
282,Erzählung::N,قصة,tarina
