,Concept_ID,lez,be
0,Auge::N,вил,вока
1,Ohr::N,яб,вуха
2,Nase::N,нер,нос
3,Mund::N,сив,рот
4,Zahn::N,сас,зуб
5,Zahn::N,свах,зуб
6,Zunge::N,мез,язык
7,Lippe::N,пӏуз,губа
8,Wange::N,хъвехъ,шчака
9,Gesicht::N,ччин,твар
10,Stirn::N,пел,лоб
11,Haar::N,чӏар,волас
12,Haar::N,чӏар,валасы
13,Schnurrbart::N,спел,вус
14,Schnurrbart::N,спел,вусы
15,Schnurrbart::N,спелар,вус
16,Schnurrbart::N,спелар,вусы
17,Bart::N,ччуру,барада
18,Kinn::N,чене,падбародак
19,Kiefer[Anatomie]::N,чене,сківіца
20,Kehle::N,туьд,горла
21,Hals::N,гардан,шыя
22,Genick::N,кьам,патыліца
23,Kopf::N,кьил,галава
24,Rücken::N,далу,спіна
25,Bauch::N,руфун,жывот
26,Nabel::N,пицӏ,пупок
27,Busen::N,мам,грудзі
28,Brust::N,хур,грудзі
29,Schulter::N,къуьн,плячо
30,Arm::N,гъил,рука
31,Ellenbogen::N,кьуьнт,локаць
32,Hand::N,капаш,кісць
33,Handfläche::N,капан юкь,далонь
34,Finger::N,тӏуб,палец
35,Fingernagel::N,кек,ногаць
36,Nagel[Anatomie]::N,кек,ногаць
37,Zeh::N,кул,палец
38,Fuß::N,кӏвач,нага
39,Ferse::N,дабан,пята
40,Ferse::N,дабан,пятка
41,Knie::N,мет,калена
42,Bein::N,кӏвач,нага
43,Körper::N,беден,цела
44,Haut::N,хам,скура
45,Blut::N,иви,кроў
46,Ader::N,дамар,вена
47,Ader::N,дамар,сасуд
48,Sehne::N,кьуру дамар,жыла
49,Sehne::N,кьуру дамар,цеціва
50,Sehne::N,кьуру дамар,сухажылле
51,Knochen::N,кӏараб,косць
52,Gehirn::N,мефт,мозг
53,Herz::N,рикӏ,сэрца
54,Magen::N,хук,страўнік
55,Leber::N,лекь,печань
56,Atem::N,ял,дыханне
57,Atem::N,нефес,дыханне
58,Hunger::N,каш,голад
59,Träne::N,вилин нагъв,сляза
60,Geschmack::N,дад,смак
61,Geschmack::N,тӏям,смак
62,Geruch::N,ни,пах
63,Schlaf::N,ахвар,сон
64,Traum::N,ахвар,сон
65,Himmel::N,цав,неба
66,Sonne::N,рагъ,сонца
67,Mond::N,варз,месяц
68,Stern::N,гъед,зорка
69,Luft::N,гьава,паветра
70,Wind::N,гар,вецер
71,Welle::N,лепе,хваля
72,Wasser::N,яд,вада
73,Stein::N,къван,камень
74,Boden::N,накьв,глеба
75,Erde::N,ччил,зямля
76,Staub::N,руг,пыл
77,Rauch::N,гум,дым
78,Funke::N,цӏелхем,іскра
79,Feuer::N,цӏай,агонь
80,Licht::N,экв,святло
81,Schatten::N,серин,цень
82,Wetter::N,гьава,пагода
83,Wetter::N,гьава,надворʼе
84,Nebel::N,ччилин циф,туман
85,Wolke::N,циф,воблака
86,Regen::N,марф,дождж
87,Schnee::N,жив,снег
88,Eis::N,мурк,лёд
89,Frost::N,аяз,мароз
90,Kälte::N,мекь,холад
91,Kälte::N,мекьивал,холад
92,Hitze::N,зегьем,спёка
93,Raureif::N,къирав,іней
94,Regenbogen::N,яргъируш,вясёлка
95,Donner::N,цавун ван,гром
96,Tropfen::N,стӏал,кропля
97,Schaum::N,каф,пена
98,Schmutz::N,чирк,гразь
99,Schmutz::N,кьуруш,гразь
100,See::N,вир,возера
101,Sumpf::N,уьлен,багна
102,Wiese::N,векь,луг
103,Wald::N,там,лес
104,Hügel::N,кӏунтӏ,узгорак
105,Anhöhe::N,тепе,узвышша
106,Anhöhe::N,гьуьндуьрвал,узвышша
107,Berg::N,дагъ,гара
