,Concept_ID,fa,tt
184,Schwarm::N,دسته,көтү
185,Huhn::N,مرغ,тавык
186,Hahn::N,خروس,әтәч
187,Gans::N,غاز,каз
188,Adler::N,عقاب,каракош
189,Ente::N,اردک,үрдәк
190,Ente::N,مرغابی,үрдәк
191,Eule::N,جغد,ябалак
192,Kranich::N,درنا,торна
193,Krähe::N,زاغ,карга
194,Krähe::N,کلاغ,карга
195,Kuckuck::N,فاخته,күке
196,Kuckuck::N,فاخته,кәккүк
197,Schwan::N,قو,аккош
198,Fisch::N,ماهی,балык
199,Barsch::N,ماهی خاردار,алабуга
200,Hecht::N,اردک ماهی,чуртан
201,Schlange[Tier]::N,مار,елан
202,Wurm::N,کرم,корт
203,Spinne::N,عنکبوت,үрмәкүч
204,Ameise::N,مورچه,кырмыска
205,Laus::N,شپش,бет
206,Mücke::N,پشه,черки
207,Mücke::N,پشه,озынборын
208,Fliege::N,مگس,чебен
209,Schmetterling::N,پروانه,күбәләк
210,Beere::N,گیله,җиләк
211,Apfel::N,سیب,алма
212,Pilz::N,قارچ,гөмбә
213,Zwiebel::N,پیاز,суган
214,Zwiebel::N,پیاز,суганбаш
215,Saat::N,بذر,орлык
216,Korn::N,تخم,иген
217,Korn::N,تخم,орлык
218,Korn::N,دانه,иген
219,Korn::N,دانه,орлык
220,Heu::N,علف خشک,печән
221,Schale::N,پوست,кабык
222,Grube::N,گودال,баз
223,Grube::N,گودال,чокыр
224,Falle::N,دام,тозак
225,Falle::N,دام,капкын
226,Schlinge::N,حلقه,элмәк
227,Spur::N,رد,эз
228,Asche::N,خاکستر,көл
229,Dreck::N,کثافت,пычрак
230,Eisen::N,آهن,тимер
231,Gold::N,زر,алтын
232,Gold::N,طلا,алтын
233,Silber::N,نقره,көмеш
234,Kohle::N,زغال,күмер
235,Glas::N,شیشه,пыяла
236,Lehm::N,گل,балчык
237,Sand::N,شن,ком
238,Sand::N,ماسه,ком
239,Mensch::N,آدم,адәм
240,Mensch::N,آدم,инсан
241,Mensch::N,انسان,адәм
242,Mensch::N,انسان,инсан
243,Mann::N,مرد,ир
244,Frau::N,زن,хатын
245,Kind::N,بچه,бала
246,Kind::N,کودک,бала
247,Junge::N,پسر,малай
248,Mädchen::N,دختر,кыз
249,Familie::N,فامیل,гаилә
250,Familie::N,خانواده,гаилә
251,Großvater::N,پدربزرگ,бабай
252,Großmutter::N,مادر‌بزرگ,әби
253,Eltern::N,والدین,ата-ана
254,Eltern::N,پدر‌و‌مادر,ата-ана
255,Vater::N,پدر,ата
256,Mutter::N,مادر,ана
257,Sohn::N,پسر,ул
258,Tochter::N,دختر,кыз
259,Bruder::N,برادر,кардәш
260,Schwester::N,خواهر,апа
261,Schwester::N,خواهر,сеңел
262,Onkel::N,عمو,дәдә
263,Onkel::N,عمو,дәдәй
264,Onkel::N,دایی,дәдә
265,Onkel::N,دایی,дәдәй
266,Tante::N,عمه,түти
267,Tante::N,عمه,тәтәй
268,Tante::N,خاله,түти
269,Tante::N,خاله,тәтәй
270,Ehemann::N,همسر,ир
271,Ehefrau::N,همسر,хатын
272,Freude::N,شادی,сөенеч
273,Gelächter::N,خنده,көлү
274,Gelächter::N,خنده,көлеш
275,Gelächter::N,قاه‌قاه,көлү
276,Gelächter::N,قاه‌قاه,көлеш
277,Glück::N,اقبال,бәхет
278,Kummer::N,غم,хәсрәт
279,Kummer::N,غصه,хәсрәт
280,Wunsch::N,آرزو,теләк
281,Lust::N,هوس,теләк
282,Lust::N,هوس,теләү
283,Geist::N,روح,рух
284,Gedanke::N,فکر,уй
285,Gedanke::N,فکر,фикер
286,Gedächtnis::N,حافظه,хәтер
287,Verstand::N,هوش,акыл
288,Sinn::N,معنا,мәгънә
289,Sinn::N,مفهوم,мәгънә
290,Grund::N,سبب,сәбәп
291,Grund::N,دلیل,сәбәп
292,Wahrheit::N,حقیقت,хак
293,Gespräch::N,صحبت,әңгәмә
294,Gespräch::N,گفتگو,әңгәмә
295,Märchen::N,قصه,әкият
296,Märchen::N,افسانه,әкият
297,Erzählung::N,داستان,хикәя
298,Nachricht::N,خبر,хәбәр
299,Neuigkeit::N,خبر تازه,яңалык
300,Name::N,اسم,исем
301,Rätsel::N,معما,табышмак
302,Rede::N,سخن,нотык
303,Sprache::N,زبان,тел
304,Stimme::N,صدا,тавыш
305,Wort::N,کلمه,сүз
306,Zeichen::N,نشان,ишарә
307,Zeichen::N,علامت,ишарә
308,Ruf::N,صدا,дәшү
309,Lärm::N,هیاهو,шау
310,Laut::N,صدا,аваз
311,Ton::N,آهنگ,шалтырату
312,Lied::N,آواز,җыр
313,Lied::N,ترانه,җыр
314,Ruhe::N,آرامش,тынлык
315,Leute::N,مردم,халык
316,Volk::N,خلق,халык
317,Arbeit::N,کار,эш
318,Arbeit::N,کار,хезмәт
319,Gast::N,مهمان,кунак
320,Geschenk::N,هدیه,бүләк
321,Spiel::N,بازی,уен
322,Gesellschaft::N,جمعیت,җәмгыять
323,Hilfe::N,کمک,ярдәм
324,Hilfe::N,کمک,булышлык
325,Freund::N,دوست,дус
326,Kamerad::N,رفیق,иптәш
327,Angelegenheit::N,امر,эш
328,Angelegenheit::N,قضیه,эш
329,Anzahl::N,عده,микъдар
330,Anzahl::N,شمار,микъдар
331,Art::N,نوع,төр
332,Stück::N,تکه,кисәк
333,Stück::N,قطعه,кисәк
334,Teil::N,بخش,өлеш
335,Teil::N,قسمت,өлеш
336,Hälfte::N,نیم,ярым
337,Kreis::N,حلقه,түгәрәк
338,Kreis::N,دایره,түгәрәк
339,Kreuz::N,صلیب,хач
340,Kreuz::N,صلیب,тәре
