,Concept_ID,ml,br
0,Auge::N,കണ്ണ്,lagad
1,Ohr::N,ചെവി,skouarn
2,Nase::N,മൂക്ക്,fri
3,Mund::N,വായ,genoù
4,Zahn::N,പല്ല്,dant
5,Zunge::N,നാക്ക്,teod
6,Lippe::N,ചുണ്ട്,muzell
7,Wange::N,കവിൾത്തടം,chot
8,Gesicht::N,മുഖം,dremm
9,Stirn::N,നെറ്റി,tal
10,Haar::N,തലമുടി,blev
11,Schnurrbart::N,മീശ,mourenn
12,Bart::N,താടിരോമം,barv
13,Kinn::N,താടി,groñj
14,Kiefer[Anatomie]::N,താടിയെല്ല്,javed
15,Kehle::N,കണ്ഠനാളം,gouzoug
16,Hals::N,കഴുത്ത്,gouzoug
17,Genick::N,പിടലി,choug
18,Kopf::N,തല,penn
19,Rücken::N,മുതുക്,kein
20,Bauch::N,നയറ്,kof
21,Nabel::N,നാഭി,begel
22,Busen::N,സ്തനം,bronn
23,Brust::N,സ്തനം,bruched
24,Schulter::N,തോൾ,skoaz
25,Arm::N,കൈ,brec'h
26,Ellenbogen::N,കൈമുട്ട്,ilin
27,Hand::N,കൈ,dorn
28,Handfläche::N,ഉള്ളം കൈ,palv
29,Finger::N,വിരൽ,biz
30,Fingernagel::N,നഖം,ivin
31,Nagel[Anatomie]::N,നഖം,ivin
32,Zeh::N,കാൽവിരൽ,biz-troad
33,Fuß::N,കാൽപ്പാദം,troad
34,Ferse::N,ഉപ്പൂറ്റി,seul
35,Knie::N,കാൽമുട്ട്,glin
36,Oberschenkel::N,തുട,morzhed
37,Bein::N,കാൽ,gar
38,Körper::N,ശരീരം,korf
39,Haut::N,ചർമ്മം,kroc'hen
40,Blut::N,രക്തം,gwad
41,Ader::N,ഞരമ്പ്,gwazhi
42,Sehne::N,സ്നായു,stir
43,Knochen::N,അസ്ഥി,askorn
44,Gehirn::N,തലച്ചോറ്,empenn
45,Herz::N,ഹൃദയം,kalon
46,Magen::N,വയർ,stomog
47,Leber::N,കരൾ,avu
48,Atem::N,ശ്വാസം,anal
49,Hunger::N,വിശപ്പ്,naon
50,Träne::N,കണ്ണീർ,daer
51,Geschmack::N,രുചി,blaz
52,Geruch::N,ഗന്ധം,c'hwezh
53,Schlaf::N,ഉറകും,kousked
54,Traum::N,സ്വപ്നം,hune
55,Himmel::N,ആകാശം,oabl
56,Sonne::N,സൂര്യൻ,heol
57,Mond::N,ചന്ദ്രൻ,loar
58,Stern::N,നക്ഷത്രം,steredenn
59,Luft::N,കാറ്റ്,aer
60,Wind::N,കാറ്റ്,avel
61,Welle::N,തിരമാല,houlenn
62,Wasser::N,വെള്ളം,dour
63,Stein::N,ശില,maen
64,Stein::N,കല്ല്,maen
65,Boden::N,തറ,tachenn
66,Boden::N,നിലം,tachenn
67,Erde::N,മണ്ണ്,douar
68,Staub::N,പൊടി,poultr
69,Rauch::N,പുക,moged
70,Funke::N,തീപ്പൊരി,ful
71,Feuer::N,തീ,tan
72,Licht::N,വിളക്ക്,gouloù
73,Licht::N,സൂര്യപ്രകാശം,gouloù
74,Schatten::N,തണൽ,disheol
75,Wetter::N,കാലാവസ്ഥ,amzer
76,Nebel::N,മൂടൽമഞ്ഞ്,brumenn
77,Wolke::N,മേഘം,koumoulenn
78,Regen::N,മഴ,glav
79,Schnee::N,മഞ്ഞ്,erc'h
80,Eis::N,ഐസ്,skorn
81,Frost::N,മൂടൽമഞ്ഞ്,rev
82,Kälte::N,തണുപ്പ്,yen
83,Hitze::N,ചൂട്,tommder
84,Raureif::N,കോടമഞ്ഞ്,frim
85,Regenbogen::N,മഴവില്ല്,gwareg-ar-glav
86,Donner::N,ഇടി,kurun
87,Strömung::N,പ്രവാഹം,red
88,Tropfen::N,തുള്ളി,bannac'h
89,Tropfen::N,തുള്ളി,takenn
90,Schaum::N,നുര,spoum
91,Schmutz::N,അഴുക്ക്,fank
92,See::N,തടാകം,lenn
93,Sumpf::N,ചതുപ്പുനിലം,gwern
94,Moor::N,പാഴ്നിലം,taouarc'heg
95,Wiese::N,പുൽത്തകിടി,prad
96,Wald::N,വനം,koad
97,Wald::N,കാട്,koad
98,Hügel::N,കുന്ന്,torgenn
99,Anhöhe::N,ഉയർന്ന ഭൂമി,run
100,Berg::N,പർവ്വതം,menez
101,Gipfel::N,ഉച്ചകോടി,barr
102,Höhle::N,ഗുഹ,kav
103,Abhang::N,ചരിവ്,naou
104,Quelle::N,ഉറവിടം,feunteun
105,Bach::N,അരുവി,gwazh
106,Fluss::N,നദി,stêr
107,Ufer::N,തീരം,ribl
108,Küste::N,കടൽത്തീരം,aod
109,Festland::N,കര,douar
110,Meer::N,കടൽ,mor
111,Bucht::N,ഉൾക്കടല്,mor-bihan
112,Insel::N,ദ്വീപ്,enez
113,Blume::N,പൂവ്,bleunienn
114,Gras::N,പുല്ല്,geot
115,Wurzel::N,വേര്,gwrizienn
116,Baum::N,മരം,gwezenn
117,Stamm::N,തായ്ത്തടി,kef
118,Rinde::N,പട്ട,rusk
119,Ast::N,ശാഖ,barr
120,Zweig::N,ശാഖ,bod
121,Blatt::N,ഇല,delienn
122,Birke::N,പൂവരശ്,bezvenn
123,Kiefer[Baum]::N,പൈൻമരം,pinenn
124,Weide[Baum]::N,വില്ലോ,halegenn
125,Tanne::N,ദേവദാരു,sapenn
126,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,korn
127,Feder::N,തൂവൽ,pluñv
128,Fell::N,മൃദുരോമം,kreoñ
129,Flügel::N,ചിറക്,askell
130,Klaue::N,നഖം,skilf
131,Kralle::N,നഖം,skilf
132,Schwanz::N,വാൽ,lost
133,Ei::N,മുട്ട,vi
134,Nest::N,കൂട്,neizh
135,Bau::N,മാളം,douarenn
136,Tier::N,മൃഗം,loen
137,Herde::N,കൂട്ടം,tropell
138,Kuh::N,പശു,buoc'h
139,Bulle::N,കാള,tarv
140,Pferd::N,കുതിര,marc'h
141,Schaf::N,ആട്,dañvad
