,Concept_ID,ga,xal
0,Auge::N,súil,нүдн
1,Ohr::N,cluas,чикн
2,Nase::N,soc,хамр
3,Mund::N,béal,амн
4,Zahn::N,fiacail,шүдн
5,Zunge::N,teanga,келн
6,Lippe::N,liopa,урл
7,Wange::N,grua,халх
8,Wange::N,leiceann,халх
9,Gesicht::N,éadan,нүр
10,Gesicht::N,aghaidh,нүр
11,Stirn::N,baithis,маңна
12,Stirn::N,clár éadain,маңна
13,Haar::N,gruaig,үсн
14,Schnurrbart::N,croiméal,сахл
15,Bart::N,féasóg,сахл
16,Bart::N,féasóg,өргнә сахл
17,Kinn::N,smig,өргн
18,Kiefer[Anatomie]::N,giall,өргн
19,Kehle::N,scornach,хол
20,Hals::N,muinéal,күзүн
21,Genick::N,baic,гиҗг
22,Kopf::N,ceann,толһа
23,Rücken::N,droim,нурһн
24,Bauch::N,bolg,гесн
25,Nabel::N,imleacán,киисн
26,Busen::N,cíoch,көкн
27,Brust::N,brollach,чееҗ
28,Schulter::N,gualainn,ээм
29,Arm::N,lámh,һар
30,Ellenbogen::N,uillinn,тоха
31,Hand::N,lámh,баһлцг
32,Handfläche::N,bos,альхн
33,Finger::N,méar,хурһн
34,Finger::N,méar,һарин хурһн
35,Fingernagel::N,ionga,хумсн
36,Nagel[Anatomie]::N,ionga,хумсн
37,Zeh::N,ladhar,хурһн
38,Zeh::N,ladhar,көлин хурһн
39,Fuß::N,cos,тавг
40,Fuß::N,troigh,тавг
41,Ferse::N,sáil,өскә
42,Knie::N,glúin,өвдг
43,Oberschenkel::N,ceathrú,һуй
44,Bein::N,cos,көл
45,Körper::N,corp,махмуд
46,Körper::N,colainn,махмуд
47,Haut::N,cneas,арсн
48,Haut::N,craiceann,арсн
49,Blut::N,fuil,цусн
50,Sehne::N,teannán,шүрүсн
51,Sehne::N,féitheog,шүрүсн
52,Knochen::N,cnámh,ясн
53,Gehirn::N,inchinn,экн
54,Herz::N,croí,зүркн
55,Magen::N,bolg,гесн
56,Magen::N,goile,гесн
57,Leber::N,ae,элкн
58,Atem::N,anáil,әмсхл
59,Hunger::N,ocras,харһнлһн
60,Träne::N,deoir,нульмсн
61,Geschmack::N,blas,амтн
62,Geruch::N,boladh,үнр
63,Schlaf::N,suan,нөр
64,Schlaf::N,codladh,нөр
65,Traum::N,taibhreamh,зүүдн
66,Himmel::N,spéir,теңгр
67,Sonne::N,grian,нарн
68,Mond::N,ré,сар
69,Mond::N,gealach,сар
70,Stern::N,rinn,одн
71,Stern::N,réalta,одн
72,Luft::N,aer,аһар
73,Wind::N,gaoth,салькн
74,Welle::N,tonn,дольган
75,Wasser::N,uisce,усн
76,Stein::N,cloch,чолун
77,Boden::N,talamh,Һазр
78,Erde::N,cré,Һазр
79,Erde::N,ithir,Һазр
80,Staub::N,dusta,тоосн
81,Staub::N,deannach,тоосн
82,Rauch::N,toit,утан
83,Rauch::N,deatach,утан
84,Funke::N,drithle,очн
85,Feuer::N,tine,һал
86,Licht::N,solas,герл
87,Schatten::N,scáth,сүүдр
88,Wetter::N,aimsir,теңгр
89,Nebel::N,ceo,будн
90,Wolke::N,néal,үүлн
91,Wolke::N,scamall,үүлн
92,Regen::N,báisteach,хур
93,Regen::N,fearthainn,хур
94,Schnee::N,sneachta,цасн
95,Eis::N,oighear,мөсн
96,Frost::N,sioc,киитн
97,Kälte::N,fuacht,киитн
98,Hitze::N,teas,халун
99,Hitze::N,teocht,халун
100,Raureif::N,sioc bán,цаң
101,Raureif::N,sioc bán,кирү
102,Regenbogen::N,stua ceatha,солңһ
103,Regenbogen::N,bogha báistí,солңһ
104,Donner::N,toirneach,оһтрһун дун
105,Strömung::N,sruth,урсхл
106,Tropfen::N,deoir,дусал
107,Schaum::N,cúr,көөсн
108,Schmutz::N,salachar,кир
109,See::N,loch,нур
110,Sumpf::N,portach,унул
111,Moor::N,caorán,улм
112,Moor::N,móinteán,улм
113,Wiese::N,cluain,хадлһн
114,Wiese::N,móinéar,хадлһн
115,Wald::N,coill,ө-модн
116,Wald::N,foraois,ө-модн
117,Hügel::N,ard,толһа
118,Anhöhe::N,ard,хамр
119,Anhöhe::N,ardán,хамр
120,Berg::N,sliabh,уул
121,Gipfel::N,barr,ора
122,Gipfel::N,mullach,ора
123,Höhle::N,uaimh,хадин көндә
124,Höhle::N,pluais,хадин көндә
125,Abhang::N,fána,ташу
126,Quelle::N,foinse,булг
127,Bach::N,sruthán,һооҗур
128,Fluss::N,abhainn,һол
129,Ufer::N,bruach,көвә
130,Küste::N,cósta,көвә
131,Küste::N,cósta,теңгсин көвә
132,Küste::N,cladach,көвә
133,Küste::N,cladach,теңгсин көвә
134,Festland::N,míntír,хүүрә һазр
135,Meer::N,muir,теңгс
136,Meer::N,farraige,теңгс
137,Bucht::N,bá,цекә
138,Bucht::N,bá,теңгсин цекә
139,Bucht::N,cuan,цекә
140,Bucht::N,cuan,теңгсин цекә
141,Insel::N,inis,арл
142,Insel::N,oileán,арл
143,Blume::N,bláth,цецг
144,Gras::N,féar,ноһан
145,Wurzel::N,rúta,уңг
146,Wurzel::N,fréamh,уңг
147,Baum::N,crann,модн
148,Stamm::N,stoc,шилв
149,Stamm::N,stoc,һол модн
150,Stamm::N,tamhan,шилв
151,Stamm::N,tamhan,һол модн
152,Rinde::N,coirt,көрсн
153,Rinde::N,craiceann,көрсн
154,Ast::N,géag,ац
155,Zweig::N,géag,ац
156,Zweig::N,craobh,ац
157,Blatt::N,duille,хамтхасн
