,Concept_ID,fr,hy
0,Auge::N,œil,աչք
1,Ohr::N,oreille,ականջ
2,Nase::N,nez,քիթ
3,Mund::N,bouche,բերան
4,Zahn::N,dent,ատամ
5,Zunge::N,langue,լեզու
6,Lippe::N,lèvre,շրթունք
7,Wange::N,joue,այտ
8,Wange::N,joue,թուշ
9,Gesicht::N,face,դեմք
10,Gesicht::N,visage,դեմք
11,Stirn::N,front,ճակատ
12,Haar::N,cheveu,մազ
13,Schnurrbart::N,moustache,բեղ
14,Bart::N,barbe,մորուք
15,Kinn::N,menton,կզակ
16,Kiefer[Anatomie]::N,mâchoire,ծնոտ
17,Kehle::N,gorge,կոկորդ
18,Hals::N,cou,վիզ
19,Hals::N,cou,պարանոց
20,Genick::N,nuque,ծոծրակ
21,Kopf::N,tête,գլուխ
22,Rücken::N,dos,մեջք
23,Bauch::N,ventre,փոր
24,Bauch::N,ventre,որովայն
25,Nabel::N,nombril,պորտ
26,Busen::N,sein,ծոց
27,Brust::N,poitrine,կուրծք
28,Schulter::N,épaule,ուս
29,Arm::N,bras,թեւ
30,Arm::N,bras,բազուկ
31,Ellenbogen::N,coude,արմունկ
32,Hand::N,main,ձեռք
33,Handfläche::N,paume,ափ
34,Finger::N,doigt,մատ
35,Fingernagel::N,ongle,եղունգ
36,Nagel[Anatomie]::N,ongle,եղունգ
37,Zeh::N,orteil,ոտքի մատ
38,Zeh::N,doigt de pied,ոտքի մատ
39,Fuß::N,pied,ոտք
40,Ferse::N,talon,գարշապար
41,Knie::N,genou,ծունկ
42,Oberschenkel::N,cuisse,ազդր
43,Bein::N,jambe,ոտք
44,Körper::N,corps,մարմին
45,Haut::N,peau,մաշկ
46,Blut::N,sang,արյուն
47,Ader::N,veine,երակ
48,Sehne::N,tendon,ջիղ
49,Sehne::N,tendon,ձգտան
50,Knochen::N,os,ոսկոր
51,Gehirn::N,cerveau,խելք
52,Herz::N,cœur,սիրտ
53,Magen::N,estomac,ստամոքս
54,Leber::N,foie,լյարդ
55,Atem::N,haleine,շունչ
56,Hunger::N,faim,քաղց
57,Träne::N,larme,արտասուք
58,Geschmack::N,goût,համ
59,Geschmack::N,goût,բուրմունք
60,Geschmack::N,saveur,համ
61,Geschmack::N,saveur,բուրմունք
62,Geruch::N,odeur,հոտ
63,Geruch::N,odeur,բուրում
64,Schlaf::N,sommeil,քուն
65,Traum::N,songe,երազ
66,Himmel::N,ciel,երկինք
67,Sonne::N,soleil,արեւ
68,Mond::N,lune,լուսին
69,Stern::N,étoile,աստղ
70,Luft::N,air,օդ
71,Wind::N,vent,քամի
72,Welle::N,vague,ալիք
73,Wasser::N,eau,ջուր
74,Stein::N,pierre,քար
75,Boden::N,sol,գետին
76,Boden::N,terrain,գետին
77,Erde::N,terre,հող
78,Staub::N,poussière,փոշի
79,Rauch::N,fumée,ծուխ
80,Funke::N,étincelle,կայծ
81,Feuer::N,feu,կրակ
82,Feuer::N,feu,հրդեհ
83,Licht::N,lumière,լույս
84,Schatten::N,ombre,ստվեր
85,Wetter::N,temps,եղանակ
86,Nebel::N,brume,մեգ
87,Nebel::N,brume,մառախուղ
88,Nebel::N,brouillard,մեգ
89,Nebel::N,brouillard,մառախուղ
90,Wolke::N,nuage,ամպ
91,Regen::N,pluie,անձրև
92,Schnee::N,neige,ձյուն
93,Eis::N,glace,սառույց
94,Frost::N,gel,սառնամանիք
95,Frost::N,gelée,սառնամանիք
96,Kälte::N,froid,դող
