,Concept_ID,he,mdf
0,Auge::N,עין,сельме
1,Ohr::N,אזן,пиле
2,Nase::N,אף,шалхка
3,Nase::N,חטם,шалхка
4,Mund::N,פה,курга
5,Zahn::N,שן,пей
6,Zunge::N,לשון,кяль
7,Lippe::N,שפה,търва́
8,Wange::N,לחי,щёка
9,Gesicht::N,פנים,шама
10,Stirn::N,מצח,коня
11,Haar::N,שערה,шя́ярь
12,Schnurrbart::N,שפם,уса́
13,Bart::N,זקן,сакал
14,Kinn::N,סנטר,ула
15,Kiefer[Anatomie]::N,לסת,саласка
16,Kehle::N,גרון,кълдома
17,Kehle::N,גרון,кърга́парь
18,Hals::N,צואר,сялдаз
19,Genick::N,ערף,шовонь
20,Kopf::N,ראש,пря
21,Rücken::N,גב,копорь
22,Bauch::N,בטן,пеке
23,Nabel::N,טבור,по́кон
24,Busen::N,שד,потя
25,Brust::N,חזה,мяште
26,Schulter::N,כתף,лафту
27,Arm::N,זרוע,кядь
28,Ellenbogen::N,מרפק,кенерьба́карь
29,Hand::N,יד,кядь
30,Handfläche::N,כף יד,кядьлапш
31,Finger::N,אצבע,сур
32,Fingernagel::N,צפרן,кенже
33,Nagel[Anatomie]::N,צפרן,кенже
34,Zeh::N,אצבע,пильгосу́р
35,Fuß::N,רגל,пильге
36,Fuß::N,רגל,пильгелапа
37,Ferse::N,עקב,кочкяря
38,Knie::N,ברך,эль
39,Knie::N,ברך,пълма́нжа
40,Oberschenkel::N,ירך,пильгепукша
41,Bein::N,רגל,пильге
42,Körper::N,גוף,ро́нга
43,Körper::N,גוף,по́нда
44,Haut::N,עור,киське
45,Blut::N,דם,вер
46,Ader::N,וריד,сан
47,Ader::N,וריד,верза́н
48,Sehne::N,גיד,коське сан
49,Knochen::N,עצם,пакарь
50,Gehirn::N,מוח,уй
51,Herz::N,לב,седи
52,Magen::N,קבה,коткърдазь
53,Leber::N,כבד,макса
54,Atem::N,נשימה,лекома
55,Atem::N,נשימה,ваймонь тарксема
56,Hunger::N,רעב,вачеши
57,Träne::N,דמעה,сельмове́дь
