,Concept_ID,zh,bn
0,Auge::N,眼睛,চক্ষু
1,Ohr::N,耳朵,কর্ণ
2,Nase::N,鼻子,নাক
3,Mund::N,嘴,মুখ
4,Zahn::N,牙齿,দাঁত
5,Zunge::N,舌头,জিহবা
6,Lippe::N,嘴唇,অধর
7,Wange::N,面颊,গণ্ড
8,Gesicht::N,脸,মুখমণ্ডল
9,Stirn::N,额,কপাল
10,Haar::N,头发,চুল
11,Schnurrbart::N,髭须,গোঁফ
12,Bart::N,胡子,শ্মশ্রু
13,Kinn::N,下巴,চিবুক
14,Kiefer[Anatomie]::N,颌,চোয়াল
15,Kehle::N,嗓子,কণ্ঠ
16,Hals::N,颈,গল
17,Genick::N,后颈,ঘাড়
18,Kopf::N,头,মাথা
19,Rücken::N,背,পৃষ্ঠ
20,Bauch::N,肚子,উদর
21,Nabel::N,肚脐,নাভি
22,Busen::N,胸脯,স্তন
23,Brust::N,胸,বুক
24,Schulter::N,肩膀,স্কন্ধ
25,Arm::N,臂膀,বাহু
26,Ellenbogen::N,肘,কনুই
27,Hand::N,手,হাত
28,Handfläche::N,手掌,করতল
29,Finger::N,手指,আঙ্গুল
30,Fingernagel::N,指甲,হাতের নখ
31,Nagel[Anatomie]::N,指甲,নখ
32,Zeh::N,脚趾,আঙ্গুল
33,Fuß::N,脚,পা
34,Ferse::N,后跟,গোড়ালি
35,Knie::N,膝,হাঁটু
36,Oberschenkel::N,大腿,ঊরু
37,Bein::N,腿,পা
38,Körper::N,身体,দেহ
39,Haut::N,皮肤,ত্বক
40,Blut::N,血,রক্ত
41,Ader::N,血管,শিরা
42,Sehne::N,腱,কণ্ডরা
43,Knochen::N,骨,অস্থি
44,Gehirn::N,脑,মস্তিষ্ক
45,Herz::N,心,হৃৎপিণ্ড
46,Magen::N,胃,পাকস্থলী
47,Leber::N,肝,যকৃৎ
48,Atem::N,呼吸,শ্বাস
49,Hunger::N,饿,ক্ষুধা
50,Träne::N,眼泪,অশ্রু
51,Geschmack::N,味道,স্বাদ
52,Geruch::N,气味,গন্ধ
53,Schlaf::N,睡眠,ঘুম
54,Traum::N,梦,স্বপ্ন
55,Himmel::N,天空,আকাশ
56,Sonne::N,太阳,সূর্য
57,Mond::N,月亮,চন্দ্র
58,Stern::N,星,নক্ষত্র
59,Luft::N,空气,বায়ু
60,Wind::N,风,বাতাস
61,Welle::N,波,ঢেউ
62,Welle::N,波,তরঙ্গ
63,Wasser::N,水,জল
64,Stein::N,石头,ঢিল
65,Stein::N,石头,প্রস্তর
66,Boden::N,地面,ভূতল
67,Erde::N,地,ভূমি
68,Staub::N,灰尘,ধুলা
69,Rauch::N,烟,ধোঁয়া
70,Funke::N,火花,স্ফুলিঙ্গ
71,Feuer::N,火,অগ্নি
72,Licht::N,光,আলো
