,Concept_ID,hu,kn
0,Auge::N,szem,ಕಣ್ಣು
1,Ohr::N,fül,ಕಿವಿ
2,Nase::N,orr,ಮೂಗು
3,Mund::N,száj,ಬಾಯಿ
4,Zahn::N,fog,ಹಲ್ಲು
5,Zunge::N,nyelv,ನಾಲಿಗೆ
6,Lippe::N,ajak,ತುಟಿ
7,Wange::N,orca,ಗಲ್ಲ
8,Gesicht::N,arc,ಮುಖ
9,Stirn::N,homlok,ಹಣೆ
10,Haar::N,haj,ಕೂದಲು
11,Schnurrbart::N,bajusz,ಮೀಸೆ
12,Bart::N,szakáll,ಗಡ್ಡ
13,Kinn::N,áll,ಗದ್ದ
14,Kiefer[Anatomie]::N,állkapocs,ದವಡೆ
15,Kehle::N,gége,ಗಂಟಲು
16,Kehle::N,torok,ಗಂಟಲು
17,Hals::N,nyak,ಕೊರಳು
18,Genick::N,tarkó,ಹಿಂಗತ್ತು
19,Kopf::N,fő,ತಲೆ
20,Kopf::N,fej,ತಲೆ
21,Rücken::N,hát,ಬೆನ್ನು
22,Bauch::N,has,ಹೊಟ್ಟೆ
23,Nabel::N,köldök,ಹೊಕ್ಕುಳು
24,Busen::N,mell,ಸ್ತನ
25,Busen::N,kebel,ಸ್ತನ
26,Brust::N,mell,ಎದೆ
27,Schulter::N,váll,ಭುಜ
28,Arm::N,kar,ತೋಳು
29,Ellenbogen::N,könyök,ಮೊಣಕೈ
30,Hand::N,kéz,ಕೈ
31,Handfläche::N,tenyér,ಅಂಗೈ
32,Finger::N,ujj,ಕೈಬೆರಳು
33,Fingernagel::N,köröm,ಉಗುರು
34,Nagel[Anatomie]::N,köröm,ಉಗುರು
35,Zeh::N,lábujj,ಕಾಲ್ಬೆರಳು
36,Fuß::N,láb,ಪಾದ
37,Ferse::N,sarok,ಹಿಮ್ಮಡಿ
38,Knie::N,térd,ಮಂಡಿ
39,Oberschenkel::N,comb,ತೊಡೆ
40,Bein::N,láb,ಕಾಲು
41,Bein::N,lábszár,ಕಾಲು
42,Körper::N,test,ದೇಹ
43,Haut::N,bőr,ಚರ್ಮ
44,Blut::N,vér,ರಕ್ತ
45,Ader::N,ér,ನರ
46,Sehne::N,ín,ನರ
47,Knochen::N,csont,ಮೂಳೆ
48,Gehirn::N,agy,ಮಿದುಳು
49,Gehirn::N,agyvelő,ಮಿದುಳು
50,Herz::N,szív,ಹೃದಯ
51,Magen::N,gyomor,ಉದರ
52,Leber::N,máj,ಯಕೃತ್ತು
53,Atem::N,lehelet,ಉಸಿರು
54,Atem::N,lélegzet,ಉಸಿರು
55,Hunger::N,éhség,ಹಸಿವು
56,Träne::N,könny,ಕಣ್ಣೀರು
57,Geschmack::N,íz,ರುಚಿ
58,Geruch::N,szag,ವಾಸನೆ
59,Schlaf::N,álom,ನಿದ್ರೆ
60,Schlaf::N,alvás,ನಿದ್ರೆ
61,Traum::N,álom,ಕನಸು
62,Himmel::N,ég,ಬಾನು
63,Himmel::N,menny,ಬಾನು
64,Sonne::N,nap,ಸೂರ್ಯ
65,Mond::N,hold,ಚಂದ್ರ
66,Stern::N,csillag,ಚುಕ್ಕಿ
67,Luft::N,levegő,ವಾಯು
68,Wind::N,szél,ಗಾಳಿ
69,Welle::N,hullám,ಅಲೆ
70,Wasser::N,víz,ನೀರು
71,Stein::N,kő,ಕಲ್ಲು
72,Boden::N,föld,ನೆಲ
73,Boden::N,talaj,ನೆಲ
74,Erde::N,föld,ಭೂಮಿ
75,Staub::N,por,ದೂಳು
76,Rauch::N,füst,ಹೊಗೆ
77,Funke::N,szikra,ಕಿಡಿ
78,Feuer::N,tűz,ಬೆಂಕಿ
79,Licht::N,fény,ಬೆಳಕು
80,Schatten::N,árnyék,ನೆರಳು
81,Wetter::N,idő,ಹವ
82,Wetter::N,időjárás,ಹವ
83,Nebel::N,köd,ಮಂಜು
84,Wolke::N,felhő,ಮೋಡ
85,Regen::N,eső,ಮಳೆ
86,Schnee::N,hó,ಹಿಮ
87,Eis::N,jég,ಮಂಜುಗಡ್ಡೆ
88,Frost::N,fagy,ಮಂಜು
89,Kälte::N,hideg,ಹಿಮ
90,Hitze::N,hő,ಉಷ್ಣ
91,Hitze::N,hőség,ಉಷ್ಣ
92,Raureif::N,zúzmara,ಇಬ್ಬನಿ
93,Regenbogen::N,szivárvány,ಇಂದ್ರಚಾಪ
94,Donner::N,dörgés,ಗುಡುಗು
95,Donner::N,mennydörgés,ಗುಡುಗು
96,Strömung::N,áramlat,ಪ್ರವಾಹ
97,Tropfen::N,csepp,ತೊಟ್ಟು
98,Schaum::N,hab,ನೊರೆ
99,Schaum::N,tajték,ನೊರೆ
100,Schmutz::N,piszok,ಕಸ
101,See::N,tó,ಸರೋವರ
102,Sumpf::N,mocsár,ಜೌಗುಸ್ಥಳ
103,Moor::N,láp,ಬಂಜರು ಭೂಮಿ
104,Wiese::N,rét,ಹುಲ್ಲುಗಾವಲು
