,Concept_ID,sq,br
0,Auge::N,sy,lagad
1,Ohr::N,vesh,skouarn
2,Nase::N,hundë,fri
3,Mund::N,gojë,genoù
4,Zahn::N,dhëmb,dant
5,Zunge::N,gjuhë,teod
6,Lippe::N,buzë,muzell
7,Wange::N,faqe,chot
8,Wange::N,mollëz,chot
9,Gesicht::N,fytyrë,dremm
10,Stirn::N,ballë,tal
11,Haar::N,flokë,blev
12,Schnurrbart::N,mustaqe,mourenn
13,Bart::N,mjekër,barv
14,Kinn::N,mjekër,groñj
15,Kiefer[Anatomie]::N,nofull,javed
16,Kehle::N,fyt,gouzoug
17,Kehle::N,grykë,gouzoug
18,Hals::N,qafë,gouzoug
19,Genick::N,arrëz,choug
20,Kopf::N,kokë,penn
21,Rücken::N,kurriz,kein
22,Bauch::N,bark,kof
23,Nabel::N,kërthizë,begel
24,Busen::N,gji,bronn
25,Brust::N,gjoks,bruched
26,Brust::N,kraharor,bruched
27,Schulter::N,sup,skoaz
28,Schulter::N,krah,skoaz
29,Arm::N,krah,brec'h
30,Ellenbogen::N,bërryl,ilin
31,Hand::N,dorë,dorn
32,Handfläche::N,pëllëmbë,palv
33,Finger::N,gisht,biz
34,Fingernagel::N,thua,ivin
35,Nagel[Anatomie]::N,thua,ivin
36,Zeh::N,gisht i këmbës,biz-troad
37,Fuß::N,këmbë,troad
38,Ferse::N,thembër,seul
39,Knie::N,gju,glin
40,Oberschenkel::N,kofshë,morzhed
41,Bein::N,këmbë,gar
42,Körper::N,trup,korf
43,Haut::N,lëkurë,kroc'hen
44,Blut::N,gjak,gwad
45,Ader::N,venë,gwazhi
46,Sehne::N,dell,stir
47,Knochen::N,asht,askorn
48,Knochen::N,kockë,askorn
49,Gehirn::N,tru,empenn
50,Herz::N,zemër,kalon
51,Magen::N,stomak,stomog
52,Leber::N,mëlçi,avu
53,Atem::N,frymë,anal
54,Hunger::N,uri,naon
55,Träne::N,lot,daer
56,Geschmack::N,shije,blaz
57,Geruch::N,erë,c'hwezh
58,Schlaf::N,gjumë,kousked
59,Traum::N,ëndërr,hune
60,Himmel::N,qiell,oabl
61,Sonne::N,diell,heol
62,Mond::N,hënë,loar
63,Stern::N,yll,steredenn
64,Luft::N,ajër,aer
65,Wind::N,erë,avel
66,Welle::N,valë,houlenn
67,Welle::N,dallgë,houlenn
68,Wasser::N,ujë,dour
69,Stein::N,gur,maen
70,Boden::N,tokë,tachenn
71,Boden::N,truall,tachenn
72,Erde::N,dhe,douar
73,Erde::N,baltë,douar
74,Staub::N,pluhur,poultr
75,Rauch::N,tym,moged
76,Funke::N,xixë,ful
77,Funke::N,shkëndijë,ful
78,Feuer::N,zjarr,tan
79,Licht::N,dritë,gouloù
80,Schatten::N,hije,disheol
81,Wetter::N,mot,amzer
82,Nebel::N,mjegull,brumenn
83,Wolke::N,re,koumoulenn
84,Regen::N,shi,glav
85,Schnee::N,borë,erc'h
86,Eis::N,akull,skorn
87,Frost::N,ngricë,rev
88,Kälte::N,të ftohtë,yen
89,Hitze::N,vapë,tommder
90,Hitze::N,nxehtësi,tommder
91,Raureif::N,cikmë,frim
92,Regenbogen::N,ylber,gwareg-ar-glav
93,Donner::N,gjëmim,kurun
94,Donner::N,bubullimë,kurun
95,Strömung::N,rrymë,red
96,Tropfen::N,pikë,bannac'h
97,Tropfen::N,pikë,takenn
98,Schaum::N,shkumë,spoum
99,Schmutz::N,baltë,fank
100,See::N,liqen,lenn
101,Sumpf::N,batak,gwern
102,Moor::N,kënetë,taouarc'heg
103,Wiese::N,livadh,prad
104,Wald::N,pyll,koad
105,Hügel::N,kodër,torgenn
106,Anhöhe::N,bregore,run
107,Berg::N,mal,menez
108,Gipfel::N,kulm,barr
109,Höhle::N,shpellë,kav
110,Höhle::N,zgafelle,kav
111,Abhang::N,shpat,naou
112,Abhang::N,tatëpjetë,naou
113,Quelle::N,krua,feunteun
114,Quelle::N,burim,feunteun
115,Bach::N,virua,gwazh
116,Fluss::N,lumë,stêr
117,Ufer::N,breg,ribl
118,Küste::N,anëdet,aod
119,Küste::N,bregdet,aod
120,Festland::N,kontinent,douar
121,Meer::N,det,mor
122,Bucht::N,gji deti,mor-bihan
123,Insel::N,ishull,enez
124,Insel::N,ujdhesë,enez
125,Blume::N,lule,bleunienn
126,Gras::N,bar,geot
127,Wurzel::N,rrënjë,gwrizienn
128,Baum::N,pemë,gwezenn
129,Stamm::N,trung,kef
130,Rinde::N,lëvore,rusk
131,Ast::N,degë,barr
132,Zweig::N,bisk,bod
133,Blatt::N,fletë,delienn
134,Blatt::N,gjethe,delienn
135,Birke::N,mështekën,bezvenn
136,Kiefer[Baum]::N,pishë,pinenn
137,Weide[Baum]::N,shelg,halegenn
138,Tanne::N,bredh,sapenn
139,Horn::N,bri,korn
140,Feder::N,pupël,pluñv
141,Fell::N,lëkurë,kreoñ
142,Flügel::N,krah,askell
143,Flügel::N,fletë,askell
144,Klaue::N,kthetër,skilf
145,Kralle::N,thua,skilf
146,Kralle::N,kthetër,skilf
147,Schwanz::N,bisht,lost
148,Ei::N,vezë,vi
149,Nest::N,fole,neizh
150,Bau::N,strofkë,douarenn
151,Tier::N,kafshë,loen
152,Herde::N,kope,tropell
153,Herde::N,grigjë,tropell
154,Kuh::N,lopë,buoc'h
155,Bulle::N,dem,tarv
156,Pferd::N,kalë,marc'h
157,Schaf::N,dele,dañvad
158,Schwein::N,derr,pemoc'h
159,Hund::N,qen,ki
160,Katze::N,mace,kazh
161,Bär::N,ari,arzh
162,Eichhörnchen::N,ketër,gwiñver
163,Elch::N,dre brilopatë,karv-dour
164,Fuchs::N,dhelpër,louarn
165,Hase::N,lepur,gad
166,Maus::N,mi,logodenn
167,Wolf::N,ujk,bleiz
168,Vogel::N,zog,labous
169,Vogel::N,shpend,labous
170,Schwarm::N,luzmë,nijad
171,Huhn::N,pulë,yar
172,Hahn::N,gjel,kilhog
173,Hahn::N,këndes,kilhog
174,Gans::N,patë,gwazenn
175,Adler::N,shqiponjë,erer
176,Ente::N,rosë,houad
177,Eule::N,buf,toud
178,Kranich::N,lejlek,garan
179,Kranich::N,kurrillë,garan
180,Krähe::N,sorrë,bran
181,Kuckuck::N,qyqe,koukoug
182,Schwan::N,mjellmë,alarc'h
183,Fisch::N,peshk,pesk
184,Barsch::N,purtekë,brell
185,Hecht::N,mlysh,beked
186,Schlange[Tier]::N,gjarpër,naer
187,Wurm::N,krimb,preñv
188,Spinne::N,marimangë,kevnidenn
189,Ameise::N,thnegël,merion
190,Ameise::N,milingonë,merion
191,Laus::N,morr,laouenn
192,Mücke::N,kunup,moustik
193,Mücke::N,mushkonjë,moustik
194,Fliege::N,mizë,kelienenn
195,Schmetterling::N,flutur,balafenn
196,Beere::N,frutë,hog
197,Beere::N,manaferrë,hog
198,Apfel::N,mollë,aval
199,Pilz::N,kërpudhë,kabell-touseg
200,Zwiebel::N,qepë,ognonenn
201,Saat::N,farë,had
202,Korn::N,grurë,ed
203,Korn::N,kokërr,ed
204,Heu::N,sanë,foenn
205,Schale::N,lëkurë,peliadur
206,Grube::N,gropë,
207,Falle::N,kurth,pech
208,Falle::N,grackë,pech
209,Schlinge::N,nyjë,krouglas
210,Spur::N,gjurmë,
211,Asche::N,hi,ludu
212,Dreck::N,baltë,fank
213,Eisen::N,hekur,houarn
214,Gold::N,ar,aour
215,Gold::N,flori,aour
216,Silber::N,argjend,arc'hant
217,Kohle::N,qymyr,glaou
218,Glas::N,qelq,gwer
219,Lehm::N,argjilë,
220,Sand::N,rërë,traezh
221,Mensch::N,njeri,den
222,Mann::N,burrë,den
223,Mann::N,mashkull,den
224,Frau::N,grua,maouez
225,Frau::N,femër,maouez
226,Kind::N,kalama,bugel
227,Junge::N,djalë,paotr
228,Mädchen::N,gocë,plac'h
229,Mädchen::N,vajzë,plac'h
230,Familie::N,familje,familh
231,Großvater::N,gjysh,tad-kozh
232,Großmutter::N,gjyshe,mamm-gozh
233,Eltern::N,prindër,kerent
234,Vater::N,atë,tad
235,Mutter::N,nënë,mamm
236,Sohn::N,bir,mab
237,Tochter::N,bijë,merc'h
238,Bruder::N,vëlla,breur
239,Schwester::N,motër,c'hoar
240,Onkel::N,dajë,eontr
241,Onkel::N,xhaxha,eontr
242,Tante::N,teze,moereb
243,Tante::N,hallë,moereb
244,Ehemann::N,burrë,gwaz
245,Ehemann::N,bashkëshort,gwaz
246,Ehefrau::N,grua,gwreg
247,Ehefrau::N,bashkëshorte,gwreg
248,Freude::N,gaz,levenez
249,Freude::N,gëzim,levenez
250,Gelächter::N,qeshje,c'hoarzherezh
251,Glück::N,lumturi,chañs
252,Kummer::N,brengë,doan
253,Kummer::N,pikëllim,doan
254,Wunsch::N,dëshirë,c'hoant
255,Lust::N,epsh,c'hoant
256,Lust::N,dashuri,c'hoant
257,Geist::N,frymë,spered
258,Geist::N,shpirt,spered
259,Gedanke::N,ide,soñj
260,Gedanke::N,mendim,soñj
261,Gedächtnis::N,kujtesë,eñvor
262,Verstand::N,mend,skiant
263,Sinn::N,kuptim,ster
264,Grund::N,arsye,kaoz
265,Wahrheit::N,vërtetë,gwirionez
266,Gespräch::N,bisedim,kaozeadenn
267,Märchen::N,përrallë,kaoz korriganez
268,Erzählung::N,tregim,kontadenn
269,Nachricht::N,lajm,keloù
270,Neuigkeit::N,risi,kelaouenn
271,Name::N,emër,anv
272,Rätsel::N,gjëzë,divinatez
273,Rätsel::N,gjëegjëzë,divinatez
274,Rede::N,fjalim,diskour
275,Sprache::N,gjuhë,yezh
276,Stimme::N,zë,mouezh
277,Wort::N,fjalë,ger
278,Zeichen::N,shenjë,sin
279,Ruf::N,thirrmë,galv
280,Lärm::N,zhurmë,trouz
281,Laut::N,tingull,
282,Ton::N,ton,ton
283,Lied::N,këngë,kanaouenn
284,Ruhe::N,qetësi,sioulded
285,Leute::N,botë,tud
286,Leute::N,njerëz,tud
287,Volk::N,popull,pobl
288,Arbeit::N,punë,labour
289,Gast::N,mik,kouviad
290,Gast::N,mysafir,kouviad
291,Geschenk::N,dhuratë,prof
292,Geschenk::N,peshqesh,prof
293,Spiel::N,lojë,c'hoari
294,Gesellschaft::N,shoqëri,kompagnunezh
295,Gesellschaft::N,shoqëri,kavandad
296,Hilfe::N,ndihmë,sikour
297,Freund::N,mik,mignon
298,Kamerad::N,shok,kamarad
299,Angelegenheit::N,punë,afer
300,Anzahl::N,sasi,niver
301,Art::N,lloj,sort
302,Stück::N,copë,tamm
303,Teil::N,pjesë,pezh
304,Hälfte::N,gjysmë,hanterenn
305,Kreis::N,qark,kelc'h
306,Kreis::N,rreth,kelc'h
307,Kreuz::N,kryq,kroaz
308,Linie::N,vijë,linenn
309,Strich::N,vizë,tenn
310,Abstand::N,distancë,distok
311,Entfernung::N,largim,keid
312,Entfernung::N,largim,kehid
313,Gegend::N,vise,korn-bro
314,Gegend::N,krahinë,korn-bro
315,Platz::N,shesh,plasenn
316,Ort::N,vend,lec'h
317,Seite::N,anë,tu
318,Mitte::N,mes,kreiz
319,Gegenstand::N,send,tra
320,Sache::N,gjë,tra
321,Sache::N,send,tra
322,Rand::N,qoshe,kantenn
323,Kante::N,teh,kantenn
324,Ecke::N,qoshe,korn
325,Spitze::N,majë,begell
326,Ende::N,skaj,dibenn
327,Ende::N,bisht,dibenn
328,Loch::N,vrimë,toull
329,Winkel::N,kënd,
330,Muster::N,mostër,tresadenn
331,Größe::N,madhësi,ment
332,Länge::N,gjatësi,hirder
333,Höhe::N,lartësi,uhelder
334,Gewicht::N,peshë,pouez
