,Concept_ID,cy,az
0,Auge::N,llygad,göz
1,Ohr::N,clust,qulaq
2,Nase::N,trwyn,burun
3,Mund::N,ceg,ağız
4,Zahn::N,dant,diş
5,Zunge::N,tafod,dil
6,Lippe::N,gwefus,dodaq
7,Wange::N,boch,yanaq
8,Gesicht::N,wyneb,üz
9,Stirn::N,talcen,alın
10,Haar::N,blew,saç
11,Schnurrbart::N,mwstas,bığ
12,Bart::N,barf,saqqal
13,Kinn::N,gên,çənə
14,Kiefer[Anatomie]::N,gên,çənə
15,Kehle::N,gwddf,boğaz
16,Hals::N,gwddf,boyun
17,Genick::N,gwar,ənsə
18,Genick::N,gwegil,ənsə
19,Kopf::N,pen,baş
20,Rücken::N,cefn,bel
21,Bauch::N,bol,qarın
22,Nabel::N,bogail,göbək
23,Busen::N,bron,məmə
24,Brust::N,brest,döş
25,Schulter::N,ysgwydd,çiyin
26,Arm::N,braich,qol
27,Ellenbogen::N,penelin,dirsək
28,Hand::N,llaw,əl
29,Handfläche::N,palf,ovuc
30,Finger::N,bys,barmaq
31,Fingernagel::N,ewin,barmaq dırnağı
32,Nagel[Anatomie]::N,ewin,dırnak
33,Zeh::N,bys troed,ayaq barmağı
34,Fuß::N,troed,ayaq
35,Ferse::N,sawdl,daban
36,Knie::N,glin,diz
37,Oberschenkel::N,clun,bud
38,Bein::N,coes,qıç
39,Körper::N,corff,əndam
40,Haut::N,croen,dəri
41,Blut::N,gwaed,qan
42,Ader::N,gwythïen,damar
43,Sehne::N,gewyn,vətər
44,Knochen::N,asgwrn,sümük
45,Gehirn::N,ymennydd,beyin
46,Herz::N,calon,ürək
47,Magen::N,cylla,mədə
48,Magen::N,stumog,mədə
49,Leber::N,iau,qara ciyər
50,Atem::N,anadl,nəfəs
51,Hunger::N,newyn,aclıq
52,Träne::N,deigryn,göz yaşı
53,Geschmack::N,cyflas,tam
54,Geschmack::N,cyflas,ləzzət
55,Geruch::N,aroglau,qoxu
56,Schlaf::N,cwsg,yuxu
57,Traum::N,breuddwyd,röya
58,Himmel::N,awyr,göy
59,Himmel::N,awyr,səma
60,Sonne::N,haul,günəş
61,Mond::N,lleuad,ay
62,Stern::N,seren,ulduz
63,Luft::N,awyr,hava
64,Wind::N,gwynt,yel
65,Wind::N,gwynt,külək
66,Welle::N,ton,dalğa
67,Wasser::N,dŵr,su
68,Stein::N,carreg,daş
69,Boden::N,llawr,yer
70,Boden::N,llawr,zəmin
71,Erde::N,pridd,yer torpaq
72,Staub::N,llwch,toz
73,Rauch::N,mwg,tüstü
74,Funke::N,gwreichioni,qığılcım
75,Feuer::N,tân,od
76,Licht::N,golau,işıq
77,Schatten::N,cysgod,kölgə
78,Wetter::N,tywydd,hava
79,Nebel::N,niwl,duman
80,Wolke::N,cwmwl,bulud
81,Regen::N,glaw,yağış
82,Regen::N,glaw,yağmur
83,Schnee::N,ôd,qar
84,Schnee::N,eira,qar
85,Eis::N,iâ,buz
86,Frost::N,rhew,ayaz
87,Kälte::N,oerni,soyuq
88,Kälte::N,annwyd,soyuq
89,Hitze::N,gwres,coşğunluq
90,Raureif::N,barrug,qırov
91,Regenbogen::N,enfys,göy qurşağı
92,Donner::N,tyrfau,göy gurultusu
93,Strömung::N,cerrynt,axın
94,Tropfen::N,dafn,damcı
95,Tropfen::N,diferyn,damcı
96,Schaum::N,ewyn,köpük
97,Schmutz::N,baw,çamır
98,Schmutz::N,budreddi,çamır
99,See::N,llyn,göl
100,Sumpf::N,cors,bataqlıq
101,Moor::N,rhos,bataqlıq
102,Wiese::N,dôl,çəmən
103,Wald::N,coedwig,meşə
104,Hügel::N,bryn,təpə
105,Anhöhe::N,bryn,təpə
106,Berg::N,mynydd,dağ
107,Gipfel::N,copa,zirvə
108,Höhle::N,ogof,mağara
109,Abhang::N,llethr,yamac
110,Quelle::N,tarddiad,bulaq
111,Quelle::N,ffynhonnell,bulaq
112,Bach::N,nant,kiçik çay
113,Bach::N,afonig,kiçik çay
114,Bach::N,cornant,kiçik çay
115,Fluss::N,afon,çay
116,Ufer::N,glan,kənar
117,Küste::N,traeth,sahil
118,Küste::N,arfordir,sahil
119,Festland::N,tir,materik
120,Meer::N,môr,dəniz
121,Bucht::N,bae,körfəz
122,Insel::N,ynys,ada
123,Blume::N,blodyn,çiçək
124,Gras::N,glaswellt,ot
125,Wurzel::N,gwreiddyn,kök
126,Baum::N,coeden,ağac
127,Stamm::N,colfen,gövdə
128,Stamm::N,boncyff,gövdə
129,Rinde::N,rhisgl,qabıq
130,Ast::N,cangen,şax
131,Zweig::N,cainc,budaq
132,Zweig::N,cangen,budaq
133,Blatt::N,deilen,yarpaq
134,Birke::N,bedwen,tozağacı
135,Kiefer[Baum]::N,pinwydden,şam
136,Weide[Baum]::N,helygen,söyüd
137,Tanne::N,ffynidwydden,küknar
138,Horn::N,corn,buynuz
139,Feder::N,plufyn,tük
140,Feder::N,plufyn,lələk
141,Fell::N,ffwr,xəz
142,Flügel::N,adain,qanad
143,Klaue::N,crafanc,pəncə
144,Kralle::N,ewin,dırnaq
145,Schwanz::N,cwt,quyruq
146,Schwanz::N,cynffon,quyruq
147,Ei::N,wy,yumurta
148,Nest::N,nyth,yuva
149,Bau::N,ffau,yuva
150,Tier::N,anifail,heyvan
151,Herde::N,praidd,sürü
152,Herde::N,diadell,sürü
153,Kuh::N,buwch,inək
154,Bulle::N,tarw,öküz
155,Pferd::N,ceffyl,at
156,Schaf::N,dafad,qoyun
157,Schwein::N,mochyn,donuz
158,Hund::N,ci,it
159,Hund::N,ci,köpək
160,Katze::N,cath,pişik
161,Bär::N,arth,ayı
162,Eichhörnchen::N,gwiwer,dələ
163,Elch::N,elc,sığın
164,Fuchs::N,cadno,tülkü
165,Hase::N,ysgyfarnog,dovşan
166,Maus::N,llygoden,siçan
167,Wolf::N,blaidd,qurd
168,Vogel::N,aderyn,quş
169,Schwarm::N,haid,sürü
170,Huhn::N,cyw,toyuq
171,Hahn::N,ceiliog,xoruz
172,Gans::N,gŵydd,qaz
173,Adler::N,eryr,qartal
174,Adler::N,eryr,qaraquş
175,Ente::N,hwyad,ördək
176,Eule::N,tylluan,bayquş
177,Kranich::N,garan,durna
178,Kranich::N,crychydd,durna
179,Krähe::N,brân,qarğa
180,Kuckuck::N,cog,ququ
181,Kuckuck::N,cwcw,ququ
182,Schwan::N,alarch,qu quşu
183,Fisch::N,pysgod,balıq
184,Barsch::N,draenog,tar
185,Hecht::N,penhwyad,durnabalığı
186,Schlange[Tier]::N,neidr,ilan
187,Wurm::N,abwydyn,qurd
188,Wurm::N,pryf genwair,qurd
189,Spinne::N,cor,hörümçək
190,Spinne::N,pryf copyn,hörümçək
191,Ameise::N,morgrugyn,qarışqa
192,Laus::N,lleuen,bit
193,Mücke::N,gwybedyn,ağcaqanad
194,Fliege::N,cleren,milçək
195,Schmetterling::N,glöyn byw,kəpənək
196,Schmetterling::N,iâr fach yr haf,kəpənək
197,Beere::N,aeronen,gilə
198,Apfel::N,afal,alma
199,Pilz::N,madarch,göbələk
200,Zwiebel::N,nionyn,soğan
201,Zwiebel::N,winwnsyn,soğan
202,Saat::N,had,əkin
203,Korn::N,grawn,taxıl
204,Heu::N,gwair,quru ot
205,Schale::N,croen,qabıq
206,Schale::N,plisgyn,qabıq
207,Grube::N,pwll,çuxur
208,Grube::N,pydew,çuxur
209,Falle::N,magl,tələ
210,Falle::N,magl,duzaq
211,Schlinge::N,cwlwm rhedeg,ilmək
212,Spur::N,ôl,iz
213,Asche::N,lludw,kül
214,Dreck::N,baw,kir
215,Dreck::N,budreddi,kir
216,Eisen::N,haearn,dəmir
217,Gold::N,aur,altun
218,Silber::N,arian,gümüş
219,Kohle::N,glo,kömür
220,Glas::N,gwydr,şüşə
221,Lehm::N,clai,gil
222,Lehm::N,clai,palçıq
223,Sand::N,tywod,qum
224,Mensch::N,dyn,adam
225,Mensch::N,dyn,insan
226,Mann::N,dyn,kişi
227,Frau::N,merch,qadın
228,Frau::N,gwraig,qadın
229,Kind::N,plentyn,uşaq
230,Junge::N,hogyn,oğlan
231,Junge::N,bachgen,oğlan
232,Mädchen::N,merch,qız
233,Mädchen::N,geneth,qız
234,Familie::N,teulu,ailə
235,Familie::N,tylwyth,ailə
236,Großvater::N,taid,baba
237,Großvater::N,tad-cu,baba
238,Großmutter::N,nain,nənə
239,Großmutter::N,mam-gu,nənə
240,Eltern::N,rhieni,valideyn
241,Vater::N,tad,ata
242,Mutter::N,mam,ana
243,Sohn::N,mab,oğul
244,Tochter::N,merch,qız
245,Bruder::N,brawd,qardaş
246,Schwester::N,chwaer,bacı
247,Onkel::N,ewythr,əmi
248,Onkel::N,ewythr,dayı
249,Tante::N,modryb,bibi
250,Ehemann::N,gŵr,ər
251,Ehefrau::N,gwraig,arvad
252,Freude::N,gorfoledd,nəşə
253,Freude::N,gorfoledd,sevinc
254,Gelächter::N,chwerthin,gülüş
255,Gelächter::N,chwerthin,qəhqəhə
256,Glück::N,hapusrwydd,səadət
257,Glück::N,hapusrwydd,xoşbəxtlik
258,Kummer::N,galar,qəm
259,Kummer::N,galar,kədər
260,Wunsch::N,dymuniad,arzu
261,Lust::N,chwant,həvəs
262,Geist::N,ysbryd,ruh
263,Gedanke::N,meddwl,fikir
264,Gedanke::N,meddwl,düşüncə
265,Gedächtnis::N,cof,xatir
266,Gedächtnis::N,cof,hafizə
267,Verstand::N,meddwl,ağıl
268,Sinn::N,ystyr,məna
269,Grund::N,achos,səbəb
270,Grund::N,rheswm,səbəb
271,Wahrheit::N,gwir,haqq
272,Wahrheit::N,gwir,doğruluq
273,Wahrheit::N,gwirionedd,haqq
274,Wahrheit::N,gwirionedd,doğruluq
275,Gespräch::N,sgwrs,söhbət
276,Gespräch::N,sgwrs,qonuşma
277,Märchen::N,chwedl werin,nağıl
278,Erzählung::N,stori,hekayə
279,Nachricht::N,neges,xəbər
280,Neuigkeit::N,newydd,xəbər
281,Neuigkeit::N,newydd,yenilik
282,Name::N,enw,ad
283,Rätsel::N,pos,tapmaca
284,Rede::N,araith,nitq
285,Sprache::N,iaith,dil
286,Stimme::N,llais,səs
287,Wort::N,gair,söz
288,Wort::N,gair,kəlmə
289,Zeichen::N,arwydd,nişan
290,Ruf::N,galwad,çığırtı
291,Lärm::N,trwst,gurultu
292,Laut::N,sain,səs
293,Ton::N,tôn,ton
294,Lied::N,cân,mahnı
295,Ruhe::N,tawelwch,sakitlik
296,Leute::N,pobl,xalq
297,Volk::N,pobl,millət
298,Arbeit::N,gwaith,iş
299,Arbeit::N,gwaith,əmək
300,Gast::N,gwestai,qonaq
301,Gast::N,gwestai,müsafir
302,Geschenk::N,rhodd,hədiyyə
303,Geschenk::N,anrheg,hədiyyə
304,Spiel::N,chwarae,oyun
305,Spiel::N,chwarae,tamaşa
306,Gesellschaft::N,cwmni,cəmiyyet
307,Hilfe::N,cymorth,kömək
308,Hilfe::N,cymorth,yardım
309,Freund::N,cyfaill,dost
310,Kamerad::N,cydymaith,yoldaş
311,Angelegenheit::N,pwnc,iş
312,Anzahl::N,cyfrif,say
313,Art::N,bath,çeşid
314,Stück::N,darn,dənə
315,Stück::N,darn,parça
316,Teil::N,rhan,qisim
317,Hälfte::N,hanner,yarım
318,Kreis::N,cylch,dairə
319,Kreuz::N,croes,xaç
320,Linie::N,llinell,xətt
