,Concept_ID,de,ku
0,Auge::N,Auge,çav
1,Ohr::N,Ohr,guh
2,Nase::N,Nase,bêvil
3,Mund::N,Mund,dev
4,Zahn::N,Zahn,didan
5,Zunge::N,Zunge,ziman
6,Lippe::N,Lippe,lêv
7,Wange::N,Wange,dêm
8,Wange::N,Wange,hinarik
9,Gesicht::N,Gesicht,rû
10,Stirn::N,Stirn,enî
11,Haar::N,Haar,por
12,Schnurrbart::N,Schnurrbart,simbêl
13,Bart::N,Bart,rih
14,Kinn::N,Kinn,zenî
15,Kiefer[Anatomie]::N,Kiefer,arguşk
16,Kehle::N,Kehle,qirik
17,Hals::N,Hals,stû
18,Hals::N,Hals,qirik
19,Genick::N,Genick,stû
20,Kopf::N,Kopf,serî
21,Rücken::N,Rücken,pişt
22,Bauch::N,Bauch,ûr
23,Bauch::N,Bauch,zik
24,Nabel::N,Nabel,navik
25,Busen::N,Busen,sîng
26,Brust::N,Brust,sîng
27,Schulter::N,Schulter,mil
28,Arm::N,Arm,çepil
29,Ellenbogen::N,Ellenbogen,enîşk
30,Hand::N,Hand,dest
31,Handfläche::N,Handfläche,kefadest
32,Finger::N,Finger,tilî
33,Fingernagel::N,Fingernagel,neynuk
34,Nagel[Anatomie]::N,Nagel,bizmar
35,Zeh::N,Zeh,tilî linga
36,Fuß::N,Fuß,ling
37,Ferse::N,Ferse,pahnî
38,Knie::N,Knie,kabok
39,Oberschenkel::N,Oberschenkel,rahn
40,Bein::N,Bein,çip
41,Körper::N,Körper,laş
42,Körper::N,Körper,gowde
43,Haut::N,Haut,çerm
44,Blut::N,Blut,xwîn
45,Ader::N,Ader,reh
46,Sehne::N,Sehne,reh
47,Knochen::N,Knochen,hestî
48,Gehirn::N,Gehirn,mêjî
49,Herz::N,Herz,dil
50,Magen::N,Magen,navêş
51,Leber::N,Leber,kezeb
52,Atem::N,Atem,hilm
53,Hunger::N,Hunger,birçîtî
54,Träne::N,Träne,hêstir
55,Geschmack::N,Geschmack,tam
