,Concept_ID,hu,ml
0,Auge::N,szem,കണ്ണ്
1,Ohr::N,fül,ചെവി
2,Nase::N,orr,മൂക്ക്
3,Mund::N,száj,വായ
4,Zahn::N,fog,പല്ല്
5,Zunge::N,nyelv,നാക്ക്
6,Lippe::N,ajak,ചുണ്ട്
7,Wange::N,orca,കവിൾത്തടം
8,Gesicht::N,arc,മുഖം
9,Stirn::N,homlok,നെറ്റി
10,Haar::N,haj,തലമുടി
11,Schnurrbart::N,bajusz,മീശ
12,Bart::N,szakáll,താടിരോമം
13,Kinn::N,áll,താടി
14,Kiefer[Anatomie]::N,állkapocs,താടിയെല്ല്
15,Kehle::N,gége,കണ്ഠനാളം
16,Kehle::N,torok,കണ്ഠനാളം
17,Hals::N,nyak,കഴുത്ത്
18,Genick::N,tarkó,പിടലി
19,Kopf::N,fő,തല
20,Kopf::N,fej,തല
21,Rücken::N,hát,മുതുക്
22,Bauch::N,has,നയറ്
23,Nabel::N,köldök,നാഭി
24,Busen::N,mell,സ്തനം
25,Busen::N,kebel,സ്തനം
26,Brust::N,mell,സ്തനം
27,Schulter::N,váll,തോൾ
28,Arm::N,kar,കൈ
29,Ellenbogen::N,könyök,കൈമുട്ട്
30,Hand::N,kéz,കൈ
31,Handfläche::N,tenyér,ഉള്ളം കൈ
32,Finger::N,ujj,വിരൽ
33,Fingernagel::N,köröm,നഖം
34,Nagel[Anatomie]::N,köröm,നഖം
35,Zeh::N,lábujj,കാൽവിരൽ
36,Fuß::N,láb,കാൽപ്പാദം
37,Ferse::N,sarok,ഉപ്പൂറ്റി
38,Knie::N,térd,കാൽമുട്ട്
39,Oberschenkel::N,comb,തുട
40,Bein::N,láb,കാൽ
41,Bein::N,lábszár,കാൽ
42,Körper::N,test,ശരീരം
43,Haut::N,bőr,ചർമ്മം
44,Blut::N,vér,രക്തം
45,Ader::N,ér,ഞരമ്പ്
46,Sehne::N,ín,സ്നായു
47,Knochen::N,csont,അസ്ഥി
48,Gehirn::N,agy,തലച്ചോറ്
49,Gehirn::N,agyvelő,തലച്ചോറ്
50,Herz::N,szív,ഹൃദയം
51,Magen::N,gyomor,വയർ
52,Leber::N,máj,കരൾ
53,Atem::N,lehelet,ശ്വാസം
54,Atem::N,lélegzet,ശ്വാസം
55,Hunger::N,éhség,വിശപ്പ്
56,Träne::N,könny,കണ്ണീർ
57,Geschmack::N,íz,രുചി
58,Geruch::N,szag,ഗന്ധം
59,Schlaf::N,álom,ഉറകും
60,Schlaf::N,alvás,ഉറകും
61,Traum::N,álom,സ്വപ്നം
62,Himmel::N,ég,ആകാശം
63,Himmel::N,menny,ആകാശം
64,Sonne::N,nap,സൂര്യൻ
65,Mond::N,hold,ചന്ദ്രൻ
66,Stern::N,csillag,നക്ഷത്രം
67,Luft::N,levegő,കാറ്റ്
68,Wind::N,szél,കാറ്റ്
69,Welle::N,hullám,തിരമാല
70,Wasser::N,víz,വെള്ളം
71,Stein::N,kő,ശില
72,Stein::N,kő,കല്ല്
73,Boden::N,föld,തറ
74,Boden::N,föld,നിലം
75,Boden::N,talaj,തറ
76,Boden::N,talaj,നിലം
77,Erde::N,föld,മണ്ണ്
78,Staub::N,por,പൊടി
79,Rauch::N,füst,പുക
80,Funke::N,szikra,തീപ്പൊരി
81,Feuer::N,tűz,തീ
82,Licht::N,fény,വിളക്ക്
83,Licht::N,fény,സൂര്യപ്രകാശം
84,Schatten::N,árnyék,തണൽ
85,Wetter::N,idő,കാലാവസ്ഥ
86,Wetter::N,időjárás,കാലാവസ്ഥ
87,Nebel::N,köd,മൂടൽമഞ്ഞ്
88,Wolke::N,felhő,മേഘം
89,Regen::N,eső,മഴ
90,Schnee::N,hó,മഞ്ഞ്
91,Eis::N,jég,ഐസ്
92,Frost::N,fagy,മൂടൽമഞ്ഞ്
93,Kälte::N,hideg,തണുപ്പ്
94,Hitze::N,hő,ചൂട്
95,Hitze::N,hőség,ചൂട്
96,Raureif::N,zúzmara,കോടമഞ്ഞ്
97,Regenbogen::N,szivárvány,മഴവില്ല്
98,Donner::N,dörgés,ഇടി
99,Donner::N,mennydörgés,ഇടി
100,Strömung::N,áramlat,പ്രവാഹം
101,Tropfen::N,csepp,തുള്ളി
102,Schaum::N,hab,നുര
103,Schaum::N,tajték,നുര
104,Schmutz::N,piszok,അഴുക്ക്
105,See::N,tó,തടാകം
106,Sumpf::N,mocsár,ചതുപ്പുനിലം
107,Moor::N,láp,പാഴ്നിലം
108,Wiese::N,rét,പുൽത്തകിടി
109,Wiese::N,mező,പുൽത്തകിടി
110,Wald::N,erdő,വനം
111,Wald::N,erdő,കാട്
112,Hügel::N,domb,കുന്ന്
113,Anhöhe::N,magaslat,ഉയർന്ന ഭൂമി
114,Berg::N,hegy,പർവ്വതം
115,Gipfel::N,csúcs,ഉച്ചകോടി
116,Höhle::N,barlang,ഗുഹ
117,Abhang::N,lejtő,ചരിവ്
118,Quelle::N,forrás,ഉറവിടം
119,Bach::N,patak,അരുവി
120,Fluss::N,folyó,നദി
121,Ufer::N,part,തീരം
122,Küste::N,tengerpart,കടൽത്തീരം
123,Festland::N,szárazföld,കര
124,Meer::N,tenger,കടൽ
125,Bucht::N,öböl,ഉൾക്കടല്
126,Insel::N,sziget,ദ്വീപ്
127,Blume::N,virág,പൂവ്
128,Gras::N,fű,പുല്ല്
129,Wurzel::N,gyökér,വേര്
130,Baum::N,fa,മരം
131,Stamm::N,tő,തായ്ത്തടി
132,Stamm::N,törzs,തായ്ത്തടി
133,Rinde::N,kéreg,പട്ട
134,Ast::N,ág,ശാഖ
135,Zweig::N,gally,ശാഖ
136,Blatt::N,levél,ഇല
137,Birke::N,nyír,പൂവരശ്
