,Concept_ID,bg,os
0,Auge::N,око,цӕст
1,Ohr::N,ухо,хъус
2,Nase::N,нос,фындз
3,Mund::N,уста,дзых
4,Zahn::N,зъб,дӕндаг
5,Zunge::N,език,ӕвзаг
6,Lippe::N,устна,был
7,Wange::N,буза,рус
8,Wange::N,буза,уадул
9,Wange::N,буза,ӕхсӕрфарс
10,Gesicht::N,лице,цӕсгом
11,Gesicht::N,образ,цӕсгом
12,Stirn::N,чело,ных
13,Haar::N,коса,хил
14,Haar::N,косъм,хил
15,Schnurrbart::N,мустаци,рихи
16,Bart::N,брада,зачъе
17,Kinn::N,брада,роцъо
18,Kinn::N,брадичка,роцъо
19,Kiefer[Anatomie]::N,челюст,ӕфсӕр
20,Kehle::N,гърло,хъуыр
21,Hals::N,врат,къубал
22,Genick::N,тил,къӕбут
23,Kopf::N,глава,сӕр
24,Rücken::N,гръб,фӕсонтӕ
25,Bauch::N,корем,гуыбын
26,Nabel::N,пъп,бикъ
27,Busen::N,бозка,дзидзи
28,Brust::N,гръд,риу
29,Schulter::N,рамо,уӕхск
30,Schulter::N,плещи,уӕхск
31,Arm::N,ръка,цонг
32,Ellenbogen::N,лакът,рæмбын
33,Hand::N,ръка,къух
34,Hand::N,китка,къух
35,Handfläche::N,длан,армытъӕпӕн
36,Finger::N,пръст,ӕнруылдз
37,Fingernagel::N,нокът,ных
38,Nagel[Anatomie]::N,нокът,ных
39,Zeh::N,пръст на крак,къух
40,Fuß::N,крак,фад
41,Fuß::N,нога,фад
42,Ferse::N,пета,зӕвӕт
43,Knie::N,коляно,уӕраг
44,Oberschenkel::N,бедро,агъд
45,Bein::N,крак,зӕнг
46,Bein::N,нога,зӕнг
47,Körper::N,тяло,буар
48,Haut::N,кожа,царм
49,Blut::N,кръв,туг
50,Ader::N,вена,дадзин
51,Ader::N,вена,тугдадзин
52,Ader::N,артерия,дадзин
53,Ader::N,артерия,тугдадзин
54,Sehne::N,жила,хъиутæ
55,Sehne::N,жила,нуар
56,Sehne::N,сухожилие,хъиутæ
57,Sehne::N,сухожилие,нуар
58,Knochen::N,кост,стӕг
59,Gehirn::N,мозък,магъз
60,Herz::N,сърце,зӕрдӕ
61,Magen::N,стомах,ахсӕн
62,Leber::N,черен дроб,игæр
63,Atem::N,дишане,улӕфт
64,Hunger::N,глад,стонг
65,Träne::N,сълза,цæссыг
66,Geschmack::N,вкус,ад
67,Geruch::N,миризма,смаг
68,Schlaf::N,сън,хуыссӕг
69,Traum::N,сън,фын
70,Himmel::N,небе,арв
71,Himmel::N,небе,уӕларв
72,Sonne::N,слънце,хур
73,Mond::N,луна,мӕй
74,Mond::N,месец,мӕй
75,Stern::N,звезда,стъалы
76,Luft::N,въздух,уӕлдӕф
77,Wind::N,вятър,дымгӕ
78,Welle::N,вълна,уылӕн
79,Wasser::N,вода,дон
80,Stein::N,камък,дур
81,Boden::N,земя,зӕхх
82,Boden::N,почва,зӕхх
83,Erde::N,земя,сыджыт
84,Erde::N,почва,сыджыт
85,Staub::N,прах,рыг
86,Rauch::N,дим,фӕздӕг
87,Rauch::N,пушек,фӕздӕг
88,Funke::N,искра,цӕхӕр
89,Feuer::N,огън,зынг
90,Licht::N,светлина,рухс
91,Schatten::N,сянка,аууон
92,Wetter::N,време,боныхъӕд
93,Nebel::N,мъгла,мигъ
94,Wolke::N,облак,ӕврагъ
95,Regen::N,дъжд,уарын
96,Schnee::N,сняг,мит
97,Eis::N,лед,их
98,Frost::N,мраз,ихæн
99,Kälte::N,студ,уазал
100,Hitze::N,жега,ӕнтӕф
101,Hitze::N,горещина,ӕнтӕф
102,Raureif::N,скреж,халас
103,Raureif::N,слана,халас
104,Regenbogen::N,дъга,арвырон
105,Regenbogen::N,дъга,арвырдын
106,Donner::N,гръм,æрвнæрын
107,Strömung::N,течение,цыд
108,Tropfen::N,капка,æртах
109,Schaum::N,пяна,фынк
110,Schmutz::N,кал,цъыф
111,Schmutz::N,мръсотия,цъыф
112,See::N,езеро,цад
113,Sumpf::N,блато,цъыфдзаст
114,Moor::N,мочурище,цъыфдзаст
115,Wiese::N,ливада,уыгӕрдӕн
116,Wald::N,гора,хъӕд
117,Hügel::N,рид,обау
118,Hügel::N,рид,къуыбыр
119,Hügel::N,хълм,обау
120,Hügel::N,хълм,къуыбыр
121,Anhöhe::N,могила,уæлвæз
122,Anhöhe::N,могила,уæлхох
123,Anhöhe::N,възвишение,уæлвæз
124,Anhöhe::N,възвишение,уæлхох
125,Berg::N,планина,хох
126,Gipfel::N,връх,цъупп
127,Höhle::N,пещера,лӕгӕт
128,Abhang::N,склон,къул
129,Abhang::N,стръмнина,къул
130,Quelle::N,извор,суадон
131,Bach::N,поток,мӕсчъыдон
132,Fluss::N,река,дон
133,Fluss::N,река,цӕугӕдон
134,Ufer::N,бряг,был
135,Küste::N,бряг,донбыл
136,Küste::N,крайбрежие,донбыл
137,Festland::N,суша,сурзæхх
138,Meer::N,море,денджыз
139,Bucht::N,залив,донбакæлæн
140,Insel::N,остров,сакъадах
141,Blume::N,цвете,дидинӕг
142,Gras::N,трева,кӕрдӕг
143,Wurzel::N,корен,уидаг
144,Baum::N,дърво,бӕлас
145,Stamm::N,стъбло,хӕтӕл
146,Rinde::N,кора,цъар
147,Ast::N,клон,арх
148,Zweig::N,клон,къалиу
149,Blatt::N,лист,сыф
150,Birke::N,бреза,бæрз
151,Kiefer[Baum]::N,бор,нӕзы
152,Weide[Baum]::N,върба,хӕрис
153,Tanne::N,ела,наз
154,Horn::N,рог,сыкъа
155,Feder::N,перо,сис
156,Fell::N,кожа,царм
157,Flügel::N,крило,базыр
158,Klaue::N,нокът,ных
159,Kralle::N,нокът,дзӕмбы
160,Schwanz::N,опашка,къӕдзил
161,Ei::N,яйце,айк
162,Nest::N,гнездо,ахстон
163,Bau::N,дупка,хуынкъ
164,Tier::N,животно,сырд
165,Tier::N,животно,цӕрӕгой
166,Herde::N,стадо,дзуг
167,Herde::N,стадо,рӕгъау
168,Kuh::N,крава,хъуг
169,Bulle::N,бик,гал
170,Pferd::N,кон,бӕх
171,Schaf::N,овца,фыс
172,Schwein::N,свиня,хуы
173,Hund::N,куче,куыдз
174,Katze::N,котка,гӕды
175,Bär::N,мечка,арс
176,Eichhörnchen::N,катерица,æхсæрæг
177,Elch::N,лос,цæгатаг саг
178,Fuchs::N,лисица,рувас
179,Hase::N,заек,тæрхъус
180,Maus::N,мишка,мыст
181,Wolf::N,вълк,бирӕгъ
182,Vogel::N,птица,цъиу
183,Vogel::N,птица,маргъ
184,Schwarm::N,рой,бал
185,Schwarm::N,рояк,бал
186,Huhn::N,кокошка,карк
187,Hahn::N,петел,уасӕг
188,Gans::N,гъска,хъаз
189,Adler::N,орел,цӕргӕс
190,Ente::N,патица,ацц
191,Eule::N,сова, уыг
192,Eule::N,сова,сидахъ
193,Kranich::N,жерав,зырнæг
194,Kranich::N,жерав,хърихъупп
195,Krähe::N,врана,халон
196,Kuckuck::N,кукувица,гаккук
197,Schwan::N,лебед,доныхъаз
198,Fisch::N,риба,кӕсаг
199,Barsch::N,костур,окунь
200,Hecht::N,щука,хихор кӕсаг
201,Schlange[Tier]::N,змия,калм
202,Wurm::N,червей,зулкъ
203,Wurm::N,червей,къуыдыргалм
204,Spinne::N,паяк,хӕлуарӕг
205,Ameise::N,мравка,мæлдзыг
206,Laus::N,въшка,сыст
207,Mücke::N,комар,къогъо
208,Fliege::N,муха,бындз
209,Schmetterling::N,пеперуда,гæлæбу
210,Beere::N,плод,гагадыргъ
211,Apfel::N,ябълка,фӕткъуы
212,Pilz::N,гъба,зокъо
213,Pilz::N,гъба,къозо
214,Zwiebel::N,лук,хъӕдындз
215,Zwiebel::N,кромид,хъӕдындз
216,Saat::N,семе,тауинаг
217,Saat::N,семе,мыггаг
218,Korn::N,зърно,мыггаг
219,Korn::N,зърно,тауинаг
220,Heu::N,сено,хос
221,Schale::N,кора,цъар
222,Grube::N,яма,урм
223,Grube::N,яма,къахт
224,Grube::N,яма,дзыхъхъ
225,Grube::N,дупка,урм
226,Grube::N,дупка,къахт
227,Grube::N,дупка,дзыхъхъ
228,Falle::N,примка,цъысым
229,Falle::N,примка,къӕппӕг
230,Schlinge::N,клуп,цасм
231,Spur::N,диря,фæд
232,Spur::N,следа,фæд
233,Asche::N,пепел,фӕнык
234,Asche::N,пепел,ӕртхутӕг
235,Dreck::N,кал,цъыф
236,Eisen::N,желязо,ӕфсӕйнаг
237,Gold::N,злато,сыгъзӕрин
238,Silber::N,сребро,ӕвзист
239,Kohle::N,въглища,ӕвзалы
240,Glas::N,стъкло,авг
241,Lehm::N,глина,ӕлыг
242,Sand::N,пясък,змис
243,Mensch::N,човек,лӕг
244,Mensch::N,човек,адӕймаг
245,Mensch::N,човек,удгоймаг
246,Mann::N,мъж,лӕг
247,Mann::N,мъж,нӕлгоймаг
248,Frau::N,жена,сылгоймаг
249,Kind::N,дете,сывӕллон
250,Junge::N,момче,лӕппу
251,Mädchen::N,момиче,чызг
252,Familie::N,фамилия,бинонтæ
253,Familie::N,семейство,бинонтæ
254,Großvater::N,дядо,фыдыфыд
255,Großvater::N,дядо,мадыфыд
256,Großmutter::N,баба,фыды мад
257,Großmutter::N,баба,мады мад
258,Eltern::N,родители,ныййарджытæ
259,Vater::N,баща,фыд
260,Mutter::N,майка,мад
261,Sohn::N,син,фырт
262,Tochter::N,дъщеря,чызг
263,Bruder::N,брат,ӕфсымӕр
264,Schwester::N,сестра,хо
265,Onkel::N,чичо,фыдыфсымӕр
266,Onkel::N,вуйчо,фыдыфсымӕр
267,Tante::N,леля,мадыхо
268,Ehemann::N,съпруг,мой
269,Ehefrau::N,съпруга,ус
270,Freude::N,радост,цин
271,Freude::N,радост,циндзинад
272,Gelächter::N,смях,худын
273,Gelächter::N,смях,худт
274,Gelächter::N,смях,худæг
275,Glück::N,щастие,амонд
276,Kummer::N,тъга,хъыг
277,Wunsch::N,желание,бӕллиц
278,Lust::N,желание,монц
279,Geist::N,дух,уд
280,Gedanke::N,мисъл,хъуыды
281,Gedächtnis::N,памет,мысæн
282,Gedächtnis::N,памет,мысын
283,Gedächtnis::N,памет,зæрдылдарын
284,Verstand::N,ум,зонд
285,Verstand::N,разум,зонд
286,Sinn::N,смисъл,нысаниуæг
287,Grund::N,причина,ӕфсон
288,Wahrheit::N,правда,æцæг
289,Gespräch::N,разговор,ныхас
290,Märchen::N,приказка,аргъау
291,Erzählung::N,разказ,радзырд
292,Nachricht::N,вест,уац
293,Nachricht::N,известие,уац
294,Neuigkeit::N,новина,хабар
295,Name::N,име,ном
296,Rätsel::N,гатанка,уыци-уыци
297,Rätsel::N,гатанка,базон-базон
298,Rede::N,реч,раныхас
299,Rede::N,слово,раныхас
300,Sprache::N,език,ӕвзаг
301,Stimme::N,глас,хъӕлӕс
302,Wort::N,дума,дзырд
303,Zeichen::N,знак,нысан
304,Ruf::N,зов,сидт
305,Lärm::N,шум,уынæр
306,Lärm::N,глъчка,уынæр
307,Laut::N,звук,зӕл
308,Laut::N,звук,мыр
309,Ton::N,тон,мыр
310,Lied::N,песен,зарӕг
311,Ruhe::N,тишина,æнцой
312,Ruhe::N,спокойствие,æнцой
313,Leute::N,хора,адӕм
314,Volk::N,народ,адӕм
315,Arbeit::N,труд,фӕллой
316,Arbeit::N,работа,фӕллой
317,Gast::N,гост,уазӕг
318,Geschenk::N,дар,хуын
319,Geschenk::N,подарък,хуын
320,Spiel::N,игра,хъазт
321,Gesellschaft::N,общество,дзыллæ
322,Gesellschaft::N,общество,æхсæнад
323,Hilfe::N,помощ,æххуыс
324,Hilfe::N,помощ,ахъаз
325,Freund::N,приятел,лымӕн
326,Kamerad::N,другар,ӕмбал
327,Angelegenheit::N,работа,хъуыддаг
328,Anzahl::N,брой,бӕрц
329,Anzahl::N,количество,бӕрц
330,Art::N,вид,хуыз
331,Art::N,вид,хуызад
332,Stück::N,къс,кæрдих
333,Stück::N,къс,комдзаг
334,Stück::N,парче,кæрдих
335,Stück::N,парче,комдзаг
336,Teil::N,дял,хай
337,Teil::N,част,хай
338,Hälfte::N,половина,æрдæг
339,Hälfte::N,половина,æмбис
340,Kreis::N,кръг,зиллакк
341,Kreuz::N,кръст,дзуар
342,Linie::N,черта,хахх
343,Strich::N,щрих,хахх
344,Strich::N,черта,хахх
345,Abstand::N,дистанция,æхсæнуат
