,Concept_ID,tr,ko
0,Auge::N,göz,눈
1,Ohr::N,kulak,귀
2,Nase::N,burun,코
3,Mund::N,ağız,입
4,Zahn::N,diş,이
5,Zunge::N,dil,혀
6,Lippe::N,dudak,입술
7,Wange::N,yanak,뺨
8,Gesicht::N,yüz,얼굴
9,Stirn::N,alın,이마
10,Haar::N,saç,털
11,Schnurrbart::N,bıyık,윗수몀
12,Schnurrbart::N,bıyık,코밑수염
13,Bart::N,sakal,수엄
14,Kinn::N,çene,아래턱
15,Kiefer[Anatomie]::N,çene,턱
16,Kehle::N,boğaz,인후
17,Hals::N,boyun,목
18,Hals::N,gerdan,목
19,Genick::N,ense,먹덜이
20,Kopf::N,baş,머리
21,Kopf::N,kafa,머리
22,Rücken::N,arka,든
23,Bauch::N,karın,배
24,Nabel::N,göbek,배꼽
25,Busen::N,koyun,가슴속
26,Brust::N,göğüs,가슴
27,Schulter::N,omuz,어깨
28,Arm::N,kol,팔
29,Ellenbogen::N,dirsek,팔쿰치
30,Hand::N,el,손
31,Handfläche::N,avuç,손바닥
32,Handfläche::N,el ayası,손바닥
33,Finger::N,parmak,속가락
34,Fingernagel::N,el tırnağı,손톱
35,Nagel[Anatomie]::N,tırnak,손톱
36,Zeh::N,ayak parmağı,발가락
37,Fuß::N,ayak,발
38,Ferse::N,topuk,발꿈치
39,Knie::N,diz,무릎
40,Oberschenkel::N,uyluk,허벅다리
41,Bein::N,bacak,다리
42,Körper::N,vücut,구간
43,Haut::N,cilt,살갗
44,Blut::N,kan,피
45,Ader::N,damar,정맥
46,Sehne::N,kiriş,현
47,Knochen::N,kemik,뼈
48,Gehirn::N,beyin,뇌
49,Gehirn::N,beyin,뇌수
50,Herz::N,kalp,염통
51,Herz::N,yürek,염통
52,Magen::N,mide,위
53,Leber::N,karaciğer,간
54,Atem::N,nefes,기식
55,Hunger::N,açlık,공복
56,Träne::N,gözyaşı,눈물
57,Geschmack::N,tat,기호
58,Geschmack::N,lezzet,기호
59,Geruch::N,koku,냄새
60,Schlaf::N,uyku,수면
61,Traum::N,düş,쿰
62,Traum::N,rüya,쿰
63,Himmel::N,gök,하늘
64,Sonne::N,güneş,해
65,Mond::N,ay,달
66,Stern::N,yıldız,별
67,Luft::N,hava,동준
68,Luft::N,hava,가스채
69,Wind::N,yel,바람
70,Wind::N,rüzgâr,바람
71,Welle::N,dalga,물결
72,Wasser::N,su,물
73,Stein::N,taş,돌
74,Boden::N,yer,바닥
75,Boden::N,zemin,바닥
76,Erde::N,toprak,흙
77,Staub::N,toz,먼지
78,Rauch::N,duman,연기
79,Funke::N,kıvılcım,불티
80,Feuer::N,ateş,불
81,Licht::N,ışık,불
82,Schatten::N,gölge,어스레함
83,Wetter::N,hava,기상
84,Nebel::N,pus,안개
85,Wolke::N,bulut,구름
86,Regen::N,yağmur,비
87,Schnee::N,kar,눈
88,Eis::N,buz,얼음
89,Frost::N,don,혹한
90,Kälte::N,soğukluk,추위
91,Kälte::N,soğukluk,차가움
92,Hitze::N,sıcaklık,고온
93,Hitze::N,sıcaklık,더위
94,Raureif::N,kırç,
95,Regenbogen::N,gökkuşağı,무지개
96,Donner::N,gök gürlemesi,뇌명
97,Strömung::N,akıntı,유동
98,Strömung::N,cereyan,유동
99,Tropfen::N,damla,물방울
100,Schaum::N,köpük,포말
101,Schmutz::N,çamur,때
102,Schmutz::N,pislik,때
103,See::N,göl,호수
104,Sumpf::N,batak,습지
105,Moor::N,cılgıt,저습지
106,Wiese::N,çimen,목초지
107,Wald::N,koru,숲
108,Wald::N,orman,숲
109,Hügel::N,tepe,언덕
110,Anhöhe::N,tümsek,언덕
111,Anhöhe::N,yükseklik,언덕
112,Berg::N,dağ,산
113,Gipfel::N,zirve,졀졍
114,Höhle::N,in,공동
115,Höhle::N,mağara,공동
116,Abhang::N,bayır,몰매
117,Quelle::N,pınar,근원
118,Quelle::N,kaynak,근원
119,Bach::N,çay,내
120,Bach::N,dere,내
121,Fluss::N,nehir,강
122,Ufer::N,kıyı,강변
123,Ufer::N,kıyı,바닷가
124,Ufer::N,sahil,강변
125,Ufer::N,sahil,바닷가
126,Küste::N,kıyı,해변
127,Küste::N,kıyı,해변가
128,Küste::N,sahil,해변
129,Küste::N,sahil,해변가
130,Festland::N,kara,본토
131,Meer::N,deniz,바다
132,Bucht::N,koy,협만
133,Bucht::N,körfez,협만
134,Insel::N,ada,섬
135,Blume::N,çiçek,꽃
136,Gras::N,ot,풀
137,Gras::N,çim,풀
138,Wurzel::N,kök,뿌리
139,Baum::N,ağaç,나무
140,Stamm::N,gövde,대
141,Rinde::N,kabuk,나무껍질
142,Ast::N,dal,가지
143,Ast::N,budak,가지
144,Zweig::N,dal,가지
145,Blatt::N,yaprak,잎
146,Birke::N,huş,자작나무
147,Kiefer[Baum]::N,çam,소나무
148,Weide[Baum]::N,söğüt,쉬양버들
149,Tanne::N,çam,전나무
150,Tanne::N,köknar,전나무
151,Horn::N,boynuz,뿔
152,Feder::N,tüy,깃털
153,Fell::N,post,피혁모피
154,Flügel::N,kanat,날개
155,Klaue::N,pençe,갈고리 발톺
156,Kralle::N,tırnak,발툭
157,Schwanz::N,kuyruk,꼬리
158,Ei::N,yumurta,알
159,Nest::N,yuva,보금자리
160,Bau::N,in,굴
161,Tier::N,hayvan,짐승
162,Herde::N,sürü,가축의떼
163,Kuh::N,inek,암소
164,Bulle::N,boğa,황소
165,Pferd::N,at,말
166,Pferd::N,beygir,말
167,Schaf::N,koyun,양
168,Schwein::N,domuz,돼지
169,Hund::N,it,개
170,Hund::N,köpek,개
171,Katze::N,kedi,고양이
172,Bär::N,ayı,콤
173,Eichhörnchen::N,sincap,다람쥐
174,Elch::N,büyük kuzey geyiği,고라니
175,Fuchs::N,tilki,여우
176,Hase::N,tavşan,토끼
177,Maus::N,fare,쥐
178,Maus::N,sıçan,쥐
179,Wolf::N,kurt,늑대
180,Vogel::N,kuş,새
181,Schwarm::N,sürü,뗴
182,Huhn::N,tavuk,암탉
183,Hahn::N,horoz,수탉
184,Gans::N,kaz,거위
185,Adler::N,kartal,수리
186,Adler::N,karakuş,수리
187,Ente::N,ördek,오리
188,Eule::N,baykuş,부엉이
189,Kranich::N,turna,두루미
190,Krähe::N,karga,까마귀
191,Kuckuck::N,guguk,뻐꾸기
192,Schwan::N,kuğu,배조
193,Fisch::N,balık,물고기
194,Barsch::N,hani,농어
195,Barsch::N,levrek,농어
196,Hecht::N,turnabalığı,에속스
197,Schlange[Tier]::N,yılan,뱀
198,Wurm::N,kurt,벌레
