,Concept_ID,en,fa
0,Auge::N,eye,چشم
1,Ohr::N,ear,گوش
2,Nase::N,nose,بینی
3,Mund::N,mouth,دهان
4,Zahn::N,tooth,دندان
5,Zunge::N,tongue,زبان
6,Lippe::N,lip,لب
7,Wange::N,cheek,لپ
8,Gesicht::N,face,رو
9,Gesicht::N,face,چهره
10,Stirn::N,forehead,پیشانی
11,Haar::N,hair,مو
12,Schnurrbart::N,moustache,سبیل
13,Bart::N,beard,ریش
14,Kinn::N,chin,چانه
15,Kiefer[Anatomie]::N,jaw,فک
16,Kiefer[Anatomie]::N,jaw,آرواره
17,Kehle::N,throat,حلق
18,Hals::N,neck,گردن
19,Genick::N,nape,پشت گردن
20,Kopf::N,head,سر
21,Kopf::N,head,کله
22,Rücken::N,back,پشت
23,Rücken::N,spine,پشت
24,Bauch::N,belly,شکم
25,Nabel::N,navel,ناف
26,Busen::N,bosom,پستان
27,Brust::N,chest,سینه
28,Brust::N,breast,سینه
29,Schulter::N,shoulder,دوش
30,Schulter::N,shoulder,شانه
31,Arm::N,arm,بازو
32,Ellenbogen::N,elbow,آرنج
33,Hand::N,hand,دست
34,Handfläche::N,palm,کف دست
35,Finger::N,finger,انگشت
36,Fingernagel::N,fingernail,ناخن دست
37,Nagel[Anatomie]::N,nail,ناخن
38,Zeh::N,toe,انگشت پا
39,Fuß::N,foot,پا
40,Ferse::N,heel,پاشنه
41,Knie::N,knee,زانو
42,Oberschenkel::N,thigh,ران
43,Bein::N,leg,پا
44,Bein::N,leg,لنگ
45,Körper::N,body,تن
46,Körper::N,body,بدن
47,Haut::N,skin,پوست
48,Blut::N,blood,خون
49,Ader::N,vein,رگ
50,Sehne::N,sinew,زردپی
51,Knochen::N,bone,استخوان
52,Gehirn::N,brain,مخ
53,Gehirn::N,brain,مغز
54,Herz::N,heart,دل
55,Herz::N,heart,قلب
56,Magen::N,stomach,معده
57,Leber::N,liver,کبد
58,Atem::N,breath,نفس
59,Hunger::N,hunger,گرسنگی
60,Träne::N,tear,اشک
61,Geschmack::N,flavour,مزه
62,Geschmack::N,flavor,مزه
63,Geruch::N,odour,بو
64,Geruch::N,odor,بو
65,Schlaf::N,sleep,خواب
