,Concept_ID,lbe,os
0,Auge::N,я,цӕст
1,Ohr::N,вичӏи,хъус
2,Nase::N,май,фындз
3,Mund::N,кьацӏ,дзых
4,Zahn::N,ккарччи,дӕндаг
5,Zunge::N,маз,ӕвзаг
6,Lippe::N,мурччи,был
7,Wange::N,чӏав,рус
8,Wange::N,чӏав,уадул
9,Wange::N,чӏав,ӕхсӕрфарс
10,Gesicht::N,лажин,цӕсгом
11,Stirn::N,ненттабакӏ,ных
12,Haar::N,чӏара,хил
13,Schnurrbart::N,ссирссилтту,рихи
14,Bart::N,чӏири,зачъе
15,Kinn::N,лунттубакӏ,роцъо
16,Kiefer[Anatomie]::N,ххинчулул,ӕфсӕр
17,Kehle::N,кьакьари,хъуыр
18,Hals::N,ссурссу,къубал
19,Genick::N,махъабакӏ,къӕбут
20,Kopf::N,бакӏ,сӕр
21,Rücken::N,ттиликӏ,фӕсонтӕ
22,Bauch::N,лякьа,гуыбын
23,Nabel::N,цӏумуккутӏ,бикъ
24,Busen::N,ккукку,дзидзи
25,Brust::N,хъазам,риу
26,Schulter::N,хъачӏ,уӕхск
27,Arm::N,ка,цонг
28,Ellenbogen::N,ссюрхъ,рæмбын
29,Hand::N,бартка,къух
30,Handfläche::N,хъат,армытъӕпӕн
31,Handfläche::N,битӏянхъ,армытъӕпӕн
32,Finger::N,кӏисса,ӕнруылдз
33,Fingernagel::N,михь,ных
34,Nagel[Anatomie]::N,михь,ных
35,Zeh::N,кӏисса,къух
36,Fuß::N,чӏанччан,фад
37,Ferse::N,никъа,зӕвӕт
38,Knie::N,ник,уӕраг
39,Oberschenkel::N,жира,агъд
40,Bein::N,ччан,зӕнг
41,Körper::N,чурх,буар
42,Haut::N,бурчу,царм
43,Blut::N,оь,туг
44,Ader::N,тунну,дадзин
45,Ader::N,тунну,тугдадзин
46,Sehne::N,хьхьа,хъиутæ
47,Sehne::N,хьхьа,нуар
48,Knochen::N,ттаркӏ,стӕг
49,Gehirn::N,ня,магъз
50,Herz::N,дакӏ,зӕрдӕ
51,Herz::N,къюкӏ,зӕрдӕ
52,Magen::N,лякьа,ахсӕн
53,Atem::N,ссихӏ ласаву,улӕфт
54,Atem::N,ссихӏ бигьаву,улӕфт
55,Hunger::N,ккаши,стонг
56,Träne::N,макь,цæссыг
57,Geschmack::N,тӏин,ад
58,Geschmack::N,тӏааьн,ад
59,Geruch::N,кьанкь,смаг
60,Schlaf::N,шану,хуыссӕг
61,Traum::N,макӏру,фын
62,Himmel::N,ссав,арв
63,Himmel::N,ссав,уӕларв
64,Sonne::N,баргъ,хур
65,Mond::N,барз,мӕй
66,Stern::N,цӏуку,стъалы
67,Luft::N,гьава,уӕлдӕф
68,Wind::N,марч,дымгӕ
69,Welle::N,щатӏи,уылӕн
70,Wasser::N,щин,дон
71,Stein::N,чару,дур
72,Boden::N,аьрщи,зӕхх
73,Erde::N,аьрщи,сыджыт
74,Staub::N,ххит,рыг
75,Rauch::N,пуркӏу,фӕздӕг
76,Funke::N,пиягь,цӕхӕр
77,Feuer::N,цӏу,зынг
78,Licht::N,чани,рухс
79,Schatten::N,ххют,аууон
80,Wetter::N,гьава,боныхъӕд
81,Nebel::N,шархь ттурлу,мигъ
82,Wolke::N,ттурлу,ӕврагъ
83,Regen::N,гъарал,уарын
84,Schnee::N,марххала,мит
85,Eis::N,микӏ,их
86,Frost::N,дяркъу,ихæн
87,Frost::N,замгьар,ихæн
88,Kälte::N,дяркъу,уазал
89,Hitze::N,кӏиришиву,ӕнтӕф
90,Raureif::N,сил,халас
91,Raureif::N,бурса,халас
92,Regenbogen::N,ссурул ккуртта,арвырон
93,Regenbogen::N,ссурул ккуртта,арвырдын
94,Donner::N,къув,æрвнæрын
95,Strömung::N,экьинанаву,цыд
96,Tropfen::N,кӏунтӏ,æртах
97,Schaum::N,хьама,фынк
98,Schmutz::N,кьяркьи,цъыф
99,See::N,бяр,цад
100,Sumpf::N,кунцӏа,цъыфдзаст
101,Wiese::N,кьан,уыгӕрдӕн
102,Wald::N,вацӏа,хъӕд
103,Hügel::N,бакӏу,обау
104,Hügel::N,бакӏу,къуыбыр
105,Berg::N,зунтту,хох
106,Gipfel::N,мицӏ,цъупп
107,Höhle::N,нух,лӕгӕт
108,Abhang::N,сун,къул
109,Quelle::N,дайдихьу,суадон
110,Quelle::N,бакӏ,суадон
111,Bach::N,чӏрир нех,мӕсчъыдон
112,Fluss::N,нех,дон
113,Fluss::N,нех,цӕугӕдон
114,Ufer::N,зума,был
115,Küste::N,зумаинхалу,донбыл
116,Küste::N,зуманицӏалу,донбыл
117,Festland::N,кьири,сурзæхх
118,Meer::N,хьхьири,денджыз
119,Insel::N,жазира,сакъадах
120,Blume::N,тӏутӏи,дидинӕг
121,Gras::N,уртту,кӕрдӕг
122,Wurzel::N,мархха,уидаг
123,Baum::N,мурхь,бӕлас
124,Stamm::N,ттарцӏ,хӕтӕл
125,Rinde::N,ккамара,цъар
126,Ast::N,матӏи,арх
127,Zweig::N,къяртта,къалиу
128,Blatt::N,чӏапӏи,сыф
129,Birke::N,кӏялахӏи,бæрз
130,Birke::N,кӏялахӏилул мурхь,бæрз
131,Kiefer[Baum]::N,ттар,нӕзы
132,Kiefer[Baum]::N,ттарлил мурхь,нӕзы
133,Weide[Baum]::N,щавщи,хӕрис
134,Tanne::N,ттарлил мурхь,наз
135,Horn::N,хъи,сыкъа
136,Feder::N,лелуххул тӏиму,сис
137,Fell::N,бурчу,царм
138,Flügel::N,хъа,базыр
139,Flügel::N,ххурупӏайрал тӏиму,базыр
140,Klaue::N,михь,ных
141,Kralle::N,ххяппа,дзӕмбы
142,Schwanz::N,магъ,къӕдзил
143,Ei::N,ккунук,айк
144,Nest::N,кюру,ахстон
145,Bau::N,цукъуккутӏ,хуынкъ
146,Tier::N,хӏайван,сырд
147,Tier::N,хӏайван,цӕрӕгой
148,Herde::N,газу,дзуг
149,Herde::N,газу,рӕгъау
150,Kuh::N,оьл,хъуг
151,Bulle::N,ниц,гал
152,Pferd::N,чу,бӕх
153,Schaf::N,тта,фыс
154,Schwein::N,дунгъуз,хуы
155,Hund::N,ккаччи,куыдз
156,Katze::N,ччиту,гӕды
157,Bär::N,цуша,арс
158,Eichhörnchen::N,бюрхттукку,æхсæрæг
159,Elch::N,ниц-бюрин,цæгатаг саг
160,Fuchs::N,цулчӏа,рувас
161,Fuchs::N,куча цулчӏа,рувас
162,Hase::N,бюрх,тæрхъус
163,Maus::N,кӏулу,мыст
164,Wolf::N,барцӏ,бирӕгъ
165,Vogel::N,лелуххи,цъиу
166,Vogel::N,лелуххи,маргъ
167,Schwarm::N,гьухъала,бал
168,Huhn::N,аьнакӏи,карк
169,Hahn::N,ажари,уасӕг
170,Gans::N,къаз,хъаз
171,Adler::N,барзу,цӕргӕс
172,Ente::N,урдак,ацц
173,Eule::N,ису, уыг
174,Eule::N,ису,сидахъ
175,Eule::N,ччиккумяв, уыг
176,Eule::N,ччиккумяв,сидахъ
177,Kranich::N,кьурукь,зырнæг
178,Kranich::N,кьурукь,хърихъупп
179,Krähe::N,хъатӏу,халон
180,Kuckuck::N,ччикку,гаккук
181,Schwan::N,урттил къаз,доныхъаз
182,Fisch::N,чавахъ,кӕсаг
183,Schlange[Tier]::N,шатта,калм
184,Wurm::N,кьюнукьай шатта,зулкъ
185,Wurm::N,кьюнукьай шатта,къуыдыргалм
186,Spinne::N,ххялцу,хӕлуарӕг
187,Ameise::N,митӏикьукьу,мæлдзыг
188,Mücke::N,мичӏак,къогъо
189,Fliege::N,зимиз,бындз
190,Schmetterling::N,чӏимучӏали,гæлæбу
191,Beere::N,хӏаллил ахъулсса,гагадыргъ
192,Apfel::N,гьивч,фӕткъуы
193,Pilz::N,ттуккул иис,зокъо
194,Pilz::N,ттуккул иис,къозо
195,Zwiebel::N,лаччул чсмусул бакӏ,хъӕдындз
196,Saat::N,гьанна,тауинаг
197,Saat::N,гьанна,мыггаг
198,Korn::N,къама,мыггаг
199,Korn::N,къама,тауинаг
200,Heu::N,ххулув,хос
201,Schale::N,ккиртту,цъар
202,Grube::N,кӏаланг,урм
203,Grube::N,кӏаланг,къахт
204,Grube::N,кӏаланг,дзыхъхъ
205,Falle::N,къатӏа,цъысым
206,Falle::N,къатӏа,къӕппӕг
207,Schlinge::N,хӏатӏ,цасм
208,Spur::N,ша,фæд
209,Asche::N,лах,фӕнык
210,Asche::N,лах,ӕртхутӕг
211,Dreck::N,кьяркьи,цъыф
212,Dreck::N,венп,цъыф
213,Eisen::N,мах,ӕфсӕйнаг
214,Gold::N,муси,сыгъзӕрин
215,Silber::N,арцу,ӕвзист
216,Kohle::N,кӏалаш,ӕвзалы
217,Kohle::N,хъуручӏ,ӕвзалы
218,Glas::N,пюрун,авг
219,Lehm::N,сина аьрщи,ӕлыг
220,Sand::N,къун,змис
221,Mensch::N,инсан,лӕг
222,Mensch::N,инсан,адӕймаг
223,Mensch::N,инсан,удгоймаг
224,Mann::N,чув,лӕг
225,Mann::N,чув,нӕлгоймаг
226,Mann::N,адимина,лӕг
227,Mann::N,адимина,нӕлгоймаг
228,Frau::N,щарсса,сылгоймаг
229,Frau::N,хъамитайпа,сылгоймаг
230,Kind::N,чӏиви оьрчӏ,сывӕллон
231,Junge::N,оьрчӏ,лӕппу
232,Junge::N,бурхьин оьрчӏ,лӕппу
233,Mädchen::N,душ,чызг
234,Familie::N,кулпат,бинонтæ
235,Großvater::N,ттатта,фыдыфыд
236,Großvater::N,ттатта,мадыфыд
237,Großvater::N,ниттил ппу,фыдыфыд
238,Großvater::N,ниттил ппу,мадыфыд
239,Großmutter::N,буттал нину,фыды мад
240,Großmutter::N,буттал нину,мады мад
241,Eltern::N,нину-ппу,ныййарджытæ
242,Vater::N,ппу,фыд
243,Mutter::N,нину,мад
244,Sohn::N,арс,фырт
245,Tochter::N,душ,чызг
246,Bruder::N,уссу,ӕфсымӕр
247,Schwester::N,ссу,хо
248,Onkel::N,буттауссу,фыдыфсымӕр
249,Tante::N,буттал ссу,мадыхо
250,Ehemann::N,лас,мой
251,Ehefrau::N,щар,ус
252,Ehefrau::N,щарсса,ус
253,Freude::N,шадшиву,цин
254,Freude::N,шадшиву,циндзинад
255,Freude::N,ххаришиву,цин
256,Freude::N,ххаришиву,циндзинад
257,Gelächter::N,хъяхъаву,худын
258,Gelächter::N,хъяхъаву,худт
259,Gelächter::N,хъяхъаву,худæг
260,Glück::N,талихӏ,амонд
261,Kummer::N,дард,хъыг
262,Wunsch::N,мурад,бӕллиц
263,Lust::N,гьавас,монц
264,Lust::N,ччаву,монц
265,Geist::N,рухӏ,уд
266,Gedanke::N,пикри,хъуыды
267,Gedächtnis::N,дакӏний личӏаву,мысæн
