,Concept_ID,cs,eu
0,Auge::N,oko,begi
1,Ohr::N,ucho,belarri
2,Nase::N,nos,sudur
3,Mund::N,pusa,aho
4,Zahn::N,zub,hortz
5,Zunge::N,jazyk,mihi
6,Lippe::N,ret,ezpain
7,Wange::N,tvář,masail
8,Gesicht::N,obličej,aurpegi
9,Stirn::N,čelo,bekoki
10,Haar::N,vlas,ile
11,Haar::N,vlas,bilo
12,Haar::N,vlasy,ile
13,Haar::N,vlasy,bilo
14,Schnurrbart::N,kníry,bibote
15,Schnurrbart::N,kníry,sudurpeko
16,Bart::N,vousy,bizar
17,Kinn::N,brada,kokots
18,Kiefer[Anatomie]::N,čelist,masailezur
19,Kehle::N,hrdlo,eztarri
20,Hals::N,krk,sama
21,Genick::N,týl,garondo
22,Kopf::N,hlava,buru
23,Rücken::N,záda,bizkar
24,Rücken::N,hřbet,bizkar
25,Bauch::N,břicho,sabel
26,Nabel::N,pupek,zilbor
27,Busen::N,ňadra,titi
28,Busen::N,ňadra,ugatz
29,Brust::N,prsa,bular
30,Schulter::N,plece,besaburu
31,Schulter::N,rameno,besaburu
32,Arm::N,ruka,beso
33,Ellenbogen::N,loket,ukondo
34,Hand::N,ruka,esku
35,Handfläche::N,dlaň,ahur
36,Finger::N,prst,hatz
37,Fingernagel::N,nehet,azazkal
38,Nagel[Anatomie]::N,nehet,azazkal
39,Zeh::N,prst u nohy,behatz
40,Fuß::N,noha,oin
41,Ferse::N,pata,orpo
42,Ferse::N,pata,oinburu
43,Knie::N,koleno,belaun
44,Oberschenkel::N,stehno,izter
45,Bein::N,noha,zango
46,Körper::N,tělo,soin
47,Haut::N,kůže,azal
48,Blut::N,krev,odol
49,Ader::N,céva,zain
50,Sehne::N,šlacha,gihar-zain
51,Knochen::N,kost,hezur
52,Gehirn::N,mozek,garun
53,Gehirn::N,mozek,burmuin
54,Herz::N,srdce,bihotz
55,Magen::N,žaludek,urdail
56,Leber::N,játra,gibel
57,Atem::N,dech,hats
58,Atem::N,dech,arnasa
59,Hunger::N,hlad,gose
60,Träne::N,slza,malko
61,Geschmack::N,vkus,dasta
62,Geruch::N,vůně,usain
63,Geruch::N,zápach,usain
64,Schlaf::N,spánek,lo
65,Traum::N,sen,amets
66,Himmel::N,nebe,zeru
67,Sonne::N,slunce,eguzki
68,Mond::N,měsíc,ilargi
69,Stern::N,hvězda,izar
70,Luft::N,vzduch,aire
71,Wind::N,vítr,haize
72,Welle::N,vlna,uhin
73,Welle::N,vlna,olatu
74,Wasser::N,voda,ur
75,Stein::N,kámen,harri
76,Boden::N,půda,lur
77,Boden::N,půda,zoru
78,Erde::N,země,lur
79,Staub::N,prach,hauts
80,Rauch::N,dým,ke
81,Rauch::N,kouř,ke
82,Funke::N,jiskra,zirta
83,Funke::N,jiskra,txinparta
84,Feuer::N,oheň,su
85,Licht::N,světlo,argi
86,Schatten::N,stín,itzal
87,Schatten::N,stín,geriza
88,Wetter::N,počasí,eguraldi
89,Nebel::N,mlha,laino
90,Wolke::N,mrak,hodei
91,Wolke::N,oblak,hodei
92,Regen::N,déšť,euri
93,Schnee::N,sníh,elur
94,Eis::N,led,horma
95,Frost::N,mráz,izotzaldi
96,Kälte::N,chlad,hotz
97,Hitze::N,horko,bero
98,Raureif::N,jinovatka,antzigar
99,Regenbogen::N,duha,ostadar
100,Regenbogen::N,duha,ortzadar
101,Donner::N,hrom,ostots
102,Donner::N,hrom,ihurtzuri
103,Strömung::N,proudění,laster
104,Tropfen::N,kapka,xorta
105,Schaum::N,pěna,bits
106,Schmutz::N,špína,lohi
107,Schmutz::N,špína,zikin
108,See::N,jezero,laku
109,See::N,jezero,aintzira
110,Sumpf::N,močál,zingira
111,Sumpf::N,bažina,zingira
112,Moor::N,bažina,zohikaztegi
113,Moor::N,slatina,zohikaztegi
114,Wiese::N,louka,larre
115,Wiese::N,louka,belardi
116,Wald::N,les,baso
117,Wald::N,les,oihan
118,Hügel::N,kopec,muino
119,Hügel::N,kopec,pentoka
120,Anhöhe::N,pahorek,garai
121,Anhöhe::N,pahorek,goragune
122,Berg::N,hora,mendi
123,Gipfel::N,vrchol,gain
124,Gipfel::N,vrchol,tontor
125,Höhle::N,jeskyně,kobazulo
126,Abhang::N,svah,aldapa
127,Abhang::N,stráň,aldapa
128,Quelle::N,pramen,iturri
129,Quelle::N,pramen,iturbegi
130,Bach::N,potok,lats
131,Bach::N,potok,erreka
132,Fluss::N,řeka,ibai
133,Fluss::N,řeka,uhaitz
134,Ufer::N,břeh,bazter
135,Küste::N,pobřeží,itsasalde
136,Festland::N,souš,lehor
137,Festland::N,pevnina,lehor
138,Meer::N,moře,itsaso
139,Bucht::N,záliv,golko
140,Bucht::N,zátoka,golko
141,Insel::N,ostrov,irla
142,Insel::N,ostrov,uharte
143,Blume::N,květina,lili
144,Gras::N,tráva,belar
145,Wurzel::N,kořen,zuztar
146,Wurzel::N,kořen,sustrai
147,Baum::N,strom,zuhaitz
148,Stamm::N,kmen,enbor
149,Rinde::N,kůra,azal
150,Ast::N,větev,adar
151,Zweig::N,větev,abar
152,Blatt::N,lupen,hosto
153,Birke::N,bříza,urki
154,Kiefer[Baum]::N,sosna,ler
155,Kiefer[Baum]::N,borovice,ler
156,Weide[Baum]::N,vrba,zume
157,Weide[Baum]::N,vrba,sahats
158,Tanne::N,jedle,izei
159,Horn::N,roh,adar
160,Feder::N,pero,luma
161,Feder::N,pero,hegaki
162,Fell::N,srst,ile
163,Fell::N,srst,larru
164,Flügel::N,křídlo,hego
165,Klaue::N,dráp,atzapar
166,Klaue::N,pazneht,atzapar
167,Kralle::N,dráp,erpe
168,Kralle::N,dráp,atzapar
169,Schwanz::N,ocas,isats
170,Schwanz::N,ocas,buztan
171,Ei::N,vejce,arrautza
172,Nest::N,hnízdo,habia
173,Bau::N,nora,ohantze
174,Tier::N,zvíře,abere
175,Tier::N,zvíře,piztia
176,Herde::N,stádo,saldo
177,Herde::N,stádo,abere talde
178,Kuh::N,kráva,behi
179,Bulle::N,býk,zezen
180,Pferd::N,kůň,zaldi
181,Schaf::N,ovce,ardi
182,Schwein::N,vepř,urde
183,Schwein::N,vepř,txerri
184,Schwein::N,prase,urde
185,Schwein::N,prase,txerri
186,Hund::N,pes,txakur
187,Katze::N,kočka,katu
188,Bär::N,medvěd,hartz
189,Eichhörnchen::N,veverka,urtxintxa
190,Elch::N,los,altze
191,Fuchs::N,liška,azeri
192,Hase::N,zajíc,erbi
193,Maus::N,myš,sagu
194,Wolf::N,vlk,otso
195,Vogel::N,pták,txori
196,Vogel::N,pták,hegazti
197,Schwarm::N,roj,aldra
198,Schwarm::N,hejno,aldra
199,Huhn::N,kuře,oilo
200,Huhn::N,slepice,oilo
201,Hahn::N,kohout,oilar
202,Gans::N,husa,antzara
203,Adler::N,orel,arrano
204,Ente::N,kachna,ahate
205,Eule::N,sova,hontza
206,Kranich::N,jeřáb,kurrilo
207,Krähe::N,vrána,bele
208,Kuckuck::N,kukačka,kuku
209,Schwan::N,labuť,beltxarga
210,Fisch::N,ryba,arrain
211,Barsch::N,okoun,perka
212,Hecht::N,štika,lutxo
213,Schlange[Tier]::N,had,suge
214,Wurm::N,červ,har
215,Spinne::N,pavouk,armiarma
216,Ameise::N,mravenec,inurri
217,Laus::N,veš,zorri
218,Mücke::N,komár,eltxo
219,Fliege::N,moucha,euli
220,Schmetterling::N,motýl,pinpirin
221,Schmetterling::N,motýl,tximeleta
222,Beere::N,bobule,baia
223,Apfel::N,jablko,sagar
224,Pilz::N,houba,onddo
225,Pilz::N,houba,perretxiko
226,Zwiebel::N,cibule,tipula
227,Saat::N,osivo,haziak
228,Korn::N,zrno,ale
229,Korn::N,zrno,pikor
230,Heu::N,seno,belar ondu
231,Schale::N,slupka,azal
232,Schale::N,skořápka,azal
233,Grube::N,jáma,hobi
234,Falle::N,past,harrapagailu
235,Falle::N,léčka,harrapagailu
236,Schlinge::N,smyčka,bilur
237,Schlinge::N,smyčka,xedera
238,Spur::N,stopa,lorratz
239,Asche::N,popel,errauts
240,Dreck::N,špína,satsukeria
241,Eisen::N,železo,burdina
242,Gold::N,zlato,urre
243,Gold::N,zlato,urregorri
244,Silber::N,stříbro,zilar
245,Silber::N,stříbro,urrezuri
246,Kohle::N,uhlí,ikatz
247,Glas::N,sklo,beira
248,Lehm::N,jíl,buztin
249,Lehm::N,hlína,buztin
250,Sand::N,písek,harea
251,Sand::N,písek,hondar
252,Mensch::N,člověk,gizaki
253,Mann::N,muž,gizon
254,Frau::N,žena,andere
255,Frau::N,žena,emakume
256,Kind::N,dítě,haur
257,Junge::N,hoch,mutil
258,Junge::N,chlapec,mutil
259,Mädchen::N,děvče,neska
260,Familie::N,rodina,sendi
261,Familie::N,rodina,familia
262,Großvater::N,děd,aitona
263,Großvater::N,děd,aitatxi
264,Großvater::N,dědeček,aitona
265,Großvater::N,dědeček,aitatxi
266,Großmutter::N,babička,amona
267,Großmutter::N,babička,amatxi
268,Eltern::N,rodiče,gurasoak
269,Vater::N,otec,aita
270,Mutter::N,matka,ama
271,Sohn::N,syn,seme
272,Tochter::N,dcera,alaba
273,Bruder::N,bratr,neba
274,Bruder::N,bratr,anaia
275,Schwester::N,sestra,ahizpa
276,Onkel::N,strýc,osaba
277,Tante::N,teta,izeba
278,Ehemann::N,choť,senar
