,Concept_ID,sk,hy
0,Auge::N,oko,աչք
1,Ohr::N,ucho,ականջ
2,Nase::N,nos,քիթ
3,Mund::N,ústa,բերան
4,Zahn::N,zub,ատամ
5,Zunge::N,jazyk,լեզու
6,Lippe::N,pera,շրթունք
7,Wange::N,líce,այտ
8,Wange::N,líce,թուշ
9,Gesicht::N,tvár,դեմք
10,Gesicht::N,obličaj,դեմք
11,Stirn::N,čelo,ճակատ
12,Haar::N,vlas,մազ
13,Schnurrbart::N,fúzy,բեղ
14,Bart::N,brada,մորուք
15,Kinn::N,brada,կզակ
16,Kiefer[Anatomie]::N,čeľusť,ծնոտ
17,Kehle::N,hrdlo,կոկորդ
18,Hals::N,krk,վիզ
19,Hals::N,krk,պարանոց
20,Genick::N,väzy,ծոծրակ
21,Kopf::N,hlava,գլուխ
22,Rücken::N,chrbát,մեջք
23,Bauch::N,brucho,փոր
24,Bauch::N,brucho,որովայն
25,Nabel::N,pupok,պորտ
26,Busen::N,prsia,ծոց
27,Brust::N,hruď,կուրծք
28,Schulter::N,plece,ուս
29,Arm::N,rameno,թեւ
30,Arm::N,rameno,բազուկ
31,Ellenbogen::N,lakeť,արմունկ
32,Hand::N,ruka,ձեռք
33,Handfläche::N,dlaň,ափ
34,Finger::N,prst,մատ
35,Fingernagel::N,necht,եղունգ
36,Nagel[Anatomie]::N,necht,եղունգ
37,Zeh::N,prst na nohe,ոտքի մատ
38,Fuß::N,noha,ոտք
39,Ferse::N,päta,գարշապար
40,Knie::N,koleno,ծունկ
41,Oberschenkel::N,stehno,ազդր
42,Bein::N,noha,ոտք
43,Körper::N,telo,մարմին
44,Haut::N,koža,մաշկ
45,Blut::N,krv,արյուն
46,Ader::N,žila,երակ
47,Sehne::N,šľacha,ջիղ
48,Sehne::N,šľacha,ձգտան
49,Knochen::N,kosť,ոսկոր
50,Gehirn::N,mozog,խելք
51,Herz::N,srdce,սիրտ
52,Magen::N,žalúdok,ստամոքս
53,Leber::N,pečeň,լյարդ
54,Atem::N,dych,շունչ
55,Hunger::N,hlad,քաղց
56,Träne::N,slza,արտասուք
57,Geschmack::N,chuť,համ
58,Geschmack::N,chuť,բուրմունք
59,Geruch::N,pach,հոտ
60,Geruch::N,pach,բուրում
61,Schlaf::N,spánok,քուն
62,Traum::N,sen,երազ
63,Himmel::N,nebo,երկինք
64,Sonne::N,slnko,արեւ
65,Mond::N,mesiac,լուսին
66,Stern::N,hviezda,աստղ
67,Luft::N,vzduch,օդ
68,Wind::N,vietor,քամի
69,Welle::N,vlna,ալիք
70,Wasser::N,voda,ջուր
71,Stein::N,kameň,քար
72,Boden::N,zem,գետին
73,Boden::N,pôda,գետին
74,Erde::N,zem,հող
75,Staub::N,prach,փոշի
76,Rauch::N,dym,ծուխ
77,Funke::N,iskra,կայծ
78,Feuer::N,oheň,կրակ
79,Feuer::N,oheň,հրդեհ
80,Licht::N,svetlo,լույս
81,Schatten::N,tieň,ստվեր
82,Wetter::N,počasie,եղանակ
83,Nebel::N,hmla,մեգ
84,Nebel::N,hmla,մառախուղ
85,Wolke::N,oblak,ամպ
86,Wolke::N,mračno,ամպ
87,Regen::N,dážď,անձրև
88,Schnee::N,sneh,ձյուն
89,Eis::N,ľad,սառույց
90,Frost::N,mráz,սառնամանիք
91,Kälte::N,zima,դող
92,Kälte::N,chlad,դող
93,Hitze::N,horúčava,շոգ
94,Raureif::N,srieň,ցօղեղեամ
95,Raureif::N,inovať,ցօղեղեամ
96,Regenbogen::N,dúha,ծիածան
97,Donner::N,hrom,որոտ
98,Strömung::N,prúdenie,հոսանք
99,Tropfen::N,kvapka,կաթիլ
100,Schaum::N,pena,փրփուր
101,Schmutz::N,špina,կեղտ
102,Schmutz::N,nečistota,կեղտ
103,See::N,jazero,լիճ
104,Sumpf::N,bahno,ճահիճ
