,Concept_ID,kv,sk
0,Auge::N,син,oko
1,Ohr::N,пель,ucho
2,Nase::N,ныр,nos
3,Mund::N,ӧм,ústa
4,Zahn::N,пинь,zub
5,Zunge::N,кыв,jazyk
6,Lippe::N,тырп,pera
7,Wange::N,рожабан,líce
8,Gesicht::N,бан,tvár
9,Gesicht::N,бан,obličaj
10,Stirn::N,кымӧс,čelo
11,Haar::N,юрси,vlas
12,Schnurrbart::N,уссэз,fúzy
13,Bart::N,тош,brada
14,Kinn::N,тшӧка,brada
15,Kiefer[Anatomie]::N,ан,čeľusť
16,Kehle::N,юан,hrdlo
17,Hals::N,юан,krk
18,Genick::N,юр бӧр,väzy
19,Kopf::N,юр,hlava
20,Rücken::N,мышк,chrbát
21,Bauch::N,кынӧм,brucho
22,Nabel::N,гӧг,pupok
23,Busen::N,морос,prsia
24,Brust::N,морос,hruď
25,Schulter::N,пельпон,plece
26,Arm::N,ки,rameno
27,Ellenbogen::N,гырдзза,lakeť
28,Hand::N,кикар,ruka
29,Handfläche::N,ки пыдӧс,dlaň
30,Finger::N,чунь,prst
31,Fingernagel::N,гыж,necht
32,Nagel[Anatomie]::N,гыж,necht
33,Zeh::N,чунь,prst na nohe
34,Fuß::N,кокпыдӧс,noha
35,Ferse::N,кокдзир,päta
36,Knie::N,пидзӧс,koleno
37,Oberschenkel::N,лядьбей,stehno
38,Bein::N,кок,noha
39,Körper::N,вывтыр,telo
40,Haut::N,кучик,koža
41,Blut::N,вир,krv
42,Ader::N,сӧн,žila
43,Sehne::N,жила,šľacha
44,Knochen::N,коска,kosť
45,Gehirn::N,вем,mozog
46,Herz::N,сьӧлӧм,srdce
47,Magen::N,жӧвдӧк,žalúdok
48,Leber::N,мус,pečeň
49,Atem::N,лолалӧм,dych
50,Hunger::N,тшыг,hlad
51,Träne::N,синва,slza
52,Geschmack::N,кӧр,chuť
53,Geruch::N,дук,pach
54,Schlaf::N,он,spánok
55,Traum::N,вӧт,sen
56,Himmel::N,небо,nebo
57,Sonne::N,шондi,slnko
58,Mond::N,тӧлiсь,mesiac
59,Stern::N,кӧдзыв,hviezda
60,Luft::N,ру,vzduch
61,Wind::N,тӧв,vietor
62,Welle::N,гы,vlna
63,Wasser::N,ва,voda
64,Stein::N,из,kameň
65,Boden::N,му,zem
66,Boden::N,му,pôda
67,Erde::N,му,zem
68,Staub::N,бус,prach
69,Rauch::N,тшын,dym
70,Funke::N,бичир,iskra
71,Feuer::N,би,oheň
72,Licht::N,би,svetlo
73,Schatten::N,вуджӧр,tieň
74,Wetter::N,погоддя,počasie
75,Nebel::N,туман,hmla
76,Wolke::N,кымӧр,oblak
77,Wolke::N,кымӧр,mračno
78,Regen::N,зэр,dážď
79,Schnee::N,лым,sneh
80,Eis::N,йы,ľad
81,Frost::N,мороз,mráz
82,Kälte::N,кӧдзыт,zima
83,Kälte::N,кӧдзыт,chlad
84,Hitze::N,ӧд,horúčava
85,Raureif::N,кижа,srieň
86,Raureif::N,кижа,inovať
87,Regenbogen::N,енӧшка,dúha
88,Donner::N,гым,hrom
89,Strömung::N,визывтӧм,prúdenie
90,Tropfen::N,тёп,kvapka
91,Schaum::N,быг,pena
92,Schmutz::N,нять,špina
93,Schmutz::N,нять,nečistota
94,See::N,ты,jazero
95,Sumpf::N,арай,bahno
96,Moor::N,нюр,močiar
97,Wiese::N,видз,lúka
98,Wald::N,вӧр,les
99,Wald::N,вӧр,hora
100,Hügel::N,мыльк,vŕšok
101,Anhöhe::N,вывтас,výšina
102,Anhöhe::N,вывтас,vyvýšenina
103,Anhöhe::N,вылынін,výšina
104,Anhöhe::N,вылынін,vyvýšenina
105,Berg::N,керӧс,hora
106,Gipfel::N,йыв,vrchol
107,Höhle::N,нора,jaskyňa
108,Abhang::N,покат,úbočie
109,Quelle::N,больган,prameň
110,Bach::N,шор,potok
111,Fluss::N,ю,rieka
112,Ufer::N,берег,breh
113,Küste::N,берег,pobrežie
114,Festland::N,му,pevnina
115,Meer::N,море,more
116,Bucht::N,курья,záliv
117,Bucht::N,курья,zátoka
118,Blume::N,цветок,kvet
119,Blume::N,цветок,kvetina
120,Gras::N,турун,tráva
121,Wurzel::N,вуж,koreň
122,Baum::N,пу,strom
123,Stamm::N,мыр,kmeň
124,Stamm::N,кер,kmeň
125,Rinde::N,кач,kôra
126,Ast::N,ув,konár
127,Zweig::N,ув,vetva
128,Blatt::N,лист,list
129,Birke::N,кыдз,breza
130,Kiefer[Baum]::N,пожум,sosna
131,Kiefer[Baum]::N,пожум,borovica
132,Weide[Baum]::N,бадь,vŕba
133,Tanne::N,кӧз,jedľa
134,Horn::N,сюр,roh
135,Feder::N,гӧн,pero
136,Fell::N,кучик,koža
137,Fell::N,кучик,kožušina
138,Flügel::N,борд,krídlo
139,Klaue::N,гыж,paznecht
140,Kralle::N,кабыр,pazúr
141,Schwanz::N,бӧж,chvost
142,Ei::N,кольть,vajce
143,Ei::N,кольть,vajíčko
144,Nest::N,поз,hniezdo
145,Bau::N,осьта,nora
146,Bau::N,нора,nora
147,Tier::N,зверь,zviera
148,Herde::N,гурт,stádo
149,Kuh::N,мӧс,krava
150,Bulle::N,ӧшка,býk
151,Pferd::N,вӧв,kôň
152,Schaf::N,баля,ovca
153,Schwein::N,порсь,sviňa
154,Hund::N,пон,pes
155,Katze::N,кань,mačka
