,Concept_ID,ab,av
0,Auge::N,ала,
1,Ohr::N,алымҳа,гӏин
2,Nase::N,аҧынҵа,мегӏер
3,Mund::N,аҧышə,кӏал
4,Zahn::N,ахаҧыц,гӏус
5,Zunge::N,абз,мацӏ
6,Lippe::N,ақьышə,кӏветӏ
7,Wange::N,аӡамҩа,гӏоно
8,Gesicht::N,аҿы,гьумер
9,Stirn::N,алахь,нодо
10,Haar::N,ахəыц,рас
11,Schnurrbart::N,аҧаҵа,михъ
12,Bart::N,ажакьа,мегеж
13,Kinn::N,ацламкəыгə,нилъу
14,Kiefer[Anatomie]::N,ацламҳəа,чанагъ
15,Kehle::N,ахəда,щекъер
16,Hals::N,ахəда,габур
17,Genick::N,ахəдаџьал,гъванща
18,Kopf::N,ахы,бетӏер
19,Rücken::N,азқəа,мугъ
20,Bauch::N,амгəа,чехь
21,Nabel::N,аҷапан,цӏину
22,Busen::N,агəыҧҳəы,керен
23,Brust::N,агəышҧы,керен
24,Schulter::N,ажəҩахыр,гъажазубетӏер
25,Arm::N,амахəар,гъеж
26,Ellenbogen::N,амашьхəылҵ,гӏункӏрукь
27,Hand::N,анапы,квер
28,Handfläche::N,анапсаргəыҵа,огъохъат
29,Handfläche::N,анапсаргəыҵа,жанисахъат
30,Finger::N,анацəа,килищ
31,Fingernagel::N,анапхыц,малъ
32,Nagel[Anatomie]::N,ашьапхыц,малъ
33,Zeh::N,ашьацəа,килищ
34,Fuß::N,ашьапсыргəыҵа,хӏетӏ
35,Fuß::N,ашьапсыргəыҵа,хӏетӏе
36,Ferse::N,ашьхəа,эгъе
37,Knie::N,ашьамхы,наку
38,Oberschenkel::N,ауаҭəа,мачӏ
39,Bein::N,ашьапы,бох
40,Körper::N,ацəеижь,къаркъала
41,Haut::N,ацəа,тӏом
42,Blut::N,ашьа,би
43,Ader::N,ада,бидурихь
44,Sehne::N,адаш,
45,Knochen::N,абаҩ,ракьа
46,Gehirn::N,ахшлыбаҩ,гӏадалнах
47,Gehirn::N,ахшыбаҩ,гӏадалнах
48,Herz::N,агəы,ракӏ
49,Magen::N,аца,кванирукъ
50,Magen::N,ацар,кванирукъ
51,Leber::N,агəаҵəа,тӏул
52,Atem::N,аҧсыҧлагаҩгара,хӏухь
53,Hunger::N,амла,ракъи
54,Träne::N,алабжыш,магӏу
55,Geschmack::N,агьама,тату
56,Geruch::N,афҩы,махӏ
57,Schlaf::N,ацəа,макьу
58,Traum::N,аҧхыӡ,макьу
59,Himmel::N,ажəҩан,зоб
60,Sonne::N,амра,бакъ
61,Mond::N,амза,моцӏ
62,Stern::N,аеҵəа,цӏва
