,Concept_ID,ku,no
0,Auge::N,çav,øye
1,Ohr::N,guh,øre
2,Nase::N,bêvil,nese
3,Mund::N,dev,munn
4,Zahn::N,didan,tann
5,Zunge::N,ziman,tunge
6,Lippe::N,lêv,leppe
7,Wange::N,dêm,kinn
8,Wange::N,hinarik,kinn
9,Gesicht::N,rû,fjes
10,Gesicht::N,rû,ansikt
11,Stirn::N,enî,panne
12,Haar::N,por,hår
13,Schnurrbart::N,simbêl,bart
14,Bart::N,rih,skjegg
15,Kinn::N,zenî,hake
16,Kiefer[Anatomie]::N,arguşk,kjeve
17,Kehle::N,qirik,strupe
18,Hals::N,stû,hals
19,Hals::N,qirik,hals
20,Genick::N,stû,nakke
21,Kopf::N,serî,hode
22,Rücken::N,pişt,rygg
23,Bauch::N,ûr,buk
24,Bauch::N,ûr,mage
25,Bauch::N,zik,buk
26,Bauch::N,zik,mage
27,Nabel::N,navik,navle
28,Busen::N,sîng,barm
29,Brust::N,sîng,bryst
30,Schulter::N,mil,skulder
31,Arm::N,çepil,arm
32,Ellenbogen::N,enîşk,albue
33,Hand::N,dest,hånd
34,Handfläche::N,kefadest,håndflate
35,Finger::N,tilî,finger
36,Fingernagel::N,neynuk,fingernegl
37,Nagel[Anatomie]::N,bizmar,negl
38,Zeh::N,tilî linga,tå
39,Fuß::N,ling,fot
40,Ferse::N,pahnî,hæl
41,Knie::N,kabok,kne
42,Oberschenkel::N,rahn,lår
43,Bein::N,çip,bein
44,Körper::N,laş,kropp
45,Körper::N,laş,legeme
46,Körper::N,gowde,kropp
47,Körper::N,gowde,legeme
48,Haut::N,çerm,hud
49,Haut::N,çerm,skinn
50,Blut::N,xwîn,blod
51,Ader::N,reh,åre
52,Sehne::N,reh,sene
53,Knochen::N,hestî,bein
54,Knochen::N,hestî,knokkel
55,Gehirn::N,mêjî,hjerne
56,Herz::N,dil,hjerte
57,Magen::N,navêş,mage
58,Leber::N,kezeb,lever
59,Atem::N,hilm,pust
60,Hunger::N,birçîtî,sult
61,Träne::N,hêstir,tåre
62,Geschmack::N,tam,smak
63,Geruch::N,bêhn,lukt
64,Schlaf::N,xew,søvn
65,Traum::N,xewn,drøm
66,Himmel::N,ezman,himmel
67,Sonne::N,roj,sol
68,Mond::N,heyv,måne
69,Stern::N,stêrk,stjerne
70,Luft::N,ba,luft
71,Wind::N,ba,vind
72,Welle::N,şewl,bølge
73,Wasser::N,av,vann
74,Stein::N,kevir,stein
75,Boden::N,herd,bakke
76,Erde::N,ax,jord
77,Staub::N,toz,støv
78,Rauch::N,dû,røyk
79,Funke::N,çirûşk,gnist
80,Feuer::N,agir,ild
81,Licht::N,ronahî,lys
82,Schatten::N,sî,skygge
83,Wetter::N,hewa,vær
84,Nebel::N,mij,tåke
85,Wolke::N,ewr,sky
86,Regen::N,baran,regn
87,Schnee::N,berf,snø
88,Eis::N,qeşa,is
89,Frost::N,xûsik,frost
90,Kälte::N,serma,kulde
91,Hitze::N,germayî,hete
92,Raureif::N,şext,rimfrost
