,Concept_ID,sah,fa
0,Auge::N,харах,چشم
1,Ohr::N,кулгаах,گوش
2,Nase::N,мурун,بینی
3,Mund::N,айах,دهان
4,Zahn::N,тиис,دندان
5,Zunge::N,тыл,زبان
6,Lippe::N,уос,لب
7,Wange::N,иэдэс,لپ
8,Gesicht::N,сирэй,رو
9,Gesicht::N,сирэй,چهره
10,Stirn::N,сүүс,پیشانی
11,Haar::N,баттах,مو
12,Schnurrbart::N,уос бытыга,سبیل
13,Bart::N,сэҥийэ бытыга,ریش
14,Kinn::N,сэҥийэ,چانه
15,Kiefer[Anatomie]::N,сыҥаах,فک
16,Kiefer[Anatomie]::N,сыҥаах,آرواره
17,Kehle::N,тамах,حلق
18,Kehle::N,күөмэй,حلق
19,Hals::N,моой,گردن
20,Genick::N,кэтэх,پشت گردن
21,Kopf::N,бас,سر
22,Kopf::N,бас,کله
23,Rücken::N,көҕүс,پشت
24,Bauch::N,ис,شکم
25,Nabel::N,киин,ناف
26,Busen::N,эмиий,پستان
27,Brust::N,түөс,سینه
28,Schulter::N,сарын,دوش
29,Schulter::N,сарын,شانه
30,Arm::N,илии,بازو
31,Ellenbogen::N,тоҕонох,آرنج
32,Hand::N,илии,دست
33,Handfläche::N,ытыс,کف دست
34,Finger::N,тарбах,انگشت
35,Fingernagel::N,тыҥырах,ناخن دست
36,Nagel[Anatomie]::N,тыҥырах,ناخن
37,Zeh::N,тарбах,انگشت پا
38,Fuß::N,уллуҥах,پا
39,Ferse::N,тилэх,پاشنه
40,Knie::N,тобук,زانو
41,Knie::N,дьилбэк,زانو
42,Oberschenkel::N,уллук,ران
43,Oberschenkel::N,өттүк,ران
44,Bein::N,атах,پا
45,Bein::N,атах,لنگ
46,Körper::N,бэйэ,تن
47,Körper::N,бэйэ,بدن
48,Haut::N,тирии,پوست
49,Blut::N,хаан,خون
50,Ader::N,вена,رگ
51,Ader::N,күөх_тымыр,رگ
52,Sehne::N,иҥиир,زردپی
53,Knochen::N,уҥуох,استخوان
54,Knochen::N,уҥгуох,استخوان
55,Gehirn::N,мэйии,مخ
56,Gehirn::N,мэйии,مغز
57,Herz::N,сүрэх,دل
58,Herz::N,сүрэх,قلب
59,Magen::N,куртах,معده
60,Leber::N,быар,کبد
61,Atem::N,тыын,نفس
62,Hunger::N,аас,گرسنگی
63,Träne::N,харах уута,اشک
64,Geschmack::N,амтан,مزه
65,Geruch::N,сыт,بو
66,Schlaf::N,утуйуу,خواب
67,Traum::N,түүл,رؤیا
68,Himmel::N,халлаан,فلک
69,Himmel::N,халлаан,آسمان
70,Sonne::N,күн,آفتاب
71,Sonne::N,күн,خورشید
72,Mond::N,ый,ماه
73,Stern::N,сулус,ستاره
74,Luft::N,салгын,هوا
75,Wind::N,тыал,باد
76,Welle::N,долгун,موج
77,Welle::N,балхаан,موج
78,Wasser::N,уу,آب
79,Stein::N,таас,سنگ
80,Boden::N,сир,زمین
81,Erde::N,буор,خاک
82,Erde::N,буор,زمین
83,Staub::N,быыл,گرد
84,Staub::N,быыл,غبار
85,Rauch::N,буруо,دود
