,Concept_ID,sk,br
0,Auge::N,oko,lagad
1,Ohr::N,ucho,skouarn
2,Nase::N,nos,fri
3,Mund::N,ústa,genoù
4,Zahn::N,zub,dant
5,Zunge::N,jazyk,teod
6,Lippe::N,pera,muzell
7,Wange::N,líce,chot
8,Gesicht::N,tvár,dremm
9,Gesicht::N,obličaj,dremm
10,Stirn::N,čelo,tal
11,Haar::N,vlas,blev
12,Schnurrbart::N,fúzy,mourenn
13,Bart::N,brada,barv
14,Kinn::N,brada,groñj
15,Kiefer[Anatomie]::N,čeľusť,javed
16,Kehle::N,hrdlo,gouzoug
17,Hals::N,krk,gouzoug
18,Genick::N,väzy,choug
19,Kopf::N,hlava,penn
20,Rücken::N,chrbát,kein
21,Bauch::N,brucho,kof
22,Nabel::N,pupok,begel
23,Busen::N,prsia,bronn
24,Brust::N,hruď,bruched
25,Schulter::N,plece,skoaz
26,Arm::N,rameno,brec'h
27,Ellenbogen::N,lakeť,ilin
28,Hand::N,ruka,dorn
29,Handfläche::N,dlaň,palv
30,Finger::N,prst,biz
31,Fingernagel::N,necht,ivin
32,Nagel[Anatomie]::N,necht,ivin
33,Zeh::N,prst na nohe,biz-troad
34,Fuß::N,noha,troad
35,Ferse::N,päta,seul
36,Knie::N,koleno,glin
37,Oberschenkel::N,stehno,morzhed
38,Bein::N,noha,gar
39,Körper::N,telo,korf
40,Haut::N,koža,kroc'hen
41,Blut::N,krv,gwad
42,Ader::N,žila,gwazhi
43,Sehne::N,šľacha,stir
44,Knochen::N,kosť,askorn
45,Gehirn::N,mozog,empenn
46,Herz::N,srdce,kalon
47,Magen::N,žalúdok,stomog
48,Leber::N,pečeň,avu
49,Atem::N,dych,anal
50,Hunger::N,hlad,naon
51,Träne::N,slza,daer
52,Geschmack::N,chuť,blaz
53,Geruch::N,pach,c'hwezh
54,Schlaf::N,spánok,kousked
55,Traum::N,sen,hune
56,Himmel::N,nebo,oabl
57,Sonne::N,slnko,heol
58,Mond::N,mesiac,loar
59,Stern::N,hviezda,steredenn
60,Luft::N,vzduch,aer
61,Wind::N,vietor,avel
62,Welle::N,vlna,houlenn
63,Wasser::N,voda,dour
64,Stein::N,kameň,maen
65,Boden::N,zem,tachenn
66,Boden::N,pôda,tachenn
67,Erde::N,zem,douar
68,Staub::N,prach,poultr
69,Rauch::N,dym,moged
70,Funke::N,iskra,ful
71,Feuer::N,oheň,tan
72,Licht::N,svetlo,gouloù
73,Schatten::N,tieň,disheol
74,Wetter::N,počasie,amzer
75,Nebel::N,hmla,brumenn
76,Wolke::N,oblak,koumoulenn
77,Wolke::N,mračno,koumoulenn
78,Regen::N,dážď,glav
79,Schnee::N,sneh,erc'h
80,Eis::N,ľad,skorn
81,Frost::N,mráz,rev
82,Kälte::N,zima,yen
83,Kälte::N,chlad,yen
84,Hitze::N,horúčava,tommder
85,Raureif::N,srieň,frim
86,Raureif::N,inovať,frim
87,Regenbogen::N,dúha,gwareg-ar-glav
88,Donner::N,hrom,kurun
89,Strömung::N,prúdenie,red
90,Tropfen::N,kvapka,bannac'h
91,Tropfen::N,kvapka,takenn
92,Schaum::N,pena,spoum
93,Schmutz::N,špina,fank
94,Schmutz::N,nečistota,fank
95,See::N,jazero,lenn
96,Sumpf::N,bahno,gwern
97,Moor::N,močiar,taouarc'heg
98,Wiese::N,lúka,prad
99,Wald::N,les,koad
100,Wald::N,hora,koad
101,Hügel::N,vŕšok,torgenn
102,Anhöhe::N,výšina,run
103,Anhöhe::N,vyvýšenina,run
104,Berg::N,hora,menez
105,Gipfel::N,vrchol,barr
106,Höhle::N,jaskyňa,kav
107,Abhang::N,úbočie,naou
108,Quelle::N,prameň,feunteun
109,Bach::N,potok,gwazh
110,Fluss::N,rieka,stêr
111,Ufer::N,breh,ribl
112,Küste::N,pobrežie,aod
113,Festland::N,pevnina,douar
114,Meer::N,more,mor
115,Bucht::N,záliv,mor-bihan
116,Bucht::N,zátoka,mor-bihan
117,Insel::N,ostrov,enez
118,Blume::N,kvet,bleunienn
119,Blume::N,kvetina,bleunienn
120,Gras::N,tráva,geot
121,Wurzel::N,koreň,gwrizienn
122,Baum::N,strom,gwezenn
123,Stamm::N,kmeň,kef
124,Rinde::N,kôra,rusk
125,Ast::N,konár,barr
126,Zweig::N,vetva,bod
127,Blatt::N,list,delienn
128,Birke::N,breza,bezvenn
129,Kiefer[Baum]::N,sosna,pinenn
130,Kiefer[Baum]::N,borovica,pinenn
131,Weide[Baum]::N,vŕba,halegenn
132,Tanne::N,jedľa,sapenn
133,Horn::N,roh,korn
134,Feder::N,pero,pluñv
135,Fell::N,koža,kreoñ
136,Fell::N,kožušina,kreoñ
137,Flügel::N,krídlo,askell
138,Klaue::N,paznecht,skilf
139,Kralle::N,pazúr,skilf
140,Schwanz::N,chvost,lost
141,Ei::N,vajce,vi
142,Ei::N,vajíčko,vi
143,Nest::N,hniezdo,neizh
144,Bau::N,nora,douarenn
145,Tier::N,zviera,loen
146,Herde::N,stádo,tropell
147,Kuh::N,krava,buoc'h
148,Bulle::N,býk,tarv
149,Pferd::N,kôň,marc'h
150,Schaf::N,ovca,dañvad
151,Schwein::N,sviňa,pemoc'h
152,Hund::N,pes,ki
153,Katze::N,mačka,kazh
154,Bär::N,medveď,arzh
155,Eichhörnchen::N,veverička,gwiñver
156,Elch::N,los,karv-dour
157,Fuchs::N,líška,louarn
158,Hase::N,zajac,gad
159,Maus::N,myš,logodenn
160,Wolf::N,vlk,bleiz
161,Vogel::N,vták,labous
162,Schwarm::N,roj,nijad
163,Huhn::N,kurča,yar
164,Huhn::N,sliepka,yar
165,Hahn::N,kohút,kilhog
166,Gans::N,hus,gwazenn
167,Adler::N,orol,erer
168,Ente::N,kačka,houad
169,Ente::N,kačica,houad
170,Eule::N,sova,toud
171,Kranich::N,žeriav,garan
172,Krähe::N,vrana,bran
173,Kuckuck::N,kukučka,koukoug
174,Schwan::N,labuť,alarc'h
175,Fisch::N,ryba,pesk
176,Barsch::N,ostriež,brell
177,Hecht::N,šťuka,beked
178,Schlange[Tier]::N,had,naer
179,Wurm::N,červ,preñv
180,Spinne::N,pavúk,kevnidenn
181,Ameise::N,mravec,merion
182,Laus::N,voš,laouenn
183,Mücke::N,komár,moustik
184,Fliege::N,mucha,kelienenn
185,Schmetterling::N,motýľ,balafenn
186,Beere::N,bobuľa,hog
187,Apfel::N,jablko,aval
188,Pilz::N,hríb,kabell-touseg
189,Zwiebel::N,cibuľa,ognonenn
190,Saat::N,osivo,had
191,Korn::N,zrno,ed
192,Heu::N,seno,foenn
193,Schale::N,šupa,peliadur
194,Schale::N,škrupina,peliadur
195,Grube::N,jama,
196,Falle::N,pasca,pech
197,Falle::N,klepec,pech
198,Schlinge::N,slučka,krouglas
199,Spur::N,stopa,
200,Asche::N,popol,ludu
201,Dreck::N,kal,fank
202,Dreck::N,blato,fank
203,Eisen::N,železo,houarn
204,Gold::N,zlato,aour
205,Silber::N,striebro,arc'hant
206,Kohle::N,uhlie,glaou
207,Glas::N,sklo,gwer
208,Lehm::N,íl,
209,Lehm::N,hlina,
210,Sand::N,piesok,traezh
211,Mensch::N,človek,den
212,Mann::N,muž,den
213,Mann::N,chlap,den
214,Frau::N,žena,maouez
215,Kind::N,dieťa,bugel
216,Junge::N,chlapec,paotr
217,Mädchen::N,dievka,plac'h
218,Familie::N,rodina,familh
219,Großvater::N,dedo,tad-kozh
220,Großvater::N,starý otec,tad-kozh
221,Großmutter::N,babička,mamm-gozh
222,Großmutter::N,stará mať,mamm-gozh
223,Eltern::N,rodičia,kerent
224,Vater::N,otec,tad
225,Mutter::N,mať,mamm
226,Mutter::N,matka,mamm
227,Sohn::N,syn,mab
228,Tochter::N,dcéra,merc'h
229,Bruder::N,brat,breur
230,Schwester::N,sestra,c'hoar
231,Onkel::N,ujo,eontr
232,Onkel::N,strýko,eontr
233,Tante::N,teta,moereb
234,Tante::N,tetka,moereb
235,Ehemann::N,muž,gwaz
236,Ehemann::N,manžel,gwaz
237,Ehefrau::N,žena,gwreg
238,Ehefrau::N,manželka,gwreg
239,Freude::N,radosť,levenez
240,Gelächter::N,smiech,c'hoarzherezh
241,Glück::N,šťastie,chañs
242,Kummer::N,žiaľ,doan
243,Kummer::N,zármutok,doan
244,Wunsch::N,prianie,c'hoant
245,Lust::N,chuť,c'hoant
246,Geist::N,duch,spered
247,Gedanke::N,myšlienka,soñj
248,Gedächtnis::N,pamäť,eñvor
249,Verstand::N,rozum,skiant
250,Sinn::N,zmysel,ster
251,Grund::N,dôvod,kaoz
252,Grund::N,príčina,kaoz
253,Wahrheit::N,pravda,gwirionez
254,Gespräch::N,reč,kaozeadenn
255,Gespräch::N,rozhovor,kaozeadenn
256,Märchen::N,rozprávka,kaoz korriganez
257,Erzählung::N,poviedka,kontadenn
258,Nachricht::N,správa,keloù
259,Neuigkeit::N,novinka,kelaouenn
260,Name::N,meno,anv
261,Rätsel::N,záhada,divinatez
262,Rätsel::N,hádanka,divinatez
263,Rede::N,reč,diskour
264,Sprache::N,reč,yezh
265,Sprache::N,jazyk,yezh
266,Stimme::N,hlas,mouezh
267,Wort::N,slovo,ger
268,Zeichen::N,znak,sin
269,Ruf::N,volanie,galv
270,Ruf::N,zavolanie,galv
271,Lärm::N,hluk,trouz
272,Lärm::N,hurhaj,trouz
273,Laut::N,zvuk,
274,Ton::N,tón,ton
275,Ton::N,zvuk,ton
276,Lied::N,pieseň,kanaouenn
277,Ruhe::N,pokoj,sioulded
278,Leute::N,ľudia,tud
279,Volk::N,ľud,pobl
280,Volk::N,národ,pobl
281,Arbeit::N,práca,labour
282,Arbeit::N,robota,labour
283,Gast::N,hosť,kouviad
284,Geschenk::N,dar,prof
285,Spiel::N,hra,c'hoari
286,Gesellschaft::N,spoločnosť,kompagnunezh
287,Gesellschaft::N,spoločnosť,kavandad
288,Hilfe::N,pomoc,sikour
289,Freund::N,priateľ,mignon
290,Kamerad::N,kamarát,kamarad
291,Angelegenheit::N,vec,afer
292,Angelegenheit::N,záležitosť,afer
293,Anzahl::N,počet,niver
294,Anzahl::N,množstvo,niver
295,Art::N,druh,sort
296,Stück::N,kus,tamm
297,Stück::N,kúsok,tamm
298,Teil::N,časť,pezh
299,Hälfte::N,polka,hanterenn
300,Hälfte::N,polovica,hanterenn
301,Kreis::N,kruh,kelc'h
302,Kreuz::N,kríž,kroaz
303,Linie::N,línia,linenn
304,Strich::N,čiara,tenn
305,Abstand::N,vzdialenosť,distok
306,Entfernung::N,vzdialenosť,keid
307,Entfernung::N,vzdialenosť,kehid
308,Gegend::N,kraj,korn-bro
309,Gegend::N,krajina,korn-bro
310,Platz::N,miesto,plasenn
311,Ort::N,miesto,lec'h
312,Seite::N,bok,tu
313,Seite::N,strana,tu
314,Mitte::N,stred,kreiz
315,Gegenstand::N,predmet,tra
316,Sache::N,vec,tra
317,Rand::N,kraj,kantenn
318,Rand::N,okraj,kantenn
319,Kante::N,hrana,kantenn
320,Ecke::N,roh,korn
321,Spitze::N,hrot,begell
322,Spitze::N,špička,begell
323,Ende::N,koniec,dibenn
324,Loch::N,diera,toull
325,Winkel::N,kút,
326,Muster::N,vzor,tresadenn
327,Muster::N,vzorka,tresadenn
328,Größe::N,veľkosť,ment
329,Länge::N,dĺžka,hirder
330,Höhe::N,výška,uhelder
331,Gewicht::N,váha,pouez
332,Menge::N,množstvo,bern
333,Haufen::N,hŕba,bern
334,Reihe::N,rad,steud
335,Boot::N,čln,bag
336,Ruder::N,veslo,roeñv
337,Schlitten::N,sane,trainell
338,Ski::N,lyža,ski
339,Lagerfeuer::N,táborák,
340,Last::N,ťarcha,karg
341,Last::N,bremeno,karg
342,Gang::N,chôdza,kerzh
343,Schritt::N,krok,paz
344,Norden::N,sever,norzh
345,Norden::N,sever,hanternoz
346,Süden::N,juh,su
347,Süden::N,juh,kreisteiz
348,Westen::N,západ,kuzh-heol
349,Osten::N,východ,reter
350,Osten::N,východ,sav-heol
351,Holz::N,drevo,koad
352,Brett::N,doska,plankenn
353,Platte::N,doska,plakenn
354,Platte::N,platňa,plakenn
355,Stütze::N,opora,harp
356,Stange::N,tyč,sparl
357,Stock::N,palica,bazh
358,Stab::N,palica,bazh
359,Rohr::N,rúra,tub
360,Rohr::N,rúra,korz
361,Haus::N,dom,ti
362,Heim::N,domov,kêr
363,Ofen::N,pec,forn
364,Ofen::N,kachle,forn
365,Fußboden::N,dlážka,plañchod
366,Fußboden::N,podlaha,plañchod
367,Tisch::N,stôl,taol
368,Stuhl::N,stolička,kador
369,Wiege::N,kolíska,kavell
370,Bett::N,lôžko,gwele
371,Bett::N,posteľ,gwele
372,Regal::N,regál,estajerenn
373,Regal::N,polica,estajerenn
374,Kiste::N,debna,kased
375,Fenster::N,okno,prenestr
376,Fenster::N,oblok,prenestr
377,Tür::N,dvere,dor
378,Tor::N,vráta,portal
379,Zaun::N,plot,sklotur
380,Zaun::N,ohrada,sklotur
381,Dach::N,krov,toenn
382,Dach::N,strecha,toenn
383,Leiter::N,rebrík,skeul
384,Leiter::N,rebrina,skeul
385,Besen::N,metla,skubell
386,Spaten::N,rýľ,pal
387,Schaufel::N,lopata,pal
388,Gabel::N,vidlička,fourchetez
389,Löffel::N,lyžica,loa
390,Messer::N,nôž,kontell
391,Nagel::N,klinec,tach
392,Netz::N,sieť,roued
393,Haken::N,hák,krog
394,Haken::N,háčik,krog
395,Griff::N,rukoväť,kemer
396,Schloss::N,zámka,potenn
397,Bild::N,obraz,skeudenn
398,Figur::N,figúra,skeud
399,Figur::N,figúra,figur
400,Puppe::N,bábka,merc'hodenn
401,Puppe::N,bábika,merc'hodenn
402,Beutel::N,vrece,sac'h
403,Beutel::N,vrecko,sac'h
404,Bündel::N,uzlík,feskenn
405,Bündel::N,zväzok,feskenn
406,Tasche::N,taška,sac'h
407,Tasche::N,kabelka,sac'h
408,Eimer::N,vedro,sailh
409,Deckel::N,vrchnák,pallenn
410,Deckel::N,pokrývka,pallenn
411,Geschirr::N,nádoba,listriaj
412,Sack::N,mech,sac'h
413,Sack::N,vrece,sac'h
414,Tasse::N,šálka,tas
415,Topf::N,hrniec,pod
416,Kessel::N,kotol,chaodouron
417,Essen::N,jedlo,pred
418,Nahrung::N,strava,boued
419,Nahrung::N,potrava,boued
420,Speise::N,jedlo,meuz
421,Fleisch::N,mäso,kig
422,Getreide::N,obilie,ed
423,Brei::N,kaša,yod
424,Brot::N,chlieb,bara
425,Scheibe::N,kotúč,tailhenn
426,Scheibe::N,krajec,tailhenn
427,Fett::N,tuk,lard
428,Fett::N,masť,lard
429,Butter::N,maslo,amann
430,Öl::N,olej,eoul
431,Salz::N,soľ,holen
432,Suppe::N,polievka,soubenn
433,Honig::N,med,mel
434,Milch::N,mlieko,laezh
435,Tee::N,čaj,te
436,Leder::N,koža,lêr
437,Wolle::N,vlna,gloan
438,Stoff::N,súkno,danvez
439,Nadel::N,ihla,nadoz
440,Faden::N,niť,neudenn
441,Faden::N,vlákno,neudenn
442,Knopf::N,gombík,bouton
443,Knoten::N,uzol,skoulm
444,Farbe::N,farba,liv
445,Kleidung::N,šaty,dilhad
446,Kleidung::N,šatstvo,dilhad
447,Hemd::N,košeľa,roc'hed
448,Kragen::N,golier,gouzoug
449,Ärmel::N,rukáv,milgin
450,Hose::N,nohavice,bragoù
451,Gürtel::N,pás,gouriz
452,Gürtel::N,opasok,gouriz
453,Mütze::N,čiapka,boned
454,Schuh::N,obuv,botez
455,Schuh::N,topánka,botez
456,Stiefel::N,čižma,botez
457,Ring::N,prsteň,gwalenn
458,Band::N,stuha,bagad
459,Kamm::N,hrebeň,krib
460,Spiegel::N,zrkadlo,melezour
461,Riemen::N,remeň,lerenn
462,Schnur::N,šnúra,kordenn
463,Leine::N,vodidlo,roll
464,Decke::N,deka,golo
465,Decke::N,prikrývka,golo
466,Kissen::N,poduška,goubenner
467,Tuch::N,šatka,mezher
468,Handtuch::N,uterák,toailhon
469,Kraft::N,moc,nerzh
470,Stärke::N,sila,nerzhder
471,Gesundheit::N,zdravie,yec'hed
472,Krankheit::N,nemoc,klañved
473,Krankheit::N,choroba,klañved
474,Schmerz::N,bolesť,poan
475,Schmerz::N,bolesť,droug
476,Wunde::N,rana,gloazadenn
477,Fieber::N,horúčka,terzhienn
478,Arznei::N,liek,louzoù
479,Brücke::N,most,pont
480,Brunnen::N,studňa,puñs
481,Weide::N,pastva,prad
482,Pfad::N,chodník,gwenodenn
483,Weg::N,cesta,hent
484,Straße::N,hradská,ru
485,Straße::N,hradská,hent
486,Dorf::N,dedina,kêr
487,Dorf::N,dedina,kêriadenn
488,Stadt::N,mesto,kêr
489,Brief::N,list,lizher
490,Buch::N,kniha,levr
491,Buchstabe::N,litera,lizherenn
492,Buchstabe::N,písmeno,lizherenn
493,Zeitung::N,noviny,kazetenn
494,Leben::N,život,buhez
495,Tod::N,smrť,marv
496,Grab::N,hrob,bez
497,Kirche::N,kostol,iliz
498,Sünde::N,hriech,pec'hed
499,Gott::N,boh,doue
500,Arbeiter::N,robotník,labourer
501,Arbeiter::N,robotník,micherour
502,Arbeiter::N,pracnovík,labourer
503,Arbeiter::N,pracnovík,micherour
504,Chef::N,šéf,penn
505,Chef::N,riaditeľ,penn
506,Meister::N,majster,mestr
507,Arzt::N,lekár,mezeg
508,Arzt::N,lekár,medisin
509,Lehrer::N,učiteľ,skolaer
510,Lehrer::N,učiteľ,kelenner
511,Geld::N,peniaze,arc'hant
512,Geschäft::N,obchod,stal
513,Laden::N,obchod,stal
514,Preis::N,cena,priz
515,Ware::N,tovar,marc'hadourezh
516,Nutzen::N,osoh,gounidegezh
517,Nutzen::N,osoh,lañs
518,Nutzen::N,osoh,profit
519,Nutzen::N,osoh,spleit
520,Nutzen::N,úžitok,gounidegezh
521,Nutzen::N,úžitok,lañs
522,Nutzen::N,úžitok,profit
523,Nutzen::N,úžitok,spleit
524,Reichtum::N,bohatstvo,pinvidigezh
525,Welt::N,svet,douar
526,Land::N,územie,bro
527,Land::N,krajina,bro
528,Staat::N,štát,stad
529,König::N,kráľ,roue
530,Macht::N,moc,galloud
531,Macht::N,mocnosť,galloud
532,Grenze::N,hranica,harzoù
533,Krieg::N,vojna,brezel
534,Feind::N,nepriateľ,eneber
535,Gewalt::N,násilie,tâerder
536,Kampf::N,boj,kann
537,Bogen[Waffe]::N,luk,gwareg
538,Pfeil::N,šíp,saezh
539,Pfeil::N,strela,saezh
540,Gewehr::N,puška,fuzuilh
541,Fehler::N,omyl,fazi
542,Fehler::N,chyba,fazi
543,Lüge::N,lož,gaou
544,Schaden::N,ujma,gwall
545,Schaden::N,škoda,gwall
546,Unglück::N,nešťastie,gwalleur
547,Schuld::N,vina,kablusted
548,Schuld::N,vina,pec'hedigezh
549,Schuld::N,previnenie,kablusted
550,Schuld::N,previnenie,pec'hedigezh
551,Alter::N,vek,oad
552,Schluss::N,záver,diwezh
553,Schluss::N,koniec,diwezh
554,Zeit::N,čas,amzer
555,Tag::N,deň,deizh
556,Morgen::N,ráno,beure
557,Morgen::N,ráno,mintin
558,Mittag::N,poludnie,kreisteiz
559,Abend::N,večer,abardaez
560,Nacht::N,noc,noz
561,Woche::N,týždeň,sizhun
562,Monat::N,mesiac,miz
563,Jahr::N,rok,bloaz
564,Frühling::N,jar,nevezamzer
565,Sommer::N,leto,hañv
566,Herbst::N,jeseň,diskaramzer
567,Winter::N,zima,goañv
568,Januar::N,január,Genver
569,Februar::N,február,C'hwevrer
570,März::N,marec,Meurzh
571,April::N,apríl,Ebrel
572,Mai::N,máj,Mae
573,Juni::N,jún,Mezheven
574,Juli::N,júl,Gouhere
575,August::N,august,Eost
576,September::N,september,Gwengolo
577,Oktober::N,október,Here
578,November::N,november,Du
579,Dezember::N,december,Kerzu
580,Montag::N,pondelok,Lun
581,Dienstag::N,utorok,Meurzh
582,Mittwoch::N,streda,Merc'her
583,Donnerstag::N,štvrtok,Yaou
584,Freitag::N,piatok,Gwener
585,Samstag::N,sobota,Sadorn
586,Sonntag::N,nedeľa,Sul
587,groß::A,veľký,bras
588,klein::A,malý,bihan
589,lang::A,dlhý,hir
590,kurz::A,krátky,berr
591,breit::A,široký,ledan
592,schmal::A,úzky,strizh
593,dicht::A,hustý,stank
594,dick[Gegenstand]::A,tlstý,tev
595,dünn::A,tenký,moan
596,fein::A,jemný,munut
597,fest::A,pevný,start
598,flach::A,rovný,plaen
599,flach::A,plochý,plaen
600,glatt::A,hladký,lintr
601,glatt::A,hladký,levn
602,hart::A,tvrdý,kalet
603,weich::A,mäkký,blot
604,rund::A,guľatý,ront
605,rund::A,okrúhly,ront
606,spitz::A,končitý,poentet
607,scharf::A,ostrý,dremm
608,stumpf::A,tupý,talsoc'h
609,schwer::A,ťažký,pounner
610,schön::A,pekný,kaer
611,schön::A,krásny,kaer
612,heiß::A,horúci,tomm
613,warm::A,teplý,tomm
614,kalt::A,studený,yen
615,kühl::A,chladný,yen
616,frisch::A,svieži,fresk
617,feucht::A,vlhký,gleb
618,feucht::A,zvlhnutý,gleb
619,nass::A,mokrý,gleb
620,trocken::A,suchý,sec'h
621,voll::A,plný,leun
