,Concept_ID,cv,sk
0,Auge::N,куҫ,oko
1,Ohr::N,хӑлха,ucho
2,Nase::N,сӑмса,nos
3,Mund::N,ҫӑвар,ústa
4,Zahn::N,шӑл,zub
5,Zunge::N,чӗлхе,jazyk
6,Lippe::N,тута,pera
7,Wange::N,пит ҫӑмарти,líce
8,Gesicht::N,пит,tvár
9,Gesicht::N,пит,obličaj
10,Gesicht::N,пит-куҫ,tvár
11,Gesicht::N,пит-куҫ,obličaj
12,Stirn::N,ҫамка,čelo
13,Haar::N,ҫӳҫ,vlas
14,Schnurrbart::N,усси,fúzy
15,Bart::N,сухал,brada
16,Kinn::N,янах,brada
17,Kiefer[Anatomie]::N,янах,čeľusť
18,Kehle::N,пыр,hrdlo
19,Kehle::N,карланкӑ,hrdlo
20,Hals::N,пыр,krk
21,Genick::N,ӗнсе,väzy
22,Kopf::N,пуҫ,hlava
23,Rücken::N,ҫурӑм,chrbát
24,Nabel::N,кӑвапа,pupok
25,Busen::N,кӑкӑр,prsia
26,Brust::N,умӗ,hruď
27,Schulter::N,хул пуҫҫи,plece
28,Arm::N,алӑ,rameno
29,Ellenbogen::N,чавса,lakeť
30,Hand::N,алӑ сыппи,ruka
31,Handfläche::N,ал лаппи,dlaň
32,Finger::N,пӳрне,prst
33,Fingernagel::N,чӗрне,necht
34,Nagel[Anatomie]::N,чӗрне,necht
35,Zeh::N,пӳрне,prst na nohe
36,Fuß::N,ура лаппи,noha
37,Ferse::N,кӗле,päta
38,Knie::N,чӗркуҫҫи,koleno
39,Oberschenkel::N,пӗҫӗ,stehno
40,Bein::N,ура,noha
41,Körper::N,ӳт,telo
42,Körper::N,ӳт-пӳ,telo
43,Haut::N,тир,koža
44,Blut::N,юн,krv
45,Ader::N,вена,žila
46,Sehne::N,шӑнӑр,šľacha
47,Knochen::N,шӑмӑ,kosť
48,Gehirn::N,миме,mozog
49,Herz::N,чӗре,srdce
50,Magen::N,хырӑмлӑх,žalúdok
51,Leber::N,пӗвер,pečeň
52,Atem::N,сывлав,dych
53,Hunger::N,выҫлӑх,hlad
54,Träne::N,куҫҫуль,slza
55,Geschmack::N,техӗм,chuť
56,Geruch::N,шӑршӑ,pach
57,Schlaf::N,ыйхӑ,spánok
58,Traum::N,тӗлӗк,sen
59,Himmel::N,пӗлӗт,nebo
60,Sonne::N,хӗвел,slnko
61,Mond::N,уйӑх,mesiac
62,Stern::N,ҫӑлтӑр,hviezda
63,Luft::N,сывлӑш,vzduch
64,Wind::N,ҫил,vietor
65,Welle::N,хум,vlna
66,Wasser::N,шыв,voda
67,Wasser::N,шыв-шур,voda
