,Concept_ID,lt,lez
0,Auge::N,akis,вил
1,Ohr::N,ausis,яб
2,Nase::N,nosis,нер
3,Mund::N,burna,сив
4,Zahn::N,dantis,сас
5,Zahn::N,dantis,свах
6,Zunge::N,liežuvis,мез
7,Lippe::N,lūpa,пӏуз
8,Wange::N,žandas,хъвехъ
9,Wange::N,skruostas,хъвехъ
10,Gesicht::N,veidas,ччин
11,Stirn::N,kakta,пел
12,Haar::N,plaukai,чӏар
13,Schnurrbart::N,ūsai,спел
14,Schnurrbart::N,ūsai,спелар
15,Bart::N,barzda,ччуру
16,Kinn::N,smakras,чене
17,Kiefer[Anatomie]::N,žandikaulis,чене
18,Kehle::N,gerklė,туьд
19,Hals::N,kaklas,гардан
20,Genick::N,sprandas,кьам
21,Kopf::N,galva,кьил
22,Rücken::N,nugara,далу
23,Bauch::N,pilvas,руфун
24,Nabel::N,bamba,пицӏ
25,Busen::N,krūtinė,мам
26,Brust::N,krūtis,хур
27,Schulter::N,petys,къуьн
28,Arm::N,ranka,гъил
29,Ellenbogen::N,alkūnė,кьуьнт
30,Hand::N,ranka,капаш
31,Hand::N,plaštaka,капаш
32,Handfläche::N,delnas,капан юкь
33,Handfläche::N,plaštaka,капан юкь
34,Finger::N,pirštas,тӏуб
35,Fingernagel::N,nagas,кек
36,Nagel[Anatomie]::N,nagas,кек
37,Zeh::N,pirštas,кул
38,Fuß::N,pėda,кӏвач
39,Ferse::N,kulnas,дабан
40,Knie::N,kelis,мет
41,Oberschenkel::N,kulšis,
42,Oberschenkel::N,šlaunis,
43,Bein::N,koja,кӏвач
44,Körper::N,kūnas,беден
45,Haut::N,oda,хам
46,Blut::N,kraujas,иви
47,Ader::N,kraujagyslė,дамар
48,Sehne::N,sausgyslė,кьуру дамар
49,Knochen::N,kaulas,кӏараб
50,Gehirn::N,smegenys,мефт
51,Herz::N,širdis,рикӏ
52,Magen::N,skrandis,хук
53,Leber::N,kepenys,лекь
54,Atem::N,kvapas,ял
55,Atem::N,kvapas,нефес
56,Hunger::N,badas,каш
57,Hunger::N,alkis,каш
58,Träne::N,ašara,вилин нагъв
59,Geschmack::N,skonis,дад
60,Geschmack::N,skonis,тӏям
61,Geruch::N,kvapas,ни
62,Schlaf::N,miegas,ахвар
63,Traum::N,sapnas,ахвар
64,Himmel::N,dangus,цав
65,Sonne::N,saulė,рагъ
66,Mond::N,mėnulis,варз
67,Stern::N,žvaigždė,гъед
68,Luft::N,oras,гьава
69,Wind::N,vėjas,гар
70,Welle::N,banga,лепе
71,Welle::N,vilnis,лепе
72,Wasser::N,vanduo,яд
73,Stein::N,akmuo,къван
74,Boden::N,žemė,накьв
75,Boden::N,dugnas,накьв
76,Erde::N,žemė,ччил
77,Staub::N,dulkės,руг
78,Rauch::N,dūmai,гум
79,Funke::N,kibirkštis,цӏелхем
80,Feuer::N,ugnis,цӏай
81,Licht::N,šviesa,экв
82,Schatten::N,paūksmė,серин
83,Wetter::N,oras,гьава
84,Nebel::N,migla,ччилин циф
85,Nebel::N,rūkas,ччилин циф
86,Wolke::N,debesis,циф
87,Regen::N,lietus,марф
88,Schnee::N,sniegas,жив
89,Eis::N,ledas,мурк
90,Frost::N,šalna,аяз
91,Kälte::N,šaltis,мекь
92,Kälte::N,šaltis,мекьивал
93,Hitze::N,karštis,зегьем
94,Raureif::N,šerkšnas,къирав
95,Regenbogen::N,vaivorykštė,яргъируш
96,Donner::N,perkūnas,цавун ван
97,Donner::N,griaustinis,цавун ван
98,Strömung::N,tėkmė,
99,Tropfen::N,lašas,стӏал
100,Schaum::N,putos,каф
101,Schmutz::N,purvas,чирк
102,Schmutz::N,purvas,кьуруш
103,See::N,ežeras,вир
104,Sumpf::N,klampynė,уьлен
105,Sumpf::N,liūnas,уьлен
106,Moor::N,pelkė,
107,Wiese::N,pieva,векь
108,Wald::N,miškas,там
109,Hügel::N,kalva,кӏунтӏ
