,Concept_ID,lv,kk
0,Auge::N,син,көз
1,Auge::N,acs,көз
2,Ohr::N,пель,құлақ
3,Ohr::N,auss,құлақ
4,Nase::N,ныр,мұрын
5,Nase::N,deguns,мұрын
6,Mund::N,вом,ауыз
7,Mund::N,mute,ауыз
8,Zahn::N,пинь,тіс
9,Zahn::N,zobs,тіс
10,Zunge::N,кыв,тіл
11,Zunge::N,mēle,тіл
12,Lippe::N,вом дор,ерін
13,Lippe::N,lūpa,ерін
14,Wange::N,бан,ұрт
15,Wange::N,vaigs,ұрт
16,Gesicht::N,чужӧм,бет-аузы
17,Gesicht::N,seja,бет-аузы
18,Gesicht::N,ģīmis,бет-аузы
19,Stirn::N,плеш,маңдай
20,Stirn::N,кымӧс,маңдай
21,Stirn::N,piere,маңдай
22,Haar::N,си,қыл
23,Haar::N,юрси,қыл
24,Haar::N,mats,қыл
25,Schnurrbart::N,ус,мұрт
26,Schnurrbart::N,пыртсим,мұрт
27,Schnurrbart::N,ūsas,мұрт
28,Bart::N,тош,сақал
29,Bart::N,bārda,сақал
30,Kinn::N,тшӧка,иек
31,Kinn::N,zods,иек
32,Kinn::N,smakrs,иек
33,Kiefer[Anatomie]::N,черлы,жақ
34,Kiefer[Anatomie]::N,алака лы,жақ
35,Kiefer[Anatomie]::N,вомкӧтш лы,жақ
36,Kiefer[Anatomie]::N,žoklis,жақ
37,Kehle::N,голя,алқым
38,Kehle::N,rīkle,алқым
39,Hals::N,сьылі,мойын
40,Hals::N,kakls,мойын
41,Genick::N,юрбӧр,желке
42,Genick::N,балябӧж,желке
43,Genick::N,sprands,желке
44,Kopf::N,юр,кәллә
45,Kopf::N,galva,кәллә
46,Rücken::N,мыш,арқа
47,Rücken::N,mugura,арқа
48,Bauch::N,рушку,қарын
49,Bauch::N,vēders,қарын
50,Nabel::N,гӧг,кіндік
51,Nabel::N,naba,кіндік
52,Busen::N,морӧс,омырау
53,Busen::N,krūts,омырау
54,Brust::N,морӧс,кеуде
55,Brust::N,krūts,кеуде
56,Schulter::N,пельпом,иық
57,Schulter::N,plecs,иық
58,Arm::N,ки,қол
59,Arm::N,roka,қол
60,Arm::N,delms,қол
61,Ellenbogen::N,гырддза,шынтақ
62,Ellenbogen::N,elkonis,шынтақ
63,Hand::N,ки,қол
64,Hand::N,roka,қол
65,Hand::N,plauksta,қол
66,Handfläche::N,ки пыдӧс,алақан
67,Handfläche::N,delna,алақан
68,Handfläche::N,plauksta,алақан
69,Finger::N,чунь,саусақ
70,Finger::N,pirksts,саусақ
71,Fingernagel::N,гыж,тырнақ
72,Fingernagel::N,nags,тырнақ
73,Nagel[Anatomie]::N,гыж,тырнақ
74,Nagel[Anatomie]::N,nags,тырнақ
75,Zeh::N,кок чунь,тырнақ
76,Zeh::N,кок чунь,тұяқ
77,Zeh::N,pirksts,тырнақ
78,Zeh::N,pirksts,тұяқ
79,Fuß::N,кок,аяқ-басы
80,Fuß::N,kāja,аяқ-басы
81,Ferse::N,кокбӧр,өкше
82,Ferse::N,кокбӧр,өкшелік
83,Ferse::N,papēdis,өкше
84,Ferse::N,papēdis,өкшелік
85,Knie::N,пидзӧс,тізе
