,Concept_ID,hr,kv
0,Auge::N,oko,син
1,Ohr::N,uho,пель
2,Nase::N,nos,ныр
3,Mund::N,usta,ӧм
4,Zahn::N,zub,пинь
5,Zunge::N,jezik,кыв
6,Lippe::N,usna,тырп
7,Wange::N,obraz,рожабан
8,Gesicht::N,lice,бан
9,Stirn::N,čelo,кымӧс
10,Haar::N,kosa,юрси
11,Schnurrbart::N,brkovi,уссэз
12,Bart::N,brada,тош
13,Kinn::N,brada,тшӧка
14,Kinn::N,podbradak,тшӧка
15,Kiefer[Anatomie]::N,čeljust,ан
16,Kehle::N,grlo,юан
17,Hals::N,vrat,юан
18,Genick::N,zatiljak,юр бӧр
19,Kopf::N,glava,юр
20,Rücken::N,leđa,мышк
21,Rücken::N,hrbat,мышк
22,Bauch::N,trbuh,кынӧм
23,Nabel::N,pupak,гӧг
24,Busen::N,sisa,морос
25,Busen::N,njedra,морос
26,Brust::N,prsa,морос
27,Schulter::N,rame,пельпон
28,Schulter::N,pleći,пельпон
29,Arm::N,ruka,ки
30,Ellenbogen::N,lakat,гырдзза
31,Hand::N,ruka,кикар
32,Handfläche::N,dlan,ки пыдӧс
33,Finger::N,prst,чунь
34,Fingernagel::N,nokat,гыж
35,Nagel[Anatomie]::N,nokat,гыж
36,Zeh::N,nozni prst,чунь
37,Fuß::N,noga,кокпыдӧс
38,Fuß::N,stopalo,кокпыдӧс
39,Ferse::N,peta,кокдзир
40,Knie::N,koljeno,пидзӧс
41,Oberschenkel::N,bedro,лядьбей
42,Bein::N,noga,кок
43,Körper::N,tijelo,вывтыр
44,Haut::N,put,кучик
45,Haut::N,koža,кучик
46,Blut::N,krv,вир
47,Ader::N,žila,сӧн
48,Sehne::N,tetiva,жила
49,Knochen::N,kost,коска
50,Herz::N,srce,сьӧлӧм
51,Magen::N,stomak,жӧвдӧк
52,Magen::N,želudac,жӧвдӧк
53,Leber::N,jetra,мус
54,Atem::N,dah,лолалӧм
55,Hunger::N,glad,тшыг
56,Träne::N,suza,синва
57,Geschmack::N,ukus,кӧр
58,Geruch::N,njuh,дук
59,Geruch::N,miris,дук
60,Schlaf::N,san,он
61,Traum::N,san,вӧт
62,Himmel::N,nebo,небо
63,Sonne::N,sunce,шондi
64,Mond::N,mjesec,тӧлiсь
65,Stern::N,zvijezda,кӧдзыв
66,Luft::N,zrak,ру
67,Wind::N,vjetar,тӧв
68,Welle::N,val,гы
69,Welle::N,talas,гы
70,Wasser::N,voda,ва
71,Stein::N,kamen,из
72,Boden::N,tlo,му
73,Boden::N,zemlja,му
74,Erde::N,zemlja,му
75,Staub::N,prah,бус
76,Staub::N,prašina,бус
77,Rauch::N,dim,тшын
78,Funke::N,iskra,бичир
79,Funke::N,varnica,бичир
80,Feuer::N,vatra,би
81,Licht::N,svjetlo,би
82,Schatten::N,hlad,вуджӧр
83,Schatten::N,sjena,вуджӧр
84,Wetter::N,vrijeme,погоддя
85,Nebel::N,magla,туман
86,Wolke::N,oblak,кымӧр
87,Regen::N,kiša,зэр
88,Schnee::N,snijeg,лым
89,Eis::N,led,йы
90,Frost::N,mraz,мороз
91,Kälte::N,studen,кӧдзыт
92,Kälte::N,hladnoća,кӧдзыт
93,Hitze::N,vrućina,ӧд
94,Raureif::N,inje,кижа
95,Regenbogen::N,duga,енӧшка
96,Donner::N,grom,гым
97,Donner::N,grmljavina,гым
98,Strömung::N,struja,визывтӧм
99,Strömung::N,strujanje,визывтӧм
100,Tropfen::N,kap,тёп
101,Tropfen::N,kaplja,тёп
102,Schaum::N,pjena,быг
103,Schmutz::N,nečistoća,нять
104,Schmutz::N,prljavština,нять
105,See::N,jezero,ты
106,Sumpf::N,bara,арай
107,Moor::N,močvara,нюр
108,Wiese::N,livada,видз
109,Wald::N,šuma,вӧр
110,Hügel::N,brijeg,мыльк
111,Hügel::N,brežuljak,мыльк
112,Anhöhe::N,uzvišica,вывтас
113,Anhöhe::N,uzvišica,вылынін
114,Berg::N,brdo,керӧс
115,Gipfel::N,vrh,йыв
116,Höhle::N,pećina,нора
117,Höhle::N,spilja,нора
118,Abhang::N,obronak,покат
119,Abhang::N,nizbrdica,покат
120,Quelle::N,izvor,больган
121,Quelle::N,vrelo,больган
122,Bach::N,potok,шор
123,Fluss::N,rijeka,ю
124,Ufer::N,obala,берег
125,Küste::N,obala,берег
126,Küste::N,morska obala,берег
127,Festland::N,kopno,му
128,Meer::N,more,море
129,Bucht::N,zaliv,курья
