,Concept_ID,uz,ba
0,Auge::N,ko'z,күҙ
1,Ohr::N,quloq,ҡолаҡ
2,Nase::N,burun,танау
3,Mund::N,og'iz,ауыҙ
4,Zahn::N,tish,теш
5,Zunge::N,til,тел
6,Lippe::N,dudoq,ирен
7,Wange::N,bet,яцаҡтар
8,Gesicht::N,yuz,бит
9,Stirn::N,manglay,маңлай
10,Haar::N,soch,сәс
11,Schnurrbart::N,mo'ylov,мылтыҡ
12,Bart::N,soqol,һаҡал
13,Kinn::N,ängak,эйэк
14,Kiefer[Anatomie]::N,iyak,яңаҡ һөйәге
15,Kehle::N,bo'g'iz,тамаҡ
16,Hals::N,bo'yin,муйын
17,Genick::N,gardan,соңҡа
18,Kopf::N,bosh,баш
19,Rücken::N,orqa,арҡа
20,Bauch::N,qorin,ҡорһаҡ
21,Nabel::N,kindik,кендек
22,Busen::N,ämchak,күкрәк
23,Brust::N,ko'krak,түш
24,Schulter::N,elka,яурын
25,Arm::N,bilak,ҡул
26,Ellenbogen::N,tirsak,терһәк
27,Hand::N,qo'l,ҡул
28,Hand::N,qo'l,ҡул суғы
29,Handfläche::N,kaft,ус төбө
30,Finger::N,barmoq,бармаҡ
31,Fingernagel::N,tirnoq,тырнаҡ
32,Nagel[Anatomie]::N,tirnoq,тырнаҡ
33,Zeh::N,oyoq barmog'i,бармаҡ
34,Fuß::N,oyoq,табан
35,Ferse::N,tovon,үксә
36,Knie::N,tiz,тубыҡ
37,Oberschenkel::N,son,сандыр
38,Bein::N,oyoq,аяҡ
39,Körper::N,badna,тән
40,Haut::N,teri,тире
41,Blut::N,qon,ҡан
42,Ader::N,qon tomir,тамыр
43,Sehne::N,tomir,һеңер
44,Sehne::N,tomir,тарамыш
45,Knochen::N,suyak,һойәк
46,Gehirn::N,miya,мейе
47,Herz::N,qalb,йорәк
48,Magen::N,oshqozon,ашҡаҙан
49,Leber::N,bag'ir,бауыр
50,Atem::N,dam,һулыш
51,Hunger::N,ochlik,аслыҡ
52,Träne::N,yosh,күҙ иәше
53,Geschmack::N,tam,тәм
54,Geruch::N,jid,еҫ
55,Schlaf::N,uyqu,йоҡлау
56,Traum::N,tush,төш
57,Himmel::N,osmon,күк
