,Concept_ID,he,cv
0,Auge::N,עין,куҫ
1,Ohr::N,אזן,хӑлха
2,Nase::N,אף,сӑмса
3,Nase::N,חטם,сӑмса
4,Mund::N,פה,ҫӑвар
5,Zahn::N,שן,шӑл
6,Zunge::N,לשון,чӗлхе
7,Lippe::N,שפה,тута
8,Wange::N,לחי,пит ҫӑмарти
9,Gesicht::N,פנים,пит
10,Gesicht::N,פנים,пит-куҫ
11,Stirn::N,מצח,ҫамка
12,Haar::N,שערה,ҫӳҫ
13,Schnurrbart::N,שפם,усси
14,Bart::N,זקן,сухал
15,Kinn::N,סנטר,янах
16,Kiefer[Anatomie]::N,לסת,янах
17,Kehle::N,גרון,пыр
18,Kehle::N,גרון,карланкӑ
19,Hals::N,צואר,пыр
20,Genick::N,ערף,ӗнсе
21,Kopf::N,ראש,пуҫ
22,Rücken::N,גב,ҫурӑм
23,Bauch::N,בטן,
24,Nabel::N,טבור,кӑвапа
25,Busen::N,שד,кӑкӑр
26,Brust::N,חזה,умӗ
27,Schulter::N,כתף,хул пуҫҫи
28,Arm::N,זרוע,алӑ
29,Ellenbogen::N,מרפק,чавса
30,Hand::N,יד,алӑ сыппи
31,Handfläche::N,כף יד,ал лаппи
32,Finger::N,אצבע,пӳрне
33,Fingernagel::N,צפרן,чӗрне
34,Nagel[Anatomie]::N,צפרן,чӗрне
35,Zeh::N,אצבע,пӳрне
36,Fuß::N,רגל,ура лаппи
37,Ferse::N,עקב,кӗле
38,Knie::N,ברך,чӗркуҫҫи
39,Oberschenkel::N,ירך,пӗҫӗ
40,Bein::N,רגל,ура
41,Körper::N,גוף,ӳт
42,Körper::N,גוף,ӳт-пӳ
43,Haut::N,עור,тир
44,Blut::N,דם,юн
45,Ader::N,וריד,вена
46,Sehne::N,גיד,шӑнӑр
47,Knochen::N,עצם,шӑмӑ
48,Gehirn::N,מוח,миме
49,Herz::N,לב,чӗре
50,Magen::N,קבה,хырӑмлӑх
51,Leber::N,כבד,пӗвер
52,Atem::N,נשימה,сывлав
53,Hunger::N,רעב,выҫлӑх
54,Träne::N,דמעה,куҫҫуль
55,Geschmack::N,טעם,техӗм
56,Geruch::N,ריח,шӑршӑ
57,Schlaf::N,שנה,ыйхӑ
58,Traum::N,חלום,тӗлӗк
59,Himmel::N,שמים,пӗлӗт
60,Sonne::N,שמש,хӗвел
61,Mond::N,ירח,уйӑх
62,Stern::N,כוכב,ҫӑлтӑр
63,Luft::N,אויר,сывлӑш
64,Wind::N,רוח,ҫил
65,Welle::N,גל,хум
66,Wasser::N,מים,шыв
67,Wasser::N,מים,шыв-шур
68,Stein::N,אבן,чул
69,Boden::N,קרקע,тӑпра
70,Erde::N,אדמה,ҫӗр
71,Staub::N,אבק,тусан
72,Rauch::N,עשן,тӗтӗм
73,Funke::N,ניצוץ,хӗм
74,Feuer::N,אש,вут
75,Feuer::N,אש,ҫулӑм
76,Licht::N,אור,ҫутӑ
77,Schatten::N,צל,сулхӑн
78,Wetter::N,מזג אויר,ҫанталӑк
79,Nebel::N,ערפל,тӗтре
80,Wolke::N,ענן,пӗлӗт
81,Regen::N,גשם,ҫумӑр
82,Schnee::N,שלג,юр
83,Eis::N,קרח,пӑр
84,Frost::N,צנה,сивӗ
85,Kälte::N,קר,сивӗ
86,Hitze::N,חם,вӗри
87,Hitze::N,חם,шӑрӑх
88,Raureif::N,כפור,пас
89,Regenbogen::N,קשת,асамат кӗперӗ
90,Donner::N,רעם,аслати
91,Strömung::N,זרימה,юхӑ
92,Tropfen::N,טפה,тумлам
93,Schaum::N,קצף,кӑпӑк
94,Schmutz::N,לכלוך,пылчӑк
95,See::N,אגם,кӳлӗ
96,Sumpf::N,בצה,шур
97,Sumpf::N,בצה,шурлӑх
98,Moor::N,בצה,торфлӑ шурлӑх
99,Wiese::N,מרעה,улӑх
100,Wiese::N,מרעה,ҫаран
101,Wald::N,יער,вӑрман
102,Hügel::N,תל,сӑрт
103,Hügel::N,תל,тӗмеске
104,Anhöhe::N,מעלה,сӑрт
105,Berg::N,הר,ту
106,Gipfel::N,פסגה,тӳпе
107,Höhle::N,מערה,ҫӗр хӑвӑлӗ
108,Abhang::N,מדרון,тӑвайкки
109,Abhang::N,שפוע,тӑвайкки
110,Quelle::N,מעין,ҫӑл куҫ
111,Bach::N,נחל,пӗчӗк шыв
112,Fluss::N,נהר,юхан шыв
113,Ufer::N,גדה,ҫыран
114,Küste::N,חוף,тинӗс ҫыранӗ
115,Festland::N,יבשה,тип ҫӗр
116,Meer::N,ים,тинӗс
117,Bucht::N,מפרץ,тинӗс кукӑрӗ
118,Insel::N,אי,утрав
119,Blume::N,פרח,чечек
120,Gras::N,דשא,курӑк
121,Wurzel::N,שרש,тымар
122,Baum::N,עץ,йывӑҫ
123,Stamm::N,גזע,вулӑ
124,Rinde::N,קלפת עץ,хуйӑр
125,Ast::N,ענף,турат
126,Zweig::N,ענף,турат
127,Blatt::N,עלה,ҫулҫӑ
128,Birke::N,שדר,хурӑн
129,Kiefer[Baum]::N,ארן,хыр
130,Weide[Baum]::N,ערבה,хӑва
131,Tanne::N,אשוח,чӑрӑш
132,Horn::N,קרן,мӑйрака
133,Feder::N,נוצה,тӗк
134,Fell::N,פרוה,ҫӑм
135,Flügel::N,כנף,ҫунат
136,Klaue::N,טלף,чӗрне
137,Kralle::N,טפר,ура
138,Schwanz::N,זנב,хӳре
139,Ei::N,ביצה,ҫӑмарта
140,Nest::N,קן,йӑва
141,Bau::N,מחלה,йӗнӗ
142,Tier::N,חיה,выльӑх
143,Herde::N,עדר,кӗтӳ
144,Kuh::N,פרה,ӗне
145,Bulle::N,פר,вӑкӑр
146,Pferd::N,סוס,лаша
147,Schaf::N,כבשה,сурӑх
