,Concept_ID,sah,eu
0,Auge::N,харах,begi
1,Ohr::N,кулгаах,belarri
2,Nase::N,мурун,sudur
3,Mund::N,айах,aho
4,Zahn::N,тиис,hortz
5,Zunge::N,тыл,mihi
6,Lippe::N,уос,ezpain
7,Wange::N,иэдэс,masail
8,Gesicht::N,сирэй,aurpegi
9,Stirn::N,сүүс,bekoki
10,Haar::N,баттах,ile
11,Haar::N,баттах,bilo
12,Schnurrbart::N,уос бытыга,bibote
13,Schnurrbart::N,уос бытыга,sudurpeko
14,Bart::N,сэҥийэ бытыга,bizar
15,Kinn::N,сэҥийэ,kokots
16,Kiefer[Anatomie]::N,сыҥаах,masailezur
17,Kehle::N,тамах,eztarri
18,Kehle::N,күөмэй,eztarri
19,Hals::N,моой,sama
20,Genick::N,кэтэх,garondo
21,Kopf::N,бас,buru
22,Rücken::N,көҕүс,bizkar
23,Bauch::N,ис,sabel
24,Nabel::N,киин,zilbor
25,Busen::N,эмиий,titi
26,Busen::N,эмиий,ugatz
27,Brust::N,түөс,bular
28,Schulter::N,сарын,besaburu
29,Arm::N,илии,beso
30,Ellenbogen::N,тоҕонох,ukondo
31,Hand::N,илии,esku
32,Handfläche::N,ытыс,ahur
33,Finger::N,тарбах,hatz
34,Fingernagel::N,тыҥырах,azazkal
35,Nagel[Anatomie]::N,тыҥырах,azazkal
36,Zeh::N,тарбах,behatz
37,Fuß::N,уллуҥах,oin
38,Ferse::N,тилэх,orpo
39,Ferse::N,тилэх,oinburu
40,Knie::N,тобук,belaun
41,Knie::N,дьилбэк,belaun
42,Oberschenkel::N,уллук,izter
43,Oberschenkel::N,өттүк,izter
44,Bein::N,атах,zango
45,Körper::N,бэйэ,soin
46,Haut::N,тирии,azal
47,Blut::N,хаан,odol
48,Ader::N,вена,zain
49,Ader::N,күөх_тымыр,zain
50,Sehne::N,иҥиир,gihar-zain
51,Knochen::N,уҥуох,hezur
52,Knochen::N,уҥгуох,hezur
53,Gehirn::N,мэйии,garun
54,Gehirn::N,мэйии,burmuin
55,Herz::N,сүрэх,bihotz
56,Magen::N,куртах,urdail
57,Leber::N,быар,gibel
58,Atem::N,тыын,hats
59,Atem::N,тыын,arnasa
60,Hunger::N,аас,gose
61,Träne::N,харах уута,malko
62,Geschmack::N,амтан,dasta
63,Geruch::N,сыт,usain
64,Schlaf::N,утуйуу,lo
65,Traum::N,түүл,amets
66,Himmel::N,халлаан,zeru
67,Sonne::N,күн,eguzki
68,Mond::N,ый,ilargi
69,Stern::N,сулус,izar
70,Luft::N,салгын,aire
71,Wind::N,тыал,haize
72,Welle::N,долгун,uhin
73,Welle::N,долгун,olatu
74,Welle::N,балхаан,uhin
75,Welle::N,балхаан,olatu
76,Wasser::N,уу,ur
77,Stein::N,таас,harri
78,Boden::N,сир,lur
79,Boden::N,сир,zoru
80,Erde::N,буор,lur
81,Staub::N,быыл,hauts
82,Rauch::N,буруо,ke
83,Funke::N,кыым,zirta
84,Funke::N,кыым,txinparta
85,Feuer::N,уот,su
86,Licht::N,уот,argi
87,Schatten::N,күлүк,itzal
88,Schatten::N,күлүк,geriza
89,Wetter::N,күн-дьыл,eguraldi
90,Nebel::N,туман,laino
91,Wolke::N,былыт,hodei
92,Regen::N,самыыр,euri
93,Schnee::N,хаар,elur
94,Eis::N,муус,horma
95,Frost::N,тымныы,izotzaldi
96,Kälte::N,тымныы,hotz
97,Hitze::N,куйаас,bero
98,Raureif::N,кырыа,antzigar
99,Regenbogen::N,кустук,ostadar
100,Regenbogen::N,кустук,ortzadar
101,Donner::N,этиҥ,ostots
102,Donner::N,этиҥ,ihurtzuri
103,Strömung::N,сүүрүк,laster
104,Tropfen::N,таммах,xorta
105,Tropfen::N,хааппыла,xorta
106,Schaum::N,күүгэн,bits
107,Schmutz::N,кир,lohi
108,Schmutz::N,кир,zikin
109,See::N,күөл,laku
110,See::N,күөл,aintzira
111,Sumpf::N,бадараан,zingira
112,Moor::N,дьэбэрэ,zohikaztegi
113,Wiese::N,ходуһа,larre
114,Wiese::N,ходуһа,belardi
115,Wald::N,ойуур,baso
116,Wald::N,ойуур,oihan
117,Hügel::N,булгунньах,muino
118,Hügel::N,булгунньах,pentoka
119,Anhöhe::N,үрдэл,garai
120,Anhöhe::N,үрдэл,goragune
121,Berg::N,хайа,mendi
122,Gipfel::N,чыпчаал,gain
123,Gipfel::N,чыпчаал,tontor
124,Höhle::N,хайа_хаспаҕа,kobazulo
125,Höhle::N,көҥүс,kobazulo
126,Abhang::N,эниэ,aldapa
127,Quelle::N,дьүүктэ,iturri
128,Quelle::N,дьүүктэ,iturbegi
129,Bach::N,үрүйэ,lats
130,Bach::N,үрүйэ,erreka
131,Fluss::N,өрүс,ibai
132,Fluss::N,өрүс,uhaitz
133,Ufer::N,биэрэк,bazter
134,Küste::N,кытыл,itsasalde
135,Festland::N,кураанах сир,lehor
136,Meer::N,муора,itsaso
137,Bucht::N,хомо,golko
138,Bucht::N,бухта,golko
139,Insel::N,арыы,irla
140,Insel::N,арыы,uharte
141,Blume::N,сибэкки,lili
142,Gras::N,от,belar
143,Wurzel::N,силис,zuztar
144,Wurzel::N,силис,sustrai
145,Baum::N,мас,zuhaitz
146,Stamm::N,умнас,enbor
147,Rinde::N,хатырык,azal
148,Ast::N,мутук,adar
149,Zweig::N,лабаа,abar
150,Blatt::N,сэбирдэх,hosto
151,Birke::N,хатыҥ,urki
152,Kiefer[Baum]::N,бэс,ler
153,Weide[Baum]::N,үөт,zume
154,Weide[Baum]::N,үөт,sahats
155,Weide[Baum]::N,талах,zume
156,Weide[Baum]::N,талах,sahats
157,Tanne::N,харыйа,izei
158,Horn::N,муос,adar
159,Feder::N,куорсун,luma
160,Feder::N,куорсун,hegaki
161,Fell::N,тирии,ile
