,Concept_ID,lt,bg
0,Auge::N,akis,око
1,Ohr::N,ausis,ухо
2,Nase::N,nosis,нос
3,Mund::N,burna,уста
4,Zahn::N,dantis,зъб
5,Zunge::N,liežuvis,език
6,Lippe::N,lūpa,устна
7,Wange::N,žandas,буза
8,Wange::N,skruostas,буза
9,Gesicht::N,veidas,лице
10,Gesicht::N,veidas,образ
11,Stirn::N,kakta,чело
12,Haar::N,plaukai,коса
13,Haar::N,plaukai,косъм
14,Schnurrbart::N,ūsai,мустаци
15,Bart::N,barzda,брада
16,Kinn::N,smakras,брада
17,Kinn::N,smakras,брадичка
18,Kiefer[Anatomie]::N,žandikaulis,челюст
19,Kehle::N,gerklė,гърло
20,Hals::N,kaklas,врат
21,Genick::N,sprandas,тил
22,Kopf::N,galva,глава
23,Rücken::N,nugara,гръб
24,Bauch::N,pilvas,корем
25,Nabel::N,bamba,пъп
26,Busen::N,krūtinė,бозка
27,Brust::N,krūtis,гръд
28,Schulter::N,petys,рамо
29,Schulter::N,petys,плещи
30,Arm::N,ranka,ръка
31,Ellenbogen::N,alkūnė,лакът
32,Hand::N,ranka,ръка
33,Hand::N,ranka,китка
34,Hand::N,plaštaka,ръка
35,Hand::N,plaštaka,китка
36,Handfläche::N,delnas,длан
37,Handfläche::N,plaštaka,длан
38,Finger::N,pirštas,пръст
39,Fingernagel::N,nagas,нокът
40,Nagel[Anatomie]::N,nagas,нокът
41,Zeh::N,pirštas,пръст на крак
42,Fuß::N,pėda,крак
43,Fuß::N,pėda,нога
44,Ferse::N,kulnas,пета
45,Knie::N,kelis,коляно
46,Oberschenkel::N,kulšis,бедро
47,Oberschenkel::N,šlaunis,бедро
48,Bein::N,koja,крак
49,Bein::N,koja,нога
50,Körper::N,kūnas,тяло
51,Haut::N,oda,кожа
52,Blut::N,kraujas,кръв
53,Ader::N,kraujagyslė,вена
54,Ader::N,kraujagyslė,артерия
55,Sehne::N,sausgyslė,жила
56,Sehne::N,sausgyslė,сухожилие
57,Knochen::N,kaulas,кост
58,Gehirn::N,smegenys,мозък
59,Herz::N,širdis,сърце
60,Magen::N,skrandis,стомах
61,Leber::N,kepenys,черен дроб
62,Atem::N,kvapas,дишане
63,Hunger::N,badas,глад
64,Hunger::N,alkis,глад
65,Träne::N,ašara,сълза
66,Geschmack::N,skonis,вкус
67,Geruch::N,kvapas,миризма
68,Schlaf::N,miegas,сън
69,Traum::N,sapnas,сън
70,Himmel::N,dangus,небе
71,Sonne::N,saulė,слънце
72,Mond::N,mėnulis,луна
73,Mond::N,mėnulis,месец
74,Stern::N,žvaigždė,звезда
75,Luft::N,oras,въздух
76,Wind::N,vėjas,вятър
77,Welle::N,banga,вълна
78,Welle::N,vilnis,вълна
79,Wasser::N,vanduo,вода
