,Concept_ID,ru,uz
0,Auge::N,глаз,ko'z
1,Ohr::N,ухо,quloq
2,Nase::N,нос,burun
3,Mund::N,рот,og'iz
4,Zahn::N,зуб,tish
5,Zunge::N,язык,til
6,Lippe::N,губа,dudoq
7,Wange::N,щека,bet
8,Gesicht::N,лицо,yuz
9,Stirn::N,лоб,manglay
10,Haar::N,волос,soch
11,Haar::N,волосы,soch
12,Schnurrbart::N,ус,mo'ylov
13,Schnurrbart::N,усы,mo'ylov
14,Bart::N,борода,soqol
15,Kinn::N,подбородок,ängak
16,Kiefer[Anatomie]::N,челюсть,iyak
17,Kehle::N,горло,bo'g'iz
18,Hals::N,шея,bo'yin
19,Genick::N,затылок,gardan
20,Kopf::N,голова,bosh
21,Rücken::N,спина,orqa
22,Bauch::N,живот,qorin
23,Nabel::N,пупок,kindik
24,Busen::N,женская грудь,ämchak
25,Brust::N,грудь,ko'krak
26,Schulter::N,плечо,elka
27,Arm::N,рука,bilak
28,Ellenbogen::N,локоть,tirsak
29,Hand::N,кисть,qo'l
30,Handfläche::N,ладонь,kaft
31,Finger::N,палец,barmoq
32,Fingernagel::N,ноготь,tirnoq
33,Nagel[Anatomie]::N,ноготь,tirnoq
34,Zeh::N,палец,oyoq barmog'i
35,Fuß::N,ступня,oyoq
36,Ferse::N,пята,tovon
37,Ferse::N,пятка,tovon
38,Knie::N,колено,tiz
39,Oberschenkel::N,бедро,son
40,Bein::N,нога,oyoq
41,Körper::N,тело,badna
42,Haut::N,кожа,teri
43,Blut::N,кровь,qon
44,Ader::N,вена,qon tomir
45,Ader::N,сосуд,qon tomir
46,Sehne::N,жила,tomir
47,Sehne::N,тетива,tomir
48,Sehne::N,сухожилие,tomir
49,Knochen::N,кость,suyak
50,Gehirn::N,мозг,miya
51,Herz::N,сердце,qalb
52,Magen::N,желудок,oshqozon
53,Leber::N,печень,bag'ir
54,Atem::N,дух,dam
55,Atem::N,дыхание,dam
56,Hunger::N,голод,ochlik
57,Träne::N,слеза,yosh
58,Geschmack::N,вкус,tam
59,Geruch::N,запах,jid
60,Schlaf::N,сон,uyqu
61,Traum::N,сновидение,tush
62,Himmel::N,небо,osmon
63,Sonne::N,солнце,quyosh
64,Mond::N,луна,oy
65,Stern::N,звезда,yulduz
66,Luft::N,воздух,havo
