,Concept_ID,ady,pt
0,Auge::N,нэ,olho
1,Ohr::N,тхьакӏу́м,orelha
2,Nase::N,пэ,nariz
3,Mund::N,жэ,boca
4,Zahn::N,цэ,dente
5,Zunge::N,бзэгу,língua
6,Lippe::N,ӏупшӏэ́,lábio
7,Wange::N,нэкӏу́шъу,face
8,Gesicht::N,нэ́гу,cara
9,Gesicht::N,нэ́гу,rosto
10,Stirn::N,натӏэ́,testa
11,Haar::N,шъхьацы́,cabelo
12,Bart::N,жакӏэ́,barba
13,Kinn::N,жэкӏэпэпкъ,queixo
14,Kiefer[Anatomie]::N,жэпкъы́,maxila
15,Kiefer[Anatomie]::N,жэпкъы́,mandíbula
16,Kehle::N,чый,garganta
17,Hals::N,пшъэ,colo
18,Hals::N,пшъэ,pescoço
19,Genick::N,шъхьэпхэтыку,nuca
20,Kopf::N,шъхьэ́,cabeça
21,Rücken::N,кӏыбы́,dorso
22,Rücken::N,кӏыбы́,costas
23,Bauch::N,ныбэ́,ventre
24,Bauch::N,ныбэ́,barriga
25,Busen::N,бгъэ́,seio
26,Brust::N,бгъэ́,peito
27,Schulter::N,блыпкъ,ombro
28,Arm::N,ӏэ,braço
29,Ellenbogen::N,ӏэнтэ́гъу,cotovelo
30,Hand::N,ӏэтхьэцу,mão
31,Handfläche::N,ӏэ́гу,palma
32,Handfläche::N,ӏэ́гу,palma da mão
33,Finger::N,ӏэхъуа́мб,dedo
34,Fingernagel::N,ӏэбжъа́н,unha
35,Nagel[Anatomie]::N,ӏэбжъа́н,unha
36,Zeh::N,ӏэхъуа́мб,dedo do pé
37,Fuß::N,лъэгу,pé
38,Ferse::N,лъэдакъэ,calcanhar
39,Knie::N,лъагуа́ндж,joelho
40,Oberschenkel::N,ко,coxa
41,Bein::N,лъакъо́,perna
42,Körper::N,пкъышъол,corpo
43,Haut::N,кӏы́шъу,pele
44,Blut::N,лъы,sangue
45,Ader::N,льытф,veia
46,Sehne::N,фэ,tendão
47,Knochen::N,къупшъхьэ́,osso
48,Gehirn::N,куцӏы,cérebro
49,Herz::N,гу,coração
50,Magen::N,мышкӏу,estômago
51,Leber::N,шӏу,fígado
52,Atem::N,къэщэныр,fôlego
53,Hunger::N,гъаблэ́,fome
54,Träne::N,нэпсы,lágrima
55,Geschmack::N,ӏэшӏугъа́кӏ,gosto
56,Geruch::N,мэ,odor
57,Geruch::N,мэ,cheiro
58,Schlaf::N,пчыхьы́пӏ,sono
59,Traum::N,пчыхьы́пӏ,sonho
60,Himmel::N,уашъо́,céu
61,Sonne::N,тыгъэ,sol
62,Mond::N,мазэ,lua
63,Stern::N,жъуагъо́,estrela
64,Luft::N,жьы,ar
65,Wind::N,жьыбгъэ́,vento
66,Welle::N,ор,onda
67,Welle::N,оры,onda
68,Wasser::N,псы,água
69,Stein::N,мыжъо́,pedra
70,Boden::N,чӏ́ыгу,solo
71,Erde::N,чӏ́ыгу,terra
72,Staub::N,сап,pó
73,Rauch::N,ӏугъо́,fumo
74,Funke::N,мэшӏуа́ч,faísca
75,Funke::N,мэшӏуа́ч,centelha
76,Feuer::N,машӏо́,fogo
77,Licht::N,нэфы,luz
78,Licht::N,нэфын,luz
79,Schatten::N,жьау́,sombra
80,Schatten::N,ныбжьыкъу,sombra
81,Nebel::N,пща́гъу,nevoeiro
82,Wolke::N,ошъуапщэ,nuvem
83,Regen::N,ощхы,chuva
84,Schnee::N,осы́,neve
85,Eis::N,мылы,gelo
86,Kälte::N,чъыӏэ́,frio
87,Hitze::N,фэба́е,ardor
88,Regenbogen::N, лэгъупэкъо́пс,arco-iris
