,Concept_ID,sk,cs
0,Auge::N,oko,oko
1,Ohr::N,ucho,ucho
2,Nase::N,nos,nos
3,Mund::N,ústa,pusa
4,Zahn::N,zub,zub
5,Zunge::N,jazyk,jazyk
6,Lippe::N,pera,ret
7,Wange::N,líce,tvář
8,Gesicht::N,tvár,obličej
9,Gesicht::N,obličaj,obličej
10,Stirn::N,čelo,čelo
11,Haar::N,vlas,vlas
12,Haar::N,vlas,vlasy
13,Schnurrbart::N,fúzy,kníry
14,Bart::N,brada,vousy
15,Kinn::N,brada,brada
16,Kiefer[Anatomie]::N,čeľusť,čelist
17,Kehle::N,hrdlo,hrdlo
18,Hals::N,krk,krk
19,Genick::N,väzy,týl
20,Kopf::N,hlava,hlava
21,Rücken::N,chrbát,záda
22,Rücken::N,chrbát,hřbet
23,Bauch::N,brucho,břicho
24,Nabel::N,pupok,pupek
25,Busen::N,prsia,ňadra
26,Brust::N,hruď,prsa
27,Schulter::N,plece,plece
28,Schulter::N,plece,rameno
29,Arm::N,rameno,ruka
30,Ellenbogen::N,lakeť,loket
31,Hand::N,ruka,ruka
32,Handfläche::N,dlaň,dlaň
33,Finger::N,prst,prst
34,Fingernagel::N,necht,nehet
35,Nagel[Anatomie]::N,necht,nehet
36,Zeh::N,prst na nohe,prst u nohy
37,Fuß::N,noha,noha
38,Ferse::N,päta,pata
39,Knie::N,koleno,koleno
40,Oberschenkel::N,stehno,stehno
41,Bein::N,noha,noha
42,Körper::N,telo,tělo
43,Haut::N,koža,kůže
44,Blut::N,krv,krev
45,Ader::N,žila,céva
46,Sehne::N,šľacha,šlacha
47,Knochen::N,kosť,kost
48,Gehirn::N,mozog,mozek
49,Herz::N,srdce,srdce
50,Magen::N,žalúdok,žaludek
51,Leber::N,pečeň,játra
52,Atem::N,dych,dech
53,Hunger::N,hlad,hlad
54,Träne::N,slza,slza
55,Geschmack::N,chuť,vkus
56,Geruch::N,pach,vůně
57,Geruch::N,pach,zápach
58,Schlaf::N,spánok,spánek
59,Traum::N,sen,sen
60,Himmel::N,nebo,nebe
61,Sonne::N,slnko,slunce
62,Mond::N,mesiac,měsíc
63,Stern::N,hviezda,hvězda
64,Luft::N,vzduch,vzduch
65,Wind::N,vietor,vítr
66,Welle::N,vlna,vlna
67,Wasser::N,voda,voda
68,Stein::N,kameň,kámen
69,Boden::N,zem,půda
70,Boden::N,pôda,půda
71,Erde::N,zem,země
72,Staub::N,prach,prach
73,Rauch::N,dym,dým
74,Rauch::N,dym,kouř
75,Funke::N,iskra,jiskra
76,Feuer::N,oheň,oheň
77,Licht::N,svetlo,světlo
78,Schatten::N,tieň,stín
79,Wetter::N,počasie,počasí
80,Nebel::N,hmla,mlha
81,Wolke::N,oblak,mrak
82,Wolke::N,oblak,oblak
83,Wolke::N,mračno,mrak
84,Wolke::N,mračno,oblak
85,Regen::N,dážď,déšť
86,Schnee::N,sneh,sníh
87,Eis::N,ľad,led
88,Frost::N,mráz,mráz
89,Kälte::N,zima,chlad
90,Kälte::N,chlad,chlad
91,Hitze::N,horúčava,horko
92,Raureif::N,srieň,jinovatka
93,Raureif::N,inovať,jinovatka
94,Regenbogen::N,dúha,duha
95,Donner::N,hrom,hrom
96,Strömung::N,prúdenie,proudění
97,Tropfen::N,kvapka,kapka
98,Schaum::N,pena,pěna
99,Schmutz::N,špina,špína
100,Schmutz::N,nečistota,špína
101,See::N,jazero,jezero
102,Sumpf::N,bahno,močál
103,Sumpf::N,bahno,bažina
104,Moor::N,močiar,bažina
105,Moor::N,močiar,slatina
106,Wiese::N,lúka,louka
107,Wald::N,les,les
108,Wald::N,hora,les
109,Hügel::N,vŕšok,kopec
110,Anhöhe::N,výšina,pahorek
111,Anhöhe::N,vyvýšenina,pahorek
112,Berg::N,hora,hora
113,Gipfel::N,vrchol,vrchol
114,Höhle::N,jaskyňa,jeskyně
115,Abhang::N,úbočie,svah
116,Abhang::N,úbočie,stráň
117,Quelle::N,prameň,pramen
118,Bach::N,potok,potok
119,Fluss::N,rieka,řeka
120,Ufer::N,breh,břeh
121,Küste::N,pobrežie,pobřeží
122,Festland::N,pevnina,souš
123,Festland::N,pevnina,pevnina
124,Meer::N,more,moře
125,Bucht::N,záliv,záliv
126,Bucht::N,záliv,zátoka
127,Bucht::N,zátoka,záliv
128,Bucht::N,zátoka,zátoka
129,Insel::N,ostrov,ostrov
130,Blume::N,kvet,květina
131,Blume::N,kvetina,květina
132,Gras::N,tráva,tráva
133,Wurzel::N,koreň,kořen
134,Baum::N,strom,strom
135,Stamm::N,kmeň,kmen
136,Rinde::N,kôra,kůra
137,Ast::N,konár,větev
138,Zweig::N,vetva,větev
139,Blatt::N,list,lupen
140,Birke::N,breza,bříza
141,Kiefer[Baum]::N,sosna,sosna
142,Kiefer[Baum]::N,sosna,borovice
143,Kiefer[Baum]::N,borovica,sosna
144,Kiefer[Baum]::N,borovica,borovice
145,Weide[Baum]::N,vŕba,vrba
146,Tanne::N,jedľa,jedle
147,Horn::N,roh,roh
148,Feder::N,pero,pero
149,Fell::N,koža,srst
150,Fell::N,kožušina,srst
151,Flügel::N,krídlo,křídlo
152,Klaue::N,paznecht,dráp
153,Klaue::N,paznecht,pazneht
154,Kralle::N,pazúr,dráp
155,Schwanz::N,chvost,ocas
156,Ei::N,vajce,vejce
157,Ei::N,vajíčko,vejce
158,Nest::N,hniezdo,hnízdo
159,Bau::N,nora,nora
160,Tier::N,zviera,zvíře
161,Herde::N,stádo,stádo
162,Kuh::N,krava,kráva
163,Bulle::N,býk,býk
164,Pferd::N,kôň,kůň
165,Schaf::N,ovca,ovce
166,Schwein::N,sviňa,vepř
167,Schwein::N,sviňa,prase
168,Hund::N,pes,pes
169,Katze::N,mačka,kočka
170,Bär::N,medveď,medvěd
171,Eichhörnchen::N,veverička,veverka
172,Elch::N,los,los
173,Fuchs::N,líška,liška
174,Hase::N,zajac,zajíc
175,Maus::N,myš,myš
176,Wolf::N,vlk,vlk
177,Vogel::N,vták,pták
178,Schwarm::N,roj,roj
179,Schwarm::N,roj,hejno
180,Huhn::N,kurča,kuře
181,Huhn::N,kurča,slepice
182,Huhn::N,sliepka,kuře
183,Huhn::N,sliepka,slepice
184,Hahn::N,kohút,kohout
185,Gans::N,hus,husa
186,Adler::N,orol,orel
187,Ente::N,kačka,kachna
188,Ente::N,kačica,kachna
189,Eule::N,sova,sova
190,Kranich::N,žeriav,jeřáb
191,Krähe::N,vrana,vrána
192,Kuckuck::N,kukučka,kukačka
193,Schwan::N,labuť,labuť
194,Fisch::N,ryba,ryba
195,Barsch::N,ostriež,okoun
196,Hecht::N,šťuka,štika
197,Schlange[Tier]::N,had,had
198,Wurm::N,červ,červ
