,Concept_ID,cy,cv
0,Auge::N,llygad,куҫ
1,Ohr::N,clust,хӑлха
2,Nase::N,trwyn,сӑмса
3,Mund::N,ceg,ҫӑвар
4,Zahn::N,dant,шӑл
5,Zunge::N,tafod,чӗлхе
6,Lippe::N,gwefus,тута
7,Wange::N,boch,пит ҫӑмарти
8,Gesicht::N,wyneb,пит
9,Gesicht::N,wyneb,пит-куҫ
10,Stirn::N,talcen,ҫамка
11,Haar::N,blew,ҫӳҫ
12,Schnurrbart::N,mwstas,усси
13,Bart::N,barf,сухал
14,Kinn::N,gên,янах
15,Kiefer[Anatomie]::N,gên,янах
16,Kehle::N,gwddf,пыр
17,Kehle::N,gwddf,карланкӑ
18,Hals::N,gwddf,пыр
19,Genick::N,gwar,ӗнсе
20,Genick::N,gwegil,ӗнсе
21,Kopf::N,pen,пуҫ
22,Rücken::N,cefn,ҫурӑм
23,Bauch::N,bol,
24,Nabel::N,bogail,кӑвапа
25,Busen::N,bron,кӑкӑр
26,Brust::N,brest,умӗ
27,Schulter::N,ysgwydd,хул пуҫҫи
28,Arm::N,braich,алӑ
29,Ellenbogen::N,penelin,чавса
30,Hand::N,llaw,алӑ сыппи
31,Handfläche::N,palf,ал лаппи
32,Finger::N,bys,пӳрне
33,Fingernagel::N,ewin,чӗрне
34,Nagel[Anatomie]::N,ewin,чӗрне
35,Zeh::N,bys troed,пӳрне
36,Fuß::N,troed,ура лаппи
37,Ferse::N,sawdl,кӗле
38,Knie::N,glin,чӗркуҫҫи
39,Oberschenkel::N,clun,пӗҫӗ
40,Bein::N,coes,ура
41,Körper::N,corff,ӳт
42,Körper::N,corff,ӳт-пӳ
43,Haut::N,croen,тир
44,Blut::N,gwaed,юн
45,Ader::N,gwythïen,вена
46,Sehne::N,gewyn,шӑнӑр
47,Knochen::N,asgwrn,шӑмӑ
48,Gehirn::N,ymennydd,миме
49,Herz::N,calon,чӗре
50,Magen::N,cylla,хырӑмлӑх
51,Magen::N,stumog,хырӑмлӑх
52,Leber::N,iau,пӗвер
53,Atem::N,anadl,сывлав
54,Hunger::N,newyn,выҫлӑх
55,Träne::N,deigryn,куҫҫуль
56,Geschmack::N,cyflas,техӗм
57,Geruch::N,aroglau,шӑршӑ
58,Schlaf::N,cwsg,ыйхӑ
59,Traum::N,breuddwyd,тӗлӗк
60,Himmel::N,awyr,пӗлӗт
61,Sonne::N,haul,хӗвел
62,Mond::N,lleuad,уйӑх
63,Stern::N,seren,ҫӑлтӑр
64,Luft::N,awyr,сывлӑш
65,Wind::N,gwynt,ҫил
66,Welle::N,ton,хум
67,Wasser::N,dŵr,шыв
68,Wasser::N,dŵr,шыв-шур
69,Stein::N,carreg,чул
70,Boden::N,llawr,тӑпра
71,Erde::N,pridd,ҫӗр
72,Staub::N,llwch,тусан
73,Rauch::N,mwg,тӗтӗм
74,Funke::N,gwreichioni,хӗм
75,Feuer::N,tân,вут
76,Feuer::N,tân,ҫулӑм
77,Licht::N,golau,ҫутӑ
78,Schatten::N,cysgod,сулхӑн
79,Wetter::N,tywydd,ҫанталӑк
80,Nebel::N,niwl,тӗтре
81,Wolke::N,cwmwl,пӗлӗт
82,Regen::N,glaw,ҫумӑр
83,Schnee::N,ôd,юр
84,Schnee::N,eira,юр
85,Eis::N,iâ,пӑр
86,Frost::N,rhew,сивӗ
87,Kälte::N,oerni,сивӗ
88,Kälte::N,annwyd,сивӗ
89,Hitze::N,gwres,вӗри
90,Hitze::N,gwres,шӑрӑх
91,Raureif::N,barrug,пас
92,Regenbogen::N,enfys,асамат кӗперӗ
93,Donner::N,tyrfau,аслати
94,Strömung::N,cerrynt,юхӑ
95,Tropfen::N,dafn,тумлам
96,Tropfen::N,diferyn,тумлам
97,Schaum::N,ewyn,кӑпӑк
98,Schmutz::N,baw,пылчӑк
99,Schmutz::N,budreddi,пылчӑк
100,See::N,llyn,кӳлӗ
101,Sumpf::N,cors,шур
102,Sumpf::N,cors,шурлӑх
103,Moor::N,rhos,торфлӑ шурлӑх
104,Wiese::N,dôl,улӑх
105,Wiese::N,dôl,ҫаран
106,Wald::N,coedwig,вӑрман
107,Hügel::N,bryn,сӑрт
108,Hügel::N,bryn,тӗмеске
109,Anhöhe::N,bryn,сӑрт
110,Berg::N,mynydd,ту
111,Gipfel::N,copa,тӳпе
112,Höhle::N,ogof,ҫӗр хӑвӑлӗ
113,Abhang::N,llethr,тӑвайкки
114,Quelle::N,tarddiad,ҫӑл куҫ
115,Quelle::N,ffynhonnell,ҫӑл куҫ
116,Bach::N,nant,пӗчӗк шыв
117,Bach::N,afonig,пӗчӗк шыв
118,Bach::N,cornant,пӗчӗк шыв
119,Fluss::N,afon,юхан шыв
120,Ufer::N,glan,ҫыран
121,Küste::N,traeth,тинӗс ҫыранӗ
122,Küste::N,arfordir,тинӗс ҫыранӗ
123,Festland::N,tir,тип ҫӗр
124,Meer::N,môr,тинӗс
125,Bucht::N,bae,тинӗс кукӑрӗ
126,Insel::N,ynys,утрав
127,Blume::N,blodyn,чечек
128,Gras::N,glaswellt,курӑк
129,Wurzel::N,gwreiddyn,тымар
130,Baum::N,coeden,йывӑҫ
131,Stamm::N,colfen,вулӑ
132,Stamm::N,boncyff,вулӑ
133,Rinde::N,rhisgl,хуйӑр
134,Ast::N,cangen,турат
135,Zweig::N,cainc,турат
136,Zweig::N,cangen,турат
137,Blatt::N,deilen,ҫулҫӑ
138,Birke::N,bedwen,хурӑн
139,Kiefer[Baum]::N,pinwydden,хыр
140,Weide[Baum]::N,helygen,хӑва
141,Tanne::N,ffynidwydden,чӑрӑш
142,Horn::N,corn,мӑйрака
143,Feder::N,plufyn,тӗк
144,Fell::N,ffwr,ҫӑм
145,Flügel::N,adain,ҫунат
146,Klaue::N,crafanc,чӗрне
147,Kralle::N,ewin,ура
148,Schwanz::N,cwt,хӳре
149,Schwanz::N,cynffon,хӳре
150,Ei::N,wy,ҫӑмарта
151,Nest::N,nyth,йӑва
152,Bau::N,ffau,йӗнӗ
153,Tier::N,anifail,выльӑх
154,Herde::N,praidd,кӗтӳ
155,Herde::N,diadell,кӗтӳ
156,Kuh::N,buwch,ӗне
157,Bulle::N,tarw,вӑкӑр
158,Pferd::N,ceffyl,лаша
159,Schaf::N,dafad,сурӑх
160,Schwein::N,mochyn,сысна
161,Hund::N,ci,йытӑ
162,Katze::N,cath,кушак
163,Bär::N,arth,упа
164,Eichhörnchen::N,gwiwer,пакша
165,Elch::N,elc,пӑши
166,Fuchs::N,cadno,тилӗ
167,Hase::N,ysgyfarnog,куян
168,Hase::N,ysgyfarnog,мулкач
169,Maus::N,llygoden,шӑши
170,Wolf::N,blaidd,кашкӑр
171,Vogel::N,aderyn,кайӑк
172,Vogel::N,aderyn,вӗҫен кайӑк
173,Schwarm::N,haid,ушкӑн
174,Huhn::N,cyw,чӑх
175,Huhn::N,cyw,чӑхӑ
176,Hahn::N,ceiliog,автан
177,Gans::N,gŵydd,хур
178,Adler::N,eryr,ӑмӑрт кайӑк
179,Ente::N,hwyad,кӑвакал
180,Eule::N,tylluan,тӑмана
181,Kranich::N,garan,тӑрна
182,Kranich::N,crychydd,тӑрна
183,Krähe::N,brân,ула курак
184,Kuckuck::N,cog,куккук
185,Kuckuck::N,cwcw,куккук
186,Schwan::N,alarch,акӑш
187,Fisch::N,pysgod,пулӑ
188,Barsch::N,draenog,уланкӑ
189,Hecht::N,penhwyad,ҫӑрттан
190,Schlange[Tier]::N,neidr,ҫӗлен
191,Wurm::N,abwydyn,ӑман
192,Wurm::N,pryf genwair,ӑман
193,Spinne::N,cor,эрешмен
194,Spinne::N,pryf copyn,эрешмен
195,Ameise::N,morgrugyn,кӑткӑ
196,Laus::N,lleuen,пыйтӑ
197,Mücke::N,gwybedyn,вӑрӑм туна
198,Fliege::N,cleren,шӑна
199,Schmetterling::N,glöyn byw,лӗпӗш
200,Schmetterling::N,iâr fach yr haf,лӗпӗш
201,Beere::N,aeronen,ҫырла
202,Apfel::N,afal,улма
203,Apfel::N,afal,пан улми
204,Pilz::N,madarch,кӑмпа
205,Zwiebel::N,nionyn,сухан
206,Zwiebel::N,winwnsyn,сухан
207,Saat::N,had,вӑрӑ
208,Korn::N,grawn,тӗшӗ
209,Korn::N,grawn,пӗрчӗ
210,Heu::N,gwair,утӑ
211,Schale::N,croen,хупӑ
212,Schale::N,plisgyn,хупӑ
213,Grube::N,pwll,шӑтӑк
214,Grube::N,pydew,шӑтӑк
215,Falle::N,magl,тапӑ
216,Falle::N,magl,капкӑн
217,Schlinge::N,cwlwm rhedeg,йӑлӑ
218,Spur::N,ôl,йӗр
219,Asche::N,lludw,кӗл
220,Dreck::N,baw,пылчӑк
221,Dreck::N,budreddi,пылчӑк
222,Eisen::N,haearn,тимӗр
223,Gold::N,aur,ылтӑн
224,Silber::N,arian,кӗмӗл
225,Kohle::N,glo,кӑмрӑк
226,Glas::N,gwydr,кӗленче
227,Lehm::N,clai,тӑм
228,Sand::N,tywod,хӑйӑр
229,Mensch::N,dyn,ҫын
230,Mensch::N,dyn,этем
231,Mann::N,dyn,ар
232,Frau::N,merch,хӗрарӑм
233,Frau::N,gwraig,хӗрарӑм
234,Kind::N,plentyn,ача
235,Junge::N,hogyn,ача
236,Junge::N,hogyn,ар ҫын ача
237,Junge::N,bachgen,ача
238,Junge::N,bachgen,ар ҫын ача
239,Mädchen::N,merch,хӗр ача
240,Mädchen::N,geneth,хӗр ача
241,Familie::N,teulu,ҫемье
242,Familie::N,teulu,кил-йыш
243,Familie::N,tylwyth,ҫемье
244,Familie::N,tylwyth,кил-йыш
245,Großvater::N,taid,кукаҫи
246,Großvater::N,tad-cu,кукаҫи
247,Großmutter::N,nain,кукамай
248,Großmutter::N,mam-gu,кукамай
249,Eltern::N,rhieni,аҫа-ама
250,Vater::N,tad,атте
251,Mutter::N,mam,анне
252,Sohn::N,mab,ывӑл
253,Tochter::N,merch,хӗр
254,Bruder::N,brawd,ар тӑван
255,Schwester::N,chwaer,аппа
256,Schwester::N,chwaer,йӑмӑк
257,Onkel::N,ewythr,мучи
258,Onkel::N,ewythr,пичче
259,Tante::N,modryb,аппа
260,Ehemann::N,gŵr,упӑшка
261,Ehefrau::N,gwraig,арӑм
262,Freude::N,gorfoledd,савӑнӑҫ
263,Freude::N,gorfoledd,хаваслӑх
264,Gelächter::N,chwerthin,кулӑ
265,Glück::N,hapusrwydd,телей
266,Glück::N,hapusrwydd,ӑраскал
267,Kummer::N,galar,хурлӑх
268,Wunsch::N,dymuniad,ӗмӗт
269,Wunsch::N,dymuniad,кӑмӑл
270,Lust::N,chwant,кӑмӑл
271,Geist::N,ysbryd,чун-чӗм
272,Geist::N,ysbryd,ыр-усал
273,Geist::N,ysbryd,чун хавалӗ
274,Gedanke::N,meddwl,шухӑш
275,Gedächtnis::N,cof,ас
276,Verstand::N,meddwl,ӑс
277,Verstand::N,meddwl,ӑс-тӑн
278,Verstand::N,meddwl,ӑс-хакӑл
279,Sinn::N,ystyr,тупсӑм
280,Sinn::N,ystyr,пӗлтерӗш
281,Grund::N,achos,сӑлтав
282,Grund::N,rheswm,сӑлтав
283,Wahrheit::N,gwir,чӑнлӑх
284,Wahrheit::N,gwirionedd,чӑнлӑх
285,Gespräch::N,sgwrs,калаҫу
286,Märchen::N,chwedl werin,юмах
287,Erzählung::N,stori,акалав
288,Erzählung::N,stori,каласа пани
289,Nachricht::N,neges,хыпар
290,Neuigkeit::N,newydd,ҫӗнӗ хыпар
291,Name::N,enw,ят
292,Rätsel::N,pos,сутмалли юмах
293,Rede::N,araith,сӑмах
294,Sprache::N,iaith,чӗлхе
295,Stimme::N,llais,сасӑ
296,Wort::N,gair,сӑмах
297,Zeichen::N,arwydd,паллӑ
298,Ruf::N,galwad,йыхрав
299,Ruf::N,galwad,чӗнӳ
300,Lärm::N,trwst,шав
301,Laut::N,sain,сасӑ
302,Ton::N,tôn,сасӑ
303,Lied::N,cân,юрӑ
304,Ruhe::N,tawelwch,канӑҫлӑх
305,Ruhe::N,tawelwch,лӑпкӑлӑх
306,Leute::N,pobl,ҫамрӑксем
307,Leute::N,pobl,ҫамрӑк ҫынсем
308,Volk::N,pobl,халӑх
309,Arbeit::N,gwaith,ӗҫхӗл
310,Arbeit::N,gwaith,ӗҫлев
311,Gast::N,gwestai,хӑна
312,Geschenk::N,rhodd,парне
313,Geschenk::N,rhodd,кучченеҫ
314,Geschenk::N,anrheg,парне
315,Geschenk::N,anrheg,кучченеҫ
316,Spiel::N,chwarae,вӑйӑ
317,Gesellschaft::N,cwmni,общество
318,Hilfe::N,cymorth,пулӑшу
319,Freund::N,cyfaill,тус
320,Kamerad::N,cydymaith,юлташ
321,Kamerad::N,cydymaith,тус
322,Angelegenheit::N,pwnc,ӗҫ
323,Anzahl::N,cyfrif,йыш
324,Anzahl::N,cyfrif,хисеп
325,Art::N,bath,тӗс
326,Stück::N,darn,татӑк
327,Teil::N,rhan,пай
328,Hälfte::N,hanner,ҫурӑ
329,Kreis::N,cylch,ункӑ
330,Kreis::N,cylch,ҫавракӑш
331,Kreuz::N,croes,хӗрес
332,Linie::N,llinell,йӗр
333,Strich::N,strôc,йӗр
334,Strich::N,trawiad,йӗр
335,Abstand::N,bwlch,хушӑ
336,Abstand::N,pellter,хушӑ
337,Entfernung::N,pellter,хушӑ
338,Gegend::N,cylch,вырӑн
339,Platz::N,lle,хутлӑх
340,Ort::N,lle,вырӑн
341,Seite::N,ochr,ен
342,Seite::N,ochr,аяк
343,Seite::N,ochr,айӑк
344,Mitte::N,canol,варӑ
345,Gegenstand::N,eitem,япала
346,Sache::N,peth,япала
347,Rand::N,cwr,вӗҫ
348,Rand::N,cwr,хӗрӗ
349,Rand::N,cwr,хӗрри
350,Rand::N,ymyl,вӗҫ
351,Rand::N,ymyl,хӗрӗ
352,Rand::N,ymyl,хӗрри
353,Kante::N,min,хайкача
354,Kante::N,min,хысак
355,Kante::N,ymyl,хайкача
356,Kante::N,ymyl,хысак
357,Ecke::N,cornel,кӗтес
358,Spitze::N,blaen,вӗҫ
359,Ende::N,pen,вӗҫ
360,Loch::N,twll,шӑтӑк
361,Winkel::N,congl,кӗтес
362,Muster::N,patrwm,эреш
363,Größe::N,maint,пысӑкӑш
364,Größe::N,maintioli,пысӑкӑш
365,Länge::N,hyd,вӑрӑмӑш
366,Höhe::N,uchder,ҫӳллӗш
367,Gewicht::N,pwysau,виҫе
368,Gewicht::N,pwysau,йывӑрӑш
369,Menge::N,swm,йыш
370,Menge::N,maint,йыш
371,Haufen::N,pentwr,купа
372,Reihe::N,rhes,рет
373,Boot::N,cwch,кимӗ
374,Ruder::N,rhwyf,кӗсмен
375,Schlitten::N,sled,ҫуна
376,Schlitten::N,car llusg,ҫуна
377,Ski::N,sgi,йӗлтӗр
378,Lagerfeuer::N,coelcerth,вут
379,Lagerfeuer::N,coelcerth,кӑвайт
380,Last::N,llwyth,сулмаклӑх
381,Last::N,llwyth,йывӑр япала
382,Gang::N,tro,куҫӑм
383,Schritt::N,cam,утӑм
384,Schritt::N,cam,пусӑм
385,Norden::N,gogledd,ҫурҫӗр
386,Süden::N,de,кӑнтӑр
387,Westen::N,gorllewin,анӑҫ
388,Westen::N,gorllewin,хӗвел анӑҫ
389,Osten::N,dwyrain,хӗвел тухӑҫ
390,Holz::N,pren,йывӑҫ
391,Brett::N,bwrdd,хӑма
392,Brett::N,astell,хӑма
393,Platte::N,llech,плита
394,Stütze::N,ateg,ура
395,Stütze::N,cynhalydd,ура
396,Stange::N,polyn,шерте
397,Stock::N,ffon,патак
398,Stock::N,brigyn,патак
399,Stab::N,ffon,шӑчӑ
400,Rohr::N,pibell,пӑрӑх
401,Haus::N,tŷ,ҫурт
402,Heim::N,cartref,кил
403,Ofen::N,stof,кӑмака
404,Fußboden::N,llawr,урай
405,Tisch::N,bwrdd,сӗтел
406,Stuhl::N,cadair,пукан
407,Wiege::N,crud,сӑпка
408,Bett::N,gwely,кравать
409,Regal::N,silff,ҫӳлӗк
410,Regal::N,silff,сентре
411,Kiste::N,bocs,ещӗк
412,Kiste::N,bocs,сунтӑх
413,Kiste::N,blwch,ещӗк
414,Kiste::N,blwch,сунтӑх
415,Fenster::N,ffenestr,чӳрече
416,Tür::N,drws,алӑк
417,Tor::N,porth,хапха
418,Zaun::N,ffens,хӳме
419,Dach::N,to,тӑрӑ
420,Leiter::N,ysgol,пусма
421,Besen::N,ysgub,шӑпӑр
422,Spaten::N,rhaw,кӗреҫе
423,Schaufel::N,rhaw,кӗреҫе
424,Gabel::N,fforc,вилка
425,Löffel::N,llwy,кашӑк
426,Messer::N,cyllell,ҫӗҫӗ
427,Nagel::N,hoel,пӑта
428,Netz::N,gwe,тетел
429,Netz::N,rhwyd,тетел
430,Haken::N,bach,йӑрхах
431,Haken::N,bach,ҫекӗл
432,Griff::N,carn,хӑлӑп
433,Schloss::N,clo,ҫӑра
434,Bild::N,llun,сӑн
435,Bild::N,llun,сӑнлӑх
436,Bild::N,llun,картина
437,Bild::N,pictiwr,сӑн
438,Bild::N,pictiwr,сӑнлӑх
439,Bild::N,pictiwr,картина
440,Figur::N,ffigur,кӗлетке
441,Puppe::N,dol,пукане
442,Beutel::N,cwd,михӗ
443,Bündel::N,bwndel,ҫыхӑ
444,Bündel::N,bwndel,тӗрке
445,Bündel::N,coflaid,ҫыхӑ
446,Bündel::N,coflaid,тӗрке
447,Tasche::N,cod,сумка
448,Eimer::N,bwced,витре
449,Eimer::N,cunnog,витре
450,Deckel::N,caead,хупӑ
