,Concept_ID,zh,cy
0,Auge::N,眼睛,llygad
1,Ohr::N,耳朵,clust
2,Nase::N,鼻子,trwyn
3,Mund::N,嘴,ceg
4,Zahn::N,牙齿,dant
5,Zunge::N,舌头,tafod
6,Lippe::N,嘴唇,gwefus
7,Wange::N,面颊,boch
8,Gesicht::N,脸,wyneb
9,Stirn::N,额,talcen
10,Haar::N,头发,blew
11,Schnurrbart::N,髭须,mwstas
12,Bart::N,胡子,barf
13,Kinn::N,下巴,gên
14,Kiefer[Anatomie]::N,颌,gên
15,Kehle::N,嗓子,gwddf
16,Hals::N,颈,gwddf
17,Genick::N,后颈,gwar
18,Genick::N,后颈,gwegil
19,Kopf::N,头,pen
20,Rücken::N,背,cefn
21,Bauch::N,肚子,bol
22,Nabel::N,肚脐,bogail
23,Busen::N,胸脯,bron
24,Brust::N,胸,brest
25,Schulter::N,肩膀,ysgwydd
26,Arm::N,臂膀,braich
27,Ellenbogen::N,肘,penelin
28,Hand::N,手,llaw
29,Handfläche::N,手掌,palf
30,Finger::N,手指,bys
31,Fingernagel::N,指甲,ewin
32,Nagel[Anatomie]::N,指甲,ewin
33,Zeh::N,脚趾,bys troed
34,Fuß::N,脚,troed
35,Ferse::N,后跟,sawdl
36,Knie::N,膝,glin
37,Oberschenkel::N,大腿,clun
38,Bein::N,腿,coes
39,Körper::N,身体,corff
40,Haut::N,皮肤,croen
41,Blut::N,血,gwaed
42,Ader::N,血管,gwythïen
43,Sehne::N,腱,gewyn
44,Knochen::N,骨,asgwrn
45,Gehirn::N,脑,ymennydd
46,Herz::N,心,calon
47,Magen::N,胃,cylla
48,Magen::N,胃,stumog
49,Leber::N,肝,iau
50,Atem::N,呼吸,anadl
51,Hunger::N,饿,newyn
52,Träne::N,眼泪,deigryn
53,Geschmack::N,味道,cyflas
54,Geruch::N,气味,aroglau
55,Schlaf::N,睡眠,cwsg
56,Traum::N,梦,breuddwyd
57,Himmel::N,天空,awyr
58,Sonne::N,太阳,haul
59,Mond::N,月亮,lleuad
60,Stern::N,星,seren
61,Luft::N,空气,awyr
62,Wind::N,风,gwynt
63,Welle::N,波,ton
64,Wasser::N,水,dŵr
65,Stein::N,石头,carreg
66,Boden::N,地面,llawr
67,Erde::N,地,pridd
68,Staub::N,灰尘,llwch
69,Rauch::N,烟,mwg
70,Funke::N,火花,gwreichioni
71,Feuer::N,火,tân
72,Licht::N,光,golau
73,Schatten::N,影子,cysgod
74,Wetter::N,天气,tywydd
75,Nebel::N,雾,niwl
76,Wolke::N,云,cwmwl
77,Regen::N,雨,glaw
78,Schnee::N,雪,ôd
79,Schnee::N,雪,eira
80,Eis::N,冰,iâ
81,Frost::N,霜冻,rhew
82,Kälte::N,寒冷,oerni
83,Kälte::N,寒冷,annwyd
84,Hitze::N,炎热,gwres
85,Raureif::N,霜,barrug
86,Regenbogen::N,虹,enfys
87,Donner::N,雷,tyrfau
88,Strömung::N,水流,cerrynt
