,Concept_ID,ko,ko
0,Auge::N,눈,눈
1,Ohr::N,귀,귀
2,Nase::N,코,코
3,Mund::N,입,입
4,Zahn::N,이,이
5,Zunge::N,혀,혀
6,Lippe::N,입술,입술
7,Wange::N,뺨,뺨
8,Gesicht::N,얼굴,얼굴
9,Stirn::N,이마,이마
10,Haar::N,털,털
11,Schnurrbart::N,윗수몀,윗수몀
12,Schnurrbart::N,윗수몀,코밑수염
13,Schnurrbart::N,코밑수염,윗수몀
14,Schnurrbart::N,코밑수염,코밑수염
15,Bart::N,수엄,수엄
16,Kinn::N,아래턱,아래턱
17,Kiefer[Anatomie]::N,턱,턱
18,Kehle::N,인후,인후
19,Hals::N,목,목
20,Genick::N,먹덜이,먹덜이
21,Kopf::N,머리,머리
22,Rücken::N,든,든
23,Bauch::N,배,배
24,Nabel::N,배꼽,배꼽
25,Busen::N,가슴속,가슴속
26,Brust::N,가슴,가슴
27,Schulter::N,어깨,어깨
28,Arm::N,팔,팔
29,Ellenbogen::N,팔쿰치,팔쿰치
30,Hand::N,손,손
31,Handfläche::N,손바닥,손바닥
32,Finger::N,속가락,속가락
33,Fingernagel::N,손톱,손톱
34,Nagel[Anatomie]::N,손톱,손톱
35,Zeh::N,발가락,발가락
36,Fuß::N,발,발
37,Ferse::N,발꿈치,발꿈치
38,Knie::N,무릎,무릎
39,Oberschenkel::N,허벅다리,허벅다리
40,Bein::N,다리,다리
41,Körper::N,구간,구간
42,Haut::N,살갗,살갗
43,Blut::N,피,피
44,Ader::N,정맥,정맥
45,Sehne::N,현,현
46,Knochen::N,뼈,뼈
47,Gehirn::N,뇌,뇌
48,Gehirn::N,뇌,뇌수
49,Gehirn::N,뇌수,뇌
50,Gehirn::N,뇌수,뇌수
51,Herz::N,염통,염통
52,Magen::N,위,위
53,Leber::N,간,간
54,Atem::N,기식,기식
55,Hunger::N,공복,공복
56,Träne::N,눈물,눈물
57,Geschmack::N,기호,기호
58,Geruch::N,냄새,냄새
59,Schlaf::N,수면,수면
60,Traum::N,쿰,쿰
61,Himmel::N,하늘,하늘
62,Sonne::N,해,해
63,Mond::N,달,달
64,Stern::N,별,별
65,Luft::N,동준,동준
66,Luft::N,동준,가스채
67,Luft::N,가스채,동준
68,Luft::N,가스채,가스채
69,Wind::N,바람,바람
70,Welle::N,물결,물결
71,Wasser::N,물,물
72,Stein::N,돌,돌
73,Boden::N,바닥,바닥
74,Erde::N,흙,흙
75,Staub::N,먼지,먼지
76,Rauch::N,연기,연기
77,Funke::N,불티,불티
78,Feuer::N,불,불
79,Licht::N,불,불
80,Schatten::N,어스레함,어스레함
81,Wetter::N,기상,기상
82,Nebel::N,안개,안개
83,Wolke::N,구름,구름
84,Regen::N,비,비
85,Schnee::N,눈,눈
86,Eis::N,얼음,얼음
87,Frost::N,혹한,혹한
88,Kälte::N,추위,추위
89,Kälte::N,추위,차가움
90,Kälte::N,차가움,추위
91,Kälte::N,차가움,차가움
92,Hitze::N,고온,고온
93,Hitze::N,고온,더위
94,Hitze::N,더위,고온
95,Hitze::N,더위,더위
96,Regenbogen::N,무지개,무지개
97,Donner::N,뇌명,뇌명
98,Strömung::N,유동,유동
99,Tropfen::N,물방울,물방울
100,Schaum::N,포말,포말
101,Schmutz::N,때,때
102,See::N,호수,호수
103,Sumpf::N,습지,습지
104,Moor::N,저습지,저습지
105,Wiese::N,목초지,목초지
106,Wald::N,숲,숲
107,Hügel::N,언덕,언덕
108,Anhöhe::N,언덕,언덕
109,Berg::N,산,산
110,Gipfel::N,졀졍,졀졍
111,Höhle::N,공동,공동
112,Abhang::N,몰매,몰매
113,Quelle::N,근원,근원
114,Bach::N,내,내
115,Fluss::N,강,강
116,Ufer::N,강변,강변
117,Ufer::N,강변,바닷가
118,Ufer::N,바닷가,강변
119,Ufer::N,바닷가,바닷가
120,Küste::N,해변,해변
121,Küste::N,해변,해변가
122,Küste::N,해변가,해변
123,Küste::N,해변가,해변가
124,Festland::N,본토,본토
125,Meer::N,바다,바다
126,Bucht::N,협만,협만
127,Insel::N,섬,섬
128,Blume::N,꽃,꽃
