,Concept_ID,udm,no
0,Auge::N,син,øye
1,Ohr::N,пель,øre
2,Nase::N,ныр,nese
3,Mund::N,ым,munn
4,Zahn::N,пинь,tann
5,Zunge::N,кыл,tunge
6,Lippe::N,ымдур,leppe
7,Wange::N,бам,kinn
8,Gesicht::N,ымныр,fjes
9,Gesicht::N,ымныр,ansikt
10,Stirn::N,кымес,panne
11,Haar::N,йырси,hår
12,Schnurrbart::N,мыйык,bart
13,Bart::N,туш,skjegg
14,Kinn::N,ангес,hake
15,Kiefer[Anatomie]::N,ан,kjeve
16,Kiefer[Anatomie]::N,анлы,kjeve
17,Kehle::N,гульым,strupe
18,Hals::N,чырты,hals
19,Genick::N,йырбер,nakke
20,Kopf::N,йыр,hode
21,Rücken::N,мыш,rygg
22,Bauch::N,кӧт,buk
23,Bauch::N,кӧт,mage
24,Nabel::N,гогы,navle
25,Busen::N,ноны,barm
26,Brust::N,мӧля,bryst
27,Schulter::N,пельпум,skulder
28,Arm::N,суй,arm
29,Ellenbogen::N,гырпум,albue
30,Hand::N,ки,hånd
31,Handfläche::N,ки пыдэс,håndflate
32,Handfläche::N,кырым пыдэс,håndflate
33,Finger::N,чиньы,finger
34,Fingernagel::N,гижы,fingernegl
35,Fingernagel::N,гиждӥнь,fingernegl
36,Nagel[Anatomie]::N,гижы,negl
37,Zeh::N,пыдчиньы,tå
38,Fuß::N,пыд,fot
39,Ferse::N,пыдбер,hæl
40,Knie::N,пыдес,kne
41,Oberschenkel::N,макес,lår
42,Bein::N,пыд,bein
43,Körper::N,мугор,kropp
44,Körper::N,мугор,legeme
45,Körper::N,вылтыр,kropp
46,Körper::N,вылтыр,legeme
47,Haut::N,ку,hud
48,Haut::N,ку,skinn
49,Blut::N,вир,blod
50,Ader::N,вирсэр,åre
51,Sehne::N,вуж,sene
52,Knochen::N,лы,bein
53,Knochen::N,лы,knokkel
54,Gehirn::N,вим,hjerne
55,Herz::N,сюлэм,hjerte
56,Magen::N,ӝуш,mage
57,Leber::N,мус,lever
58,Atem::N,лул,pust
59,Atem::N,шокан,pust
60,Hunger::N,кӧтсюман,sult
61,Träne::N,синкыли,tåre
62,Geschmack::N,шӧм,smak
63,Geruch::N,зын,lukt
64,Schlaf::N,вӧт,søvn
65,Traum::N,уйвӧт,drøm
66,Himmel::N,ин,himmel
67,Sonne::N,шунды,sol
68,Mond::N,толэзь,måne
69,Stern::N,кизили,stjerne
70,Luft::N,омыр,luft
71,Wind::N,тӧл,vind
72,Welle::N,тулкым,bølge
73,Wasser::N,ву,vann
74,Stein::N,из,stein
75,Boden::N,музъем,bakke
76,Erde::N,му,jord
77,Staub::N,пыль,støv
78,Rauch::N,ӵын,røyk
79,Funke::N,гизьы,gnist
80,Feuer::N,тыл,ild
81,Licht::N,тыл,lys
82,Schatten::N,вужер,skygge
83,Wetter::N,куазь,vær
84,Nebel::N,бус,tåke
85,Wolke::N,пилем,sky
86,Regen::N,зор,regn
87,Schnee::N,лымы,snø
88,Eis::N,йӧ,is
89,Frost::N,кезьыт,frost
90,Kälte::N,кезьыт,kulde
91,Hitze::N,пӧсь,hete
92,Raureif::N,гӧр,rimfrost
93,Regenbogen::N,вуюись,regnbue
94,Donner::N,гудыри,torden
95,Strömung::N,бызён,strømning
96,Tropfen::N,шапык,dråpe
97,Schaum::N,шукы,skum
98,Schmutz::N,нӧд,søl
99,Schmutz::N,нӧд,skitt
100,Schmutz::N,дэри,søl
101,Schmutz::N,дэри,skitt
102,See::N,ты,sjø
103,Sumpf::N,нюр,sump
104,Sumpf::N,нюр,myrlende
105,Moor::N,нюр,myr
106,Moor::N,нюр,myrhei
107,Wiese::N,возь,eng
108,Wiese::N,возьвыл,eng
109,Wald::N,сик,skog
110,Wald::N,нюлэс,skog
111,Hügel::N,выр,haug
112,Hügel::N,выр,bakke
113,Hügel::N,вырйыл,haug
114,Hügel::N,вырйыл,bakke
115,Anhöhe::N,выр,haug
116,Anhöhe::N,выр,bakke
117,Anhöhe::N,вырйыл,haug
118,Anhöhe::N,вырйыл,bakke
119,Berg::N,гурезь,berg
120,Berg::N,гурезь,fjell
121,Gipfel::N,йыл,topp
122,Höhle::N,гу,hule
123,Abhang::N,бам,li
124,Abhang::N,бам,skråning
125,Quelle::N,ошмес,kilde
126,Bach::N,пичи шур,bekk
127,Fluss::N,шур,elv
128,Ufer::N,ярдур,bredd
129,Küste::N,вудур,kyst
130,Festland::N,мувыр,fastland
131,Meer::N,зарезь,hav
132,Bucht::N,вукож,bukt
133,Insel::N,вумуӵ,øy
134,Insel::N,шормуӵ,øy
135,Blume::N,сяська,blomst
136,Gras::N,турын,gress
137,Wurzel::N,выжы,rot
138,Baum::N,пу,tre
139,Stamm::N,модос,stamme
140,Rinde::N,сул,bark
141,Ast::N,ул,gren
142,Zweig::N,вай,kvist
143,Blatt::N,куар,blad
144,Birke::N,кызьпу,bjørk
145,Kiefer[Baum]::N,пужым,furu
146,Weide[Baum]::N,бадьпу,selje
147,Weide[Baum]::N,бадьпу,piletre
148,Tanne::N,кыз,gran
149,Horn::N,сюр,horn
150,Feder::N,тылы,fjær
151,Fell::N,ку,skinn
152,Flügel::N,бурд,vinge
153,Klaue::N,гижы,klauv
154,Kralle::N,пыд,klo
155,Schwanz::N,быж,hale
156,Ei::N,пуз,egg
157,Ei::N,кукей,egg
158,Nest::N,кар,rede
159,Nest::N,пузкар,rede
160,Bau::N,кар,hi
161,Bau::N,гу,hi
162,Tier::N,пӧйшур,dyr
163,Herde::N,уллё,flokk
164,Kuh::N,скал,ku
165,Bulle::N,ош,tyr
166,Bulle::N,пороз,tyr
167,Pferd::N,вал,hest
168,Schaf::N,ыж,får
169,Schwein::N,парсь,gris
170,Hund::N,пуны,hund
171,Katze::N,коӵыш,katt
172,Bär::N,гондыр,bjørn
173,Eichhörnchen::N,коньы,ekorn
174,Elch::N,койык,elg
175,Fuchs::N,ӟичы,rev
176,Hase::N,кеч,hare
177,Maus::N,шыр,mus
178,Wolf::N,кион,ulv
179,Wolf::N,кион,varg
180,Vogel::N,тылобурдо,fugl
181,Schwarm::N,уллё,sverm
182,Huhn::N,курег,høne
183,Hahn::N,атас,hane
184,Gans::N,ӟазег,gås
185,Adler::N,ӧрзи,ørn
186,Ente::N,ӵӧж,and
187,Eule::N,кучыран,ugle
188,Kranich::N,тури,trane
189,Krähe::N,куака,kråke
190,Kuckuck::N,кикы,gjøk
191,Schwan::N,юсь,svane
192,Fisch::N,чорыг,fisk
193,Barsch::N,юш,abbor
194,Hecht::N,чипей,gjedde
195,Schlange[Tier]::N,кый,orm
196,Schlange[Tier]::N,кый,slange
197,Wurm::N,нумыр,orm
198,Wurm::N,нумыр,mark
199,Spinne::N,чонари,edderkopp
200,Ameise::N,кузьыли,maur
201,Laus::N,тэй,lus
202,Mücke::N,нымы,mygg
203,Mücke::N,чибинь,mygg
204,Fliege::N,кут,flue
205,Schmetterling::N,бубыли,sommerfugl
206,Beere::N,узы-боры,bær
207,Apfel::N,яблок,eple
208,Pilz::N,губи,sopp
209,Zwiebel::N,сугон,løk
210,Saat::N,кидыс,sæd
211,Korn::N,тысь,korn
212,Heu::N,турын,høy
213,Schale::N,кыд,skall
214,Grube::N,гу,grop
215,Grube::N,гоп,grop
216,Falle::N,налик,felle
217,Schlinge::N,гиӟ,snare
218,Schlinge::N,герд,snare
219,Spur::N,пытьы,spor
220,Spur::N,бервыл,spor
221,Asche::N,пень,aske
222,Dreck::N,дэри,møkk
223,Dreck::N,дэри,skitt
224,Eisen::N,корт,jern
225,Gold::N,зарни,gull
226,Silber::N,азвесь,sølv
227,Kohle::N,эгыр,kol
228,Kohle::N,эгыр,kull
229,Glas::N,стекло,glass
230,Glas::N,пияла,glass
231,Lehm::N,сюй,leire
232,Sand::N,луо,sand
233,Mensch::N,мурт,menneske
234,Mensch::N,адями,menneske
235,Mann::N,воргорон,mann
236,Frau::N,кышномурт,kvinne
237,Kind::N,нуны,barn
238,Kind::N,пинал,barn
239,Junge::N,пи,gutt
240,Mädchen::N,ныл,pike
241,Mädchen::N,ныл,jente
242,Familie::N,семья,familie
243,Großvater::N,песятай,bestefar
244,Großvater::N,пересь атай,bestefar
245,Großmutter::N,песянай,bestemor
246,Großmutter::N,пересь анай,bestemor
247,Eltern::N,атай-анай,foreldre
248,Eltern::N,бубы-мумы,foreldre
249,Vater::N,айы,far
250,Vater::N,атай,far
251,Mutter::N,мумы,mor
252,Sohn::N,пи,sønn
253,Tochter::N,ныл,datter
254,Bruder::N,агай,bror
255,Schwester::N,апа,søster
256,Schwester::N,сузэр,søster
257,Onkel::N,агай,onkel
258,Tante::N,апа,tante
259,Tante::N,кенак,tante
260,Ehemann::N,карт,ektemann
261,Ehefrau::N,кышно,hustru
262,Freude::N,шумпотон,glede
263,Gelächter::N,горем,latter
264,Glück::N,шуд,lykke
265,Kummer::N,кайгу,sorg
266,Kummer::N,куректон,sorg
267,Wunsch::N,мылпотон,ønske
268,Lust::N,потон,lyst
269,Geist::N,лул,ånd
270,Gedanke::N,малпан,tanke
271,Gedächtnis::N,йырсазь,minne
272,Gedächtnis::N,йырсазь,hukommelse
273,Gedächtnis::N,тодэваён,minne
274,Gedächtnis::N,тодэваён,hukommelse
275,Verstand::N,йырвизь,forstand
276,Sinn::N,смысл,mening
277,Sinn::N,смысл,betydning
278,Grund::N,муг,grunn
279,Grund::N,ньӧм,grunn
280,Wahrheit::N,зэм,sannhet
281,Wahrheit::N,шонер,sannhet
282,Gespräch::N,вераськон,samtale
283,Märchen::N,выжыкыл,eventyr
284,Erzählung::N,верос,fortelling
285,Nachricht::N,ивор,melding
286,Neuigkeit::N,выльивор,nyhet
287,Name::N,ним,navn
288,Rätsel::N,мадькыл,gåte
289,Rede::N,верам,tale
290,Sprache::N,кыл,språk
291,Stimme::N,куара,stemme
292,Wort::N,кыл,ord
293,Zeichen::N,пус,tegn
294,Zeichen::N,тодмет,tegn
295,Ruf::N,ӧтён,rop
296,Ruf::N,чортон,rop
297,Lärm::N,ӵашетон,bråk
298,Laut::N,куара,lyd
299,Ton::N,куара,tone
300,Lied::N,кырӟан,vise
301,Ruhe::N,чалмыт улон,ro
302,Leute::N,адямиос,folk
303,Volk::N,калык,folk
304,Arbeit::N,уж,arbeid
305,Gast::N,куно,gjest
306,Geschenk::N,салам,gave
307,Geschenk::N,кузьым,gave
308,Spiel::N,шудон,lek
309,Spiel::N,шудон,spill
310,Gesellschaft::N,калык,selskap
311,Hilfe::N,юрттон,hjelp
312,Freund::N,эш,venn
313,Freund::N,юлтош,venn
314,Kamerad::N,тодмо,kamerat
315,Angelegenheit::N,уж,sak
316,Angelegenheit::N,уж,anliggende
317,Anzahl::N,лыд,antall
318,Art::N,тус,art
319,Art::N,тус,slag
320,Stück::N,юдэс,stykke
321,Teil::N,люкет,del
322,Hälfte::N,ӝыны,halvdel
323,Kreis::N,котырес,ring
324,Kreis::N,котырес,sirkel
325,Kreuz::N,крест,kors
326,Kreuz::N,крест,kryss
327,Linie::N,гож,linje
328,Strich::N,гож,strek
329,Abstand::N,вис,avstand
330,Abstand::N,кусып,avstand
331,Entfernung::N,кусып,avstand
332,Gegend::N,инты,strøk
333,Platz::N,инты,plass
334,Ort::N,инты,sted
335,Ort::N,места,sted
336,Seite::N,пал,side
337,Mitte::N,шор,midte
338,Gegenstand::N,арбери,gjenstand
339,Sache::N,котыр,sak
340,Rand::N,дур,rand
341,Rand::N,шаер,rand
342,Kante::N,дур,kant
343,Ecke::N,сэрег,hjørne
344,Spitze::N,йыл,spiss
345,Ende::N,пум,ende
346,Loch::N,пась,hull
347,Winkel::N,сэрег,vinkel
348,Muster::N,пужы,mønster
349,Größe::N,быдӟала,størrelse
350,Länge::N,кузьдала,lengde
351,Höhe::N,ӝуждала,høyde
352,Gewicht::N,сектала,vekt
353,Gewicht::N,секытлык,vekt
354,Menge::N,лыд,mengde
355,Menge::N,лыдпус,mengde
356,Haufen::N,люк,haug
357,Haufen::N,люк,bunke
358,Reihe::N,чур,rekke
359,Boot::N,пыж,båt
360,Boot::N,лодка,båt
361,Ruder::N,полыс,åre
362,Schlitten::N,додьы,slede
363,Schlitten::N,додьы,kjelke
364,Ski::N,куас,ski
365,Lagerfeuer::N,тылскем,leirbål
366,Last::N,секыт,bør
367,Last::N,секыт,last
368,Gang::N,ветлон,gang
369,Schritt::N,вамыш,steg
370,Schritt::N,вамыш,skritt
371,Norden::N,уйпал,nord
372,Süden::N,лымшор,sør
373,Westen::N,шунды пуксён,vest
374,Osten::N,шунды ӝужан,øst
375,Holz::N,пу,tre
376,Brett::N,пул,fjøl
377,Brett::N,пул,brett
378,Platte::N,плита,plate
379,Stütze::N,пыкет,støtte
380,Stange::N,пуӵ,stang
381,Stock::N,боды,pinne
382,Stab::N,пуӵ,stav
383,Stab::N,пуӵ,kjepp
384,Stab::N,боды,stav
385,Stab::N,боды,kjepp
386,Rohr::N,труба,rør
387,Haus::N,юрт,hus
388,Heim::N,корка,hjem
389,Ofen::N,гур,ovn
390,Fußboden::N,выж,gulv
391,Tisch::N,ӝӧк,bord
392,Stuhl::N,пукон,stol
393,Wiege::N,кӧкы,vogge
394,Wiege::N,зыбка,vogge
395,Bett::N,валес,seng
396,Regal::N,ӝажы,reol
397,Regal::N,ӝажы,hylle
398,Kiste::N,ящик,kasse
399,Fenster::N,укно,vindu
400,Fenster::N,косяк,vindu
401,Tür::N,ӧс,dør
402,Tor::N,ӟезьы,port
403,Zaun::N,забор,gjerde
404,Dach::N,липет,tak
405,Leiter::N,падӟа,stige
406,Besen::N,ӵужон,kost
407,Besen::N,исьнер,kost
408,Spaten::N,лопатка,spade
409,Schaufel::N,ютырон,skuffe
410,Gabel::N,тэчы,gaffel
411,Gabel::N,вилка,gaffel
412,Löffel::N,пуньы,skje
413,Messer::N,пурт,kniv
414,Nagel::N,кортӵог,spiker
415,Netz::N,сеть,nett
416,Haken::N,курик,krok
417,Griff::N,ныд,tak
418,Griff::N,ныд,håndtak
419,Schloss::N,тунгон,lås
420,Bild::N,суред,bilde
421,Figur::N,фигура,figur
422,Puppe::N,мунё,dukke
