,Concept_ID,ta,kk
0,Auge::N,கண்,көз
1,Ohr::N,காது,құлақ
2,Nase::N,மூக்கு,мұрын
3,Mund::N,வாய்,ауыз
4,Zahn::N,பல்,тіс
5,Zunge::N,நாக்கு,тіл
6,Lippe::N,உதடு,ерін
7,Wange::N,கன்னம்,ұрт
8,Gesicht::N,முகம்,бет-аузы
9,Stirn::N,முன்னெற்றி,маңдай
10,Haar::N,முடி,қыл
11,Schnurrbart::N,மீசை,мұрт
12,Bart::N,தாடி,сақал
13,Kinn::N,கீழதாடை,иек
14,Kiefer[Anatomie]::N,தாடை,жақ
15,Kehle::N,தொண்டை,алқым
16,Hals::N,கழுத்து,мойын
17,Genick::N,கழுத்து,желке
18,Kopf::N,தலை,кәллә
19,Rücken::N,முதுகு,арқа
20,Bauch::N,வயிறு,қарын
21,Nabel::N,தொப்புள்,кіндік
22,Busen::N,மார்பகம்,омырау
23,Brust::N, மார்பு,кеуде
24,Schulter::N,தோள்பட்டை,иық
25,Arm::N,கரம்,қол
26,Ellenbogen::N,முழங்கை,шынтақ
27,Hand::N,கை,қол
28,Handfläche::N,உள்ளங்கை,алақан
29,Finger::N,விரல்,саусақ
30,Fingernagel::N,விரல் நகம்,тырнақ
31,Nagel[Anatomie]::N,நகம்,тырнақ
32,Zeh::N,கால்விரல்,тырнақ
33,Zeh::N,கால்விரல்,тұяқ
34,Fuß::N,கால்,аяқ-басы
35,Ferse::N,குதிகால்,өкше
36,Ferse::N,குதிகால்,өкшелік
37,Knie::N,முழங்கால்,тізе
38,Oberschenkel::N,தொடை,жамбас
39,Bein::N,கால்,аяқ
40,Körper::N,உடல்,дене
41,Haut::N,சருமம்,тері
42,Blut::N,இரத்தம்,қан
43,Ader::N,நாளம்,көктамыр
44,Ader::N,நாளம்,күретамыр
45,Sehne::N,தசைநார்,сіңір
46,Knochen::N,எலுமபு,жілік
47,Gehirn::N,மூனை,ми
48,Herz::N,இதயம,жүрек
49,Magen::N,வயிறு,асқазан
50,Leber::N,கல்லீரல்,бауыр
51,Atem::N,மூச்சு,леп
52,Hunger::N,பசி,ашаршылық
53,Träne::N,கண்ணீர்,жас
54,Geschmack::N,நறுமணம்,дәм
55,Geschmack::N,நறுமணம்,татым
56,Geschmack::N,நறுமணம்,талғам
57,Geruch::N,துர்நாற்றம்,иіс
58,Schlaf::N,தூக்கம்,ұйқы
59,Schlaf::N,தூக்கம்,ұйықтау
60,Traum::N,கனவு,түс
61,Himmel::N,வானம்,аспан
62,Himmel::N,வானம்,көқ
63,Himmel::N,வானம்,таңдай
64,Sonne::N,சூரியன்,күн
65,Mond::N,சந்திரன்,ай
66,Stern::N,நட்சத்திரம்,жұлдыз
67,Luft::N,காறறு,әуе
68,Wind::N,காற்று,жел
69,Welle::N,அலை,толқын
70,Wasser::N,நீர்,су
71,Stein::N,கல்,тас
72,Boden::N,தரை,қыртыс
73,Erde::N,மண்,топырақ
74,Staub::N,தூசி,шаң
75,Rauch::N,புகை,түтін
76,Funke::N,தீப்பொறி,ұшқын
77,Feuer::N,தீ,алау
78,Licht::N,வெளிச்சம்,шұғыла
79,Schatten::N,நிழல்,көлеңке
80,Wetter::N,வானிலை,ауа райы
81,Nebel::N,பனிமூட்டம்,тұман
82,Wolke::N,மேகம்,бұлт
83,Regen::N,மழை,жаңбыр
84,Schnee::N,உறைபனி,қар
85,Eis::N,பனிக்கட்டி,мұз
86,Frost::N,உறைபனி,суық
87,Kälte::N,குளிர்ந்த,ызғар
88,Kälte::N,குளிர்ந்த,суықтық
89,Hitze::N,சூடு,аптап
90,Raureif::N,உறைபனி வெண்திரை,қырау
91,Regenbogen::N,வானவில்,кемпірқосақ
92,Donner::N,இடி,күн күркіреу
93,Strömung::N,நீரோட்டம்,ағын
94,Tropfen::N,துளி,тамшы
95,Schaum::N,நுரை,көбік
96,Schmutz::N,அழுக்கு,кір
97,See::N,ஏரி,көл
98,Sumpf::N,சதுப்பு நிலம்,саз
99,Moor::N,முட்புதற்காடு,саз
100,Wiese::N,பசும் புல்தரை,шалғын
101,Wald::N,காடு,орман
102,Hügel::N,குன்று,төбе
103,Hügel::N,குன்று,белес
104,Hügel::N,குன்று,белес-белес
105,Anhöhe::N,பதுக்கை,дөң
106,Anhöhe::N,பதுக்கை,адыр
107,Anhöhe::N,பதுக்கை,қырат
108,Berg::N,மலை,тау
109,Gipfel::N,உச்சி மாநாடு,төбе
110,Höhle::N,குகை,үңгір
111,Abhang::N,சரிவு,бауыр
112,Quelle::N,மூலம்,қайнар
113,Bach::N,ஓடை,жылға
114,Fluss::N,ஆறு,өзен
115,Ufer::N,நீர்க்கரை,жиек
116,Küste::N,கடற்கரை,жиегі
117,Küste::N,கடற்கரை,жағалау
118,Festland::N,நிலம்,құрылық
119,Meer::N,கடல்,теңіз
120,Bucht::N,சிறுகுடா,шығанақ
121,Insel::N,தீவு,арал
122,Blume::N,பூ,гүл
123,Gras::N,புல்தரை,от
124,Wurzel::N,வேர்,түбір
125,Baum::N,மரம்,ағаш
126,Baum::N,மரம்,дарақ
127,Stamm::N,அடிமரம்,сояу
128,Stamm::N,அடிமரம்,оқпан
129,Rinde::N,பட்டை,қабық
130,Rinde::N,மரப்பட்டை,қабық
131,Ast::N,கினை,бұтақ
132,Zweig::N,குச்சி,шыбық
133,Blatt::N,இலை,жапырақ
134,Birke::N,பிர்ச் மரம்,қайың
135,Kiefer[Baum]::N,தேவதாரு மரம்,қарағай
136,Weide[Baum]::N,மர வகைகளுள் ஒன்று,тал
137,Tanne::N,சாதிக்கய்,шырша
138,Horn::N,கொம்பு,мүйіз
139,Feder::N,இறகு,қаламұш
140,Fell::N,மென்முடி,тері
141,Flügel::N,இறக்கை,қанат
142,Klaue::N,நகம்,тырнақ
143,Kralle::N,நகம்,аяқ
144,Schwanz::N,வால்,құйрық
145,Ei::N,முட்டை,жұмыртқа
146,Nest::N,கூடு,ұя
147,Bau::N,குகை,жатақ
148,Tier::N,விலங்கு,айуан
149,Tier::N,விலங்கு,жануар
150,Herde::N,கூட்டம்,пада
151,Kuh::N,பசு,сиыр
152,Bulle::N,காளை,өгіз
153,Pferd::N,குதிரை,жылқы
154,Schaf::N,செம்மறிஆடு,қой
155,Schwein::N,பன்றி,шошқа
156,Hund::N,நாய்,ит
157,Katze::N,பூனை,мысық
158,Bär::N,கரடி,аю
159,Eichhörnchen::N,அணில்,тиін
160,Elch::N,கடம்பை,бұғы
161,Fuchs::N,நரி,түлкі
162,Hase::N,முயல்,қоян
163,Maus::N,எலி,қаптесер
164,Wolf::N,ஓநாய்,бөрі
165,Wolf::N,ஓநாய்,қасқыр
166,Vogel::N,பறவை,құс
167,Schwarm::N,தொகுதி,топ
168,Schwarm::N,தொகுதி,үйір
169,Huhn::N,கோழிக்குஞசு,тауық
