,Concept_ID,uz,lt
0,Auge::N,ko'z,akis
1,Ohr::N,quloq,ausis
2,Nase::N,burun,nosis
3,Mund::N,og'iz,burna
4,Zahn::N,tish,dantis
5,Zunge::N,til,liežuvis
6,Lippe::N,dudoq,lūpa
7,Wange::N,bet,žandas
8,Wange::N,bet,skruostas
9,Gesicht::N,yuz,veidas
10,Stirn::N,manglay,kakta
11,Haar::N,soch,plaukai
12,Schnurrbart::N,mo'ylov,ūsai
13,Bart::N,soqol,barzda
14,Kinn::N,ängak,smakras
15,Kiefer[Anatomie]::N,iyak,žandikaulis
16,Kehle::N,bo'g'iz,gerklė
17,Hals::N,bo'yin,kaklas
18,Genick::N,gardan,sprandas
19,Kopf::N,bosh,galva
20,Rücken::N,orqa,nugara
21,Bauch::N,qorin,pilvas
22,Nabel::N,kindik,bamba
23,Busen::N,ämchak,krūtinė
24,Brust::N,ko'krak,krūtis
25,Schulter::N,elka,petys
26,Arm::N,bilak,ranka
27,Ellenbogen::N,tirsak,alkūnė
28,Hand::N,qo'l,ranka
29,Hand::N,qo'l,plaštaka
30,Handfläche::N,kaft,delnas
31,Handfläche::N,kaft,plaštaka
32,Finger::N,barmoq,pirštas
33,Fingernagel::N,tirnoq,nagas
34,Nagel[Anatomie]::N,tirnoq,nagas
35,Zeh::N,oyoq barmog'i,pirštas
36,Fuß::N,oyoq,pėda
37,Ferse::N,tovon,kulnas
38,Knie::N,tiz,kelis
39,Oberschenkel::N,son,kulšis
40,Oberschenkel::N,son,šlaunis
41,Bein::N,oyoq,koja
42,Körper::N,badna,kūnas
43,Haut::N,teri,oda
44,Blut::N,qon,kraujas
45,Ader::N,qon tomir,kraujagyslė
46,Sehne::N,tomir,sausgyslė
47,Knochen::N,suyak,kaulas
48,Gehirn::N,miya,smegenys
49,Herz::N,qalb,širdis
50,Magen::N,oshqozon,skrandis
51,Leber::N,bag'ir,kepenys
52,Atem::N,dam,kvapas
53,Hunger::N,ochlik,badas
54,Hunger::N,ochlik,alkis
55,Träne::N,yosh,ašara
56,Geschmack::N,tam,skonis
57,Geruch::N,jid,kvapas
58,Schlaf::N,uyqu,miegas
59,Traum::N,tush,sapnas
60,Himmel::N,osmon,dangus
61,Sonne::N,quyosh,saulė
62,Mond::N,oy,mėnulis
63,Stern::N,yulduz,žvaigždė
64,Luft::N,havo,oras
65,Wind::N,el,vėjas
66,Welle::N,to'lqin,banga
67,Welle::N,to'lqin,vilnis
68,Wasser::N,suv,vanduo
69,Stein::N,tosh,akmuo
70,Boden::N,tuproq,žemė
71,Boden::N,tuproq,dugnas
72,Erde::N,er,žemė
73,Staub::N,chang,dulkės
74,Rauch::N,tutun,dūmai
75,Funke::N,yalt,kibirkštis
76,Feuer::N,o't,ugnis
77,Licht::N,yorug',šviesa
78,Schatten::N,soya,paūksmė
79,Wetter::N,havo,oras
80,Nebel::N,tuman,migla
81,Nebel::N,tuman,rūkas
82,Wolke::N,bulut,debesis
83,Regen::N,yomg'ir,lietus
84,Schnee::N,qor,sniegas
85,Eis::N,muz,ledas
86,Frost::N,ajoz,šalna
87,Kälte::N,ajoz,šaltis
88,Hitze::N,issiq,karštis
89,Raureif::N,qirov,šerkšnas
90,Regenbogen::N,kamalak,vaivorykštė
91,Donner::N,guldur,perkūnas
92,Donner::N,guldur,griaustinis
93,Strömung::N,oqim,tėkmė
94,Tropfen::N,tomchi,lašas
95,Schaum::N,ko'pik,putos
96,Schmutz::N,gard,purvas
97,See::N,ko'l,ežeras
98,Sumpf::N,botqoq,klampynė
99,Sumpf::N,botqoq,liūnas
100,Moor::N,qir-adir,pelkė
101,Wiese::N,o'tzor,pieva
102,Wald::N,o'rmon,miškas
103,Hügel::N,tepa,kalva
104,Anhöhe::N,adir,kauburys
105,Berg::N,tog',kalnas
106,Gipfel::N,cho'qqi,viršūnė
107,Höhle::N,kavak,ola
108,Abhang::N,to'sh,šlaitas
109,Abhang::N,to'sh,nuokalnė
110,Quelle::N,buloq,versmė
111,Quelle::N,buloq,šaltinis
112,Bach::N,o'zan,upelis
113,Fluss::N,daryo,upė
114,Ufer::N,sohil,krantas
115,Küste::N,qirg'oq,pajūris
116,Festland::N,materik,sausuma
117,Meer::N,dengiz,jūra
118,Bucht::N,qo'ltiq,įlanka
119,Bucht::N,qo'ltiq,užutekis
120,Insel::N,orol,sala
121,Blume::N,gul,gėlė
122,Gras::N,sabza,žolė
123,Wurzel::N,tub,šaknis
124,Wurzel::N,tomir,šaknis
125,Baum::N,daraxt,medis
126,Stamm::N,o'simta,kamienas
127,Rinde::N,qobiq,žievė
128,Ast::N,shox,šaka
129,Zweig::N,butoq,šakelė
130,Blatt::N,barg,lapas
131,Birke::N,qayin,beržas
132,Kiefer[Baum]::N,qarag'ay,pušis
133,Weide[Baum]::N,shum,karklas
134,Tanne::N,archa,eglė
135,Tanne::N,archa,kėnis
136,Horn::N,mugiz,ragas
137,Feder::N,par,plunksna
138,Fell::N,mo'yna,kailis
139,Flügel::N,qanot,sparnas
140,Klaue::N,tirnoq,kanopa
141,Kralle::N,tirnoq,nagas
142,Schwanz::N,quyruq,uodega
143,Ei::N,tuxum,kiaušinis
144,Nest::N,oshyon,gūžta
145,Nest::N,oshyon,lizdas
146,Bau::N,o'pqon,ola
147,Tier::N,hayvon,gyvūnas
148,Herde::N,gala,banda
149,Herde::N,gala,kaimenė
150,Kuh::N,inak,karvė
151,Bulle::N,ho'kiz,bulius
152,Pferd::N,ot,arklys
153,Schaf::N,qo'y,avis
154,Schwein::N,cho'chqa,kiaulė
155,Hund::N,it,šuo
156,Katze::N,mushuk,katė
157,Bär::N,ayiq,lokys
158,Eichhörnchen::N,tiyin,voveraitė
159,Elch::N,los,briedis
160,Fuchs::N,tulki,lapė
161,Hase::N,kuyon,kiškas
162,Maus::N,sichqon,pelė
163,Wolf::N,bo'ri,vilkas
164,Vogel::N,qush,paukštis
165,Schwarm::N,to'da,spiečius
166,Huhn::N,tovuq,višta
167,Hahn::N,xo'roz,gaidys
168,Gans::N,g'oz,žąsis
169,Adler::N,burgut,erelis
170,Ente::N,o'rdak,antis
171,Eule::N,boyo'g'li,pelėda
172,Kranich::N,turna,gervė
173,Krähe::N,qarg'a,varna
174,Kuckuck::N,kakku,gegužė
175,Schwan::N,oqkush,gulbė
176,Fisch::N,baliq,žuvis
177,Barsch::N,olabug'a,ešerys
178,Hecht::N,cho'rtan,lydeka
179,Schlange[Tier]::N,ilon,gyvatė
180,Wurm::N,qurt,kirmėlė
181,Spinne::N,o'rgimchak,voras
182,Ameise::N,chumoli,skruzdė
183,Laus::N,bit,utėlė
184,Mücke::N,chivin,uodas
185,Fliege::N,pashsha,musė
186,Schmetterling::N,kapalak,drugys
187,Schmetterling::N,kapalak,peteliškė
188,Beere::N,meva,uoga
189,Apfel::N,olma,obuolys
190,Pilz::N,qo'ziqorin,grybas
191,Zwiebel::N,piyoz,svogūnas
192,Saat::N,äkin,sėkla
193,Korn::N,zarra,grūdai
194,Heu::N,xashak,šienas
195,Schale::N,po'choq,žievelė
196,Grube::N,co'ra,duobė
197,Falle::N,qopqon,pinklės
198,Falle::N,qopqon,žabangai
199,Schlinge::N,sirtmoq,kilpa
200,Spur::N,iz,vėžė
201,Spur::N,iz,pėdos
202,Spur::N,iz,pėdsakas
203,Asche::N,kul,pelenai
204,Dreck::N,kir,purvas
205,Eisen::N,temir,geležis
206,Gold::N,tilla,auksas
207,Silber::N,kumush,sidabras
208,Kohle::N,ko'mir,anglis
209,Glas::N,oyna,stiklas
210,Lehm::N,loy,molis
211,Sand::N,qum,smėlis
212,Mensch::N,odam,žmogus
213,Mann::N,ärkak,vyras
214,Mann::N,ärkak,vyriškis
215,Frau::N,ayol,moteris
216,Kind::N,bola,vaikas
217,Kind::N,kichkintoy,vaikas
218,Junge::N,bola,vaikinas
219,Junge::N,bola,berniukas
220,Mädchen::N,qiz,mergytė
221,Mädchen::N,qiz,mergaitė
222,Familie::N,oila,šeima
223,Großvater::N,buva,senelis
224,Großvater::N,katta ota,senelis
225,Großmutter::N,buvi,senelė
226,Großmutter::N,katta oyi,senelė
227,Eltern::N,ota-ona,tėvai
228,Vater::N,ota,tėvas
229,Mutter::N,ona,motina
230,Sohn::N,o'g'il,sūnus
231,Tochter::N,qiz,duktė
232,Bruder::N,og'a,brolis
233,Bruder::N,uka,brolis
234,Schwester::N,opa,sesuo
235,Schwester::N,singil,sesuo
236,Onkel::N,amaki,dėdė
237,Tante::N,amma,teta
238,Tante::N,xola,teta
239,Ehemann::N,är,vyras
240,Ehefrau::N,rafiqa,žmona
241,Freude::N,ayish,džiaugsmas
242,Gelächter::N,kulgi,juokas
243,Glück::N,saodat,laimė
244,Kummer::N,g'am,vargas
245,Kummer::N,g'am,rūpestis
246,Wunsch::N,orzu,troškimas
247,Wunsch::N,orzu,pageidavimas
248,Lust::N,rag'bat,noras
249,Lust::N,rag'bat,geidulys
250,Geist::N,ruh,dvasia
251,Gedanke::N,fikr,mintis
252,Gedächtnis::N,äs,atmintis
253,Verstand::N,aql,protas
254,Sinn::N,ma'ni,prasmė
255,Grund::N,sabab,priežastis
256,Wahrheit::N,haq,tiesa
257,Wahrheit::N,haq,teisybė
258,Gespräch::N,gap,pokalbis
259,Märchen::N,ärtak,pasaka
260,Erzählung::N,rivoyat,apsakymas
261,Erzählung::N,rivoyat,pasakojimas
262,Nachricht::N,xabar,žinia
263,Neuigkeit::N,yangilik,naujiena
264,Name::N,ot,vardas
265,Rätsel::N,topishmoq,mįslė
266,Rede::N,nutq,kalba
267,Sprache::N,til,kalba
268,Stimme::N,ovoz,balsas
269,Wort::N,so'z,žodis
270,Zeichen::N,alomat,žymė
271,Zeichen::N,alomat,ženklas
272,Ruf::N,chaqiriq,šauksmas
273,Lärm::N,taraq,triukšmas
274,Laut::N,tovush,garsas
275,Ton::N,un,tonas
276,Ton::N,un,garsas
277,Lied::N,ashula,daina
278,Lied::N,ashula,giesmė
279,Ruhe::N,tinchlik,ramybė
280,Ruhe::N,tinchlik,ramumas
281,Leute::N,xaloyiq,žmonės
282,Volk::N,xalq,tauta
283,Arbeit::N,ish,darbas
284,Arbeit::N,ish,triūsas
285,Gast::N,mehmon,svečias
286,Geschenk::N,hadya,dovana
287,Spiel::N,o'yin,žaismas
288,Spiel::N,o'yin,žaidimas
289,Gesellschaft::N,jamiyat,draugija
290,Gesellschaft::N,jamiyat,kompanija
291,Hilfe::N,yordam,pagalba
292,Freund::N,do'st,draugas
293,Freund::N,do'st,bičiulis
294,Kamerad::N,yo'ldosh,draugas
295,Angelegenheit::N,daxl,dalykas
296,Angelegenheit::N,daxl,reikalas
297,Anzahl::N,son,kiekis
298,Anzahl::N,son,skaičius
299,Art::N,tur,rūšis
300,Stück::N,parcha,gabalas
301,Teil::N,bo'lak,dalis
302,Hälfte::N,yarim,pusė
303,Kreis::N,aylana,ratas
304,Kreis::N,aylana,apskritis
305,Kreis::N,aylana,apskritimas
306,Kreuz::N,xoch,kryžius
307,Linie::N,liniya,linija
308,Strich::N,chiziq,brėžis
309,Strich::N,chiziq,brūkšnys
310,Abstand::N,oralik,atstumas
311,Entfernung::N,uzoqlik,atstumas
312,Gegend::N,yer,vietovė
313,Platz::N,oralig,vieta
314,Ort::N,joy,vieta
315,Ort::N,joy,vietovė
316,Seite::N,yon,pusė
317,Seite::N,yon,šonas
318,Mitte::N,o'rta,vidurys
319,Gegenstand::N,ashyo,dalykas
320,Sache::N,buyum,daiktas
321,Rand::N,chek,kraštas
322,Rand::N,chek,pakraštys
323,Kante::N,tig',kraštas
324,Ecke::N,burchak,kertė
325,Ecke::N,burchak,kampas
326,Spitze::N,uch,priekis
327,Spitze::N,uch,priešakys
328,Ende::N,oxir,galas
329,Loch::N,teshik,skylė
330,Winkel::N,go'sha,kampas
331,Winkel::N,go'sha,kampelis
332,Muster::N,nusha,raštas
333,Größe::N,kattalik,dydis
334,Größe::N,kattalik,didumas
335,Länge::N,uzunlik,ilgis
336,Länge::N,uzunlik,ilgumas
337,Höhe::N,yuksaklik,aukštis
338,Höhe::N,yuksaklik,aukštuma
339,Gewicht::N,solmoq,svoris
340,Gewicht::N,solmoq,svarstis
341,Menge::N,miqdor,kiekis
342,Menge::N,miqdor,daugybė
343,Haufen::N,uyum,krūva
344,Haufen::N,uyum,šūsnis
345,Reihe::N,saf,greta
346,Boot::N,qayiq,valtis
347,Boot::N,qayiq,laivelis
348,Ruder::N,äshkak,irklas
349,Schlitten::N,chana,rogės
350,Schlitten::N,chana,rogutės
351,Ski::N,chang'i,slidė
352,Lagerfeuer::N,gulxan,laužas
353,Last::N,yuk,našta
354,Last::N,yuk,nešulys
355,Gang::N,yurish,eisena
356,Schritt::N,qadam,žingsnis
357,Norden::N,shimol,šiaurė
358,Norden::N,shimol,žiemiai
359,Süden::N,janub,pietūs
360,Westen::N,g'arb,vakarai
361,Osten::N,sharq,rytai
362,Holz::N,yog'och,mediena
363,Brett::N,taxta,lenta
364,Platte::N,tabaqa,plokštė
365,Stütze::N,tayanchi,atrama
366,Stütze::N,tayanchi,atspara
367,Stange::N,qo'noq,lazda
368,Stange::N,qo'noq,kartis
369,Stock::N,tayoq,lazda
370,Stab::N,gavron,kartis
371,Rohr::N,tarnov,vamzdis
372,Haus::N,uy,namas
