,Concept_ID,pl,ka
0,Auge::N,oko,თვალი
1,Ohr::N,ucho,ყური
2,Nase::N,nos,ცხვირი
3,Mund::N,usta,პირი
4,Zahn::N,ząb,კბილი
5,Zunge::N,język,ენა
6,Lippe::N,warga,ბაგე
7,Wange::N,policzek,ლოყა
8,Gesicht::N,twarz,სახე
9,Stirn::N,czoło,შუბლი
10,Haar::N,włos,თმა
11,Haar::N,włosy,თმა
12,Schnurrbart::N,wąsy,ულვაში
13,Bart::N,broda,წვერი
14,Kinn::N,podbródek,ნიკაპი
15,Kiefer[Anatomie]::N,czeluść,ყბა
16,Kehle::N,gardło,ყელი
17,Hals::N,szyja,ყელი
18,Hals::N,szyja,კისერი
19,Genick::N,kark,კეფა
20,Kopf::N,głowa,თავი
21,Rücken::N,plecy,ზურგი
22,Rücken::N,grzbiet,ზურგი
23,Bauch::N,brzuch,მუცელი
24,Nabel::N,pępek,ჭიპი
25,Busen::N,biust,ძუძუ
26,Brust::N,pierś,მკერდი
27,Schulter::N,bark,მხარი
28,Schulter::N,bark,მკლავი
29,Schulter::N,ramię,მხარი
30,Schulter::N,ramię,მკლავი
31,Arm::N,ręka,ხელი
32,Arm::N,ramię,ხელი
33,Ellenbogen::N,łokieć,იდაყვი
34,Hand::N,dłoń,ხელი
35,Handfläche::N,dłoń,ნები
36,Handfläche::N,dłoń,ხელისგული
37,Finger::N,palec,თითი
38,Fingernagel::N,paznokieć,ფრჩხილი
39,Nagel[Anatomie]::N,paznokieć,ფრჩხილი
40,Zeh::N,palec,ფეხის თითი
41,Fuß::N,stopa,ტერფი
42,Fuß::N,stopa,ფეხისგული
43,Ferse::N,pięta,ქუსლი
44,Knie::N,kolano,მუხლი
45,Oberschenkel::N,udo,ბარძაყი
46,Bein::N,noga,ფეხი
47,Körper::N,ciało,ტანი
48,Körper::N,ciało,სხეული
49,Haut::N,skóra,კანი
50,Blut::N,krew,სისხლი
51,Ader::N,żyła,ძარღვი
52,Sehne::N,ścięgno,მყესი
53,Knochen::N,kość,ძვალი
54,Gehirn::N,mózg,ტვინი
55,Herz::N,serce,გული
56,Magen::N,żołądek,კუჭი
57,Leber::N,wątroba,ღვიძლი
58,Atem::N,dech,სუნთქვა
59,Atem::N,oddech,სუნთქვა
60,Hunger::N,głód,შიმშილი
61,Träne::N,łza,ცრემლი
62,Geschmack::N,smak,გემო
63,Geruch::N,woń,სუნი
64,Geruch::N,zapach,სუნი
65,Schlaf::N,sen,ძილი
66,Traum::N,sen,სიზმარი
67,Himmel::N,niebo,ცა
68,Sonne::N,słońce,მზე
69,Mond::N,księżyc,მთვარე
70,Stern::N,gwiazda,ვარსკვლავი
71,Luft::N,powietrze,ჰაერი
72,Wind::N,wiatr,ქარი
73,Welle::N,fala,ტალღა
74,Wasser::N,woda,წყალი
75,Stein::N,kamień,ქვა
76,Boden::N,grunt,მიწა
77,Erde::N,ziemia,ნიადაგი
78,Staub::N,pył,მტვერი
79,Staub::N,kurz,მტვერი
80,Rauch::N,dym,ბოლი
81,Rauch::N,dym,კვამლი
82,Funke::N,iskra,ნაკვესი
83,Feuer::N,ogień,ცეცხლი
84,Licht::N,światło,შუქი
85,Licht::N,światło,სინათლე
86,Schatten::N,cień,ლანდი
87,Schatten::N,cień,ჩრდილი
88,Wetter::N,pogoda,ამინდი
89,Nebel::N,mgła,ნისლი
90,Wolke::N,obłok,ღრუბელი
91,Wolke::N,chmura,ღრუბელი
92,Regen::N,deszcz,წვიმა
93,Schnee::N,śnieg,თოვლი
94,Eis::N,lód,თოში
95,Eis::N,lód,ყინული
96,Frost::N,mróz,ყინვა
97,Kälte::N,chłód,სიცივე
98,Hitze::N,gorąco,სიცხე
99,Raureif::N,szron,ჭირხლი
100,Raureif::N,szron,თრთვილი
101,Regenbogen::N,tęcza,ცისარტყელა
102,Donner::N,grzmot,ქუხილი
103,Strömung::N,nurt,დინება
104,Tropfen::N,kropla,წვეთი
105,Schaum::N,piana,ქაფი
106,Schaum::N,piana,დორბლი
107,Schmutz::N,brud,ჭუჭყი
108,Schmutz::N,brud,ტალახი
109,See::N,jezioro,ტბა
110,Sumpf::N,bagno,ჭაობი
111,Moor::N,bagno,ტორფნარი
112,Wiese::N,łąka,ველი
113,Wiese::N,łąka,მდელო
114,Wald::N,las,ტყე
115,Hügel::N,pagórek,ბორცვი
116,Anhöhe::N,wzgórze,მაღლობი
117,Berg::N,góra,მთა
118,Gipfel::N,szczyt,მწვერვალი
119,Gipfel::N,wierzchołek,მწვერვალი
120,Höhle::N,pieczara,მღვიმე
121,Höhle::N,pieczara,გამოქვებული
122,Abhang::N,stok,ფერდობი
123,Abhang::N,zbocze,ფერდობი
124,Quelle::N,zdrój,წყარო
125,Quelle::N,zdrój,სათავე
126,Quelle::N,źródło,წყარო
127,Quelle::N,źródło,სათავე
128,Bach::N,potok,რუ
129,Bach::N,potok,ნაკადული
130,Bach::N,strumień,რუ
131,Bach::N,strumień,ნაკადული
132,Fluss::N,rzeka,მდინარე
133,Ufer::N,brzeg,კიდე
134,Ufer::N,brzeg,ნაპირი
135,Küste::N,wybrzeże,ნაპირი
136,Festland::N,ląd,ხმელეთი
137,Meer::N,morze,ზღვა
138,Bucht::N,zatoka,ყურე
139,Insel::N,wyspa,კუნძული
140,Blume::N,kwiat,ყვავილი
141,Gras::N,trawa,ბალახი
142,Wurzel::N,korzeń,ძირი
143,Wurzel::N,korzeń,ფესვი
144,Baum::N,drzewo,ხე
145,Stamm::N,pień,ტანი
146,Rinde::N,kora,ქერქი
147,Ast::N,gałąź,ტოტი
148,Zweig::N,gałąź,შტო
149,Blatt::N,liść,ფოთოლი
150,Birke::N,brzoza,არყი
151,Kiefer[Baum]::N,sosna,ფიჭვი
152,Weide[Baum]::N,wierzba,ტირიფი
153,Tanne::N,jodła,ნაძვი
154,Horn::N,róg,რქა
155,Feder::N,pióro,ფრთა
156,Fell::N,futro,ტყავი
157,Flügel::N,skrzydło,ფრთა
158,Klaue::N,szpon,კლანჭი
159,Kralle::N,pazur,ტორი
160,Schwanz::N,ogon,კუდი
161,Ei::N,jajko,კვერცხი
162,Nest::N,gniazdo,ბუდე
